$ tỉ	$ miljard	$ billion
potsdam	potsdam	(proper noun) potsdam
potter	pottenbakker	(proper noun) potter, as in harry potter
pour	giet	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	prins	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prijs	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	het eiwit	protein
prôtêin	eiwit	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemaeus	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulp	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyreneeën	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	steek	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	door	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optisch	bladder
quanh	in de omgeving van	around
quay	draaide zich om	turn
que	staven	stick
queen	koningin	queen
queens	koninginnen	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	bekend	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	koran	quran
quy	reglement	"(term should be ""quy ước"") agreement"
quyên	grondbeginselen	"(term should be ""quyên góp"") to donate (v.)"
quyến	charme	"(term should be ""gia quyến"") family"
quyền	toestemming	right
quyện	mengen	mix
quyệt	verraderlijk	"(should be ""xảo quyệt"") devious"
quá	te	over
quái	heck	strange or odd
quán	bar	hometown
quáng	blind	blind
quát	schreeuwden	generalize
quân	quan	army (n.)
quãng	ca.	optical
quét	scannen	to sweep (v.)
quê	dorp	countryside
quên	vergeten	forget
quý	kostbaar	love
quýt	mandarijn	tangerine
quăng	toss	to throw (v.)
quĩ	fonds	orbit
quạ	kraaien	crow (con qua)
quạt	ventilator	fan
quản	regerend	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	inpakken	wrap around
quất	kumquat	whip
quấy	roeren	harass
quần	broek	pants (n.)
quầng	halo	halo
quầy	de teller	stall
quẩy	schommelen	quay
quẫn	ellendig	necessitous
quận	wijk	county (n.)
quật	uitgraving	excavation
quẳng	toss	throw
quặc	raar	strange (adj.)
quặng	erts	an ore (n.)
quẻ	hexagram	hexagram
quế	kaneel	cinnamon (n.)
quết	uitschot	knead
quệ	arm	exhausted
quỉ	de duivel	demon
quỳ	knielen	demon (n.)
quỳnh	quỳnh	quynh
quỵ	beroerte	stroke
quỷ	de duivel	provided
quỹ	fonds	fund
qúy	kwartaal	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	ras	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	ram	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	liep	ran
ranch	boerderij	ranch
randy	geil	randy
rang	belde	roast
rangers	rangers	rangers
ranh	grens	border (ranh gioi)
rao	advertentie	to announce
rap	tik	rap
raptor	roofvogel	raptor
rate	tarief	rate
rau	groente	vegetable
ray	straal	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	echt	real
reanimation	reanimatie	reanimation
reap	oogsten	reap
reef	rif	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	kant	lace (n.)
renaissance	renaissance	renaissance
renault	renault	renault
rené	rené	rene
reo	ring	yell
reserve	reserveren	reserve
resort	toevlucht	resort
reverse	omgekeerde	reverse
revolution	revolutie	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodos	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	stijgende lijn	rising
risk	risico	risk
ritchie	ritchie	a name
rivaldo	rivaal	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	privaat	own
riêu	riêu	crab
riết	riet	urgently
riềng	laos	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	hengel	a stick or switch used for punishment (n.)
roland	roland	roland
romania	roemenië	romania
rome	rome	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	algen	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rovers	rovers
rowling	roeien	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	liniaal	(proper noun) rulin
rumani	roemeense	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	rennen	tremble
rung	trillen	to shake or vibrate (v.)
russian	russisch	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	onbeleefd	ruud
ruốc	garnalen	pemmican
ruồi	vliegt	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	rijstveld	"(term should be ""ruộng đất"") farmland (n.)"
ruột	darm	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	uitchecken	finding
ràng	doorzichtig	clear
rành	vloeiend	exhaustive
rào	hek	barrier
rác	vuilnis	gabbage-trash
rách	gescheurd	tear
rái	otter	colander
rán	bak	fried (adj.)
ráp	bijeenkomst	to assemble (v.)
râm	schaduwrijk	shade
râu	baard	beard or mustache (n.)
rã	verval	out
rãi	kasseien	"(term should be ""rộng rãi"") generous"
rãnh	loopgraaf	groove
räikkönen	räikkönen	raikkonen
rèm	gordijn	curtain
rèn	smeden	train
ré	piepen	re
république	république	republique
rét	verkoudheid	cold
rê	slepen	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	janken	moan
rêu	mos	moss
rì	fluisteren	lush (adj.)
rìa	rand	edge
rình	spion	to watch for
rìu	bijl	ax
rít	fluiten	to wail (v.)
rò	lekkage	leak
ròng	netto	net
rót	gieten	to pour (v.)
rô	geruit	diamond
rôbôt	robot	robot
rôma	rome	roman
rông	hol	rising (adj.)
rõ	doorzichtig	clear
rùa	schildpad	turtle
rùng	griezelig	horror
rút	zich terugtrekken	withdraw
răn	gebod	commandment
răng	tand	roasted
rōmaji	rōmaji	romaji
rũ	verleidelijk	charm
rơ	auto	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	vallen	fall
rơm	rietje	straw
rươi	u	sand-worm
rước	processie	welcome
rưới	bestrooi	to sprinkle (v.)
rưỡi	voor de helft	half
rượt	jacht	pursue
rượu	alcohol	wine
rạ	riet	straw
rạc	discreet	discrete
rạch	kanaal	canal
rạng	dageraad	break
rạp	theaters	theater
rải	verspreide	spread
rảnh	vrij	to be free (adj.)
rất	heel	very
rầm	stijl	aggressive
rầu	verdrietig	sorrow
rẫy	teelt	full
rậm	bossig	jungle
rập	arab	"(term should be ""Ả rập"") arab"
rắc	bestrooi	trouble
rắn	slang	snake
rằm	volle maan	a full moon (n.)
rằng	dat	roasted
rặng	de steen	a row
rẻ	goedkoop	cheap
rẽ	beurt	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	kreunen	pealed
rể	schoonzoon	in-law
rễ	wortels	root (n.)
rệp	bug	bug
rệt	uitgesproken	clearly
rệu	aye	decay
rỉ	roest	leak
rịavũng	rìvà	ria - bay
rỏ	doorzichtig	clearly
rối	verstrikt	disorder
rốm	bewolkt	rom
rồ	gek	"(term should be ""điên rồ"") foolish (adj.)"
rồi	nu al	and
rồng	draak	dragon
rổ	mand	basket
rỗi	vrij	savation
rỗng	hol	hollow
rộ	drukte	profuse (adj.)
rộn	druk	busy
rộng	breed	wide
rớt	vallen	drop
rời	links	leave
rỡ	briljant	brilliant
rợ	barbaren	a savage (n.)
rợn	griezelig	scary
rụng	schuur	to drop
rủ	nodig uit	ask
rủi	ongeluk	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	woud	forest
rửa	wassen	to wash (v.)
rữa	wassen	to decompose or rot (v.)
sa	za	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	mis	wrong
saigon	saigon	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	naar	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	geboorte	bear
sanktpeterburg	sint petersburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	ster	how
sap	sap	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarcoom	sarcoma
sardinia	sardinië	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	zaterdag	saturday
sau	na	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	scandinavië	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	schotland	scotland
scots	schotten	(proper noun) scots
scott	scott	scott
scream	schreeuw	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	zoeken	search
seattle	seattle	(proper noun) seattle, washington
secret	geheim	bi mat
sedna	sedna	(proper noun) sedna
see	zien	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	zin	sense
september	september	(proper noun) the month of september
serbia	servië	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	serie	series
service	onderhoud	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	sexy	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	sjah	shah
shaman	sjamaan	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	schacht	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	sjiiet	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	ondiepte	(proper noun) shoal
shonen	shonen	shonen
shop	winkel	shop
short	kort	short
showcase	vitrine	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sicilië	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	sila&#39;s	silas
silesia	silezië	silesia
silic	silicium	silicon
silicat	silicaat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	zingen	sing
sinh	geboren	genital
sip	slokje	sip
sirô	siroop	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	vastdraaien	to cut off (v.)
sky	lucht	sky
skype	skype	skype
skyteam	luchtteam	skyteam
sl	sl	sl
slav	slaaf	(proper noun) slav
slavơ	slaaf	slavic
slytherin	zwadderich	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	smid	smith
smithsonian	smithsonian	smithsonian
so	zo	compare
société	société	societe
socrates	socrates	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	dus ik	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonate	sonata
song	lied	however (adv.)
sony	sony	sony
soo	zo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	ziel	soul
soát	controle	control
soạn	componist	compose
spears	speren	spears
spellman	spellman	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sport-	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	stand	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	start in	bat dau
status	toestand	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	stenen	stones
storting	storten	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	straat	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	zo	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfide	sulfide
sulu	sulu	sulu
sum	som	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	zomer	summer
summerslam	summerslam	(proper noun) summerslam
sun	zon	sun
sunday	zondag	(proper noun) sunday
sung	vijgen	supplement
sunni	soennitische	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	mislukking	decrease
suê	zo	lush
suôn	soepel	smooth
suất	productiviteit	number
suối	verwarming	stream
suốt	gedurende	through/all over
suồng	glad	overfamiliar
svd	svd	svd
swan	zwaan	swan
swaziland	swaziland	swaziland
sweet	zoet	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	synchroniseren	sync
syria	syrië	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	verdieping	san
sàng	zeef	ready
sành	terracotta	"(term should be ""sành sứ"") pottery"
sào	pool	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	boek	list
sái	mis	sai
sám	berouwvol	penitent
sáng	glanzend	light
sánh	comparatieve	compare
sáo	fluit	flute
sáp	was-	merger
sát	dichtbij	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	zes	six
sâm	ginseng	sam
sân	werf	"(should be ""sân khấu"") a stage"
sâu	diep	deep
sã	sã	flippant
sãi	mis	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	verlichting	clay
sê	se	sepon
sêri	serie	series
sêu	mos	seu tet
sính	leerling	betrothal gifts
síp	cyprus	cyprus
sít	strak	close
sò	clam	oyster
sòng	casino	casino
sóc	eekhoorn	"(should be ""sóc trăng"") a vietnamese town"
sói	de wolf	wolf
sóng	golf	wave
sót	weglating	to miss (v.)
sô	aantal	than
sôi	koken	vibrant
sông	rivier-	river
sùng	toewijding	cult
sú	zwarte tijger	a type of mangrove (n.)
súc	vee	animal
sún	wastafel	sun
súng	geweren	gun
súp	soep	source
sút	schot	reduce
săn	jacht	to hunt
sơn	verf	a mountain
sư	professor	lion
sưa	melk	filled with
sưng	zwelling	swell
sưu	collectibles	collection
sương	dauw	dew (n.)
sướng	gelukkig	high
sườn	kant	slope
sưởi	verwarming	heat
sạch	schoon	clean
sạn	hotel	hotel
sảm	helder	sam
sản	productie	reproductive
sảng	vers	sonorous
sảnh	hal	a hall, as in the rock and roll hall of fame
sấm	donder	ginseng
sấu	krokodil	crocodile
sấy	drogen	dry
sầm	slaat	crowded
sầu	melancholie	sad
sẩn	papels	coarseness
sẫm	donker	dark
sập	ineenstorting	destroy
sắm	boodschappen doen	shopping
sắn	cassave	cassava (n.)
sắp	bijna	soon
sắt	ijzer	"(term should be ""sắt son"") constant (adj.)"
sẵn	beschikbaar	available
sẹo	litteken	scar
sẻ	zal	share
sẽ	zullen	will
sọ	schedel	brain
sọc	strepen	stripe
sỏ	brutaal	oligarchy
sỏi	grind	gravel
số	aantal	"(term should be ""số lượng"") quantity (n.)"
sốc	geschokt	shock
sống	levend	live
sốt	koorts	fever
sồi	eik	oak
sổ	boek	window
sớ	zullen	document
sớm	spoedig	som
sờ	aanraken	touch
sỡ	gemist	colorful
sợ	bang	afraid
sợi	garens	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	kraakbeen	cartilage
sụp	ineenstorting	collapse
sụt	malaise	drop
sủa	schors	bright
sủi	bruisend	sparkling
sủng	charismatisch	favored
sứ	keramiek	embassy
sứa	kwallen	jellyfish (n.)
sức	kracht	strength
sứt	afgebroken	cleft
sừng	toeter	sừng sững= huge
sử	geschiedenis	"(term should be ""sử dụng"") to use (v.)"
sửa	reparatie	repair
sửng	geschokt	startling
sửu	os	cow
sữa	melk	milk
sự	de	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	label	tag
tai	oor	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tadzjikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmoed	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	rouw	funeral
tanh	raar	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	ik	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	taak	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmanië	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	hand-	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tsjaad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	technisch	technical
ted	ted	(proper noun) ted
teddy	teddy	teddy, as in teddy lupin, a character in the harry potter series
telecom	telecom	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	postzegel	stamp
temple	tempel	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartel	tensor
teo	atrofisch	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	gebieden	territories
terry	badstof	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	excuus	to forgive (v.)
thai	zwanger	pregnant
thailand	thailand	thailand
tham	hebzucht	involved
thames	theems	thames
than	houtskool	coal
thang	ladder	ladder
thanh	bar	youth
thani	dan ik	thani
thao	sport-	sport
thau	messing	a basin (n.)
thay	in plaats daarvan	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thebe	thebes
their	hun	their
them	hen	plus
then	vervolgens	key
theo	volgens de	according to
theory	theorie	thẻoy
theravada	theravada	theravada
theres	er is	there
theseus	theseus	theseus, the greek hero
thi	examen	competition (n.)
thich	leuk vinden	explanation
thien	thien	sky
third	derde	thỉd
thiu	muf	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	heilig	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	blik	tin
thiến	onzijdig	castrate
thiếp	kaart	concubine
thiết	ingesteld	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	kort	lack
thiềm	sikkel	crescent
thiền	meditatie	buddhist (adj.)
thiển	laten zien	superficial
thiểu	klein	minimum
thiện	goed	good
thiệp	kaart	intervene
thiệt	werkelijk	damage
thiệu	invoering	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	schar	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	string	(proper noun) thong, as in ang thong
those	die	those
thoái	regressief	deterioration
thoán	raad eens	usurpation
thoáng	luchtig	"(term should be ""thoáng qua"") to pass quickly"
thoát	uitgang	drainage
thoại	telefoon	telephone
thoạt	op het eerste gezicht	just (adv.)
thoả	deal	compromise
thoải	comfortabel	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	af en toe	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	prompt	suddenly
thpt	thpt	high school
thriller	thriller	thriller
thskts	thskts	phd- architect
thua	verliezen	defeat
thumb|các	thumb | de	thumb|many
thunderbolt	blikseminslag	thunderbolt
thung	vallei	valley
thuyên	verplaatsing	a name
thuyết	theorie	theory
thuyền	boot	boat
thuê	huren	employ
thuần	zuiver	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	conflict	support
thuận	voors	favourable
thuật	kunst	term
thuế	belasting	tax
thuốc	geneesmiddel	medicine (n.)
thuộc	behoren	belong
thuớc	water	"(term should be ""kích thước"") dimensions of an object"
thuờng	meestal	usually
thuở	jeugd	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	uw	thy
thà	zou liever	honest
thành	fort	"(term should be ""hình thành"") to take shape"
thày	leraar	teacher
thác	cascade	harvest
thách	uitdaging	challenge
thái	thais	attitude
thám	detective	to spy (v.)
tháng	maand	month (n.)
thánh	st	a holy person; a saint (n.)
tháo	verwijderen	"(term should be ""tháo chạy"") to run with abandon"
tháp	toren	tower
thâm	diep	penetrate
thâu	geplakt	to collect (v.)
thây	zien	body
thãi	shit	superabundant
thèm	snakken	desire
thép	staal	steel
thét	schreeuwde	shout
thê	de	category
thêm	meer	more
thêu	huur	to embroider (v.)
thìa	lepel	spoon
thìn	vervolgens	(proper noun) thìn, the year of the dragon
thình	plotseling	"(term should be ""thình lình"") suddenly"
thí	experimenten	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	prikte	tho
thòi	nadeel	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	rijstveld	grain (n.)
thói	gewoonte	a habit (n.)
thô	ruw	rough, old-fashioned
thôi	kom op	only
thông	op de hoogte	"(term should be ""thông thường"") usual (adj.)"
thù	vete	"entire term should be ""ke thu""; means ""enemy"""
thùng	prullenbak	barrel
thùy	kwab	thuy
thú	interessant	"(should be ""thích thú"") pleasurable"
thúc	einde	push
thúy	thuy	thuy
thăm	bezoek	visit
thăng	gepromoot	helicopter
thơm	geurig	aromatic
thư	brieven	"(term should be ""ung thư"") cancer (n.)"
thưa	geachte	sparse
thương	liefde	love
thước	heerser	ruler
thường	vaak	usually (adv.)
thưởng	beloning	to reward (v.)
thược	plof	(proper noun) thược
thượng	bovenste	upper
thạc	meesters	master
thạch	gelei	rock or stone (n.)
thạnh	thanh	thanh
thạo	deskundige	fluent
thả	laten vallen	"(term should be ""thả lỏng"") to let loose (v.)"
thải	verspilling	waste
thảm	tapijt	carpet or rug (n.)
thản	sereen	calmly
thảo	mooi	"(term should be ""hội thảo"") a workshop (n.)"
thấp	kort	low (adj.)
thấu	penetrant	penetrate
thầm	zwijgend	"(term should be ""thì thầm"") to whisper (v.)"
thần	god	"entire term should be ""tinh than""; means ""of the mind"""
thầy	leraar	teacher (n.)
thẩm	juryleden	osmotic/leak
thẫm	donker	dark
thận	nier	careful
thập	kruis	tens
thật	echt	true (adj.)
thắm	bloemblad	tham
thắn	eerlijk gezegd	frank
thắng	won	win
thắngthua	winnen	win-lose
thắp	licht	light
thắt	vastknopen	tense
thằn	hagedis	"entire term should be ""than lan""; means ""lizard"""
thằng	kerel	a derogatory term for a man (n.)
thẳm	diep	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	rechtdoor	horizontal
thặng	overschot	surplus
thẹn	beschaamd	shameful
thẻ	kaart	card
thế	zo	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	staal	steel
thề	zweer	swear
thềm	plank	shelf
thể	worden	maybe
thỉnh	nodig uit	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	mode	prosperous
thịt	vlees	meat (n.)
thọ	levensduur	phu tho
thọc	prik	jab
thỏ	konijn	rabbit
thỏa	overeenkomst	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	baar	a bar (n.)
thối	verrot	smelly
thốt	geuit	scream
thồ	verpakking	to transport via horse (v.)
thổ	aarde	"(term should be ""lãnh thổ"") territory (n.)"
thổi	blazen	blow
thớt	snijplank	sparse
thời	tijd	period
thở	adem	breathe
thợ	werknemer	craftman
thụ	receptor	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	ingesprongen	clyster
thủ	prime	masturbate
thủa	thua	during childhood
thủng	perforatie	having holes
thứ	dingen	no.
thức	wakker	way
