$ tỉ	miljarder dollar	$ billion
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	förbi	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optisk	bladder
quanh	runt om	around
quay	vände	turn
que	stavar	stick
queen	drottning	queen
queens	drottningar	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	bekant	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	regler	"(term should be ""quy ước"") agreement"
quyên	fundamenta	"(term should be ""quyên góp"") to donate (v.)"
quyến	charm	"(term should be ""gia quyến"") family"
quyền	tillstånd	right
quyện	blanda	mix
quyệt	smygande	"(should be ""xảo quyệt"") devious"
quá	för	over
quái	fan	strange or odd
quán	bar	hometown
quáng	blind	blind
quát	ropade	generalize
quân	quan	army (n.)
quãng	ungefär	optical
quét	att skanna	to sweep (v.)
quê	by	countryside
quên	glömma	forget
quý	dyrbar	love
quýt	mandarin	tangerine
quăng	kasta	to throw (v.)
quĩ	fond	orbit
quạ	gal	crow (con qua)
quạt	fläkt	fan
quản	styrande	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	slå in	wrap around
quất	kumquat	whip
quấy	vispa	harass
quần	byxor	pants (n.)
quầng	halo	halo
quầy	bänken	stall
quẩy	gungande	quay
quẫn	usel	necessitous
quận	distrikt	county (n.)
quật	utgrävning	excavation
quẳng	kasta	throw
quặc	konstig	strange (adj.)
quặng	malm	an ore (n.)
quẻ	hexagram	hexagram
quế	kanel	cinnamon (n.)
quết	avskum	knead
quệ	fattig	exhausted
quỉ	djävulen	demon
quỳ	knäböja	demon (n.)
quỳnh	quynh	quynh
quỵ	stroke	stroke
quỷ	djävulen	provided
quỹ	fond	fund
qúy	fjärdedel	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	lopp	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	bagge	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	ran	ran
ranch	ranch	ranch
randy	kåt	randy
rang	ringde	roast
rangers	rangers	rangers
ranh	gräns	border (ranh gioi)
rao	ad	to announce
rap	rap	rap
raptor	raptor	raptor
rate	betygsätta	rate
rau	vegetabiliska	vegetable
ray	stråle	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	verklig	real
reanimation	återupplivning	reanimation
reap	skörda	reap
reef	rev	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	spets	lace (n.)
renaissance	renässans	renaissance
renault	renault	renault
rené	rené	rene
reo	ringa	yell
reserve	boka	reserve
resort	tillflykt	resort
reverse	omvänd	reverse
revolution	rotation	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodos	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	stigande	rising
risk	risk	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	privat	own
riêu	rieu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	stav	a stick or switch used for punishment (n.)
roland	roland	roland
romania	rumänien	romania
rome	rom	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	alger	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rovers	rovers
rowling	rowling	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	ångra	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rumänska	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	springa	tremble
rung	vibrera	to shake or vibrate (v.)
russian	ryska	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	räka	pemmican
ruồi	flugor	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	risfält	"(term should be ""ruộng đất"") farmland (n.)"
ruột	inälvor	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	kolla upp	finding
ràng	klar	clear
rành	flytande	exhaustive
rào	staket	barrier
rác	sopor	gabbage-trash
rách	trasig	tear
rái	utter	colander
rán	fritera	fried (adj.)
ráp	hopsättning	to assemble (v.)
râm	skuggig	shade
râu	skägg	beard or mustache (n.)
rã	förfall	out
rãi	kullersten	"(term should be ""rộng rãi"") generous"
rãnh	dike	groove
räikkönen	räikkönen	raikkonen
rèm	ridå	curtain
rèn	smide	train
ré	skrika	re
république	république	republique
rét	kall	cold
rê	drag	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	gnälla	moan
rêu	mossa	moss
rì	viskande	lush (adj.)
rìa	kant	edge
rình	spionera	to watch for
rìu	yxa	ax
rít	väsa	to wail (v.)
rò	läckage	leak
ròng	netto	net
rót	häller	to pour (v.)
rô	rutig	diamond
rôbôt	robot	robot
rôma	rom	roman
rông	ihålig	rising (adj.)
rõ	klar	clear
rùa	sköldpadda	turtle
rùng	kuslig	horror
rút	dra tillbaka	withdraw
răn	budord	commandment
răng	tand	roasted
rōmaji	romaji	romaji
rũ	förförisk	charm
rơ	bil	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	falla	fall
rơm	sugrör	straw
rươi	dig	sand-worm
rước	procession	welcome
rưới	stänk	to sprinkle (v.)
rưỡi	halv	half
rượt	jaga	pursue
rượu	alkohol	wine
rạ	halmtak	straw
rạc	diskret	discrete
rạch	kanal	canal
rạng	gryning	break
rạp	teatrar	theater
rải	spridd	spread
rảnh	fri	to be free (adj.)
rất	mycket	very
rầm	sidokarm	aggressive
rầu	ledsen	sorrow
rẫy	odling	full
rậm	buskig	jungle
rập	arab	"(term should be ""Ả rập"") arab"
rắc	stänk	trouble
rắn	orm	snake
rằm	fullmåne	a full moon (n.)
rằng	det där	roasted
rặng	stenen	a row
rẻ	billig	cheap
rẽ	sväng	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	stöna	pealed
rể	svärson	in-law
rễ	rötter	root (n.)
rệp	insekt	bug
rệt	uttalad	clearly
rệu	aye	decay
rỉ	rost	leak
rịavũng	riva	ria - bay
rỏ	klar	clearly
rối	tilltrasslad	disorder
rốm	molnig	rom
rồ	galen	"(term should be ""điên rồ"") foolish (adj.)"
rồi	redan	and
rồng	drake	dragon
rổ	korg	basket
rỗi	fri	savation
rỗng	ihålig	hollow
rộ	brådska	profuse (adj.)
rộn	upptagen	busy
rộng	bred	wide
rớt	falla	drop
rời	vänster	leave
rỡ	lysande	brilliant
rợ	barbarer	a savage (n.)
rợn	kuslig	scary
rụng	skjul	to drop
rủ	bjuda	ask
rủi	missöde	unlucky or unfortunate (n.)
rứa	rúa	rua
rừng	skog	forest
rửa	tvätta	to wash (v.)
rữa	tvätta	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	fel	wrong
saigon	saigon	saigon
saintdenis	saint-denis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samuraj	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	till	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	födelse	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	stjärna	how
sap	sav	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkom	sarcoma
sardinia	sardinien	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	lördag	saturday
sau	efter	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandinavien	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	skottland	scotland
scots	scots	(proper noun) scots
scott	scott	scott
scream	skrika	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	sök	search
seattle	seattle	(proper noun) seattle, washington
secret	hemlighet	bi mat
sedna	sedna	(proper noun) sedna
see	ser	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	känsla	sense
september	september	(proper noun) the month of september
serbia	serbia	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	serier	series
service	service	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	sexig	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	schah	shah
shaman	schaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	shiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	stim	(proper noun) shoal
shonen	shonen	shonen
shop	affär	shop
short	kort	short
showcase	monter	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sicilien	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silesia	silesia
silic	kisel	silicon
silicat	silikat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	sjunga	sing
sinh	född	genital
sip	smutta	sip
sirô	sirap	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	spänna	to cut off (v.)
sky	himmel	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	smed	smith
smithsonian	smithsonian	smithsonian
so	så	compare
société	société	societe
socrates	sokrates	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	så jag	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	as	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonat	sonata
song	låt	however (adv.)
sony	sony	sony
soo	så o	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	själ	soul
soát	kontrollera	control
soạn	kompositör	compose
spears	spjut	spears
spellman	spellman	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sporter	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	stå	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	starta i	bat dau
status	status	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling-	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	stenar	stones
storting	storting	storting
strasberg	stras	strasberg
strauss	strauss	strauss
street	gata	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfid	sulfide
sulu	sulu	sulu
sum	belopp	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	sommar	summer
summerslam	summer	(proper noun) summerslam
sun	sol	sun
sunday	söndag	(proper noun) sunday
sung	fikon	supplement
sunni	sunni	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	fel	decrease
suê	så	lush
suôn	mjukt	smooth
suất	produktivitet	number
suối	uppvärmning	stream
suốt	genom hela	through/all over
suồng	slät	overfamiliar
svd	svd	svd
swan	svan	swan
swaziland	swaziland	swaziland
sweet	ljuv	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	synkronisera	sync
syria	syrien	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	golv	san
sàng	sikt	ready
sành	terrakotta	"(term should be ""sành sứ"") pottery"
sào	pol	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	bok	list
sái	fel	sai
sám	ånger	penitent
sáng	skinande	light
sánh	jämförande	compare
sáo	flöjt	flute
sáp	vax	merger
sát	stänga	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	sex	six
sâm	ginseng	sam
sân	gård	"(should be ""sân khấu"") a stage"
sâu	djup	deep
sã	sã	flippant
sãi	fel	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	belysning	clay
sê	se	sepon
sêri	serier	series
sêu	mossa	seu tet
sính	studerande	betrothal gifts
síp	cypern	cyprus
sít	tajt	close
sò	mussla	oyster
sòng	kasino	casino
sóc	ekorre	"(should be ""sóc trăng"") a vietnamese town"
sói	vargen	wolf
sóng	vinka	wave
sót	underlåtenhet	to miss (v.)
sô	siffra	than
sôi	kokande	vibrant
sông	flod	river
sùng	hängivenhet	cult
sú	svart tiger	a type of mangrove (n.)
súc	nötkreatur	animal
sún	handfat	sun
súng	guns	gun
súp	soppa	source
sút	skott	reduce
săn	jaga	to hunt
sơn	måla	a mountain
sư	professor	lion
sưa	mjölk	filled with
sưng	svullnad	swell
sưu	samlar	collection
sương	dagg	dew (n.)
sướng	lycklig	high
sườn	sida	slope
sưởi	uppvärmning	heat
sạch	rena	clean
sạn	hotell	hotel
sảm	ljus	sam
sản	produktion	reproductive
sảng	färsk	sonorous
sảnh	hall	a hall, as in the rock and roll hall of fame
sấm	åska	ginseng
sấu	krokodil	crocodile
sấy	torkning	dry
sầm	smäller	crowded
sầu	melankoli	sad
sẩn	papler	coarseness
sẫm	mörk	dark
sập	kollaps	destroy
sắm	handla	shopping
sắn	maniok	cassava (n.)
sắp	nästan	soon
sắt	järn	"(term should be ""sắt son"") constant (adj.)"
sẵn	tillgängliga	available
sẹo	ärr	scar
sẻ	skall	share
sẽ	kommer	will
sọ	skalle	brain
sọc	ränder	stripe
sỏ	sassy	oligarchy
sỏi	grus	gravel
số	siffra	"(term should be ""số lượng"") quantity (n.)"
sốc	chockade	shock
sống	levande	live
sốt	feber	fever
sồi	ek	oak
sổ	bok	window
sớ	kommer	document
sớm	snart	som
sờ	rör	touch
sỡ	missade	colorful
sợ	rädd	afraid
sợi	garn	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	brosk	cartilage
sụp	kollaps	collapse
sụt	svacka	drop
sủa	bark	bright
sủi	bubblande	sparkling
sủng	karismatiska	favored
sứ	keramisk	embassy
sứa	manet	jellyfish (n.)
sức	styrka	strength
sứt	flisas	cleft
sừng	horn	sừng sững= huge
sử	historia	"(term should be ""sử dụng"") to use (v.)"
sửa	reparera	repair
sửng	chockade	startling
sửu	oxe	cow
sữa	mjölk	milk
sự	de	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	märka	tag
tai	öra	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tadzjikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	sorg-	funeral
tanh	skum	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	jag	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	uppgift	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	hand	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	teknisk	technical
ted	ted	(proper noun) ted
teddy	teddy	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekom	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	stämpel	stamp
temple	tempel	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartell	tensor
teo	atrofisk	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	områden	territories
terry	frotté	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	ursäkt	to forgive (v.)
thai	gravid	pregnant
thailand	thailand	thailand
tham	girighet	involved
thames	thames	thames
than	träkol	coal
thang	stege	ladder
thanh	bar	youth
thani	än mig	thani
thao	sporter	sport
thau	mässing	a basin (n.)
thay	istället	change
thcn	thcn	vocational school
thcs	thc	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	deras	their
them	dem	plus
then	sedan	key
theo	enligt	according to
theory	teori	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	theseus	theseus, the greek hero
thi	examen	competition (n.)
thich	tycka om	explanation
thien	tien	sky
third	tredje	thỉd
thiu	unken	buồn thiu= sad/boring
thiêm	thiem	thiem
thiêng	helig	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	tenn	tin
thiến	kastrera	castrate
thiếp	kort	concubine
thiết	uppsättning	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	kort	lack
thiềm	skära	crescent
thiền	meditation	buddhist (adj.)
thiển	visa	superficial
thiểu	mindre	minimum
thiện	bra	good
thiệp	kort	intervene
thiệt	verkligen	damage
thiệu	introduktion	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	badda	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	stringtrosa	(proper noun) thong, as in ang thong
those	de där	those
thoái	regressiv	deterioration
thoán	gissa	usurpation
thoáng	luftig	"(term should be ""thoáng qua"") to pass quickly"
thoát	utgång	drainage
thoại	telefon	telephone
thoạt	vid första ögonkastet	just (adv.)
thoả	handla	compromise
thoải	bekväm	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	ibland	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	prompt	suddenly
thpt	thpt	high school
thriller	thriller	thriller
thskts	thskts	phd- architect
thua	slarva bort	defeat
thumb|các	tummen |	thumb|many
thunderbolt	blixt	thunderbolt
thung	dal	valley
thuyên	förflyttning	a name
thuyết	teori	theory
thuyền	båt	boat
thuê	att hyra	employ
thuần	ren	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	konflikt	support
thuận	fördelar	favourable
thuật	konst	term
thuế	beskatta	tax
thuốc	medicin	medicine (n.)
thuộc	tillhöra	belong
thuớc	vatten	"(term should be ""kích thước"") dimensions of an object"
thuờng	vanligtvis	usually
thuở	barndom	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	din	thy
thà	skulle hellre	honest
thành	fort	"(term should be ""hình thành"") to take shape"
thày	lärare	teacher
thác	kaskad	harvest
thách	utmaning	challenge
thái	thai	attitude
thám	detektiv-	to spy (v.)
tháng	månad	month (n.)
thánh	st	a holy person; a saint (n.)
tháo	avlägsna	"(term should be ""tháo chạy"") to run with abandon"
tháp	torn	tower
thâm	djup	penetrate
thâu	tejpade	to collect (v.)
thây	ser	body
thãi	skit	superabundant
thèm	längta efter	desire
thép	stål	steel
thét	skrek	shout
thê	de	category
thêm	mer	more
thêu	hyra	to embroider (v.)
thìa	sked	spoon
thìn	sedan	(proper noun) thìn, the year of the dragon
thình	plötsligt	"(term should be ""thình lình"") suddenly"
thí	experiment	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	stötas	tho
thòi	nackdel	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	irländare	grain (n.)
thói	vana	a habit (n.)
thô	grov	rough, old-fashioned
thôi	kom igen	only
thông	informerad	"(term should be ""thông thường"") usual (adj.)"
thù	fejd	"entire term should be ""ke thu""; means ""enemy"""
thùng	bin	barrel
thùy	lob	thuy
thú	intressant	"(should be ""thích thú"") pleasurable"
thúc	slutet	push
thúy	thuy	thuy
thăm	besök	visit
thăng	främjas	helicopter
thơm	doftande	aromatic
thư	brev	"(term should be ""ung thư"") cancer (n.)"
thưa	kära	sparse
thương	kärlek	love
thước	linjal	ruler
thường	ofta	usually (adv.)
thưởng	pris	to reward (v.)
thược	duns	(proper noun) thược
thượng	övre	upper
thạc	masters	master
thạch	gelé	rock or stone (n.)
thạnh	thanh	thanh
thạo	expert-	fluent
thả	släppa	"(term should be ""thả lỏng"") to let loose (v.)"
thải	avfall	waste
thảm	matta	carpet or rug (n.)
thản	lugn	calmly
thảo	skön	"(term should be ""hội thảo"") a workshop (n.)"
thấp	kort	low (adj.)
thấu	penetrant	penetrate
thầm	tyst	"(term should be ""thì thầm"") to whisper (v.)"
thần	gud	"entire term should be ""tinh than""; means ""of the mind"""
thầy	lärare	teacher (n.)
thẩm	jurymedlemmar	osmotic/leak
thẫm	mörk	dark
thận	njure	careful
thập	korsa	tens
thật	verklig	true (adj.)
thắm	kronblad	tham
thắn	uppriktigt sagt	frank
thắng	vann	win
thắngthua	vinnande	win-lose
thắp	ljus	light
thắt	knyta upp	tense
thằn	ödla	"entire term should be ""than lan""; means ""lizard"""
thằng	kille	a derogatory term for a man (n.)
thẳm	djup	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	hetero	horizontal
thặng	överskott	surplus
thẹn	skamsen	shameful
thẻ	kort	card
thế	så	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	stål	steel
thề	svära	swear
thềm	hylla	shelf
thể	vara	maybe
thỉnh	bjuda	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	modet	prosperous
thịt	kött	meat (n.)
thọ	livslängd	phu tho
thọc	stöt	jab
thỏ	kanin	rabbit
thỏa	avtal	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	göt	a bar (n.)
thối	rutten	smelly
thốt	uttalade	scream
thồ	packa	to transport via horse (v.)
thổ	jord	"(term should be ""lãnh thổ"") territory (n.)"
thổi	blåsa	blow
thớt	skärbräda	sparse
thời	tid	period
thở	andetag	breathe
thợ	arbetstagare	craftman
thụ	receptor	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	indragen	clyster
thủ	främsta	masturbate
thủa	thua	during childhood
thủng	perforering	having holes
thứ	saker	no.
thức	vaken	way
thừa	överflödig	redundant
thừng	rep	"(term should be ""thẳng thừng"") mercilessly"
thử	att prova på	try
thửa	paket	square
thự	villa	mansion
thực	verklig	perform
ti	ti	titov
tia	stråle	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	hjärta	heart
timor	timor	timor
timothy	timotej	timothy
tin	tro	believe
tinbắc	meddelande	file bac
tincầu	tennbro	file bridge
tinh	planet	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	nyheter	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tish	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	tv	television
tizard	tizard	(proper noun) tizard
tiên	först	first
tiêu	peppar	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	ångra	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	fånig	seize
tiến	upp	operate
tiếng	språk	language
tiết	utsöndring	abstinence/intensity
tiếu	fånig	"(should be ""đàm tiếu"") to sneer"
tiềm	potential	potential
tiền	pengar	money (n.)
tiều	skit	(proper noun) the name of a poet
tiểu	kissa	tiểu sử= biography
tiễu	herr liu	patrol
tiệc	fest	party
tiệm	affär	shop
tiện	bekväm	mean
tiệp	tjeck	gustav franck
tiệt	jävla	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	begränsad	limited
toang	toang	fast
tobago	tobago	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	tokyo	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
tommy	tommy	tommy
tomoyo	tomoyo	tomoyo
tony	tony	tony
toonami	toonami	(proper noun) toonami
top	topp	top
torino	torino	torino, as in the italian city
