$	ps	a sign of doller
ઈતિહાસની	de historia	of the history
ઈતિહાસમાં	en historia	in history
ઈત્યાદિ	etc.	etc
ઈન	en	in
ઈનિંગ્સ	entrada	innings
ઈન્ટરનેટ	internet	internet
ઈન્ટરનેટના	de la internet	of interenet
ઈન્ટરનેટની	de la internet	of internet, internet's
ઈન્ટરનેટનું	de la internet	of internet
ઈન્ટરનેટને	la internet	to internet
ઈન્ટરનેટનો	de la internet	internate
ઈન્ટરનેટે	la internet	internet has
ઈન્ટરનેશનલ	internacional	international
ઈન્ડસ્ટ્રીઝ	industrias	industries
ઈન્ડિયન	indio	indian
ઈન્ડિયા	india	india
ઈન્ડોનેશિયા	indonesia	indonesia
ઈન્દિરા	indira	indira
ઈન્દિરાએ	indira	indira had
ઈન્ફોર્મેશન	información	information
ઈન્સ્ટિટ્યૂટ	instituto	institute
ઈન્સ્ટીટ્યુટ	instituto	institute
ઈપુ	antes de cristo	a. d.
ઈપૂ	antes de cristo	before christ
ઈમારત	edificio	building
ઈમારતો	edificios	buildings
ઈમેલ	email	e mail
ઈરાદો	intención	intention
ઈરાન	iran	iran
ઈરાનથી	de irán	from iran
ઈરાનને	a irán	iran
ઈરાનમાં	en iran	in iran
ઈરાની	iraní	irani, native of iran, from iran
ઈલેક્ટ્રોનિક	electrónico	electronic
ઈશ્વર	dios	god
ઈશ્વરને	a dios	god
ઈસ	es	a.d.
ઈસવીસન	anuncio	a.d.
ઈસા	es un	isa
ઈસાઈ	cristiano	christian
ઈસાપૂર્વ	antes de cristo	before christ
ઈસ્ટ	este	east
ઈસ્લામ	islam	islam
ઈસ્લામિક	islámico	islamic
ઈસ્લામી	islámico	islamic
ઉ	a.	for example
ઉંચા	alto	high
ઉંચાઇ	altura	hight
ઉંચાઈ	altura	hight
ઉંચી	alto	high
ઉંચુ	alto	high
ઉંચું	alto	high
ઉંચો	alto	high
ઉંમર	años	age
ઉંમરના	de edad	age
ઉંમરમાં	en edad	age
ઉંમરે	años	at the age
ઉકેલ	la solución	solution
ઉકેલવા	resolver	solve
ઉગ્ર	feroz	intensive
ઉચિત	justa	appropriate
ઉચ્ચ	alto	higher
ઉચ્ચતમ	el más alto	the best
ઉચ્ચતર	mayor	higher,
ઉચ્ચપ્રદેશ	meseta	highlands
ઉચ્ચાર	pronunciación	pronouns
ઉચ્ચારણ	pronunciación	pronunciation
ઉચ્ચારણો	acentos	pronunciations
ઉછેર	elevado	bringing up
ઉજવણી	celebracion	celebration
ઉજવણીઓ	celebraciones	celebrations
ઉજવણીમાં	en celebración	in celebration
ઉજવવામાં	celebrado	in celebrating
ઉજવાય	celebrado	celebrated,
ઉજવે	celebrar	celebrates
ઉજ્જડ	abandonado	barren
ઉઠાવીને	levantamiento	upside
ઉઠાવે	plantea	lift
ઉઠી	despertó	wake up
ઉઠે	despertó	gets up
ઉડિયા	oriya	oriya
ઉતર	norte	north
ઉતરતા	descendente	dcending
ઉતરાણ	aterrizaje	uttarayana
ઉતરી	descendido	descended from
ઉતરે	tierras	in north
ઉતર્યા	aterrizado	get down
ઉતારા	extracto	accommodation
ઉતારી	descargado	to copy down
ઉતારો	descargar	place of resting, tent
ઉત્કટ	pasión	eager
ઉત્કૃષ્ટ	excelente	classical
ઉત્ક્રાંતિ	evolución	evolution
ઉત્તમ	excelente	best
ઉત્તર	norte	north
ઉત્તરથી	del norte	from north
ઉત્તરમાં	en el norte	in the north
ઉત્તરા	norte	northen
ઉત્તરાખંડ	uttarakhand	uttarakhand
ઉત્તરાધિકારી	sucesor	heir ? successor
ઉત્તરાર્ધમાં	en lo ultimo	late
ઉત્તરી	del norte	north
ઉત્તરીય	del norte	northern
ઉત્તરે	al norte	at north
ઉત્તરોત્તર	paso a paso	gradually
ઉત્તેજન	estímulo	excitement
ઉત્પતિ	génesis	evolution
ઉત્પત્તિ	génesis	oregenesis
ઉત્પન	producción	produce
ઉત્પન્ન	generado	produce
ઉત્પાદક	fabricante	producer
ઉત્પાદકો	fabricantes	producers
ઉત્પાદન	producto	production
ઉત્પાદનના	de produccion	production's
ઉત્પાદનની	de producto	of production
ઉત્પાદનમાં	en producción	in production
ઉત્પાદનો	productos	productions
ઉત્સવ	festival	festival
ઉત્સવો	festivales	festivals
ઉત્સાહ	entusiasmo	excitement
ઉદભવ	subir	origin
ઉદભવી	surgido	occured
ઉદય	subir	rissing
ઉદા	p.ej.	esectrs
ઉદાર	generoso	generous
ઉદાહરણ	ejemplo	for example
ઉદાહરણો	ejemplos	illustrations
ઉદ્ઘાટન	inauguración	inaugration
ઉદ્દેશ	objetivo	purpose
ઉદ્દેશો	objetivos	intention
ઉદ્દેશ્ય	propósito	purpose, aim
ઉદ્દેશ્યથી	a propósito	motive
ઉદ્ભવ	origen	originate
ઉદ્યાન	parque	park
ઉદ્યોગ	industria	industry
ઉદ્યોગના	de la industria	of industry
ઉદ્યોગનું	de la industria	of industry
ઉદ્યોગને	industria	industry
ઉદ્યોગપતિ	empresario	industrialist
ઉદ્યોગમાં	en la industria	in business
ઉદ્યોગો	industrias	industries
ઉધોગ	industria	industry
ઉનકી	su	their
ઉનકે	deshacerse	them
ઉના	una	una
ઉનાળા	verano	summer
ઉનાળાના	verano	summer
ઉનાળામાં	en el verano	in summer
ઉનાળુ	verano	summer related
ઉનાળો	verano	summer
ઉન્હે	ellos	them
ઉન્હોને	ellos	he [hindi - urdu word]
ઉપખંડ	subcontinente	subdivision / sub continental
ઉપખંડના	del subcontinente	of subcontinent
ઉપખંડમાં	en el subcontinente	in the subcontinent
ઉપગ્રહ	satélite	satellite
ઉપગ્રહો	satélites	satellites
ઉપચાર	curación	medication
ઉપદેશ	predicación	upadesh
ઉપનગરીય	suburbano	suburban
ઉપનગરોમાં	en los suburbios	suburbs
ઉપનામ	apodo	alias
ઉપનિષદ	upanishads	upanishad (ancient texts)
ઉપયોગ	utilizar	use
ઉપયોગથી	utilizando	by using
ઉપયોગની	de uso	of use
ઉપયોગને	utilizar	to use
ઉપયોગમાં	usado	in use
ઉપયોગી	útil	necessary
ઉપર	encima	on
ઉપરથી	desde arriba	beyond
ઉપરના	encima	upper
ઉપરની	encima	upper
ઉપરનું	encima	upper
ઉપરનો	encima	upper
ઉપરાંત	adicionalmente	in addition to
ઉપરી	superior	upper
ઉપરોક્ત	encima	as mentioned above
ઉપલબ્ધ	disponible	available
ઉપલા	superior	upper
ઉપવાસ	rápido	fast
ઉપવાસીબાપુ	upavasibapu	upvasibapu
ઉપસી	upasi	come up
ઉપસ્થિત	presente	present
ઉપાય	solución	solution
ઉપાયો	remedios	solutions
ઉપાસના	adoración	worship
ઉભરી	surgido	emerging
ઉભા	en pie	to stand besides
ઉભી	vertical	standing
ઉભુ	plantea	standing
ઉભો	plantea	standing
ઉમટી	umti	coming, gathering,
ઉમદા	noble	noble
ઉમર	años	age
ઉમરમાં	en edad	in age
ઉમાશંકર	umashankar	umashanker
ઉમેદવાર	candidato	candidate
ઉમેરવામાં	adicional	addition
ઉમેરી	adicional	adding
ઉમેરો	añadir	addition
ઉર્જા	energía	energy
ઉર્દુ	urdu	urdu
ઉર્દૂ	urdu	urdu
ઉલ્લેખ	mencionar	mention
ઉલ્લેખનીય	incapaz	notable
ઉષ્મા	calor	enthalpy or heat
ઉસ	nos	that [hindi word in gujarati script]
ઉસે	utilizar	to that [hindi language]
ઊઁચા	richa	high
ઊઁચી	alto	high
ઊંચા	alto	high
ઊંચાઇ	altura	hight
ઊંચાઈ	altura	hight
ઊંચાઈએ	en altitud	at height
ઊંચી	alto	high
ઊંચુ	alto	high
ઊંચો	alto	high
ઊંડા	profundo	eggs
ઊંડી	profundo	deep
ઊંડો	profundo	deep
ઊડી	audi	fly
ઊપર	arriba	over
ઊભા	levántate	standing
ઊભી	vertical	standing
ઊભું	vertical	stood
ઊભો	vertical	comes up
ઊર્જા	energía	energy
ઊર્જાના	de energía	of energy, energys'
ઊર્ટ	arte	oort
ઋણ	deuda	debt
ઋતુ	temporada	season
ઋતુઓ	estaciones	seasons
ઋતુમાં	en temporada	in season
ઋષિ	santo	rishi
ઋષિએ	sabio	saga
ઋષી	sabio	sage
ઍ	una	that, it
ઍફીલ	ophil	eiffel
એ	una	that
એંડ	y	and
એઇ	ae	ai
એઇડ્ઝ	sida	aids
એઇડ્ઝના	del sida	aids
એએલયુ	alu	a.l.u.
એક	una	one
એકંદર	en general	on an average
એકંદરે	en general	on average
એકજ	solo uno	only one
એકઠા	juntos	collect
એકઠી	coleccionar	collect
એકતા	unidad	oneness
એકતાનું	de la unidad	of oneness
એકત્ર	coleccionar	collect
એકત્રિત	recoger	collected
એકથી	de uno	than one
એકદમ	absolutamente	very
એકની	de uno	each
એકબીજા	el uno al otro	for each other
એકબીજાથી	de cada uno	from each other
એકબીજાના	el uno del otro	to each other
એકબીજાની	el uno al otro	to each other
એકબીજાને	el uno al otro	to each other
એકમ	unidad	theory
એકમાત્ર	único	only
એકમો	unidades	units
એકરૂપ	uniforme	homogenous
એકલવ્ય	eklavya	eklavya
એકલા	solo	alone
એકલે	solo	alone
એકલો	solo	alone
એકવાર	una vez	onetime
એકસમાન	uniforme	homogeneous
એકસરખી	uniformemente	equally
એકસાથે	juntos	all togather
એકસેસ	acceso	access
એકસ્વરી	xvery	es-query
એકાંત	soledad	solitude
એકાઉન્ટ	cuenta	account
એકાદ	ekad	one
એકીકરણ	integración	unification, fusion
એકીકૃત	integrado	united
એકેડમી	academia	academy
એકેડેમિયા	academia	academia
એકેડેમી	academia	academy
એક્ઝિક્યુટિવ	ejecutivo	executive
એક્ટ	actuar	act
એક્યુપ્રેસર	acupresión	accpressure
એક્શન	acción	action
એક્સ	x	x
એક્સચેન્જ	intercambiar	exchange
એક્સપ્રેસ	rápido	express
એક્સેસ	acceso	access
એચ	h.	h
એચઆઇવી	vih	hiv
એચઆઇવીના	del vih	of hiv
એચઆઇવીની	del vih	hiv, human immunodeficiency virus
એચઆઇવીનો	del vih	of hiv, hiv's
એચએએઆરટી	haart	haart
એચટીએમએલ	html	html
