$ tỉ	十亿美元	$ billion
phận	缘分	part
phật	佛陀	buddhist
phẳng	平的	flat (adj.)
phế	废料	dismiss
phết	传播	to spread or smear (v.)
phỉ	淡褐色	defame
phỏng	烧伤	interview
phố	街	city
phối	协调	coordinate
phốt	磷酸盐	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	膨胀的	to swell (v.)
phổ	频谱	popular
phổi	肺	lung
phộng	花生米	peanut
phới	飘浮	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	河粉	pho
phục	服饰类	convincing
phụng	服务	worship
phụt	泡芙	minute
phủ	覆盖的	government
phức	复杂的	complex
picchu	皮丘	a name
piccolo	短笛	piccolo
pierre	皮埃尔	pierre
pierrot	皮埃罗	pierrot
pietro	彼得罗	pietro
pike	派克	pike
pin	别针	battery
pinlus	平鲁斯	pinlus
pioneer	开拓者	pioneer
pipes	管道	pipes
pisa	比萨	a name
piston	活塞	piston
pitch	音高	pitch
pius	皮乌斯	pius
plaaf	pla	plaaf
plan	计划	plan
plasma	等离子	plasma
plate	板块	plate
plato	铂金	plato
platon	铂金	platon
player	播放器	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	更新世	pleistocen
plus	加号	plus
pluto	冥王星	pluto
pm	下午	pm
pmu	mu	pmu
po	po	po
pokémon	宠物小精灵	pokemon
pol	波尔	pol
poland	波兰	poland
pollack	波拉克	a name
pollux	pollux	a name
polo	马球	(proper noun) polo, as in marco polo
polynésie	波利尼西	polynesian
pont	蓬	(proper noun) pont, as in pont de normandie
pop	流行音乐	pop
portland	波特兰	portland
porto	波尔图	porto
pot	锅	pot
potsdam	波茨坦	(proper noun) potsdam
potter	波特	(proper noun) potter, as in harry potter
pour	倒	not vietnamese
powell	鲍威尔	(proper noun) powell, as in general colin powell
pradesh	布拉格	pradesh
praha	普拉哈	praha
pratzen	普拉森	pratzen
preah	圣剑	(proper noun) preah
premier	总理	premier
preminger	预言者	(proper noun) preminger
preston	普雷斯顿	(proper noun) preston, as in john preston
prince	王子	prince
princeton	普林斯顿	princeton
printemps	印刷经验	printemps
printf	打印	printf
prinz	王子	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	大奖赛	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	项目	projekt
prometheus	普罗米修斯	(proper noun) prometheus
protein	蛋白质	protein
prôtêin	蛋白质	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	托勒密	ptolemy
ptq	q	ptq
puerto	波多黎各	puerto
pulau	普劳	(proper noun) pulau, as in pulau tekong, an island
pulitzer	普利策	(proper noun) pulitzer, as in the pulitzer prize
pulp	纸浆	pulp
punjab	旁遮普语	punjab
pusan	釜山	(proper noun) pusan
putin	普京	putin
pyrenees	ene	pyrenees
pytago	皮塔哥	(proper noun) pytago
pzl	z	pzl
péc	佩奇	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	佩雷斯	(proper noun) perez, as in javier perez de cuellar
păng	g	fansipan
pơ	ơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	卡塔尔	qatar
qd	d	quantum dots
qing	清	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	超过	transmit
quad	四边形	quad
quan	办事处	"(term should be ""quan hệ"") relationship (n.)"
quang	光学的	bladder
quanh	周围	around
quay	转过身	turn
que	棒	stick
queen	皇后	queen
queens	皇后区	(proper noun) queens, as in the new york borough
queensland	昆士兰州	queensland
quen	习惯的	accustomed to
qui	qui	formal
quincy	昆西	(proper noun) quincy, as in quincy jones
quran	古兰经	quran
quy	规则	"(term should be ""quy ước"") agreement"
quyên	基本面	"(term should be ""quyên góp"") to donate (v.)"
quyến	魅力	"(term should be ""gia quyến"") family"
quyền	对的	right
quyện	混合	mix
quyệt	阴险的	"(should be ""xảo quyệt"") devious"
quá	也一样	over
quái	赫克	strange or odd
quán	吧	hometown
quáng	盲目的	blind
quát	大喊	generalize
quân	军事	army (n.)
quãng	大约	optical
quét	扫描	to sweep (v.)
quê	农村	countryside
quên	忘了	forget
quý	四分之一	love
quýt	橘子	tangerine
quăng	折腾	to throw (v.)
quĩ	基金	orbit
quạ	乌鸦	crow (con qua)
quạt	风扇	fan
quản	治国	"(entire term is ""cai quản"") to manage"
quảng	促销	guangzhou
quấn	包裹	wrap around
quất	金橘	whip
quấy	搅动	harass
quần	裤子	pants (n.)
quầng	光环	halo
quầy	柜台	stall
quẩy	摇摆	quay
quẫn	琐	necessitous
quận	县	county (n.)
quật	开挖	excavation
quẳng	折腾	throw
quặc	怪异的	strange (adj.)
quặng	矿石	an ore (n.)
quẻ	卦	hexagram
quế	肉桂粉	cinnamon (n.)
quết	败类	knead
quệ	可怜的	exhausted
quỉ	魔鬼	demon
quỳ	跪下	demon (n.)
quỳnh	ỳ	quynh
quỵ	中风	stroke
quỷ	魔鬼	provided
quỹ	基金	fund
qúy	四分之一	quy
r	[r	r
rabindranath	拉宾达纳斯	rabindranath
race	种族	race
rafael	拉斐尔	rafael
rafale	粗鲁	(proper noun) rafale, as in dassault rafale
rai	莱	slowly intake
raleigh	罗利	raleigh
ralph	拉尔夫	(proper noun) ralph, as in ralph waldo emerson
ram	公羊	a name
rama	喇嘛	rama, first name of several rulers of thailand (n.)
ramadan	斋月	(proper noun) the fasting month of ramadan
ramayana	罗摩衍那	ramayana
rambus	rambus	rambus
ran	跑了	ran
ranch	牧场	ranch
randy	兰迪	randy
rang	响了	roast
rangers	游骑兵	rangers
ranh	界线	border (ranh gioi)
rao	广告	to announce
rap	说唱	rap
raptor	猛禽	raptor
rate	率	rate
rau	蔬菜	vegetable
ray	射线	rail (n.)
raya	拉雅	raya
raymond	雷蒙德	raymond
rađa	雷达	radar
reagan	里根	reagan
real	真实的	real
reanimation	复活	reanimation
reap	收割	reap
reef	礁石	reef
regia	雷贾	regia
reichelt	菜谱	reichelt
ren	蕾丝	lace (n.)
renaissance	文艺复兴	renaissance
renault	雷诺	renault
rené	仁	rene
reo	响了	yell
reserve	储备	reserve
resort	渡假胜地	resort
reverse	倒转	reverse
revolution	革命	revolution
rey	雷	rey, as in copa del rey
rfid	射频识别	rfid
rhodes	罗得岛	rhodes
rica	里卡	rica
ricardo	里卡多	ricardo
ricci	里奇	ricci
richard	理查德	richard
richardson	理查森	(proper noun) richardson, as in james o. richardson
richie	里奇	(proper noun) richie, as in singer lionel richie
rico	里科	rico, as in puerto rico
riemann	里曼	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	上升	rising
risk	冒风险	risk
ritchie	里奇	a name
rivaldo	对手	rivaldo
rivière	里维耶尔	a name
rizal	里扎尔	rizal
riêng	自己的	own
riêu	ê	crab
riết	et	urgently
riềng	高良姜	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	罗伯特	(proper noun) robert
roberto	罗伯托	(proper noun) roberto
roberts	罗伯茨	roberts
robespierre	罗伯斯皮尔	robespierre
robin	知更鸟	a name
robinson	罗宾逊	robinson, as in michelle robinson
rockefeller	洛克菲勒	rockefeller, as in john d. rockefeller
roddick	罗迪克	(proper noun) roddick
rodríguez	罗德里格斯	rodriguez (n.)
roi	鞭子	a stick or switch used for punishment (n.)
roland	罗兰	roland
romania	罗马尼亚	romania
rome	罗马	rome, as in rome, italy
romeo	罗密欧	(proper noun) romeo, as in romeo and juliet
rommel	罗梅尔	rommel
ron	罗恩	ron
ronald	罗纳德	ronald, an english first name
ronaldinho	罗纳尔迪尼奥	ronaldinho
rong	海藻	seaweed (n.)
rosen	罗森	rosen, as in nathan rosen
roth	罗斯	roth
rotterdam	鹿特丹	(proper noun) rotterdam
rousseau	卢梭	rousseau
router	路由器	cong noi
rovers	流浪者	rovers
rowling	划船	rowling
roy	罗伊	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	鲁道夫	rudolph
rue	芸香	rue, as in rue des vases, a street name
rulin	鲁林	(proper noun) rulin
rumani	罗马尼亚语	romanian
rumiko	留美子	rumiko, a japanese first name
rummel	朗梅尔	rummel
run	运行	tremble
rung	摇	to shake or vibrate (v.)
russian	俄文	(proper adjective) russian
russkaya	鲁斯卡娅	(proper noun) russkaya avionika
ruth	露丝	(proper noun) ruth
rutherford	卢瑟福	rutherford
rutte	tte	rutte
ruud	粗鲁	ruud
ruốc	虾	pemmican
ruồi	苍蝇	fly
ruổi	鲁伊	rong ruổi=wandering
ruộng	场	"(term should be ""ruộng đất"") farmland (n.)"
ruột	小肠	internals
rzeczpospolita	热泽波利斯波塔	rzeczpospolia
rà	签出	finding
ràng	清除	clear
rành	流利的	exhaustive
rào	围栏	barrier
rác	垃圾	gabbage-trash
rách	撕裂	tear
rái	水獭	colander
rán	炒	fried (adj.)
ráp	组装	to assemble (v.)
râm	阴暗的	shade
râu	胡须	beard or mustache (n.)
rã	衰变	out
rãi	广泛地	"(term should be ""rộng rãi"") generous"
rãnh	凹槽	groove
räikkönen	莱科宁	raikkonen
rèm	窗帘	curtain
rèn	锻造	train
ré	尖叫	re
république	共和国	republique
rét	冷的	cold
rê	拖曳	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	吟	moan
rêu	苔藓	moss
rì	耳语	lush (adj.)
rìa	边缘	edge
rình	间谍	to watch for
rìu	斧头	ax
rít	嘶嘶声	to wail (v.)
rò	漏水	leak
ròng	网	net
rót	倒	to pour (v.)
rô	方格的	diamond
rôbôt	机械手	robot
rôma	罗马	roman
rông	空心的	rising (adj.)
rõ	清除	clear
rùa	乌龟	turtle
rùng	令人毛骨悚然的	horror
rút	退出	withdraw
răn	戒律	commandment
răng	牙齿	roasted
rōmaji	罗玛吉	romaji
rũ	诱人的	charm
rơ	车	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	下降	fall
rơm	稻草	straw
rươi	你	sand-worm
rước	游行队伍	welcome
rưới	撒	to sprinkle (v.)
rưỡi	一半	half
rượt	追逐	pursue
rượu	酒类	wine
rạ	茅草	straw
rạc	离散的	discrete
rạch	切口	canal
rạng	天亮	break
rạp	剧院	theater
rải	分散的	spread
rảnh	免费的	to be free (adj.)
rất	非常	very
rầm	门框	aggressive
rầu	伤心的	sorrow
rẫy	高地	full
rậm	浓密的	jungle
rập	阿拉伯的	"(term should be ""Ả rập"") arab"
rắc	撒	trouble
rắn	蛇	snake
rằm	满月	a full moon (n.)
rằng	那	roasted
rặng	岩石	a row
rẻ	便宜的	cheap
rẽ	转	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	an吟	pealed
rể	女	in-law
rễ	根源	root (n.)
rệp	蚜虫	bug
rệt	明显的	clearly
rệu	ye	decay
rỉ	生锈	leak
rịavũng	ì	ria - bay
rỏ	清除	clearly
rối	纠结	disorder
rốm	阴天	rom
rồ	疯了	"(term should be ""điên rồ"") foolish (adj.)"
rồi	已经	and
rồng	龙	dragon
rổ	篮子	basket
rỗi	免费的	savation
rỗng	空的	hollow
rộ	喧嚣	profuse (adj.)
rộn	忙	busy
rộng	宽广的	wide
rớt	不及格	drop
rời	向左	leave
rỡ	辉煌的	brilliant
rợ	野蛮人	a savage (n.)
rợn	令人毛骨悚然的	scary
rụng	掉下来	to drop
rủ	下垂	ask
rủi	不幸的事	unlucky or unfortunate (n.)
rứa	ứ	rua
rừng	森林	forest
rửa	洗	to wash (v.)
rữa	洗	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	沙巴	sabah
sachsen	萨克森	sachsen
saddam	萨达姆	(proper noun) saddam, as in saddam hussein
safari	野生动物园	safari
safin	沙芬	safin
sahara	撒哈拉沙漠	sahara
sai	错的	wrong
saigon	西贡	saigon
saintdenis	圣丹尼斯	saint-denis
sakura	樱花	sakura
salem	塞勒姆	(proper noun) salem, as in the city
salvador	萨尔瓦多	salvador
salzburg	萨尔茨堡	salzburg
samhain	三海	samhain
samo	萨摩	samo, the name of the first slavic ruler
samoa	萨摩亚	(proper noun) samoa
samphan	桑潘	samphan
samsung	三星	samsung
samuel	塞缪尔	samuel
samuelson	萨缪尔森	(proper noun) samuelson
samurai	武士	samurai
samut	萨穆特	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	桑切斯	sanchez
sang	到	to
sango	三乡	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	出生	bear
sanktpeterburg	圣彼得堡	sankt-peterburg
santos	桑托斯	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	星星	how
sap	汁液	sap
sapa	沙巴	sapa
sapiens	智者	sapiens
sar	萨尔	sar
sarah	莎拉	sarah, as in sarah pierce
sarawak	砂拉越	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	肉瘤	sarcoma
sardinia	撒丁岛	sardinia
sary	沙里	(proper noun) sary, as in ieng sary
saturanga	萨图兰加	saturanga
saturday	周六	saturday
sau	以后	after (adv.)
saudi	沙特	(proper noun) saudi, as in saudi arabia
saunière	索尼埃	saunière
scandinavia	斯堪的纳维亚半岛	scandinavia
schafer	沙弗尔	schafer, as in john c. schafer
schengen	申根	schengen
schiller	席勒	schiller
schlesinger	施莱辛格	schlesinger
schneider	施耐德	schneider, a last name
schumacher	舒马赫	schumacher, as in michael schumacher
schuschnigg	舒斯尼格	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	舒斯特	schuster
schwarzschild	施瓦兹希尔德	schwarzschild
scotland	苏格兰	scotland
scots	苏格兰人	(proper noun) scots
scott	斯科特	scott
scream	尖叫	scream
scud	飞毛腿	scud
scuderia	法式烤面包	scuderia
sdram	斯德拉姆	sdram
search	搜寻	search
seattle	西雅图	(proper noun) seattle, washington
secret	秘密的	bi mat
sedna	塞德娜	(proper noun) sedna
see	看	see
sejm	塞姆	(proper noun) sejm
selena	瑟琳娜	selena
semit	semit	(proper noun) semit
sen	荷花	lotus
sense	感官	sense
september	九月	(proper noun) the month of september
serbia	塞尔维亚	serbia
sergeyevich	谢尔盖耶维奇	(proper noun) sergeyevich
seri	系列	series
service	服务项目	service
sesshomaru	濑正丸	a name
seth	赛斯	seth
seto	濑户	seto
sextus	性爱	sextus
sexy	性感的	sexy
seymour	西摩	seymour
seyssinquart	塞辛夸特	(proper noun) seyss-inquart
shah	h	shah
shaman	萨满祭司	the shaman religion
shan	shan	shan
shane	沙恩	(proper noun) shane, an english first name
shankly	小腿	(proper noun) shankly, as in bill shankly
shaolin	少林	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	肖恩	shawn
sherlock	夏洛克	a name
shi	shi	shi
shia	什叶派	shia
shiite	什叶派	shiite
shikoku	四国	shikoku, a japanese island (n.)
shinichi	信一	shinichi
shinoda	信田	shinoda, as in mike shinoda
shirakami	白神	(proper noun) shirakami
shirakawago	白川乡	(proper noun) shirakawa-go
shiva	湿婆	shiva
shoal	浅滩	(proper noun) shoal
shonen	少年	shonen
shop	铺	shop
short	短的	short
showcase	展示柜	a name
shōnen	少年	shonen
siberi	西伯利亚	siberi
sicilia	西西里	sicilia
sicily	西西里岛	sicily, a city in italy
sidney	西德尼	(proper noun) sidney, as in sidney nolan
siem	暹	siem
siemens	西门子	siemens
sierra	塞拉	(proper noun) sierra
sikh	锡克教徒	sikh
sikorsky	西科斯基	a name
silas	西拉斯	silas
silesia	西里西亚	silesia
silic	矽	silicon
silicat	硅酸盐	silicate
silva	西尔瓦	(proper noun) silva, as in carlos silva
silvestris	西尔韦斯特里斯	silvestris
simone	西蒙	simone
sinai	西奈	sinai, as in mount sinai
sinensis	中华	sinensis
sing	唱歌	sing
sinh	天生的	genital
sip	s	sip
sirô	糖浆	name of a member
sistema	气肿	(proper noun) sistema
siu	iu	siu
siêu	超级	super
siết	收紧	to cut off (v.)
sky	天空	sky
skype	skype的	skype
skyteam	天合联盟	skyteam
sl	sl	sl
slav	斯拉夫	(proper noun) slav
slavơ	斯拉夫	slavic
slytherin	斯莱特林	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	短信	sm
smg	smg	smg
smith	史密斯	smith
smithsonian	史密森尼	smithsonian
so	所以	compare
société	社会	societe
socrates	苏格拉底	socrates
sohee	苏希	a korean name
soho	苏豪	soho
soi	i	look/stare soi sáng=enlight
solaris	日光浴	(proper noun) solaris
som	索姆	(proper noun) som, as in kampong som
somme	索姆	somme
sonata	奏鸣曲	sonata
song	歌	however (adv.)
sony	索尼	sony
soo	o	soon
sophie	苏菲	(proper noun) sophie, a first name
sopwith	p	a name
sorbonne	山梨醇	sorbonne, the university in paris (n.)
sos	s	sos
soul	灵魂	soul
soát	控制	control
soạn	组成	compose
spears	长矛	spears
spellman	斯派曼	spellman
spence	斯彭	(proper noun) spence
spencer	斯宾塞	(proper noun) spencer
spielberg	施皮尔贝格	(proper noun) spielberg, as in steven spielberg
sports	体育	sports
sri	斯里	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	斯大林格勒	stalingrad
stamford	史丹福	this is a name
stand	站立	stand
stanford	斯坦福大学	stanford, as in stanford university
stanley	斯坦利	stanley
starr	斯塔尔	a name
startin	起始	bat dau
status	状态	status
stdc	stdc	stdc
stefan	斯蒂芬	stefan
steiermark	斯蒂马克	steiermark
steiner	施泰纳	steiner
stelzer	斯泰策	stelzer
stennis	斯坦尼斯	stennis
stephen	斯蒂芬	stephen
stephenie	斯蒂芬妮	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	英镑	a name
steve	史蒂夫	steve
stevens	史蒂文斯	(proper noun) stevens, as in amanda stevens
stevenson	史蒂文森	stevenson
stevie	斯蒂维	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	斯汀森	stimson, as in henry lewis stimson, former secretary of war
stockholm	斯德哥尔摩	a name
stones	石头	stones
storting	储存	storting
strasberg	施特拉斯堡	strasberg
strauss	施特劳斯	strauss
street	街	street
struct	结构	struct
stt	t	order number
stuart	斯图尔特	stuart
stuttgart	斯图加特	(proper noun) stuttgart, a city in germany
styx	止血针	(proper noun) styx, as in the river styx
stéfano	斯特凡诺	stefano
su	su	condom
subakhi	苏巴基	subakhi
suez	苏伊士	(proper noun) suez
suharto	苏哈托	suharto
sukarno	苏卡诺	(proper noun) sukarno,  president of indonesia
sulfua	硫化物	sulfide
sulu	苏鲁	sulu
sum	总和	reunite
sumatera	苏门答腊	sumatera
sumatra	苏门答腊	(proper noun) the island of sumatra
sumitomo	住友	sumitomo
summer	夏天	summer
summerslam	summerslam	(proper noun) summerslam
sun	太阳	sun
sunday	周日	(proper noun) sunday
sung	无花果	supplement
sunni	逊尼派	sunni
sunsilk	太阳丝	sunsilk, a hair products company
super	超级	super
suriname	苏里南	suriname
susan	苏珊	(proper noun) susan
susilo	苏西洛	(proper noun) susilo
sutra	经	sutra
suub	ub	a name
suvp	suvp	suv-p
suy	受损的	decrease
suê	所以	lush
suôn	顺利地	smooth
suất	生产力	number
suối	流	stream
suốt	整个	through/all over
suồng	顺利	overfamiliar
svd	svd	svd
swan	天鹅	swan
swaziland	斯威士兰	swaziland
sweet	甜蜜的	sweet
sy	sy	sy
sydney	悉尼	(proper noun) sydney, a city in australia
symantec	赛门铁克	symantec
sync	同步处理	sync
syria	叙利亚	syria
sài	赛	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	地板	san
sàng	筛子	ready
sành	陶器	"(term should be ""sành sứ"") pottery"
sào	极点	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	á	road
sách	书籍	list
sái	错了	sai
sám	pent悔	penitent
sáng	我是	light
sánh	比较的	compare
sáo	长笛	flute
sáp	蜡	merger
sát	关闭	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	六	six
sâm	人参	sam
sân	码	"(should be ""sân khấu"") a stage"
sâu	深	deep
sã	桑	flippant
sãi	错的	pagoda warden
são	圣地	sao, as in sao paolo, brazil
sét	雷电	clay
sê	串行	sepon
sêri	系列	series
sêu	苔藓	seu tet
sính	学生	betrothal gifts
síp	塞浦路斯	cyprus
sít	紧	close
sò	牡蛎	oyster
sòng	娱乐场	casino
sóc	松鼠	"(should be ""sóc trăng"") a vietnamese town"
sói	狼	wolf
sóng	挥手	wave
sót	遗漏	to miss (v.)
sô	数	than
sôi	沸腾的	vibrant
sông	河	river
sùng	奉献	cult
sú	黑老虎	a type of mangrove (n.)
súc	牛	animal
sún	下沉	sun
súng	枪	gun
súp	汤	source
sút	开枪	reduce
săn	狩猎	to hunt
sơn	涂上	a mountain
sư	教授	lion
sưa	牛奶	filled with
sưng	肿胀	swell
sưu	收藏品	collection
sương	露水	dew (n.)
sướng	快乐的	high
sườn	排骨	slope
sưởi	加热	heat
sạch	干净的	clean
sạn	旅馆	hotel
sảm	明亮的	sam
sản	生产量	reproductive
sảng	新鲜的	sonorous
sảnh	礼堂	a hall, as in the rock and roll hall of fame
sấm	雷声	ginseng
sấu	鳄鱼皮	crocodile
sấy	干燥的	dry
sầm	大满贯	crowded
sầu	忧郁的	sad
sẩn	丘疹	coarseness
sẫm	黑暗的	dark
sập	崩溃	destroy
sắm	购物	shopping
sắn	木薯	cassava (n.)
sắp	即将	soon
sắt	铁	"(term should be ""sắt son"") constant (adj.)"
sẵn	可用的	available
sẹo	疤痕	scar
sẻ	将	share
sẽ	将	will
sọ	骷髅头	brain
sọc	条纹	stripe
sỏ	厚颜无耻	oligarchy
sỏi	碎石	gravel
số	数	"(term should be ""số lượng"") quantity (n.)"
sốc	震惊	shock
sống	活着	live
sốt	发烧	fever
sồi	橡树	oak
sổ	书	window
sớ	将	document
sớm	早	som
sờ	感动	touch
sỡ	错过了	colorful
sợ	害怕	afraid
sợi	纱线	fibers
sục	水力按摩池	"(term should be ""sôi sục"") to boil"
sụn	软骨	cartilage
sụp	崩溃	collapse
sụt	暴跌	drop
sủa	吠叫	bright
sủi	泡腾的	sparkling
sủng	有魅力的	favored
sứ	瓷器	embassy
sứa	水母	jellyfish (n.)
sức	实力	strength
sứt	碎裂	cleft
sừng	喇叭	sừng sững= huge
sử	历史	"(term should be ""sử dụng"") to use (v.)"
sửa	修复	repair
sửng	震惊	startling
sửu	牛	cow
sữa	牛奶	milk
sự	的	situation
ta	它	us or our
tae	太太	(proper noun) tae
tag	标签	tag
tai	耳	ear
taiji	太极拳	(proper noun) taiji
taipei	台北市	taipei
taiwan	台湾	taiwan
taj	泰姬陵	taj, as in taj mahal
tajikistan	塔吉克斯坦	tajikistan
tajima	田岛	tajima
tajiri	田aj	tajiri
takahashi	高桥	(proper noun) takahashi
taklamakan	塔克拉玛干	taklamakan
tali	塔里	thallium
taliban	塔利班	taliban
talmud	塔尔穆德	talmud
tam	担	three (n.)
tamoxifen	他莫昔芬	tamoxifen
tanaka	田中	tanaka
tang	哀悼	funeral
tanh	腥	deserted
tankōbon	坦克邦	tankobon, as in a type of japanese literature
tanzania	坦桑尼亚	tanzania
tao	我	(proper noun) tao, a chinese name
tarim	塔里木	tarim
task	任务	task
tasman	塔斯曼	tasman, as in abel tasman
tasmania	塔斯马尼亚	tasmania, a place
tau	头	tau
taxi	的士	taxi
tay	手	hand
taylor	泰勒	taylor
tbt	国债	tbt
tchad	乍得	tchad
tcm	厘米	tcm
tcp	tcp	tcp
technical	技术的	technical
ted	泰德	(proper noun) ted
teddy	泰迪	teddy, as in teddy lupin, a character in the harry potter series
telecom	电讯	telecom
telekom	电信	telekom
telex	电传	telex
telnet	远程登录	telnet
tem	印章	stamp
temple	庙宇	temple
temujin	铁木真	temujin
temur	泰米尔	(proper noun) temur, as in temur oljeitu
tenxơ	卡特尔	tensor
teo	萎缩	atrophy
terengganu	登嘉楼	(proper noun) terengganu
territories	领地	territories
terry	毛圈	terry
terumbu	特伦布	(proper noun) terumbu
tet	春节	tet
texas	得克萨斯州	(proper noun) the state of texas
tgv	电视	tgv
tha	tha	to forgive (v.)
thai	怀孕的	pregnant
thailand	泰国	thailand
tham	贪婪	involved
thames	泰晤士河	thames
than	煤	coal
thang	梯子	ladder
thanh	吧	youth
thani	坦尼	thani
thao	体育	sport
thau	黄铜的	a basin (n.)
thay	代替	change
thcn	cn	vocational school
thcs	cs	secondary
thdq	d	thdq
thebes	底比斯	thebes
their	他们的	their
them	他们	plus
then	然后	key
theo	跟随	according to
theory	理论	thẻoy
theravada	上座部	theravada
theres	那里	there
theseus	us修斯	theseus, the greek hero
thi	考试	competition (n.)
thich	喜欢	explanation
thien	天	sky
third	第三	thỉd
thiu	过时的	buồn thiu= sad/boring
thiêm	提姆	thiem
thiêng	神圣的	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	锡	tin
thiến	去势	castrate
thiếp	名片	concubine
thiết	设置	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	不见了	lack
thiềm	镰刀	crescent
thiền	冥想	buddhist (adj.)
thiển	展示	superficial
thiểu	小调	minimum
thiện	好	good
thiệp	贺卡	intervene
thiệt	真的	damage
thiệu	引言	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	轻拍	combination
thoai	ai	gentle
thomas	托马斯	thomas
thompson	汤普森	thompson
thong	丁字裤	(proper noun) thong, as in ang thong
those	那些	those
thoái	回归的	deterioration
thoán	猜	usurpation
thoáng	通风的	"(term should be ""thoáng qua"") to pass quickly"
thoát	退出	drainage
thoại	声音	telephone
thoạt	乍看之下	just (adv.)
thoả	成交	compromise
thoải	舒服的	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	偶尔	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	提示	suddenly
thpt	pt	high school
thriller	惊悚片	thriller
thskts	sk	phd- architect
thua	输	defeat
thumb|các	拇指|	thumb|many
thunderbolt	雷电	thunderbolt
thung	山谷	valley
thuyên	排量	a name
thuyết	理论	theory
thuyền	船	boat
thuê	聘请	employ
thuần	纯净的	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	冲突	support
thuận	优点	favourable
thuật	艺术作品	term
thuế	税款	tax
thuốc	药	medicine (n.)
thuộc	属于	belong
thuớc	水	"(term should be ""kích thước"") dimensions of an object"
thuờng	通常	usually
thuở	童年	period
thuỵ	翠	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	翠	water
thvn	v	vietnam television
thy	你的	thy
thà	宁愿	honest
thành	到	"(term should be ""hình thành"") to take shape"
thày	老师	teacher
thác	级联	harvest
thách	挑战	challenge
thái	泰国人	attitude
thám	侦探	to spy (v.)
tháng	月	month (n.)
thánh	圣洁的	a holy person; a saint (n.)
tháo	解开	"(term should be ""tháo chạy"") to run with abandon"
tháp	塔楼	tower
thâm	密集的	penetrate
thâu	已记录	to collect (v.)
thây	看	body
thãi	狗屎	superabundant
thèm	渴望	desire
thép	钢铁	steel
thét	尖叫	shout
thê	的	category
thêm	加	more
thêu	绣花	to embroider (v.)
thìa	汤匙	spoon
thìn	然后	(proper noun) thìn, the year of the dragon
thình	突然间	"(term should be ""thình lình"") suddenly"
thí	实验	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	戳	tho
thòi	劣势	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	稻田	grain (n.)
thói	习惯	a habit (n.)
thô	粗糙的	rough, old-fashioned
thôi	来吧	only
thông	知情的	"(term should be ""thông thường"") usual (adj.)"
thù	仇	"entire term should be ""ke thu""; means ""enemy"""
thùng	桶	barrel
thùy	耳垂	thuy
thú	有趣的	"(should be ""thích thú"") pleasurable"
thúc	结束	push
thúy	翠	thuy
thăm	拜访	visit
thăng	晋升	helicopter
thơm	香	aromatic
thư	信	"(term should be ""ung thư"") cancer (n.)"
thưa	亲爱的	sparse
thương	爱	love
thước	标尺	ruler
thường	经常	usually (adv.)
thưởng	奖赏	to reward (v.)
thược	ud	(proper noun) thược
thượng	上层	upper
