$ tỉ	$ biliwn	$ billion
phún	bum	"(term should be ""lún phún"") sparse (adj.)"
phúng	trueni	satire
phút	munud	a minute (n.)
phăn	fret	phan
phăng	phang	knock
phương	phuong	direction
phước	bendith	luck
phường	ward	ward
phượng	ffenics	phoenix
phạn	sansgrit	sanskrit
phạt	cosb	punish
phả	achau	pedigree
phải	ie	must
phải 	ie	right
phản	cownter	reaction
phảng	fflat	subtle
phần	adran	part
phẩm	cynhyrchion	food
phẩy	coma	a comma
phẫn	dig	wrathful
phẫu	llawdriniaeth	surgery
phận	tynged	part
phật	buddha	buddhist
phẳng	fflat	flat (adj.)
phế	sgrap	dismiss
phết	lledaenu	to spread or smear (v.)
phỉ	cyll	defame
phỏng	llosgi	interview
phố	stryd	city
phối	cydlynu	coordinate
phốt	ffosffadau	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	chwyddedig	to swell (v.)
phổ	sbectrwm	popular
phổi	ysgyfaint	lung
phộng	cnau daear	peanut
phới	arnofio	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	abid	convincing
phụng	gwasanaethu	worship
phụt	pwff	minute
phủ	gorchuddio	government
phức	cymhleth	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	penhwyad	pike
pin	pin	battery
pinlus	pinlus	pinlus
pioneer	arloeswr	pioneer
pipes	pibellau	pipes
pisa	pisa	a name
piston	piston	piston
pitch	traw	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	cynllun	plan
plasma	plasma	plasma
plate	plât	plate
plato	plato	plato
platon	platon	platon
player	chwaraewr	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	plws	plus
pluto	plwton	pluto
pm	yp	pm
pmu	pmu	pmu
po	po	po
pokémon	pokémon	pokemon
pol	pol	pol
poland	poland	poland
pollack	pollack	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	pot	pot
potsdam	potsdam	(proper noun) potsdam
potter	crochenydd	(proper noun) potter, as in harry potter
pour	arllwys	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	tywysog	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	amcanestyniad	projekt
prometheus	prometheus	(proper noun) prometheus
protein	protein	protein
prôtêin	protein	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemy	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	mwydion	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyrennau	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	drosodd	transmit
quad	cwad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optegol	bladder
quanh	o gwmpas	around
quay	troi	turn
que	gwiail	stick
queen	frenhines	queen
queens	breninesau	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	wedi arfer	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	rheolau	"(term should be ""quy ước"") agreement"
quyên	hanfodion	"(term should be ""quyên góp"") to donate (v.)"
quyến	swyn	"(term should be ""gia quyến"") family"
quyền	iawn	right
quyện	cymysgu	mix
quyệt	llechwraidd	"(should be ""xảo quyệt"") devious"
quá	hefyd	over
quái	hec	strange or odd
quán	bar	hometown
quáng	dall	blind
quát	gwaeddodd	generalize
quân	quan	army (n.)
quãng	tua	optical
quét	sgan	to sweep (v.)
quê	cefn gwlad	countryside
quên	wedi anghofio	forget
quý	chwarter	love
quýt	tangerine	tangerine
quăng	taflu	to throw (v.)
quĩ	gronfa	orbit
quạ	brain	crow (con qua)
quạt	ffan	fan
quản	llywodraethu	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	lapio	wrap around
quất	kumquat	whip
quấy	troi	harass
quần	pants	pants (n.)
quầng	halo	halo
quầy	cownteri	stall
quẩy	siglo	quay
quẫn	truenus	necessitous
quận	sir	county (n.)
quật	cloddio	excavation
quẳng	taflu	throw
quặc	rhyfedd	strange (adj.)
quặng	mwyn	an ore (n.)
quẻ	hexagram	hexagram
quế	sinamon	cinnamon (n.)
quết	llysnafedd	knead
quệ	druan	exhausted
quỉ	y diafol	demon
quỳ	penlinio	demon (n.)
quỳnh	quỳnh	quynh
quỵ	strôc	stroke
quỷ	y diafol	provided
quỹ	gronfa	fund
qúy	chwarter	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	ras	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rhai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	hwrdd	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	rhedeg	ran
ranch	ranch	ranch
randy	randy	randy
rang	ffoniodd	roast
rangers	ceidwaid	rangers
ranh	ffin	border (ranh gioi)
rao	ad	to announce
rap	rap	rap
raptor	ysglyfaethwr	raptor
rate	cyfradd	rate
rau	llysiau	vegetable
ray	pelydr	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	go iawn	real
reanimation	reanimation	reanimation
reap	medi	reap
reef	riff	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	les	lace (n.)
renaissance	dadeni	renaissance
renault	renault	renault
rené	rené	rene
reo	ffoniodd	yell
reserve	gwarchodfa	reserve
resort	cyrchfan	resort
reverse	cefn	reverse
revolution	chwyldro	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodau	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	yn codi	rising
risk	risg	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	ei hun	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin goch	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	chwip	a stick or switch used for punishment (n.)
roland	roland	roland
romania	romania	romania
rome	rome	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	gwymon	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	llwybrydd	cong noi
rovers	rovers	rovers
rowling	rhuthro	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rhufeinig	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	rhedeg	tremble
rung	ysgwyd	to shake or vibrate (v.)
russian	russian	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	berdys	pemmican
ruồi	pryfed	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	maes	"(term should be ""ruộng đất"") farmland (n.)"
ruột	coluddyn	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	edrych allan	finding
ràng	yn glir	clear
rành	rhugl	exhaustive
rào	ffens	barrier
rác	sbwriel	gabbage-trash
rách	rhwygo	tear
rái	dyfrgi	colander
rán	ffrio	fried (adj.)
ráp	cynulliad	to assemble (v.)
râm	cysgodol	shade
râu	barf	beard or mustache (n.)
rã	pydredd	out
rãi	yn eang	"(term should be ""rộng rãi"") generous"
rãnh	rhigol	groove
räikkönen	räikkönen	raikkonen
rèm	llen	curtain
rèn	ffugio	train
ré	gwichian	re
république	république	republique
rét	oer	cold
rê	llusgo	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	griddfan	moan
rêu	mwsogl	moss
rì	yn sibrwd	lush (adj.)
rìa	ymyl	edge
rình	ysbïwr	to watch for
rìu	bwyell	ax
rít	hisian	to wail (v.)
rò	gollyngiadau	leak
ròng	net	net
rót	arllwys	to pour (v.)
rô	checkered	diamond
rôbôt	robot	robot
rôma	rome	roman
rông	pant	rising (adj.)
rõ	yn glir	clear
rùa	crwban	turtle
rùng	iasol	horror
rút	tynnu&#39;n ôl	withdraw
răn	gorchymyn	commandment
răng	dannedd	roasted
rōmaji	rōmaji	romaji
rũ	seductive	charm
rơ	car	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	yn cwympo	fall
rơm	gwellt	straw
rươi	ti	sand-worm
rước	gorymdaith	welcome
rưới	taenellwch	to sprinkle (v.)
rưỡi	hanner	half
rượt	mynd ar ôl	pursue
rượu	alcohol	wine
rạ	gwellt	straw
rạc	arwahanol	discrete
rạch	toriad	canal
rạng	y wawr	break
rạp	theatrau	theater
rải	gwasgaredig	spread
rảnh	am ddim	to be free (adj.)
rất	iawn	very
rầm	jamb	aggressive
rầu	trist	sorrow
rẫy	ucheldir	full
rậm	prysur	jungle
rập	arabaidd	"(term should be ""Ả rập"") arab"
rắc	taenellwch	trouble
rắn	nadroedd	snake
rằm	lleuad lawn	a full moon (n.)
rằng	hynny	roasted
rặng	y graig	a row
rẻ	rhad	cheap
rẽ	troi	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	cwynfan	pealed
rể	mab-yng-nghyfraith	in-law
rễ	gwreiddiau	root (n.)
rệp	llyslau	bug
rệt	ynganu	clearly
rệu	aye	decay
rỉ	rhwd	leak
rịavũng	rìvà	ria - bay
rỏ	yn glir	clearly
rối	tangled	disorder
rốm	cymylog	rom
rồ	gwallgof	"(term should be ""điên rồ"") foolish (adj.)"
rồi	eisoes	and
rồng	draig	dragon
rổ	basged	basket
rỗi	am ddim	savation
rỗng	gwag	hollow
rộ	prysurdeb	profuse (adj.)
rộn	yn brysur	busy
rộng	llydan	wide
rớt	methu	drop
rời	chwith	leave
rỡ	gwych	brilliant
rợ	barbariaid	a savage (n.)
rợn	iasol	scary
rụng	cwympo allan	to drop
rủ	drooping	ask
rủi	camymddwyn	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	goedwig	forest
rửa	golch	to wash (v.)
rữa	golch	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	saffari	safari
safin	safin	safin
sahara	sahara	sahara
sai	anghywir	wrong
saigon	saigon	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	i	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	genedigaeth	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	sêr	how
sap	sudd	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarcoma	sarcoma
sardinia	sardinia	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	dydd sadwrn	saturday
sau	yn ddiweddarach	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	sgandinafia	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	ysgolhaig	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	scotland	scotland
scots	albanwyr	(proper noun) scots
scott	scott	scott
scream	sgrechian	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	chwilio	search
seattle	sedd	(proper noun) seattle, washington
secret	gyfrinach	bi mat
sedna	sedna	(proper noun) sedna
see	gwel	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotws	lotus
sense	synnwyr	sense
september	medi	(proper noun) the month of september
serbia	serbia	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	cyfres	series
service	gwasanaeth	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	rhywiol	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	shah	shah
shaman	shaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	bywydin	shaolin, as in the shaolin temples
sharpay	miniog	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	shiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	heig	(proper noun) shoal
shonen	shonen	shonen
shop	siop	shop
short	byr	short
showcase	arddangos	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sicily	sicily, a city in italy
sidney	seidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silesia	silesia
silic	silicon	silicon
silicat	silicad	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	canu	sing
sinh	ganwyd	genital
sip	sipian	sip
sirô	surop	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	tynhau	to cut off (v.)
sky	awyr	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	gof	smith
smithsonian	smithsonian	smithsonian
so	felly	compare
société	société	societe
socrates	socrates	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	cân	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	enaid	soul
soát	rheolaeth	control
soạn	cyfansoddi	compose
spears	gwaywffyn	spears
spellman	sillafu	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	chwaraeon	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	sefyll	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	cychwyn	bat dau
status	statws	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	marc steierm	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	llyshenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stocholm	a name
stones	cerrig	stones
storting	stortio	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	stryd	street
struct	strwythuro	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sylffid	sulfide
sulu	sulu	sulu
sum	swm	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	haf	summer
summerslam	haf	(proper noun) summerslam
sun	haul	sun
sunday	dydd sul	(proper noun) sunday
sung	ffigys	supplement
sunni	sunni	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	amhariad	decrease
suê	felly	lush
suôn	yn llyfn	smooth
suất	cynhyrchiant	number
suối	nant	stream
suốt	drwyddi draw	through/all over
suồng	llyfn	overfamiliar
svd	svd	svd
swan	alarch	swan
swaziland	swaziland	swaziland
sweet	melys	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sync	sync
syria	syria	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	llawr	san
sàng	rhidyll	ready
sành	llestri	"(term should be ""sành sứ"") pottery"
sào	polyn	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sá	road
sách	llyfrau	list
sái	anghywir	sai
sám	edifeiriol	penitent
sáng	am	light
sánh	cymharol	compare
sáo	ffliwt	flute
sáp	cwyr	merger
sát	cau	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	chwech	six
sâm	ginseng	sam
sân	iard	"(should be ""sân khấu"") a stage"
sâu	dwfn	deep
sã	sã	flippant
sãi	anghywir	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	mellt	clay
sê	se	sepon
sêri	cyfres	series
sêu	mwsogl	seu tet
sính	myfyriwr	betrothal gifts
síp	cyprus	cyprus
sít	yn dynn	close
sò	wystrys	oyster
sòng	casino	casino
sóc	wiwer	"(should be ""sóc trăng"") a vietnamese town"
sói	blaidd	wolf
sóng	ton	wave
sót	hepgor	to miss (v.)
sô	rhif	than
sôi	berwi	vibrant
sông	afon	river
sùng	defosiwn	cult
sú	teigr du	a type of mangrove (n.)
súc	gwartheg	animal
sún	sinc	sun
súng	gwn	gun
súp	cawl	source
sút	ergyd	reduce
săn	hela	to hunt
sơn	paentio	a mountain
sư	athro	lion
sưa	llaeth	filled with
sưng	chwyddo	swell
sưu	collectibles	collection
sương	gwlith	dew (n.)
sướng	hapus	high
sườn	golwythion	slope
sưởi	gwresogi	heat
sạch	yn lân	clean
sạn	gwesty	hotel
sảm	llachar	sam
sản	cynhyrchu	reproductive
sảng	ffres	sonorous
sảnh	neuadd	a hall, as in the rock and roll hall of fame
sấm	taranau	ginseng
sấu	crocodeil	crocodile
sấy	sychu	dry
sầm	slams	crowded
sầu	melancholy	sad
sẩn	papules	coarseness
sẫm	tywyll	dark
sập	cwymp	destroy
sắm	siopa	shopping
sắn	casafa	cassava (n.)
sắp	ar fin	soon
sắt	haearn	"(term should be ""sắt son"") constant (adj.)"
sẵn	ar gael	available
sẹo	craith	scar
sẻ	ewyllys	share
sẽ	ewyllys	will
sọ	penglog	brain
sọc	streipiau	stripe
sỏ	sassi	oligarchy
sỏi	graean	gravel
số	rhif	"(term should be ""số lượng"") quantity (n.)"
sốc	sioc	shock
sống	byw	live
sốt	twymyn	fever
sồi	derw	oak
sổ	llyfr	window
sớ	ewyllys	document
sớm	yn gynnar	som
sờ	cyffwrdd	touch
sỡ	wedi ei golli	colorful
sợ	bod ofn	afraid
sợi	edafedd	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	cartilag	cartilage
sụp	cwymp	collapse
sụt	cwymp	drop
sủa	cyfarth	bright
sủi	eferw	sparkling
sủng	carismatig	favored
sứ	porslen	embassy
sứa	slefrod môr	jellyfish (n.)
sức	nerth	strength
sứt	naddu	cleft
sừng	corn	sừng sững= huge
sử	hanes	"(term should be ""sử dụng"") to use (v.)"
sửa	trwsio	repair
sửng	sioc	startling
sửu	ych	cow
sữa	llaeth	milk
sự	y	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	tag	tag
tai	glust	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tajikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	galaru	funeral
tanh	pysgodlyd	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	fi	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	dasg	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	tacsi	taxi
tay	dwylo	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	technegol	technical
ted	ted	(proper noun) ted
teddy	tedi	teddy, as in teddy lupin, a character in the harry potter series
telecom	telathrebu	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	stamp	stamp
temple	deml	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	cartel	tensor
teo	atroffi	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	tiriogaethau	territories
terry	terry	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	tha	to forgive (v.)
thai	yn feichiog	pregnant
thailand	gwlad thai	thailand
tham	trachwant	involved
thames	thames	thames
than	glo	coal
thang	ysgol	ladder
thanh	bar	youth
thani	thani	thani
thao	chwaraeon	sport
thau	pres	a basin (n.)
thay	yn lle	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	eu	their
them	nhw	plus
then	yna	key
theo	dilyn	according to
theory	theori	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	theseus	theseus, the greek hero
thi	arholiad	competition (n.)
thich	fel	explanation
thien	thien	sky
third	trydydd	thỉd
thiu	hen	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	sanctaidd	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	tun	tin
thiến	ysbaddu	castrate
thiếp	cerdyn busnes	concubine
thiết	set	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	ar goll	lack
thiềm	cryman	crescent
thiền	myfyrdod	buddhist (adj.)
thiển	sioe	superficial
thiểu	mân	minimum
thiện	da	good
thiệp	cerdyn cyfarch	intervene
thiệt	a dweud y gwir	damage
thiệu	cyflwyniad	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	dab	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	thong	(proper noun) thong, as in ang thong
those	y rhai	those
thoái	atchweliadol	deterioration
thoán	dyfalu	usurpation
thoáng	awyrog	"(term should be ""thoáng qua"") to pass quickly"
thoát	allanfa	drainage
thoại	llais	telephone
thoạt	ar yr olwg gyntaf	just (adv.)
thoả	delio	compromise
thoải	cyfforddus	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	yn achlysurol	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	yn brydlon	suddenly
thpt	thpt	high school
thriller	ffilm gyffro	thriller
thskts	thskts	phd- architect
thua	colli	defeat
thumb|các	bawd | yr	thumb|many
thunderbolt	taranfollt	thunderbolt
thung	cwm	valley
thuyên	dadleoli	a name
thuyết	theori	theory
thuyền	cwch	boat
thuê	llogi	employ
thuần	pur	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	gwrthdaro	support
thuận	manteision	favourable
thuật	celf	term
thuế	treth	tax
thuốc	meddygaeth	medicine (n.)
thuộc	perthyn	belong
thuớc	dwr	"(term should be ""kích thước"") dimensions of an object"
thuờng	fel arfer	usually
thuở	plentyndod	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	dy	thy
thà	byddai&#39;n well	honest
thành	i	"(term should be ""hình thành"") to take shape"
thày	athro	teacher
thác	rhaeadru	harvest
thách	her	challenge
thái	thai	attitude
thám	ditectif	to spy (v.)
tháng	mis	month (n.)
thánh	sanctaidd	a holy person; a saint (n.)
tháo	datglymu	"(term should be ""tháo chạy"") to run with abandon"
tháp	twr	tower
thâm	dwys	penetrate
thâu	wedi&#39;i recordio	to collect (v.)
thây	gwel	body
thãi	cachu	superabundant
thèm	chwant	desire
thép	dur	steel
thét	sgrechian	shout
thê	y	category
thêm	ychwanegu	more
thêu	brodwaith	to embroider (v.)
thìa	llwy	spoon
thìn	yna	(proper noun) thìn, the year of the dragon
thình	yn sydyn	"(term should be ""thình lình"") suddenly"
thí	arbrofion	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	poked	tho
thòi	anfantais	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	paddy	grain (n.)
thói	arfer	a habit (n.)
thô	garw	rough, old-fashioned
