$	usd	(dollar sign)
capitole	kapitolijs	capitole
capone	kapone	capone
capture	sagūstīt	capture
capvert	zaļš vāciņš	green-cape
car	jo	as
caractère	raksturs	specificity
caractères	rakstzīmes	characters
caractérise	raksturo	characterized
caractéristique	iezīme	characteristics
caractéristiques	raksturojums	characteristic
caractérisé	raksturo	characterized
caractérisée	raksturo	characterised
caravage	karavadžo	caravaggio
caraïbes	karību jūras reģions	carribean
carbone	oglekļa	carbon
carburant	degviela	fuel
cardiaque	sirds	cardiac
cardiaques	sirds	heart
cardinal	kardināls	cardinal
carl	kārlis	carl
carlo	carlo	carlo
carlos	carlos	carlos
carnaval	karnevāls	carnival
carnets	piezīmju grāmatiņas	notebooks
carole	carole	carol (but in this contexte carole as it mention carole king)
caroline	karolīna	carolina
carolingienne	carolingian	carolingian
carrefour	krustojums	crossroad
carrie	karijs	carrie
carrière	karjera	career
carrières	karjeru	pits
carroll	burkāns	carroll
carré	kvadrāts	square
carrée	kvadrāts	square
carrés	kvadrāti	squares
carte	izvēlne	map
carter	apvalks	(surname)
cartes	kartes	maps
carthage	kartāga	carthage
cartier	kartieris	cartier
cartographie	kartogrāfija	cartography
cas	lietu	case
casablanca	casablanca	casablanca
case	lietu	hut
casino	kazino	casino
casting	liešana	cast
castro	kastro	castro
catalan	katalāņu	catalan
catalogne	katalonija	catalonia
catalogue	katalogs	catalog
catastrophe	katastrofa	disaster
catastrophes	katastrofas	disasters
catch	noķert	wrestling
catcheur	cīkstonis	catcher
catcheurs	cīkstoņi	wrestlers
catherine	katrīna	catherine
catholicisme	katolicisms	catholicism
catholique	katoļu	catholic
catholiques	katoļi	catholics
cathédrale	katedrāle	cathedral
cathédrales	katedrāles	cathedrals
catégorie	kategorija	category
catégorieacteur	aktieru kategorija	two words : category actor
catégorieactrice	kategorija	category: actress
catégorieancien	kategorisks	category: former
catégoriechanteur	dziedātāju kategorija	category: singer
catégoriechanteuse	dziedāšanas kategorija	singer's category
catégoriechevalier	bruņinieku kategorija	category : knight
catégoriedécès	nāves kategorija	category died
catégoriefilm	kategorija	category: movie
catégoriegroupe	kategoriju grupa	category: band
catégoriehistoire	kategoriju vēsture	category history
catégoriejoueur	spēlētāju kategorija	category: player
catégorielauréat	uzvarētāja kategorija	category: winner
catégoriemembre	dalībnieku kategorija	class member
catégoriemort	mirušo kategorija	category: dead
catégorienom	kategoriskums	category name
catégoriepeintre	gleznotāju kategorija	category: painter
catégoriepersonnalité	kategorijapersoniskums	category : personality
catégorieréalisateur	kategorijas direktors	category: director
catégories	kategorijas	categories
catégoriesérie	kategoriju sērijas	category: serie
catégorieécrivain	kategorijas rakstnieks	category writer
catégorieélève	studentu kategorija	category: student
caucase	kaukāzs	caucasus
cause	cēlonis	because
causes	cēloņi	cause
causé	izraisīja	caused
cavalerie	kavalieris	cavalry
cavaliers	braucēji	horse riders
cavité	dobums	cavities
cbs	cbs	cbs
cd	kompaktdisks	cd
cdot	cdot	cdot
ce	šo	this
ceci	šo	this
ceinture	josta	belt
cela	ka	this
celle	ka	the one
celleci	šo	she
celles	tiem	these
cellesci	šie	this one
cellulaire	šūnu	cell
cellule	šūna	cell
cellules	šūnas	cells
celtes	ķelti	celtic
celtique	ķeltu	celtic
celui	īstais	the
celuici	šī	this one
cena	cena	cena
cendres	pelni	ashes
censure	cenzūra	censor
censé	domājams	considered
cent	simts	100
centaine	simts	100
centaines	simtiem	hundreds
centenaire	simtgadi	centenary
central	centrālais	central
centrale	centrālais	plant
centrales	spēkstacijas	plant
centraux	centrālais	central
centre	centrā	center
centres	centri	centers
centreville	centrs	downtown
centré	centrā	centered
centrée	centrēts	centered
cents	centi	cents
cependant	tomēr	however
cercle	aplis	circle
cercles	apļi	circles
cerf	briedis	cerf
certain	noteikti	certain
certaine	noteikti	certain
certainement	protams	certainly
certaines	daži	some
certains	daži	certain
certes	protams	course
certification	sertifikācija	certification
certifié	sertificēts	certifies
certitude	noteiktība	certainty
cerveau	smadzenes	brain
ces	šie	these
cesse	apstāties	ceases
cessé	apstājās	stopped
cest	tas ir	this is
cestàdire	proti	this is to say
cet	šo	this
cette	šo	this
ceux	tiem	those
ceuxci	šie	these
cf	sal	cf
chacun	katrs	anyone
chacune	katrs	each
chaine	ķēde	chaina
chair	miesa	flesh
chaise	krēsls	chair
chaleur	karstums	heat
challenger	izaicinātājs	challenger
chamber	istaba	chamber
chambre	guļamistaba	chamber
chambres	guļamistabas	rooms
champ	lauka	field
champagne	šampanietis	champagne
champion	čempions	champion
championnat	čempionāts	championship
championnats	čempionāti	championships
champions	čempioni	champions
champs	lauki	fields
chan	čan	chan
chance	veiksmi	chance
chancelier	kanclere	chancellor
chances	izredzes	chances
chandler	barotājs	shipchandler
chanel	kanāls	chanel
change	apmaiņa	changes
changement	mainīt	change
changements	izmaiņas	changes
changent	mainīt	change
changer	slēdzis	to change
changé	apmaiņa	changed
channel	kanāls	channel
chanson	dziesma	song
chansons	dziesmas	songs
chant	dziesma	song
chante	dziedāja	sings
chanter	dziedāt	sing
chanteur	dziedātājs	singer
chanteurs	dziedātāji	singers
chanteuse	dziedātājs	singer
chantier	būvlaukums	construction
chantiers	būvlaukumos	works
chants	dziedājumi	song
chanté	dziedāja	sang
chaos	haoss	chaos
chapeau	cepure	hat
chapelle	kapela	chapel
chapitre	nodaļa	chapter
chapitres	nodaļas	chapters
chaplin	chaplin	chaplin
chaque	katrs	each
char	tvertne	tank
charbon	ogles	coal
charge	uzlādēt	load
charges	maksas	charges
chargé	uzlādēt	loaded
chargée	piekrauts	responsible
chargés	piekrauts	accountable
charité	labdarība	charity
charlemagne	charlemagne	charlemagne
charles	charles	charles
charlie	čārlijs	charlie
charlotte	šarlote	charlotte
charme	šarmu	spell
chars	tvertnes	tanks
charte	harta	charter
chasse	medības	chases
chasseurs	mednieki	fighters
chat	kaķis	cat
chats	kaķiem	cats
chaud	karsts	hot
chaude	karsts	hot
chauds	karsts	hot
chauffage	sildītājs	hotness
chaussures	kurpes	shoes
chaîne	ķēde	channel
chaînes	ķēdes	channels
che	che	che
chef	priekšnieks	chief
chefdœuvre	meistardarbs	masterpiece
cheflieu	cheflieu	town
chefs	galvas	chiefs
chelem	slam	slam
chemin	ceļš	path
chemins	ceļi	paths
cher	dārgi	expensive
cherchant	meklē	wanting
cherche	meklēju	search
cherchent	viņi meklē	seek
chercher	meklēt	search
chercheurs	pētnieki	researcher
cherché	meklēja	sought
cheval	zirgs	horse
chevalet	molberts	easel
chevalier	bruņiņieks	knight
chevaliers	bruņinieki	knights
chevaux	zirgi	horses
cheveux	mati	hair
chez	iekšā	at
chicago	čikāga	proper noun (city of chicago)
chien	suns	dog
chiens	suņi	dogs
chiffre	skaitlis	code
chiffres	skaitļi	figures
chili	čīle	chili
chimie	ķīmija	chemistry
chimique	ķīmiska	chemical
chimiques	ķīmiska	chemical
chimène	chimene	chimene
chine	ķīna	china
chinois	ķīniešu	chinese
chinoise	ķīniešu	chinese
chinoises	ķīniešu	chinese
chirac	čiraks	chirac
chirurgie	operācija	surgery
choc	šoks	shock
chocolat	šokolāde	chocolate
choice	izvēle	choix
choisi	atlasīts	chosen
choisie	izvēlēts	chosen
choisir	izvēlēties	choose
choisis	izvēlēties	chosen
choisissent	izvēlēties	choose
choisit	izvēlēties	chooses
choix	izvēle	choice
chopin	šopēns	chopin
chose	lieta	thing
choses	lietas	things
chris	kriss	chris
christ	kristus	christ
christian	kristietis	christian
christianisme	kristietība	christianism
christine	kristīne	christine
christophe	kristofs	christopher
christopher	kristofers	christopher
chronique	hroniska	chronic
chroniques	hronikām	reviews
chronologie	hronoloģija	chronology
chronologique	hronoloģiski	chronologique
chrétien	kristietis	chrétien
chrétienne	kristietis	christian
chrétiennes	kristietis	christian
chrétiens	kristieši	christians
chuck	čaukst	chuck d of public enemy
churchill	bazilika	churchill
chute	kritums	fall
chutes	kritieni	snowfall
chypre	kipra	cypress
château	pils	castle
châteaux	pilis	castles
chêne	ozols	oak
chômage	bezdarbs	unemployment
chœur	koris	choir
cia	cia	cia
cible	mērķis	target
cicontre	pret	cicontre
cicéron	cicero	cicéron
cidessous	zemāk	below
cidessus	virs	below
ciel	debesis	sky
cimetière	kapsēta	cemetery
cincinnati	sinsinati	cincinnati
cinq	pieci	five
cinquantaine	piecdesmitajos gados	around fifty
cinquante	piecdesmit	fifty
cinquième	piektais	fifth
cinéaste	filmas veidotājs	moviemaker (can be a producer or a scriptwriter)
cinéma	kino	cinema
cinémas	kinoteātros	movies
cinématographique	kinematogrāfiski	cinematographic
cinématographiques	kinematogrāfisks	cinematographic
cio	cio	ioc
circoncision	apgraizīšana	circumcision
circonscription	izjādes	constituencies
circonscriptions	vēlēšanu apgabali	districts
circonstances	apstākļi	circumstances
circuit	ķēde	circuit
circuits	shēmas	circuits
circulaire	apļveida	circular
circulation	satiksme	traffic
circulent	cirkulēt	go around
cirque	cirks	circus
citation	citāts	quotation
citations	pēdiņas	quotations
cite	citāts	quotes
citer	citēt	quote
citons	citēsim	mention
citoyen	pilsonis	citizen
citoyenneté	pilsonība	citizenship
citoyens	pilsoņiem	citizens
city	pilsēta	city
cité	citēts	mentioned
cités	citēts	cited
civil	civilā	civil
civile	civilā	civil
civiles	civilā	civil
civilisation	civilizācija	civilization
civilisations	civilizācijām	civilisation
civils	civiliedzīvotāji	civilians
civiques	pilsoniskā	civic
clair	skaidrs	clear
claire	klēra	claire
clairement	skaidri	clearly
clan	klans	clan
clans	klani	clans
classe	klase	ranks
classement	ranžēšana	ranking
classements	klasifikācija	rankings
classer	klasificēt	dismiss
classes	klases	classes
classicisme	klasicisms	classicism
classification	klasifikācija	classification
classique	klasika	classical
classiques	klasika	traditional
classé	klase	ranked
classée	klasificēts	classified
classées	klasificēts	ranked (american idol) classified (obama) ranked (communes)
classés	klasificēts	ranking
claude	klibs	claude
clavier	tastatūra	keyboard
clergé	garīdznieki	clergy
client	klients	client
clients	klientiem	clients
clientèle	klientu bāze	customer
cliff	klints	cliff (man's name)
climat	laikapstākļi	climate
climatique	klimatiskais	climate
climatiques	klimatiskais	climatic
climatologie	klimatoloģija	climitalogy
climats	klimats	climates
clinique	klīniska	clinic
cliniques	klīnikas	clinic
clint	klint	clint
clinton	klintons	clinton
clip	klips	clip
clips	klipus	clips
clitoris	klitora	clitoris
clos	slēgts	indoor
club	klubs	club
clubs	klubi	clubs
clé	atslēga	key
clément	clement	clément
cléopâtre	kleopatra	cleopatra
clés	taustiņi	keys
clôture	nožogojumi	closure
cm	cm	cm
cnrs	cnrs	cnrs
co	co	co
coalition	koalīcija	coalition
cobain	cobains	cobain
cocacola	kokakola	coca-cola
cocaïne	kokaīns	cocaine
coco	kokosriekstu	coco
code	kodēts	code
codes	kodiem	codes
cody	kodijs	cody
coffret	kaste	"box ( as in ""dvd box"")"
cohérence	konsekvence	coherence
coke	kokss	coke
col	apkakle	col
colbert	kolberts	colbert
cold	auksts	cold
cole	skola	school
coli	koli	coli
colin	kolins	hake
coll	coll	coll
collaborateurs	līdzstrādnieki	collaborators
collaboration	sadarbība	collaboration
collaborations	kopdarbi	collaborations
collabore	sadarboties	works
collaboré	sadarbojies	collaborated
collecte	kolekcija	raising
collectif	kolektīvs	collective
collectifs	kolektīvs	collective
collection	kolekcija	collection
collections	kolekcijas	collections
collective	kolektīvs	collective
collectivité	kopiena	collectivity - collectivity - community
collectivités	kopienas	regions
colline	kalns	hill
collines	kalni	hills
collins	kalni	dennis collins
collision	sadursme	collision
collège	vidusskola	middle school
collègues	kolēģi	colleagues
colmar	kolmāra	colmar
colomb	kolumbs	colombus
colombie	kolumbija	colombia
colonel	pulkvedis	colonel
colonial	koloniāls	colonial
coloniale	koloniāls	colonial
coloniales	koloniāls	colonial
colonie	kolonija	colony
colonies	kolonijas	colonies
colonisation	kolonizācija	colonisation
colonne	kolonna	column
colonnes	kolonnas	columns
colons	kolonisti	settlers
coluche	kolučs	coluche
columbia	kolumbija	columbia
colère	dusmas	anger
combat	cīņa	battle
combats	cīnās	fightings
combattants	cīnītāji	fighters
combattre	cīnīties	to fight
combien	cik daudz	how much
combinaison	kombinācija	combination
combustion	sadegšana	combustion
come	nāc	come
comics	komiksi	comics
comique	komiski	comic
comiques	komiski	comic
comité	komiteju	committee
commandant	komandējošais virsnieks	commanding officer
commande	pasūtīts	order (of vaccines)/commission (of an opera)
commandement	bauslis	commandment
commandes	rīkojumi	commands
commandé	pasūtīts	ordered
comme	kā	as
commence	sākt	started
commencent	sākt	start
commencer	sākt	begin
commencé	sākt	begins
comment	kā? &#39;vai&#39; kas	how
commentaire	komentēt	comment
commentaires	komentāri	comments
commentateurs	komentētāji	commentators
commença	sākās	started
commerce	tirdzniecība	commerce
commercial	komerciāls	commercial
commerciale	komerciāls	commercial
commerciales	komerciāls	commercial
commercialisation	mārketings	marketing
commerciaux	komerciāls	commercial
commerçants	tirgotāji	traders
commis	lietvedis	perpetrated
commissaire	komisārs	commissioner
commission	komisija	commission
commissions	komisijas	comities
commonwealth	sadraudzība	commonwealth
commun	izplatīts	common
communautaire	kopiena	communal
communautaires	kopiena	community
communauté	kopiena	community
communautés	kopienas	communities
commune	izplatīts	global
communes	izplatīts	global
communication	komunikācija	communication
communications	sakari	communications
communiquer	komunicēt	communicate
communiqué	paziņoja	release
communisme	komunisms	communism
communiste	komunists	communist
communistes	komunisti	communists
communs	izplatīts	common
communément	parasti	commonly
commémoration	piemiņa	remembrance
compagne	biedrs	wife
compagnie	uzņēmums	company
compagnies	kompānijas	companies
compagnon	biedrs	compagnon
compagnons	biedri	companions
company	uzņēmums	company
comparable	salīdzināms	comparable
comparaison	salīdzinājums	comparison
compare	salīdzināja	compares
comparer	salīdzināt	compare
comparé	salīdzināja	compared
comparée	salīdzināja	compared
compassion	līdzjūtība	compassion
compatible	saderīgs	compatible
compenser	kompensēt	compensate
compilation	kompilācija	compilation
compilations	kompilācijas	compilations
complet	pilns	full
complexe	sarežģīts	complex
complexes	sarežģīts	complex
complexité	sarežģītība	complexity
complications	komplikācijas	complications
complot	sazvērestība	plot
complète	pabeigts	complete
complètement	pilnīgi	completely
complètes	pabeigts	complete
complément	papildināt	complement
complémentaire	papildinošs	complementary
complémentaires	papildinošs	additional
compléter	pabeigts	complete
complété	pabeigts	completed
comportant	kas satur	with
comporte	uzvedas	include
comportement	izturēšanās	behaviour
comportements	izturēšanās	behaviors
comportent	iezīme	include
composant	komponents	writing
composante	komponents	component
composantes	sastāvdaļas	components
