$	dollar təşkil edib	dollarsign
betaalt	ödəyir	pays
betalen	ödəyin	pay
betaling	ödəniş	payment
betekende	nəzərdə tuturdu	ment
betekenen	deməkdir	mean
betekenis	məna	importance
betekenissen	mənaları	meaning
betekent	deməkdir	means
beter	daha yaxşı	better
betere	daha yaxşı	better
beton	beton	concrete
betonnen	beton	concrete
betreden	daxil olmaq	set foot on
betreffen	qayğı	relate
betreffende	ilə bağlı	concerning
betreft	ilə bağlı	concerns
betrekkelijk	nisbi	particulary
betrekking	iş	connection
betrekkingen	münasibətləri	relations
betrof	narahat	concerned
betrokken	cəlb olunur	involved
betrokkenheid	iştirak	involvement
betrouwbaar	etibarlıdır	reliable
betrouwbaarheid	etibarlılıq	reliability
betrouwbare	etibarlıdır	trustworthy
betwist	mübahisəli	disputed
beurs	fond bazarı	bourse
beurt	dönmək	turn
beurzen	təqaüdlər	fairs
bevallen	doğmaq	satisfactory (1st sentence), gave birth (3rd sentence), give birth (5th sentence)
bevalling	doğuş	confinement
bevat	ehtiva edir	contains
bevatte	ehtiva edir	contained
bevatten	ehtiva edir	contains
beveiliging	təhlükəsizlik	security
bevel	sifariş	command
bevelhebber	komandir	commander
beveren	qunduz	beveren
bevestigd	təsdiqlədi	confirmed
bevestigde	təsdiqlədi	confirmed
bevestiging	təsdiq	confirmation
bevinden	yerləşirlər	who hear
bevindingen	tapıntılar	findings
bevindt	yerləşir	located
beving	titrəmə	quiver
bevoegd	səlahiyyətli	competent
bevoegdheden	səlahiyyətləri	authorities
bevoegdheid	bacarıq	responsability
bevolking	əhali	population
bevolkingsdichtheid	əhali sıxlığı	population density
bevolkingsgroei	əhali artımı	population growth
bevolkingsgroepen	əhali qrupları	communities
bevolkingssamenstelling	əhali tərkibi	demographics
bevolkt	məskunlaşmışdır	inhabited
bevond	tapıldı	located
bevonden	tapdı	found
bevorderd	təbliğ olunur	promoted
bevorderen	təşviq etmək	to improve
bevordert	təbliğ edir	improves
bevriend	dostlar	are friends
bevrijd	azad edilmişdir	liberated
bevrijden	sərbəst buraxmaq	liberate
bevrijding	azadlıq	liberation
bevrucht	döllənmişdir	fertilize
bevruchting	gübrələmə	fertilization
bewaard	saxlanılır	conserved
bewaren	bunu saxla	in this context it means: to keep a distance
beweegt	hərəkət edir	moves
beweerd	iddia etdi	claimed
beweerde	iddia etdi	asserted
beweert	iddiaları	claims
bewegen	hərəkət etmək	to move
bewegende	hərəkətli	moving
beweging	hərəkat	movement
bewegingen	hərəkətlər	movements
beweren	iddia	state
bewerken	redaktə edin	editing
bewerking	əməliyyat	remade
bewerkstelligen	yerinə yetirmək	bring about
bewerkt	redaktə edildi	edit
bewezen	sübut olunmuşdur	proved
bewijs	sübut	proof
bewijzen	sübut et	proof
bewind	hökmranlıq etmək	reign
bewogen	köçürülüb	moved
bewonderen	heyran olmaq	admire
bewondering	heyranlıq	admiration
bewoners	sakinlər	inhabitants
bewoning	yaşayış yeri	inhabitance
bewoond	yaşayış	inhabited
bewoonde	yaşayış	inhabited
bewust	şüurlu	conscious
bewuste	şüurlu	conscious
bewustzijn	maarifləndirmə	awareness
bezat	sahibdir	possessed
bezaten	sahibdir	took hold of
bezet	işğal edib	occupates
bezette	işğal edib	occupied
bezetten	işğal etmək	occupy
bezetting	işğal	occupation
bezichtigen	görünüşü	see
bezienswaardigheden	görməli yerləri	sights
bezig	məşğul	busy
bezigheden	fəaliyyətlər	activities
bezighouden	işğal etmək	occupy
bezighoudt	məşğul	occupy
bezit	sahiblik	possession
bezitten	sahib olmaq	own
bezittingen	əşyalar	posessions
bezocht	ziyarət etdi	visited
bezoek	ziyarət	visit
bezoeken	iştirak etmək	visit
bezoekers	qonaqlar	visitors
bezoekt	ziyarətlər	visit
bezwaar	etiraz	objection
bezwaren	etirazlar	objections
beëindigd	xitam verildi	ended
beëindigen	bitirmək	terminate
beïnvloed	təsirləndi	influenced
beïnvloeden	təsir etmək	to influence
beïnvloedt	təsir edir	influences
bibliografie	biblioqrafiya	bibliography
bibliotheek	kitabxana	library
bibliotheken	kitabxanalar	libraries
bieber	bieber	bieber
bieden	təklif	offered
biedt	təklif edir	offers
bier	pivə	beer
biercultuur	pivə mədəniyyəti	beer culture
bieren	pivə	beers
bieslook	şivələr	chive
big	böyük	big
bij	arı	with
bijbehorende	uyğun	associated
bijbel	müqəddəs kitab	bible
bijbelse	biblical	biblical
bijdrage	töhfə	contribution
bijdragen	töhfə vermək	contributions/ contribute
bijeen	birlikdə	together
bijeenkomst	görüş	meeting
bijeenkomsten	görüşlər	meetings
bijen	arılar	bees
bijgedragen	töhfə verdi	contributed
bijgehouden	davam etdi	kept / maintained
bijgestaan	kömək edir	assisted
bijgevolg	nəticə etibarilə	so
bijgewerkt	yeniləndi	updated
bijgezet	interred	adjoined
bijkomende	əlavə	additional
bijna	təxminən	almost
bijnaam	ləqəb	nickname
bijnamen	ləqəblər	nicknames
bijten	dişləmək	to bite
bijv	e.ə.	for example
bijvangst	tutmaq	surplus catch
bijvoorbeeld	misal üçün	for instance
bijwerkingen	yan təsirləri	side
bijwoord	tələffüz	adverb
bijzonder	xüsusi	special
bijzondere	xüsusi	special
bill	bill	bill
billboard	billboard	billboard
billy	billy	billy
bin	zibil qabı	bin (part of name)
binden	qalustuk	bind
binnen	daxilində	inside
binnenkant	içəri	inside
binnenland	daxili	interior
binnenlands	yerli	domestic
binnenlandse	yerli	inland
binnenstad	daxili şəhər	town
binnenste	daxili	inner
bio-ethiek	bioetika	bio ethics
biografie	tərcümeyi-hal	biography
biologie	biologiya	biology
biologisch	bioloji	biological
biologische	bioloji	biological
bioscoop	kinoteatr	movie theater
bioscopen	kinoteatrlar	movie theaters
bipolaire	bipolyar	bipolar
bisdom	yeparxiya	bisdom
bisdommen	yeparxiyalar	dioceses
bisschop	yepiskop	biship
bisschoppen	yepiskoplar	bischops
bitch	qaniçən	teef
björn	björn	bjorn
blaasontsteking	sistit	urinary infection
black	qara	black
blad	vərəq	journal
bladeren	yarpaqlar	leaves
blair	blair	blair
blake	çırpın	blake
blanc	blanc	white
blanke	ağ insan	white
blanken	ağlar	whites
blauw	mavi	blue
blauwe	mavi	blue
blazen	zərbə	blow
bleef	qaldı	stayed absence
bleek	bəlli oldu	appeared to be
bleken	ağartma	appeared
bleven	qaldı	remain
blij	xoşbəxt	happy
blijft	qalır	remains
blijken	çıxmaq	to appear
blijkt	çıxır	seems
blijven	qalmaq	happy just
blijvend	uzunmüddətli	remain
blijvende	uzunmüddətli	staying
blind	kor	blind
blinde	kor	blind
bloed	qan	blood
bloedarmoede	anemiya	anaemia
bloedcellen	qan hüceyrələri	blood cells
bloeddruk	qan təzyiqi	blood pressure
bloedige	qanlı	bloody
bloedsomloop	qan dövranı sistemi	circulatory
bloeduitstorting	qançır	haematoma
bloedvaten	qan damarları	veins
bloedverlies	qan itkisi	bloodloss
bloei	çiçəklənmək	blossom
bloeiende	çiçəklənmə	flowering
bloeiperiode	çiçəkləmə dövrü	blossom period
bloem	çiçək	flower
bloemen	çiçəklər	floral
blog	blog	blog
blok	blok	block
blokkade	tıxanma	blockade
blokken	bloklar	blocks
blokkeren	bağlamaq	obstruct
bloot	çılpaq	revealed
blootgesteld	məruz	exposed
blootstelling	məruz qalma	exposure
blote	çılpaq	naked
blue	mavi	blue
blues	blues	blues
bluetooth	bluetooth	bluetooth - proper noun - brand name
bluray	qaralmaq	blu-ray
bnp	gnp	gdp
bob	bob	bob
bobby	bobbi	bobby
bocht	əyilmək	curve
bod	teklif	offer
bodem	alt	soil
boden	təklif etdi	offered
boeda	buddha	buda
boedapest	budapeşt	budapest
boeddha	budda	buddha
boeddhisme	buddizm	buddhism
boeddhisten	buddistlər	buddhists
boeddhistische	buddist	buddhist
boeg	rüku	bow
boeing	boeing	boeing - proper noun
boek	kitab	book
boekarest	buxarest	bucharest
boeken	kitablar	books
boekenreeks	kitab seriyası	book series
boer	əkinçi	boer (name)
boerderij	ferma	farm
boeren	fermerlər	farmers
boete	gözəl	fine
boezems	ürəklərdə	atrium
bohemen	bohemiya	bohemians
bol	sahə	sphere
bolivia	boliviya	bolivia
bombardement	bombardman	bombardment
bombardementen	bombalama	bombardments
bomen	ağaclar	trees
bon	qəbz	bon
bonaire	bonaire	bonaire
bonaparte	bonapart	bonaparte
bond	bağ	bond
bondgenoot	müttəfiq	ally
bondgenootschap	ittifaq	alliance
bondgenoten	müttəfiqlər	allies
bondsrepubliek	federal respublika	federal republic
bonen	lobya	beans
bonn	bonn	bonn
bono	bono	good
bood	təklif etdi	offered
boodschap	mesaj	message
boodschappen	baqqallar	messages
boog	rüku	arc
book	kitab	book
boom	ağac	tree
boord	lövhə	bord
boos	hirsli	angry
boot	qayıq	boat
bootleg	bootleg	bootleg
borderline	sərhəd xətti	borderline
border|pxvlag	sərhəd | px bayrağı	border
borg	depozit	bail
boris	boris	boris
borsato	borsato	borsato
borst	sinə	chest
borsten	döşlər	breasts
borstkanker	döş xərçəngi	breast cancer
borstvoeding	ana südü	breastfeeding
bos	meşə	forest
bosbouw	meşə təsərrüfatı	forestry
bosch	bosch	bosch
bosnië	bosniya	bosnie
bosporus	boğaz	bosporus
bossen	meşələr	forests
bot	sümük	bone
boten	qayıqlar	boats
boter	kərə yağı	butter
botsing	qəza	collision
botten	sümüklər	bones
bottom	alt	bottom
boudewijn	boudewijn	boudewijn - proper noun - first name
boulevard	bulvara	boulevard
bourgondische	burgundian	burgundian
bourgondië	tünd qırmızı	bourgondie
bouw	tikinti	building
bouwde	tikilib	built
bouwden	tikilib	builded
bouwen	tikmək	build
bouwkunst	memarlıq	architecture
bouwmaterialen	tikinti materialları	building materials
bouwstijl	memarlıq üslubu	building style
bouwwerk	bina	structure
bouwwerken	strukturları	buildings
boven	yuxarıda	processing
bovenaan	yuxarıda	above
bovendien	üstəlik	also
bovengenoemde	yuxarıda dedi	afore mentioned
bovenop	üstündə	on top
bovenstaande	yuxarıda	above mentioned
bovenste	yuxarı	upper
bovenzijde	üst tərəf	top
bowie	bowie	bowie
box	qutu	box
boy	oğlan	boy
boys	oğlanlar	jongens
boze	hirsli	angry
brabant	brabant	brabant
brabants	brabantlar	brabants
brabantse	brabantse	brabant
bracht	gətirdi	brought
brachten	gətirdi	brought
brad	brad	brad
brak	qırdı	started
braken	qusma	throwing up
bram	bram	bram
brand	atəş	fire
branden	yandırmaq	fires
brandende	yanan	burning
brandstof	yanacaq	fuel
brandstoffen	yanacaq	fuels
brandweer	yanğınsöndürmə briqadası	fire brigade
braque	braque	braque
braziliaanse	braziliyalı	brazilian
brazilië	braziliya	brazil
break	fasilə	break
breda	breda	breda
brede	geniş	broad
breder	daha geniş	wider
bredere	daha geniş	broader
breed	geniş	broad
breedte	eni	width
breedtegraad	enlik	latitude
breekt	pozur	breaks
breidde	genişlənmişdir	spread
breiden	genişləndirmək	expand
brein	beyin	brain
breken	fasilə	break
brengen	gətir	bring
brengt	gətirir	brings
bretagne	britaniya	brittany
breuk	qırılma	console
brian	brian	brian
bridge	körpü	bridge
brief	məktub	letter
brieven	məktublar	letters
bril	eynəklər	"""bril""/ glasses"
brink	yaşıl	brink
brit	brit	briton
british	britaniyalı	britisch
britney	britney	britney
brits	i̇ngilis	brittish
britse	britaniyalı	britisch
britten	britaniyalı	british
broeders	qardaşları	brothers
broeikaseffect	istixana effekti	greenhouse effect
broek	şalvar	broek
broer	qardaşı	brother
broers	qardaşları	brothers
bron	mənbə	source
bronnen	mənbələr	sources
bronzen	bürünc	bronze
brood	çörək	bread
brooke	brooke	brooke
brooklyn	brooklyn	brooklyn
bros	kövrək	bros
brothers	qardaşları	brothers (broers)
brouwen	dəmləmək	brew
brown	qəhvəyi	brown (name)
bruce	bruce	bruce
brug	körpü	bridge
brugge	bruges	brugge
bruggen	körpülər	bridges
brugse	bruges	bruges
bruikbaar	istifadəyə yararlıdır	usable (2nd sentence), practicable (5th and 6th sentence)
bruiloft	toy	wedding
bruin	qəhvəyi	brown
bruine	qəhvəyi	brown
brussel	brüssel	brussels
brussels	brüssel	brussels
brusselse	brüssel	brussels
bruto	ümumi	gross
brutus	qəddar	brutus - proper noun - surname or first name
btw	ədv	btw
budget	büdcə	budget
buenos	buenos	buenos
buigen	rüku	bend
buik	qarın	belly
building	bina	building
buis	boru	tube
buiten	kənarda	outside
buitenaf	kənarda	outside
buitengewoon	adi deyil	extraordinary
buitenkant	kənarda	outside
buitenland	xaricdə	foreign country
buitenlanders	xaricilər	foreigners
buitenlands	xarici	foreign
buitenlandse	xarici	octavian
buitenste	xarici	outer most
buitenwereld	xarici dünya	outside world
buitenwijken	şəhərətrafı ərazilər	suburbs
bul	bul	bul
bulgaarse	bulqar	bulgarian
bulgarije	bulqariya	bulgaria
bull	öküz	bull
bunker	bunker	bunker
burcht	qala	stronghold
bureau	yazı masası	bureau
buren	qonşular	neighbours
burgemeester	bələdiyyə başçısı	mayor
burgemeesters	merlər	mayors
burger	mülki	citizen
burgerij	burjua	city state
burgerlijk	mülki	civil
burgerlijke	mülki	civil
burgeroorlog	vətəndaş müharibəsi	civil war
burgers	vətəndaşlar	citizens
burton	burton	burton
bus	avtobus	bus
bush	kol	bush
business	biznes	business
bussen	avtobuslar	buses
but	amma	<english word> but
buurland	qonşu ölkə	neighbouring country
buurlanden	qonşu ölkələr	neighbouring countries
buurt	qonşuluq	neighbourhood
buurten	məhəllələr	neighbours
bv	məsələn	eg
by	tərəfindən	door (2nd sentence)
byzantijnen	bizans	byzantins
byzantijnse	bizans	byzantin
byzantium	bizans	byzantium
c	c	c
ca	təqribən	ca
cacao	kakao	cocoa
caesar	sezar	caesar
caesars	qeysərlər	caesars
cafeïne	kofein	caffeine
café	kafe	public house
cafés	kafelər	bars
calcium	kalsium	calcium
california	kalifornia	californie
californian	kalibrli	californian
californische	kalibrli	californian
californië	kaliforniya	california
call	zəng edin	call
calvijn	calvin	calvijn
cambodja	kamboca	camboida
cambridge	kembric	cambridge
camera	kamera	camera
cameron	kamera	cameron
camp	düşərgə	camp
campagne	kampaniya	campaign
campus	şəhərcik	campus
can	bacarmaq	can
canada	kanada	canada
canadese	kanadalı	canadean
canarische	kanareyka	canary
canis	canis	canis
cannabis	sirr	cannabis
canon	canon	canon
cant	cant	cant
capaciteit	tutumu	capacity
car	maşın	car
caraïbische	karib	carribean
carcheologisch	arxeoloji	archeologic
card	kart	card
care	qayğı	care
carel	carel	carel
caribische	karib	caribic
carl	carl	carl
carlisle	karlisle	carlisle
carlo	karlo	carlo
carlos	carlos	carlos
carnaval	karnaval	carnaval
carolina	karolina	carolina
caroline	karolin	caroline
carpathia	karpatiya	carpathia
carrière	karyera	career
carter	sumpaq	crankcase
carthago	karfagen	carthago
casa	casa	casa
cash	nağd	cash
casino	kazino	casino
cast	tökmə	cast
castilië	qala	castile
castle	qala	kasteel
castro	kastro	castro
catalaans	katalan	catalan
catalaanse	katalan	catalan
catalonië	kataloniya	catalonia
categorie	kateqoriya	category
categorieamerikaans	kateqoriya amerikalı	category american
categorieamerikaanse	kateqoriya amerikalı	category american
categoriebrits	kateqoriya britaniyalı	category british
categorieduits	kateqoriya alman	category: german
categoriefilm	kateqoriya film	category: movie
categoriegemenebest	kateqoriya birlik	category commonwealth
categoriegeschiedenis	kateqoriya tarixi	category history
categoriehoofdstad	kateqoriya kapital	category of capital
categorieinfectieziekte	kateqoriya yoluxucu xəstəlik	category infectious disease
categorieitaliaans	kateqoriya italyan	category italian
categorieland	kateqoriya ölkə	country category
categorienederlands	kateqoriya holland	category:dutch
categorieplaats	kateqoriya yer	category
categorieprogramma	kateqoriya proqramı	category: programme
categoriestad	kateqoriya şəhər	category city
categorietelevisieprogramma	kateqoriya televiziya proqramı	category: television show
categoriewerelderfgoed	kateqoriya dünya irsi	category world inheritance
categorieën	kateqoriyalar	categories
catharina	katarina	catharina
cavalerie	süvari	cavalry
caïro	qahirə	cairo
cbs	cbs	cbs
cd	cd	compact disc
cda	cda	cda
cdot	cdot	cdot
cds	cds	compact discs
cdv	cdv	cdv
cel	hücrə	cell
cellen	hüceyrələr	cells
cement	sement	cement
centimeter	santimetr	centimeter
centra	mərkəzləri	centers
centraal	mərkəzi	central
centraalazië	mərkəzi asiya	central-asia
centraaleuropa	mərkəzi avropa	eastern europe
central	mərkəzi	central
centrale	mərkəzi	central
centre	mərkəz	center
centrum	mərkəz	centre
century	əsr	century
cf	cf	cf
challenge	meydan	challenge
champions	çempionlar	champions
