$ tỉ	милиард долара	$ billion
cỗi	инат	barren
cộ	моторизиран	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	стар	origin
cộng	плюс	to add (v.)
cột	колона	pole
cớ	извинение	excuse
cờ	флаг	flag
cỡ	размер	size
cợt	шегува	"(term should be ""đùa cợt"") to trifle (v.)"
cục	отдел	department
cụm	струпване	cluster
cụp	ампутиран	down
cụt	ампутиран	"(should be ""xương cụt"") the tailbone or coccyx"
củ	грудки	a bulb, a botanical term
của	от	of
củi	дърва за горене	firewood
củng	също	reinforce
cứ	на	any
cức	гукане	"(term should be ""cức Đê"") a character in chinese history"
cứng	трудно	hard
cứngi	hardi	cungi
cừ	полюси	nacre
cừu	агнешко	sheep
cửa	врата	door
cửu	умножете	nine
cữ	cu	abstinence
cữu	ковчеже	nine
cự	разстояние	against
cựa	спърс	retreat
cực	полюс	extreme
cựu	бивш	former
d	д	d.
da	кожа	skin
daegu	даегу	daegu
dahl	дал	(proper noun) dahl, as in author roald dahl
dai	труден	persistent
daily	ежедневно	daily
dakota	дакота	dakota, as in the state of south dakota
dalat	да лат	da lat
dampier	дампиер	(proper noun) dampier, a last name
dan	дан	dan
dancing	танцуване	dancing
danger	опасност	danger
danh	име	list
daniel	даниел	daniel
dante	данте	dante
dao	нож	poniard
darwin	дарвин	darwin
das	дас	das
dassault	dassault	(proper noun) dassault
date	дата	date
dau	масло	dau
dave	дейв	(proper noun) dave, as in dave sexton
david	дейвид	david, as in david thomas
davies	дейвис	davies
davis	дейвис	davis
dbsk	dbsk	dbsk
dc	гв	d.c.
ddr	ddr	ddr
dean	декан	a name
degree	степен	degree
delhi	делхи	delhi
delphi	делфи	(proper noun) delphi, as in the oracle
demeter	деметра	(proper noun) demeter, the greek goddess of the harvest
den	бърлога	den
dennis	денис	dennis
department	отдел	departmen
derek	дерек	derek
des	дес	des
descartes	декарт	descartes
design	thiết kế	thiet ke
deuterium	деутерий	deuterium
deutschland	deutschland	deutschland
dewan	деуан	dewan, as in dewan rakyat
dewitt	деуит	(proper noun) dewitt, as in rose dewitt bukater
di	ди	move
diana	диана	(proper noun) diana, as in diana ross
die	умирам	german
diego	диего	diego
dien	луд	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	ди маджо	gimaggio
dinh	дворец	official residence or palace
dionysus	дионис	dionysus, as in the greek god
discovery	откритие	discovery
discussion	дискусия	discussion
disneyland	дисниленд	disneyland
division	делене	division
divoire	divoire	d'lvoire
diêm	кибрит	diem vuong
diên	луд	"(term should be ""kinh diên"") canon (n.)"
diềm	волани	matches
diều	хвърчило	kite
diểu	фарс	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	март	parade
diệc	чапла	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	лице	face to face
diệt	убийство	to kill or destroy (v.)
diệu	магия	effective (adj.)
djibouti	джибути	djibouti, a country in africa
djokovic	джокович	(proper noun) djokovic, as in novak djokovic
dm	дм	dm
dmitri	дмитри	dmitri
dna	днк	dna
do	от	because of
doanh	става	"(term should be ""kinh doanh"") business (n.)"
doc	доктор	doc
docherty	дохърти	docherty
dolly	кукличка	(proper noun) dolly, as in singer dolly parton
dome	купол	nha
dominican	доминикански	(proper noun) dominican, as in the dominican republic
don	дон	(proper noun) don
donau	donau	donau
dortmund	дортмунд	(proper noun) dortmund
dougherty	дохърти	dougherty
douglas	дъглас	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	дойл	doyle
doãn	доан	doan
doạ	застрашаващи	threat
dp	dp	dp
dracula	дракула	dracula
draft	проект	draft
drake	паток	(proper noun) drake
driver	шофьор	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	дю	travel
dubai	дубай	dubai
duiker	малка юж.-афр. антилопа	duiker
duk	дук	duk
dumas	дюма	dumas
dumbledore	дъмбълдор	dumbledore
dung	животински тор	portrait
durham	дърам	durham
dursley	дърсли	dursley
duy	само	only
duyên	предопределената	coastal
duyện	амбициозен	fellatio
duyệt	браузър	browser
duơng	дуонг	ocean
duẩn	дуан	duan
duật	duat	duat
duệ	потомци	descendants (n.)
duỗi	изправяне	stretch
dwight	дуайт	dwight
dà	даа	gradually
dài	дълго	to lengthen, as in time
dàn	постановка	to arrange
dàng	лесно	dang
dành	прекарах	for
dào	изобилен	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	дебел	thick
dái	пикая	"penis (n.), although some may use the term to mean ""testicles"""
dám	осмелявам се	dare
dán	поставете	stick
dáng	форма	appearance
dát	инкрустиран	inlay
dâm	похотлив	lustful (adj.)
dân	хора	people
dâng	оферта	dedicate
dây	връв	nerve
dã	див	chronicle
dãi	толерантен	band
dãn	дилатативна	extend
dãy	диапазон	a row (n.)
dè	бъди внимателен	tight
défense	défense	defense
dép	сандали	slipper
dê	коза	goat
dì	леля	aunt
dìu	диу	to lead by the hand (v.)
dính	лепкав	stick
dò	търсене	(with word tham) to survey
dòm	виж	snoop
dòng	текущ	"(term should be ""dòng họ"") family (n.)"
dó	че	a type of plant used to make paper in vietnam (n.)
dông	гръмотевична буря	a storm (n.)
dõi	следите	monitor
dù	въпреки че	though
dùi	перфоратор	awl
dùng	употреба	use
dăm	талаш	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	разбира се	why
dĩa	плоча	dish
dũng	храбър	courage
dơ	мръсен	dirty
dơi	прилепи	bat
dư	остатъчен	remnant
dưa	пъпеши	melons
dưng	спри се	suddently
dương	положителен	penis
dường	изглежда	seem
dưỡng	кърмене	feed
dược	аптека	having to do with medicine (adj.)
dượng	чичо	uncle
dạ	да	night
dại	глупав	stupid or idiotic (adj.)
dạn	безстрашен	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	формат	tyoe
dạo	разходка	vending
dạt	измит	to drift
dạy	учи	teach
dải	лента	range
dấm	оцет	vinegar
dấp	препъване	shape
dấu	знак	signal
dấy	възбуждаща	to raise (v.)
dần	постепенно	people
dầu	масло	oil
dẫm	смачкат	step on
dẫn	ръководство	to lead
dẫu	въпреки че	though
dận	леля	to step on
dậu	петел	rooster
dậy	ставай	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	водя	lead
dằn	баласт	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	упорит	dằng dai= long/endless
dẳng	упорит	persist
dặm	миля	mile
dặn	поръчан	to advise (v.)
dặt	поръчка	conservative
dẹp	изравнете	pacify
dẹt	апартамент	flat
dẻ	кестени	chestnut
dẻo	пластичност	flexible
dế	щурците	cricket
dền	амарант	beetroot
dể	лесно	easy
dễ	лесно	easy
dệt	тъкачество	textile
dị	необичайност	simple
dịch	превеждам	semen
dịp	повод	occasion
dịu	мек	ease
dọa	застрашаващи	to threaten or scare (v.)
dọc	вертикален	along
dỏm	остроумен	witty
dốc	наклон	slope
dối	лъжа	lie
dốt	невеж	stupid or ignorant (adj.)
dồi	изобилен	"(term should be ""trau dồi"") improve (v.)"
dồn	натясно	accrue
dỗ	коаксиален	dirty
dời	ход	leave
dở	лошо	incomplete
dỡ	разтоварване	remove
dụ	например	example
dục	секс	sexuality
dụng	употреба	use
dứa	ананас	pineapple
dứt	спри се	to cease
dừa	кокосов орех	coconut (n.)
dừng	спри се	to cease
dữ	данни	"(term should be ""giận dữ"") anger (n.)"
dự	проектиран	attend
dựa	базиран	base on
dực	мъжки пол	dực, as in lê tương dực
dỹ	dy	dy
e	д	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ебро	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	еда	(proper noun) edda
edgar	едгар	edgar, as in author edgar allan poe (n.)
edge	ръб, край	edge
edinburgh	единбург	(proper noun) edinburgh, as in edinburgh, scotland
edison	едисон	edison
editor	редактор	editor
edmond	едмон	edmond
edo	едо	edo
edward	едуард	edward
edwin	едвин	edwin
eea	еип	eea
efron	ефрон	efron, as in zac efron
egypt	египет	egypt
eid	еи	(proper noun) eid
eiffel	айфеловата	eiffel
einstein	айнщайн	einstein
eisenhower	айзенхауер	eisenhower, as in former president dwight d. eisenhower
ekaterina	екатерина	this is a name
elbe	елба	(proper noun) the elbe river
electronic	електронен	electronic
eliane	елиане	(proper noun) eliane
elip	елипса	ellipse
elizabeth	елизабет	elizabeth
ellen	елън	ellen
ellis	елис	a name
elton	елтън	(proper noun) elton, as in elton john
elvis	елвис	elvis
elíp	елипса	ellipse
em	вие	younger sibling
email	електронна поща	email
emily	емили	(proper noun) emily, as in emily dickinson
emir	емир	emir
emmy	еми	emmy
en	ен	erica reef
energy	енергия	energy
engels	енгелс	engels
england	англия	(proper noun) england, as in new england
eniac	eniac	eniac
entente	антантата	entente
entropy	ентропия	entropy
enzym	ензим	enzymes
eo	талия	eo, as in the film captain eo
ep	еп	a name
erich	ерих	erich
erik	ерик	erik, as in erik moller
eris	ерис	eris
eritrea	еритрея	eritrea
ernest	ърнест	(proper noun) ernest
eros	ерос	eros, greek god of love
erwin	ервин	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	съществен	essential
ethernet	етернет	ethernet
ethiopia	етиопия	(proper noun) ethiopia
euclid	евклид	euclid
eugene	юджийн	eugene
eugène	йожен	(proper noun) eugène
euler	ойлер	euler
euro	евро	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	европа	europe
european	европейски	(proper adjective) european
eva	ева	eva
everton	евертън	everton
