$ tỉ	$ अरब	$ billion
croatia	क्रोएशिया	croatia
cross	पार	cross
crs	सीआरएस	crs
cruz	क्रूज़	cruz
cruzeiro	क्रुजेरो	cruzeiro
crystal	क्रिस्टल	crystal
ctc	सीटीसी	ctc
cua	केकड़ा	crab (n.)
cullen	कलन	a name
cung	सप्लाई	circle
cunningham	कनिंघम	cunningham; proper name
cup	कप	cup
cuả	की	of, from, belonging to
cuốc	चुनना	hoe
cuối	अंतिम	last or final (adj.)
cuốn	रोल	book
cuống	डंठल	throat
cuồng	मनमौजी	crazy (adj.)
cuộc		the
cyanide	साइनाइड	cyanide
cyber	साइबर	cyber
cyril	सिरिल	(proper noun) cyril
cyrus	साइरस	cyrus
cyworld	साईवर्ल्ड	cyword
cà	कॉफ़ी	ca
cài	स्थापित	install
càn	छापा	raid
càng	अधिक	cang
cành	कील	branch
cào	पंजा	scratch
cày	जुताई	plow
các		all (adv.)
cách	रास्ता	the
cái		"(term should be ""con cái"") children (n.)"
cán	रोलिंग	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	विंग	wing
cáo	लोमड़ी	report
cáopx|bình	cáopx | औसत |	not a word
cáp	केबल	cable (n.)
cáy	सारंगी बजानेवाला	fiddler
câm	गूंगा	mute (adj.)
cân	तराजू	weight
câu	v	saying
cãi	लोगों का तर्क है	argue
cò	सारस	stork
còn	अब तक	to have left (v.)
có	है	have
cói	समुद्री घास	machine
cót	bamboomat	cot
cô	चाची	girl
côi	पितृहीन	orphaned
côn	कीट	a stick (n.)
công		worker
côngtenơ	पात्र	container
cõi	लोकों	entire area
cõng	पिग्गीबैक	piggyback
cù	मेहनत	cu
cùi	कोढ़ी	leprosy
cùng	और	together
cú	शॉट	old
cúi	धनुष	to bow (v.)
cúm	फ़्लू	cum
cúng	प्रसाद	worship
cúp	कप	cup (n.)
cút	बाहर निकलो	to kick someone out (v.)
căm	में प्लग किया गया	detest (cam thu)
căn	अपार्टमेंट	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	तनावपूर्ण	tense
cũ	पुराना	old
cũi	पालना	kennel
cũng	साथ ही	also
cơm	चावल	rice
cư	आवासीय	resident
cưa	काटने का कार्य	saw
cưng	प्रिय	also
cước	प्रभार	megaman
cưới	शादी	marry
cướp	लूटना	to rob (v.)
cười	हंसी	smile
cường	तीव्रता	strengthen
cưỡi	सवारी	ride
cưỡng	मजबूर	force some body to do some thing. cưỡng dâm=rape
cạc	कार्ड	card (n.)
cạn	सूखा	shallow
cạnh	धार	"(term should be ""khía cạnh"") an angle"
cạo	स्ट्रिपर्स	shave
cạp	लेगिंग	scorpion
cả	दोनों	both
cải	सुधार	reform
cảm	ठंड	pleasure
cản	निकासी	prevent
cảng	बंदरगाहों	port
cảnh	स्थल	situation
cảo	डांड़ी	posthumous
cấm	निषिद्ध	ban
cấn	दिल	dramatic
cấp	ग्रेड	level or rank (n.)
cất	निर्माण	"(term should be ""cất giữ"") to keep safe or store"
cầm	पकड़	to hold (v.)
cần	ज़रूरी	need
cầu	पुल	request
cầy	सीविट	farmed
cẩn	सावधान रहो	carefully
cẩu	क्रेन	"(term should be ""hải cẩu"") a seal (n.)"
cận	पहुंच	close
cập	अद्यतन	mention
cậu	उसकी	a young man (n.)
cậy	भरोसे का	reliable
cắm	में प्लग करें	to plant (v.)
cắn	काटना	to bite
cắp	चोरी	steal
cắt	कमी	cut
cằm	ठोड़ी	chin
cằn	कर सकते हैं	exhausted (adj.)
cặp	जोड़ा	couple
cọ	हथेली	rub
cọc	जमा	pile
cọp	बाघ	tiger
cỏ	घास	plant
cố	कोशिश	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	कांच	cereal
cối	मोर्टारों	mortar
cốm	कॉम	grilled rice
cống	नाली	dedicate
cồn	शराब	i
cồng	घंटा	gong
cổng	गेट	gate
cỗ	डेक	engine
cỗi	बांझ	barren
cộ	ढोने का	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	जड़ों	origin
cộng	समुदाय	to add (v.)
cột	स्तंभ	pole
cớ	बहाना	excuse
cờ	शतरंज	flag
cỡ	आकार	size
cợt	मज़ा	"(term should be ""đùa cợt"") to trifle (v.)"
cục	विभाग	department
cụm	समूह	cluster
cụp	बह	down
cụt	पेंगुइन	"(should be ""xương cụt"") the tailbone or coccyx"
củ	कंद	a bulb, a botanical term
của	की	of
củi	जलाऊ लकड़ी	firewood
củng	वृद्धि हुई	reinforce
cứ	अपने	any
cức	अप्रमाणित ब्लॉक	"(term should be ""cức Đê"") a character in chinese history"
cứng	कठिन	hard
cứngi	cungi	cungi
cừ	धन	nacre
cừu	भेड़ का बच्चा	sheep
cửa	दरवाजा	door
cửu	गुणन	nine
cữ	कारावास	abstinence
cữu	सनातन	nine
cự	फोकस	against
cựa	अरगट	retreat
cực	खंभा	extreme
cựu	भूतपूर्व	former
d	घ	d.
da	चमड़ा	skin
daegu	डेगू	daegu
dahl	डाहल	(proper noun) dahl, as in author roald dahl
dai	कड़ा	persistent
daily	दैनिक	daily
dakota	डकोटा	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	डैम्पियर	(proper noun) dampier, a last name
dan	सज्जन	dan
dancing	नृत्य	dancing
danger	ख़तरा	danger
danh	नाम	list
daniel	डैनियल	daniel
dante	डांटे	dante
dao	चाकू	poniard
darwin	डार्विन	darwin
das	दास	das
dassault	डासौल्ट	(proper noun) dassault
date	तिथि	date
dau	दाउ	dau
dave	डेव	(proper noun) dave, as in dave sexton
david	डेविड	david, as in david thomas
davies	डेविस	davies
davis	डेविस	davis
dbsk	dbsk	dbsk
dc	डीसी	d.c.
ddr	डीडीआर	ddr
dean	डीन	a name
degree	हद	degree
delhi	दिल्ली	delhi
delphi	डेल्फी	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	मांद	den
dennis	डेनिस	dennis
department	विभाग	departmen
derek	डेरेक	derek
des	डेस	des
descartes	डेसकार्टेस	descartes
design	डिज़ाइन	thiet ke
deuterium	ड्यूटेरियम	deuterium
deutschland	deutschland	deutschland
dewan	दीवान	dewan, as in dewan rakyat
dewitt	डेविट	(proper noun) dewitt, as in rose dewitt bukater
di	सेल	move
diana	डायना	(proper noun) diana, as in diana ross
die	मरना	german
diego	डिएगो	diego
dien	डिएन	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	मुख्यालय	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	खोज	discovery
discussion	विचार-विमर्श	discussion
disneyland	डिज्नीलैंड	disneyland
division	विभाजन	division
divoire	divoire	d'lvoire
diêm	माचिस	diem vuong
diên	diên	"(term should be ""kinh diên"") canon (n.)"
diềm	लैंबेड़कीन	matches
diều	पतंग	kite
diểu	स्वांग	(proper noun) diểu
diễm	diễm	beauty; a common vietnamese first name for women
diễu	जुलूस	parade
diệc	बगला	a heron (n.)
diệm	डिएम	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	व्यापक	face to face
diệt	निष्कासन	to kill or destroy (v.)
diệu	जादू	effective (adj.)
djibouti	जिबूती	djibouti, a country in africa
djokovic	जोकोविच	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	दमित्री	dmitri
dna	डीएनए	dna
do	द्वारा	because of
doanh	व्यापार	"(term should be ""kinh doanh"") business (n.)"
doc	दस्तावेज़	doc
docherty	डोकर्टी	docherty
dolly	नादान	(proper noun) dolly, as in singer dolly parton
dome	गुंबद	nha
dominican	डोमिनिकन	(proper noun) dominican, as in the dominican republic
don	डॉन	(proper noun) don
donau	डेन्यूब	donau
dortmund	डॉर्टमुंड	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	डगलस	douglas
dover	डोवर	(proper noun) dover, as in the capital of delaware
doyle	डोयले	doyle
doãn	डोआन	doan
doạ	धमकी दी	threat
dp	डी पी	dp
dracula	ड्रेकुला	dracula
draft	मसौदा	draft
drake	मक्खी	(proper noun) drake
driver	ड्राइवर	a name
ds	डी एस	ds
dtd	dtd	dtd
dth	डीटीएच	dth
du	यात्रियों	travel
dubai	दुबई	dubai
duiker	डुइकर	duiker
duk	डुक	duk
dumas	dumas	dumas
dumbledore	डंबलडोर	dumbledore
dung	क्षमता	portrait
durham	डरहम	durham
dursley	डर्स्ली	dursley
duy	केवल	only
duyên	तट	coastal
duyện	yanzhou	fellatio
duyệt	अनुमोदन	browser
duơng	सराहना	ocean
duẩn	डुआन	duan
duật	duat	duat
duệ	वंशज	descendants (n.)
duỗi	प्रसारक	stretch
dwight	ड्वाइट	dwight
dà	दा	gradually
dài	लंबे समय तक	to lengthen, as in time
dàn	ऑर्केस्ट्रा	to arrange
dàng	आसान	dang
dành	आरक्षित	for
dào	dào	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	गाढ़ा	thick
dái	दाई	"penis (n.), although some may use the term to mean ""testicles"""
dám	करने की हिम्मत	dare
dán	पेस्ट	stick
dáng	आकार	appearance
dát	जड़े	inlay
dâm	लिंग	lustful (adj.)
dân	लोग	people
dâng	समर्पित	dedicate
dây	रस्सी	nerve
dã	वन्यजीव	chronicle
dãi	सहनशीलता	band
dãn	फैलाव	extend
dãy	पंक्ति	a row (n.)
dè	सावधान रहो	tight
défense	डिफैंस	defense
dép	हवाई चप्पलें	slipper
dê	बकरा	goat
dì	चाची	aunt
dìu	दीव	to lead by the hand (v.)
dính	चिपचिपा	stick
dò	जांच	(with word tham) to survey
dòm	व्यक्त एक	snoop
dòng	वर्तमान	"(term should be ""dòng họ"") family (n.)"
dó	poonah	a type of plant used to make paper in vietnam (n.)
dông	आंधी	a storm (n.)
dõi	सदस्यता लें	monitor
dù	यद्यपि	though
dùi	आलोचना करना	awl
dùng	उपयोग	use
dăm	कुचल	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	बेशक	why
dĩa	चक्र	dish
dũng	साहस	courage
dơ	अशुद्ध	dirty
dơi	चमगादड़	bat
dư	अवशिष्ट	remnant
dưa	ख़रबूज़े	melons
dưng	अचानक	suddently
dương	सकारात्मक	penis
dường	लगता है	seem
dưỡng	नर्सिंग	feed
dược	दवा	having to do with medicine (adj.)
dượng	चाचा	uncle
dạ	हां	night
dại	पागल	stupid or idiotic (adj.)
dạn	साहसी	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	आकार	tyoe
dạo	घूमना	vending
dạt	धुल गया	to drift
dạy	सिखाने	teach
dải	पट्टी	range
dấm	सिरका	vinegar
dấp	पिटाई	shape
dấu	संकेत	signal
dấy	वृद्धि	to raise (v.)
dần	धीरे-धीरे	people
dầu	तेल	oil
dẫm	चाल	step on
dẫn	गाइड	to lead
dẫu	यद्यपि	though
dận	मार पड़ी है	to step on
dậu	मुरग़ा	rooster
dậy	उठो	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	गाइड	lead
dằn	गिट्टी	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	अनंत	dằng dai= long/endless
dẳng	अनंत	persist
dặm	मील	mile
dặn	आज्ञा	to advise (v.)
dặt	आरक्षित	conservative
dẹp	बाहर फ्लैट	pacify
dẹt	समतल	flat
dẻ	गोलियां	chestnut
dẻo	plasticizer	flexible
dế	क्रिकेट	cricket
