$	ps	dollars
въздействието	el impacto	the influence
въздействия	impactos	influences
въздух	aire	air
въздуха	el aire	air
въздушен	aire	air
въздушни	aéreo	air
въздушните	aéreo	air
възел	nodo	node
възкачването	el ascenso	ascension
възкресение	resurrección	reincarnation
възли	nodos	nodes
възлиза	asciende a	amounts
възлизат	cantidad a	amounts
възлияние	infusión	libatio
възможен	posible	possible
възможна	posible	possible
възможни	posible	possible
възможните	posible	possible
възможно	posible	possibly
възможност	oportunidad	possibility
възможности	oportunidades	opportunies
възможностите	oportunidades	the possibilities
възможността	la oportunidad	possibility
възнесение	ascensión	ascension
възникване	ocurrencia	origin
възникването	la emergencia	originating
възникват	surgir	arise
възникнал	surgió	occurred
възникнали	ocurrió	originated
възникнало	ocurrió	appeared
възпаление	inflamación	inflamation
възползва	beneficios	benefit
възприема	percibe	perceived
възприемат	percibir	perceive
възраждане	renacimiento	renaissance
възраждането	el avivamiento	rebirth
възраст	años	age
възрастни	adultos	adults
възрастните	adultos	adult
възрастта	años	age
възрожденска	renacimiento	revival
възрожденски	renacimiento	renaissance
възстановен	restaurado	rebuilt
възстановена	restaurado	established
възстанови	restaurar	recover
възстановява	restaura	recover
възстановяване	recuperación	establishment
възстановяването	recuperación	the recovery
възстановят	restaurar	restore
възход	subir	rise
вълк	lobo	wolf
вълна	ola	wave
вълната	la ola	the wave
вълнения	emoción	unrest
вълни	olas	waves
вълци	lobos	wolves
вълците	los lobos	wolves
външен	externo	outside
външна	externo	external
външната	externo	external
външни	externo	external
външните	externo	external
външния	el exterior	external
външният	el exterior	appearance
външно	externamente	foreign
въобще	en general	at all
въоръжен	armado	armed
въоръжени	armado	armed
въоръжение	armamento	weaponry
въоръжените	los armados	the armed
въпреки	a pesar de que	nevertheless
въпрос	pregunta	problem
въпроса	la pregunta	issue
въпроси	preguntas	questions
въпросите	las preguntas	questions
въпросът	la pregunta	issue
върви	vamos	go
върнат	regresado	back
върне	regreso	return
въртене	rotación	rotation
въртенето	rotación	the spinning
върти	giros	spin
въртят	girar	rotate
върха	la parte superior	top
върхове	tapas	peaks
върховен	supremo	supreme
върховете	las cimas	high
върховния	el supremo	high
върховният	el supremo	high
върху	en	on
въстание	levantamiento	uprising
въстанието	el levantamiento	uprising
въстания	levantamientos	uprisings
вътре	dentro	inside
вътрешен	interno	internal
вътрешна	interno	iner
вътрешната	interno	inside
вътрешни	interno	home
вътрешните	interno	home
вътрешния	el interior	inside
вътрешно	internamente	iner
вътрешността	el interior	inside
вътрешното	el interior	domestic
вяра	fe	vera
вярата	fe	faith
вярва	cree	it is believed
вярвали	creído	believed
вярвания	creencias	beliefs
вярват	creer	believe
вятър	viento	wind
вятъра	el viento	the wind
г	re	y
габриел	gabriel	gabriel
габрово	gabrovo	gabrovo
габровски	gabrovski	gabrovo's
гавраил	gabriel	gavrail
гаврил	gavril	gavril
гага	gagá	eider
гагарин	гагарин	gagarin
газ	gas	gas
газа	gas	gaza (name of city)
газания	gazania	gazania
газове	gases	gas
газовете	gases	gas
газови	gas	gas
газовите	gas	gas
гай	arboleda	guy
галактика	galaxia	galaxy
галактиката	la galaxia	galaxy
галактики	galaxias	galaxies
галактиките	galaxias	galaxies
галерии	galerías	galleries
галерията	la galeria	gallery
галилей	galileo	galileo
галилео	galileo	galileo
галия	galio	gaul
гама	gama	gama
гамелан	gamelan	gamelan
гана	ghana	ghana
гандалф	gandalf	gandalf
ганди	gandhi	gandhi
гао	gao	gao
гара	la montaña	station
гарантира	garantías	ensure
гари	estación	stations
гарнизон	guarnición	garrison
гарнизони	guarniciones	garrisons
гарсия	garcia	garcia
гауда	gouda	gauda
гауейн	gawain	gawain (name)
гвардия	guardia	guards
гватемала	guatemala	guatemala
гвиана	guayana	guyana
гвинея	guinea	guinea
гевара	guevara	guevara
гей	gay	gay
гейтс	puertas	gates
ген	gen	gene
генерал	general	general
генерален	general	general
генераллейтенант	teniente general	lieutenant general
генералмайор	general mayor	generalmayor
генералния	el general	general
генерира	genera	generate
генерират	generar	generating
генетичен	genético	genetic
генетична	genético	genetic
генетични	genético	genetic
гени	genes	genes
геноцид	genocidio	genocide
гео	geo	geo
география	geografía	geography
географска	geográfico	geographic
географската	geográfico	geographical
географски	geográficamente	geographical
географските	geográfico	geographical
географско	geográficamente	geographically
географското	geográfico	geographic
