$	ps	your
baydhabotan	de esta manera	baydhabotan
baylah	vulnerable	susceptible
bayna	camino	she
bayoloji	biología	biology
bayolojigu	biología	bayolojigu
bayoolojiga	biología	the biology
baytulaxam	aptitud	baytulaxam
bbc	etc.	bbc
be	ser	la
bebad	barba	bebad
bed	cama	area
beddelo	cambio	changed
bedelaan	cambio	would move
bedelay	cambiado	games will be held in
bedeli	cambialo	change
bedelin	sin alterar	not revise
bedka	espacio	bedka
beebeen	perdió	beebeen
beedkeediiduqaydii	mi berenjena	beedkeediiduqaydii
beegan	coincidencia	fall
beegsaday	dirigido	he tried to measure up to
beel	comunidad	clan
beelaha	comunidades	clans
beelahaas	esas comunidades	those clans
beelahakan	en estas comunidades	beelahakan
beelihii	comunidades	the clans
beelo	perdió	clans
beelood	comunidades	clans
beelweynta	comunidad	beelweynta
been	falso	lie
beenawday	mintió	beenawday
beeni	negar	contradict
beeniyana	negarlo	and rejects
beeniyeen	negado	lie
beenta	mentiras	false
beentana	no mientas	beentana
beer	un campo	farm
beera	sembrar	harvest
beeraha	agricultura	agriculture
beeraleey	granjero	farmers
beerato	planta	beerato
beeray	plantado	he planted
beereed	pedir	agricultural
beero	sembrar	plant
beeroley	granjero	farmer
beerta	en el jardín	farm
beerto	plantando	always reap what you sow
beesha	comunidad	clan
beeshu	la barba	clan
beeyay	metro	beeyay
being	siendo	being
belarus	bielorrusia	belarus
beledweyne	beledweyne	beledweyne
belfast	belfast	belfast
belgium	bélgica	belgium
beljim	belga	beljim
belkooda	su cinturón	belkooda
belo	belo	evil
benin	banco	benin
benito	benito	benito
berbera	higos	berbera
berberaburao	mañana	berberaburao
berigii	luego	one day
bermer	bermer	bermer
bern	berna	bern
besha	besha	besha
between	entre	between
bey	bey	she
beytkiisa	su casa	beytkiisa
biblia	biblia	biblia
bidcada	herejías	fundamentalism
bidco	bidco	heresy
bidix	izquierda	left
biir	cerveza	beer
biira	cerveza	becomes
biiray	unido	have joined
biirey	unido	biirey
biiro	sesos	accumulation
biirtay	unido	did you join
bik	bi	bik
bikra	virgen	bikra
bil	mes	month
bilaa	sin	without
bilaabaan	comienzo	start
bilaabata	empieza	starts
bilaabatay	empezado	started
bilaabato	empieza	slipped away one by one
bilaabay	empezado	he started
bilaabayaa	empieza	start
bilaabeen	empezado	started
bilaabidda	la iniciación	start or stop
bilaabmay	empezado	he got started
bilaabo	de	start
bilaal	medalla	bilal
bilaawday	empezado	was begun in 1955
biladao	medalla	biladao
bilaha	meses	months
bilawday	empezado	started
bilawga	el principio	the start
bilawgii	desde el principio	beginning of
bilay	mes	he promoted
bile	bilis	bile
bill	cuenta	elections bill
billaabo	desde el principio	start
biloobo	preliminar	biloobo
bilood	meses	months
bilow	comienzo	beginning
bilowday	empezado	started
bilowgii	desde el principio	initial
bilsho	bilsho	bilsho
bilwaday	rosa	bilwaday
bin	siguiendo	bin
bini	humano	think about
biniaadamka	humanidad	human immunodeficiency virus
biniaadanka	tu humanidad	biniaadanka
bintu	bintu	daughter
binu	lo siento	human
bir	hierro	iron
biritishka	el británico	its pronunciation
birmingham	birmingham	birmingham
birta	hierro	the iron
bisha	mes	the month
bishii	mes	last month
bishiisa	su mes	bishiisa
bishuna	bishuna	bishuna
bisinka	bis	the bismillahi
bisiqa	bíceps	the large tree
bisiqley	bisiqley	bisiqley
bislaado	maduro	bislaado
bislaanaayo	maduro	bislaanaayo
bixi	fuera	take out
bixin	fuera	pay
bixinta	provisión	payment
bixisaa	proporciona	pay
bixisay	pagado	paid
bixiya	previsto	pay
bixiyaan	proporcionar	bixiyan
bixiyay	previsto	grow out
bixiyey	previsto	he gave
biyaha	agua	water
biyihii	agua	the water
biyo	agua	water
bmp	bmp	bmp
bni	bni	bni
bog	página	page
boga	página	page
bogaadin	cumplido	the family
bogaan	esta página	go right ahead
bogan	bogan	would satisfy
bogga	página	page
boggan	esta página	this page
bohol	cráter	depression
boire	boire	boire
bois	bois	bois
boland	boland	boland
bold	negrita	different shapes
bole	tronco	bole
boliifia	biliifia	boliifia
bolis	bolo	bolis
bolkaniskaee	botón de play	bolkaniskaee
bollywood	bollywood	bollywood
bombeelmada	bombardeo	bombeelmada
boob	botín	robbery
bood	saltos	jump
boodhari	giro	bodhari
booliiska	la policía	police
booliska	la policía	the police
boon	bendición	boon
boondheere	buscar	boondheere
booqan	visitar	visit
booqanaya	visitando	visited
booqashada	la visita	the visit
booqashadeydi	mi visita	booqashadeydi
booqdaa	visitar	booqdaa
booqdaan	visitar	visit
booqday	visitó	he visited
booqdayaasha	los visitantes	booqdayaasha
booqdo	visitar	visit
boorama	calabaza	borama.
boorame	calabaza	borame
boorin	instar	boorin
boorinta	exhortación	boorinta
boosaaso	bosaso	bosaso
boosaha	enviar	boosaha
booskii	el lugar	position
booskiisii	su lugar	was
boqol	cien	hundred
boqolkii	cien	out
boqolkiiba	por ciento	percent
boqolsoon	cien	boqolsoon
boqor	un rey	king
boqorad	reina	queen
boqoraddii	la reina	queen
boqorka	el rey	the king
boqorkayow	mi rey	boqorkayow
boqorkii	el rey	the king
boqornimada	el reino	yes indeed
boqortooyada	el reino	kingdom
boqortooyadii	el reino	kingdom
boqortooyadu	el reino	kingdom
boqortooyo	reino	kingdom
boqray	rey	he made king
borama	borama	awdal borama
borogaramyo	programadores	borogaramyo
bortaqiiska	portugués	greek
borwa	venir	borwa
bosniya	depresión	bosniya
botha	botha	botha
botswana	botswana	"botswana ""african country name"""
brdm	brdm	brdm
britain	bretaña	britain
britan	mañana	britan
britanwaxa	mañana	britanwaxa
british	británico	british
btr	btr	btr
buaale	dólares	buaale
budh	buda	club
buhoodle	comprador	odweyne b
buka	enfermo	sick
bukhaari	capucha	bukhari
bukhari	bujari	he said in another tradition in
bulgaariya	bulgaria	bulgaariya
bulgaria	bulgaria	bulgaria
bullaxaar	aguas residuales	bullahar
bulleted	con viñetas	dheddiga
bulshada	comunidad	social
bulshadabawaayo	sin comunidad	bulshadabawaayo
bulshadeennu	nuestra comunidad	bulshadeennu
bulshadii	la comunidad	people
bulsho	social	society
bun	bollo	coffee
buq	zumbido	spring
bur	harina	flour
buraan	tumor	now its important
burbur	destrucción	disaster
burburay	colapsado	it was crushed
burburinta	destructivo	he was ravaging
burburintii	la destrucción	in
burburiyay	destruido	it destroyed
burburiyeen	destruido	have destroyed
burburiyey	destruido	he destroyed
burburka	destrucción	the destruction
burburkii	el colapso	destruction
burburku	destrucción	rehabilitation of
burburtay	colapsado	collapse
burco	burco	burao
burkina	mis hamburguesas	burkina
burma	birmania	burma
buro	tumor	growth
bursadeen	cazado	bursadeen
burtinle	burtinle	burtinle
burton	aparejo	buton
burundi	burundi	burundi
bush	arbusto	bush
bushaaranaynaa	nosotros bendecimos	bushaaranaynaa
businessman	empresario	businessman
buskoon	en el buson	buskoon
busra	harina	busra
but	pero	but
butaan	alabanza	butaan
buu	él	he
buuciya	nutritiva	buuciya
buug	libro	book
buuga	el libro	book
buugaagta	libros	books
buugga	el libro	the book
buuhoodle	zumbador	buhoodle
buulo	nido	village
buuloburde	excavadora	buuloburde
buuloburte	perrito	buuloburte
buundo	puente	bridge
buuq	ruidoso	noise
buur	una montaña	mountain
buuraha	montañas	the mountains
buurdhuubo	cena	buurdhuubo
buuriga	tabaco	the cigar
buuro	montañas	butter
buurta	la montaña	the mountain
buurweyn	obesidad	buurweyn
buuxa	completo	full
buuxaan	completo	full
buuxda	completo	the full
buuxin	llenar	fill
buuxinaya	relleno	completing from
buuxsadaye	estaba lleno	buuxsadaye
by	por	by
c	c	c
caabbi	resistencia	resistance
caabinta	resistencia	rahanwein resistance army
caabuda	adoración	serve
caabudaa	adoración	worship him must worship
caabudaan	adoración	worship
caabudi	adoración	worship
caabudistiisa	su adoración	caabudistiisa
caabudo	adoración	worship
caabudwaaq	adoración	abudwaq
caad	personalizado	ad
caadalad	incorrecto	cornerstone
caadi	normal	normal
caadiga	normal	the normal
caado	hábito	habit
caafimaad	salud	health
caafimaadka	salud	health
caag	el plastico	caagg caagg caagg
caaggan	este contenedor	shying away from something
caaid	ayuda	caaid
caajis	aburrido	lazy
caalami	internacionalmente	international
caalamiga	internacionalmente	international
caalamiya	internacionalmente	huge effort will be taken
caalamka	el universo	the world
caalamkka	internacionalmente	caalamkka
caalamku	el universo	international community
caalim	erudito	him
caalimkii	el erudito	caalimkii
caalimudiin	erudito	caalimudiin
caalin	consejo	scientist
caalmaka	seres humanos	from different countries
caalmka	en el mundo	caalmka
caamul	leva	caamul caamul
caan	famoso	well-known
caana	leche	milk
caanaha	leche	milk
caanbaxday	es famoso	vaanbaxday
caanka	famoso	the famous
caano	leche	milk
caansan	popular	famous
caansana	famoso	caansana
caansanaa	famoso	it was famous
caaqil	sabio	wise
caas	capital	caas
caasha	amor	asha
caashaq	amor	love
caashaqa	amor	the romance
caasimad	capital	capital
caasimada	capital	capital
caasimadaha	capitales	capital cities
caasimadda	capital	the capital
caasimadiisa	su capital	conference that would take place
caato	delgado	atto
caawa	esta noche	tonight
caawin	ayuda	help
caawinaayaan	asiste	will help
caawisayba	ayudado	caawisayba
caawiyey	ayudado	he helped
caawiyo	ayuda	help
cabaar	por un momento	a wait
cabaas	cabaret	abbas. they show
cabbaas	cables	abbas
cabbay	bebió	he drank
cabbeen	bebió	drank from it
cabdalla	cabdalla	abdalla
cabdalle	cabdalle	abdalla
cabdi	beber	abdi
cabdicasiis	de miedo	abdiasis
cabdilaahi	abdulahi	cabdilaahi
cabdillaahi	abdullah	abdullai
cabdillahi	abdulahi	cabdillahi
cabdille	cabdille	abdulle
cabdimanaaf	cámaras	weather
cabdimudhalib	cabdimudhalib	cabdimudhalib
cabdinaasir	adiccion	abdinasir
cabdiqaasim	cabhyqaasim	abdiqasim
cabdirashid	cabrarashid	dr. abdirashid
cabdirashiid	medida	abdi rasheed
cabdiraxmaan	para explicar	abdirahman
cabdiraxman	cabdirahman	abdirahman
cabdirisaaq	medida	abdirizak
cabdisalaan	ellos tienen miedo	abdisalam
cabdixaaji	ya sea	cabdixaaji
cabdmudhalib	alianza	cabdmudhalib
cabdulaahi	cafetería	abdullahi
cabdulahi	cabalhihi	abdullahi
cabdule	cabdule	abdul
cabdullaahi	abdullah	abdullahi
cabdullahi	abdullah	abdullahi
cabdulle	abdulle	abdulle
cabdulmalik	cabalmalik	cabdulmalik
cabdulmuncim	cabdulmuncim	cabdulmuncim
cabdulqaadir	enanismo	abdulqadir
cabdulraxmaan	hijo de abdurahman	cabdulraxmaan
cabduqaadir	congestión	abdulqadir
cabduraxmaan	cantar	cabduraxmaan
cabid	beber	drink
cabir	escala	size
cabirka	talla	optometrist
cabitaanka	bebiendo	the drink
cable	cable	cable
cabsada	miedo	fear
cabsi	miedo	fear
cabsida	miedo	the fear
cabudhiyaan	intimidar	its not only
cad	claro	clear
cadaa	blanco	i don't know
cadaada	compresión	cadaadaq
cadaadis	opresión	pressure
cadaado	claro	adado
cadaalada	justicia	justice
cadaaladda	justicia	justice
cadaalda	justicia	cadaalda
cadaan	blanco	white
cadaanka	ropa blanca	white
cadaatay	demostrado	reports had proved
cadaawe	hostil	enemy
cadal	perfume	cadal
cadale	adair	adale
cadami	cadmio	adami), who spoke
cadan	blanco	aden
cadawga	el enemigo	the opponent
cadaymaa	evidencia	cadaymaa
cadcad	claro	white
cadceed	el sol	sun
cadceedu	el sol	--getting its rays
caddaalad	justicia	justice
caddaatay	se hizo claro	it became clear
caddayn	evidencia	declaration
caddaynaya	probarlo	establishing
caddaynta	prueba	the declaration
cadde	probar	adde
caddeeyay	demostrado	declared
caddoow	ser claro	caddoow
cade	ser claro	clear
cadeeyay	demostrado	smiled
cadexamar	ser claro	cadexamar
cadi	blanco	cadi
cadmeed	cadete	aden
cadnaa	obviamente	cadnaa
cadnaan	cadencia	adnaan
cadoo	canalla	cadoo
cadoow	un enemigo	cadoow
cadow	enemigo	enemy
cadowgiin	tu enemigo	cadowgiin
cadrad	perfume	virgin
cafaan	perdón	othman ibnu afan
cafariga	perdón	cafariga
cafarigaluqada	perdón	cafarigaluqada
cafimaad	salud	nutrition programs
caga	descalzo	marines
cagaaran	verde	green
cagaarka	verduras	the green grass
cago	pie	feet
cagta	pie	football
cairo	rabia	cairo
cajalad	cinta	tape
cajiib	maravilloso	wonder
calaa	indignación	palm
calaamad	una señal	sign
calaamd	una señal	calaamd
calaamdaha	síntomas	symptoms
calaamka	la señal	calaamka
calaamooyin	señales	signs
calaamooyinkaas	estos signos	calaamooyinkaas
calan	bandera	flag
calanka	la bandera	the flag
calankaba	bandera	calankaba
calanku	la bandera	flag was green
calanle	bandera	calanle
calasoow	echale un vistazo	calasoow
calasow	bandera	calasow
calayhi	mañana	calayhi
cali	cali	ali
caliaxmed	caliaxmed	caliaxmed
called	llamado	called
calool	estómago	stomach
caluula	calloso	aluula
camaamad	enlace	camaamad
camal	escritura	deeds
camallada	andanzas	camallada
camalladiisa	sus obras	camalladiisa
camaloow	jugador	camaloow
camar	camar	insect that eats hide while it is drying
cambaha	modales	cambaha
camiran	camiran	well furnished
campaign	campaña	barnaamij
camuud	arena	sand
can	ahí	cheek
canbaha	vides	canbaha
canfar	la gripe	afar
canfartu	frío	canfartu
cape	capa	cape
captain	capitán	captain
caqabadna	un reto	caqabadna
caqiidada	doctrina	reflect
caqli	sabio	intelligence
caqliga	intelecto	the intelligence
caqligu	lógica	would
car	coche	freshness
caraale	caramelo	punishment
caraaye	frustrado	caraaye
carab	en árabe	arab
caraba	los árabes	arabian countries; said report
carabi	en árabe	arabic
carabiga	en árabe	carabiga
carabigu	en árabe	carabigu
carabiya	en arabia	arabia
carabka	lengua	the arab
carabkana	en el idioma árabe	will stretch forth toward
carabta	los árabes	arab league
carabtii	al mediodía	arabs who
carabtu	arábica	arabian
carabعبد	عبد árabe	arab
carabعبدالله	carabina عبدالله	arab
carafaat	carafaat	arafat
cararay	huyó	he ran away
carareen	huyó	fled
carartay	huyó	her
carbeed	en árabe	arabian
carbta	lengua	arab dress and succeeded
card	tarjeta	card
carif	carpa	carif
cariif	ligero	carief
caroone	caroton	caroone
carqaladaynkaro	interrumpido	carqaladanka
carrabey	mudo	carrabey
carro	suelo	soil
carruur	niños	children
carruureede	niños	carruureede
carruurta	niños	children
carruurtiisa	sus hijos	children
carruurtiisu	sus hijos	children who respect
cars	coches	cars
carta	carta	arta
cartan	carro	roar
carte	carro	arte
caruur	niños	children
caruurta	niños	curuuta
caruurtii	los niños	the children
caruurtiisa	sus hijos	his children
caruurtooda	sus niños	their children
cas	rojo	red
case	caso	case
casharadan	en esta leccion	casharadan
casharka	la leccion	the lesson
casharkii	la leccion	lesson
casho	para la cena	dinner
cashocado	para la cena	cashocado
casi	rojo	casi
casiis	rojo	respectability
casimada	por la tarde	casimada
casir	actualizar	afternoon prayers
casmara	rojo	casmara
casri	moderno	modern
casriga	moderno	the era
casrigan	en los tiempos modernos	talks about most
casriyadii	el moderno	casriyadii
casriyeesan	a hoy	casriyeesan
casriyeesanwaxeena	en nuestro estado moderno	casriyeesan , our
casumay	invitado	he invited
casuumay	invitado	dignitaries
casuura	invitación	casuura
cawaale	una pala	awale
cawil	gris	substitute
cawo	masticar	tonight
caws	césped	grass
cay	insulto	insult
cayaar	jugar	play
cayaaraha	deportes	sports
caydiid	insulto	aided
cayiman	especificado	fixed
cayimey	especificado	cayimey
cayn	tipo	kind
caynaba	de cualquier tipo	aynabo
caynabo	risas	aynaba
ccc	ccc	ccc
ceeb	vergüenza	shame
ceel	bien	well
ceelaayo	desvergonzado	ceelaayo
ceelal	bien	wells
ceelasha	pozos	wells
ceelbuur	un pozo	called el-buhr
ceelcad	bien	feerfeer town
ceeldheer	el pozo	aeldeare district
ceelgaal	bien	ceelgaal
ceelhuur	un pozo	ceelhuur
ceelka	el pozo	"well ""water hole """
ceelkii	el pozo	well
ceelku	el pozo	the well got full
ceerigaabo	la niebla	erigabo
ceerigabo	hay niebla	sanag erigabo
ceeryaamo	niebla	fog
celi	repetir	repeat
celin	repetición	return
celisa	contenido	who
celiya	aguantar	back
celiyay	retenido	thanked
celiyo	repetir	back
cell	célula	cell
cells	células	cells
cellular	celular	cellular
celmi	aguantar	celmi
center	centrar	center
centre	centrar	center provider
cerulli	cerulli	cerulli
channel	canal	channel
channels	canales	channels
charles	charles	charles
chavez	chavez	chaves
chemistry	química	chemistry
chirac	chirac	chirac
christian	cristiano	christain
christos	christos	christos
church	iglesia	church
cibaadada	adoración	godly
cibaado	devoción	worship
cibaarada	adoración	cibaarada
cid	nadie	no one
cida	oms	the cry
cidamada	en el desierto	leading power
cidda	oms	the family
ciddii	oms	unknown individual
cidhifyada	bordes	cidhifyada
cidi	cidi	anybody
cidii	oms	anybody
cidina	nadie	no one
cidla	solitario	the empty
cidlo	solitario	empty area
cidluu	solitario	cidluu
cidna	nadie	no one
ciel	ciel	ciel
cigaal	cigarrillo	egal
cigaaljpg|maxamed	smaljpg |	cigaaljpg|mohamed
cigalxasan	continuado	cigalxasan
ciid	arena	sand
ciida	eid	soil texture
ciidamada	tropas	forces
ciidamadee	tus tropas	ciidamadee
ciidamadii	tropas	the forces
ciidamadiisa	su ejercito	his forces
ciidamadu	tropas	forces
ciidamdii	tropas	some
ciidamo	tropas	forces
ciidan	ejército	forces
ciidangale	ejército	ciidangale
ciidanka	ejército	the forces
ciidankii	el ejercito	army
ciidankiisii	su ejercito	courage
ciidanku	el ejercito	the
ciidda	suelo	the soil
