$	ps	dollarsign
bezetten	ocupar	occupy
bezetting	ocupación	occupation
bezichtigen	ver	see
bezienswaardigheden	monumentos	sights
bezig	ocupado	busy
bezigheden	ocupaciones	activities
bezighouden	ocupar	occupy
bezighoudt	ocupado	occupy
bezit	posesión	possession
bezitten	tener	own
bezittingen	posesiones	posessions
bezocht	visitó	visited
bezoek	visitar	visit
bezoeken	asistir	visit
bezoekers	los visitantes	visitors
bezoekt	visitas	visit
bezwaar	objeción	objection
bezwaren	objeciones	objections
beëindigd	terminado	ended
beëindigen	para terminar	terminate
beïnvloed	afectado	influenced
beïnvloeden	influenciar	to influence
beïnvloedt	afecta	influences
bibliografie	bibliografía	bibliography
bibliotheek	biblioteca	library
bibliotheken	bibliotecas	libraries
bieber	bieber	bieber
bieden	oferta	offered
biedt	ofertas	offers
bier	cerveza	beer
biercultuur	cultura de la cerveza	beer culture
bieren	cervezas	beers
bieslook	cebollín	chive
big	grande	big
bij	abeja	with
bijbehorende	correspondiente	associated
bijbel	biblia	bible
bijbelse	bíblico	biblical
bijdrage	contribución	contribution
bijdragen	contribuir	contributions/ contribute
bijeen	juntos	together
bijeenkomst	reunión	meeting
bijeenkomsten	reuniones	meetings
bijen	abejas	bees
bijgedragen	contribuido	contributed
bijgehouden	mantenido	kept / maintained
bijgestaan	asistido	assisted
bijgevolg	por consiguiente	so
bijgewerkt	actualizado	updated
bijgezet	enterrado	adjoined
bijkomende	adicional	additional
bijna	casi	almost
bijnaam	apodo	nickname
bijnamen	apodos	nicknames
bijten	morder	to bite
bijv	p.ej	for example
bijvangst	captura fortuita	surplus catch
bijvoorbeeld	por ejemplo	for instance
bijwerkingen	efectos secundarios	side
bijwoord	adverbio	adverb
bijzonder	especial	special
bijzondere	especial	special
bill	cuenta	bill
billboard	cartelera	billboard
billy	porra	billy
bin	compartimiento	bin (part of name)
binden	corbata	bind
binnen	dentro	inside
binnenkant	dentro	inside
binnenland	interior	interior
binnenlands	doméstico	domestic
binnenlandse	doméstico	inland
binnenstad	ciudad interior	town
binnenste	interior	inner
bio-ethiek	bioética	bio ethics
biografie	biografía	biography
biologie	biología	biology
biologisch	biológico	biological
biologische	biológico	biological
bioscoop	cine	movie theater
bioscopen	salas de cine	movie theaters
bipolaire	bipolar	bipolar
bisdom	diócesis	bisdom
bisdommen	diócesis	dioceses
bisschop	obispo	biship
bisschoppen	obispos	bischops
bitch	perra	teef
björn	björn	bjorn
blaasontsteking	cistitis	urinary infection
black	negro	black
blad	sábana	journal
bladeren	hojas	leaves
blair	blair	blair
blake	blake	blake
blanc	blanc	white
blanke	persona blanca	white
blanken	ropa blanca	whites
blauw	azul	blue
blauwe	azul	blue
blazen	soplo	blow
bleef	se mantuvo	stayed absence
bleek	resultó	appeared to be
bleken	blanqueamiento	appeared
bleven	se quedó	remain
blij	contento	happy
blijft	permanece	remains
blijken	apagar	to appear
blijkt	resulta	seems
blijven	permanecer	happy just
blijvend	perdurable	remain
blijvende	perdurable	staying
blind	ciego	blind
blinde	ciego	blind
bloed	sangre	blood
bloedarmoede	anemia	anaemia
bloedcellen	células de sangre	blood cells
bloeddruk	presión arterial	blood pressure
bloedige	sangriento	bloody
bloedsomloop	sistema circulatorio	circulatory
bloeduitstorting	hematomas	haematoma
bloedvaten	vasos sanguineos	veins
bloedverlies	pérdida de sangre	bloodloss
bloei	florecer	blossom
bloeiende	floreciente	flowering
bloeiperiode	periodo de floración	blossom period
bloem	flor	flower
bloemen	flores	floral
blog	blog	blog
blok	bloquear	block
blokkade	bloqueo	blockade
blokken	bloques	blocks
blokkeren	bloquear	obstruct
bloot	desnudo	revealed
blootgesteld	expuesto	exposed
blootstelling	exposición	exposure
blote	desnudo	naked
blue	azul	blue
blues	blues	blues
bluetooth	bluetooth	bluetooth - proper noun - brand name
bluray	bluray	blu-ray
bnp	pnb	gdp
bob	beto	bob
bobby	poli	bobby
bocht	curva	curve
bod	oferta	offer
bodem	fondo	soil
boden	ofrecido	offered
boeda	buda	buda
boedapest	budapest	budapest
boeddha	buda	buddha
boeddhisme	budismo	buddhism
boeddhisten	budistas	buddhists
boeddhistische	budista	buddhist
boeg	arco	bow
boeing	boeing	boeing - proper noun
boek	libro	book
boekarest	bucarest	bucharest
boeken	libros	books
boekenreeks	serie de libros	book series
boer	granjero	boer (name)
boerderij	granja	farm
boeren	agricultores	farmers
boete	multa	fine
boezems	pechos	atrium
bohemen	bohemia	bohemians
bol	esfera	sphere
bolivia	bolivia	bolivia
bombardement	bombardeo	bombardment
bombardementen	bombardeo	bombardments
bomen	arboles	trees
bon	recibo	bon
bonaire	bonaire	bonaire
bonaparte	bonaparte	bonaparte
bond	enlace	bond
bondgenoot	aliado	ally
bondgenootschap	alianza	alliance
bondgenoten	aliados	allies
bondsrepubliek	república federal	federal republic
bonen	frijoles	beans
bonn	bonn	bonn
bono	bono	good
bood	ofrecido	offered
boodschap	mensaje	message
boodschappen	comestibles	messages
boog	arco	arc
book	libro	book
boom	árbol	tree
boord	tablero	bord
boos	enojado	angry
boot	barco	boat
bootleg	pirata	bootleg
borderline	límite	borderline
border|pxvlag	frontera | px bandera	border
borg	depositar	bail
boris	boris	boris
borsato	borsato	borsato
borst	cofre	chest
borsten	los senos	breasts
borstkanker	cáncer de mama	breast cancer
borstvoeding	amamantamiento	breastfeeding
bos	bosque	forest
bosbouw	silvicultura	forestry
bosch	bosch	bosch
bosnië	bosnia	bosnie
bosporus	bósforo	bosporus
bossen	bosques	forests
bot	hueso	bone
boten	barcos	boats
boter	mantequilla	butter
botsing	choque	collision
botten	huesos	bones
bottom	fondo	bottom
boudewijn	boudewijn	boudewijn - proper noun - first name
boulevard	bulevar	boulevard
bourgondische	borgoña	burgundian
bourgondië	borgoña	bourgondie
bouw	construcción	building
bouwde	construido	built
bouwden	construido	builded
bouwen	para construir	build
bouwkunst	arquitectura	architecture
bouwmaterialen	materiales de construcción	building materials
bouwstijl	estilo arquitectónico	building style
bouwwerk	edificio	structure
bouwwerken	estructuras	buildings
boven	piso de arriba	processing
bovenaan	en la cima	above
bovendien	además	also
bovengenoemde	dicho arriba	afore mentioned
bovenop	encima de	on top
bovenstaande	encima	above mentioned
bovenste	superior	upper
bovenzijde	lado superior	top
bowie	bowie	bowie
box	caja	box
boy	chico	boy
boys	niños	jongens
boze	enojado	angry
brabant	brabante	brabant
brabants	brabantes	brabants
brabantse	brabantse	brabant
bracht	trajo	brought
brachten	trajo	brought
brad	puntilla	brad
brak	rompió	started
braken	vómito	throwing up
bram	bram	bram
brand	fuego	fire
branden	para quemar	fires
brandende	ardiente	burning
brandstof	combustible	fuel
brandstoffen	combustibles	fuels
brandweer	brigada de bomberos	fire brigade
braque	braque	braque
braziliaanse	brasileño	brazilian
brazilië	brasil	brazil
break	descanso	break
breda	breda	breda
brede	ancho	broad
breder	más amplio	wider
bredere	más amplio	broader
breed	amplio	broad
breedte	anchura	width
breedtegraad	latitud	latitude
breekt	rompe	breaks
breidde	expandido	spread
breiden	expandir	expand
brein	cerebro	brain
breken	descanso	break
brengen	traer	bring
brengt	trae	brings
bretagne	bretaña	brittany
breuk	rotura	console
brian	brian	brian
bridge	puente	bridge
brief	letra	letter
brieven	letras	letters
bril	lentes	"""bril""/ glasses"
brink	verde	brink
brit	brit	briton
british	británico	britisch
britney	britney	britney
brits	británico	brittish
britse	británico	britisch
britten	británico	british
broeders	hermanos	brothers
broeikaseffect	efecto invernadero	greenhouse effect
broek	pantalones	broek
broer	hermano	brother
broers	hermanos	brothers
bron	fuente	source
bronnen	fuentes	sources
bronzen	bronce	bronze
brood	pan de molde	bread
brooke	brooke	brooke
brooklyn	brooklyn	brooklyn
bros	frágil	bros
brothers	hermanos	brothers (broers)
brouwen	elaborar cerveza	brew
brown	marrón	brown (name)
bruce	bruce	bruce
brug	puente	bridge
brugge	brujas	brugge
bruggen	puentes	bridges
brugse	brujas	bruges
bruikbaar	usable	usable (2nd sentence), practicable (5th and 6th sentence)
bruiloft	boda	wedding
bruin	marrón	brown
bruine	marrón	brown
brussel	bruselas	brussels
brussels	bruselas	brussels
brusselse	bruselas	brussels
bruto	bruto	gross
brutus	brutal	brutus - proper noun - surname or first name
btw	iva	btw
budget	presupuesto	budget
buenos	buenos	buenos
buigen	arco	bend
buik	barriga	belly
building	edificio	building
buis	tubo	tube
buiten	fuera de	outside
buitenaf	fuera de	outside
buitengewoon	fuera de lo común	extraordinary
buitenkant	fuera de	outside
buitenland	extranjero	foreign country
buitenlanders	extranjeros	foreigners
buitenlands	exterior	foreign
buitenlandse	exterior	octavian
buitenste	exterior	outer most
buitenwereld	mundo exterior	outside world
buitenwijken	afueras	suburbs
bul	bul	bul
bulgaarse	búlgaro	bulgarian
bulgarije	bulgaria	bulgaria
bull	toro	bull
bunker	búnker	bunker
burcht	fortaleza	stronghold
bureau	escritorio	bureau
buren	vecinos	neighbours
burgemeester	alcalde	mayor
burgemeesters	alcaldes	mayors
burger	civil	citizen
burgerij	burguesía	city state
burgerlijk	civil	civil
burgerlijke	civil	civil
burgeroorlog	guerra civil	civil war
burgers	los ciudadanos	citizens
burton	aparejo	burton
bus	autobús	bus
bush	arbusto	bush
business	negocio	business
bussen	autobuses	buses
but	pero	<english word> but
buurland	país vecino	neighbouring country
buurlanden	países vecinos	neighbouring countries
buurt	barrio	neighbourhood
buurten	barrios	neighbours
bv	p.ej.	eg
by	por	door (2nd sentence)
byzantijnen	bizantinos	byzantins
byzantijnse	bizantino	byzantin
byzantium	bizancio	byzantium
c	c	c
ca	aprox.	ca
cacao	cacao	cocoa
caesar	césar	caesar
caesars	césares	caesars
cafeïne	cafeína	caffeine
café	cafetería	public house
cafés	cafeterías	bars
calcium	calcio	calcium
california	california	californie
californian	californiano	californian
californische	californiano	californian
californië	california	california
call	llamada	call
calvijn	calvin	calvijn
cambodja	camboya	camboida
cambridge	cambridge	cambridge
camera	cámara	camera
cameron	cameron	cameron
camp	acampar	camp
campagne	campaña	campaign
campus	instalaciones	campus
can	lata	can
canada	canadá	canada
canadese	canadiense	canadean
canarische	canario	canary
canis	del perro	canis
cannabis	canabis	cannabis
canon	canon	canon
cant	hipocresía	cant
capaciteit	capacidad	capacity
car	coche	car
caraïbische	caribe	carribean
carcheologisch	carqueológico	archeologic
card	tarjeta	card
care	cuidado	care
carel	carel	carel
caribische	caribe	caribic
carl	carl	carl
carlisle	carlisle	carlisle
carlo	carlo	carlo
carlos	carlos	carlos
carnaval	carnaval	carnaval
carolina	carolina	carolina
caroline	carolino	caroline
carpathia	carpatia	carpathia
carrière	carrera	career
carter	sumidero	crankcase
carthago	cartago	carthago
casa	casa	casa
cash	efectivo	cash
casino	casino	casino
cast	emitir	cast
castilië	castilla	castile
castle	castillo	kasteel
castro	castro	castro
catalaans	catalán	catalan
catalaanse	catalán	catalan
catalonië	cataluña	catalonia
categorie	categoría	category
categorieamerikaans	categoría americana	category american
categorieamerikaanse	categoría americana	category american
categoriebrits	categoría británica	category british
categorieduits	categoría alemana	category: german
categoriefilm	categoría de cine	category: movie
categoriegemenebest	categoría mancomunidad	category commonwealth
categoriegeschiedenis	historia de la categoría	category history
categoriehoofdstad	capital de categoría	category of capital
categorieinfectieziekte	categoría enfermedad infecciosa	category infectious disease
categorieitaliaans	categoría italiana	category italian
categorieland	categoría país	country category
categorienederlands	categoría holandesa	category:dutch
categorieplaats	lugar de categoría	category
categorieprogramma	programa de categoría	category: programme
categoriestad	categoría ciudad	category city
categorietelevisieprogramma	categoría programa de televisión	category: television show
categoriewerelderfgoed	categoría patrimonio mundial	category world inheritance
categorieën	categorías	categories
catharina	catharina	catharina
cavalerie	caballería	cavalry
caïro	el cairo	cairo
cbs	cbs	cbs
cd	discos compactos	compact disc
cda	cda	cda
cdot	cdot	cdot
cds	cds	compact discs
cdv	cdv	cdv
cel	célula	cell
cellen	células	cells
cement	cemento	cement
centimeter	centímetro	centimeter
centra	centros	centers
centraal	central	central
centraalazië	asia central	central-asia
centraaleuropa	europa central	eastern europe
central	central	central
centrale	central	central
centre	centrar	center
centrum	centrar	centre
century	siglo	century
cf	cf	cf
challenge	desafío	challenge
champions	campeones	champions
chan	chan	chan
change	cambio	change
channel	canal	channel
chaos	caos	chaos
charleroi	charleroi	charleroi
charles	charles	charles
charlie	charlie	charlie
charlotte	charlotte	charlotte
chase	persecución	chase
che	che	che
chef	cocinero	chief
cheliceren	felicitar	cheliceren
chelsea	chelsea	chelsea
chemie	química	chemical
chemisch	químico	chemical
chemische	químico	chemical
cheops	cheops	cheops
chicago	chicago	chicago
chief	jefe	chief
child	niño	shield
children	niños	children
chileense	chileno	chilean
chili	chile	chili
china	china	china - proper noun - country
chinatown	barrio chino	chinatown
chinees	chino	chinese
chinese	chino	chinese
chinezen	chino	chinese
chistorisch	históricamente	historic
chistorische	chistorical	historical
chocolade	chocolate	chocolat
choice	elección	choice
cholesterol	colesterol	cholesterol
chr	chr	chr
chris	chris	chris
christelijk	cristiano	christian
christelijke	cristiano	christian
christen	cristiano	christian
