$	dollar təşkil edib	dollars
الأعصاب	əsəblər	nerves
الأعضاء	üzvlər	members
الأعظم	ən böyüyü	the greatest
الأعلام	bayraqlar	flags
الأعلى	üst	upper
الأعمال	i̇ş	acts
الأعمدة	sütunlar	columns
الأعوام	i̇llər	the years
الأغالبة	ağlabidlər	el-aghaleba
الأغاني	mahnilar	songs
الأغذية	yemək	food
الأغراض	məqsədləri	purposes
الأغلب	əsasən	mainly
الأغلبية	əksəriyyəti	majority
الأغنية	mahnı	song
الأفراد	fərdi şəxslər	of the individuals
الأفريقي	afrika	african
الأفريقية	afrika	african
الأفضل	ən yaxşısı	the best
الأفعال	verblər	acts
الأفغاني	əfqan	afghani
الأفكار	fikirlər	ideas
الأفلام	filmlər	the films
الأفيون	tiryək	opium
الأقاليم	ərazilər	regions
الأقدس	ən müqəddəs	the sacred
الأقدم	ən qədim	the oldest
الأقرب	ən yaxın	the closest
الأقسام	bölmələr	sections
الأقصى	uzaq	maximum
الأقطار	diaqonallar	territories
الأقل	ən aşağı	least
الأقليات	azlıqlar	minority
الأقمار	aylar	satellites
الأقوال	sözlər	sayings
الأكاديمية	akademiya	academy
الأكبر	ən böyük	the biggest
الأكراد	kürdlər	kurd
الأكسجين	oksigen	oxygen
الألب	alp dağları	alps
الألبان	süd	dairy
الألبانية	alban	albanian
الألف	əlif	the millenium
الألفية	minillik	millennium
الألم	ağrı	pain
الألمان	almanlar	the germans
الألماني	alman	german
الألمانية	alman	german
الألواح	plitələr	plates
الألوان	rənglər	colours
الأم	ana	origin
الأمازيغ	berberlər	the amazigh
الأمازيغية	tamazight	tamazight
الأماكن	yerlər	places
الأمام	i̇rəli	imam
الأمان	təhlükəsizlik	security
الأمانة	dürüstlük	the responsibility
الأمة	millət	suffered
الأمثال	süleymanın məsəlləri	examples
الأمثلة	nümunələr	exampels
الأمد	müddəti	time
الأمر	məsələ	the issue
الأمراء	şahzadələr	princes
الأمراض	xəstəliklər	disease
الأمريكتين	amerika	the two americas
الأمريكي	amerika	american
الأمريكية	amerika	america
الأمريكيون	amerikalılar	americans
الأمريكيين	amerikalılar	the americans
الأمصار	siklonlar	the states
الأمطار	yağış	rains
الأمعاء	bağırsaq	intestines
الأمل	ümid	hope
الأملاح	duzlar	salts
الأمم	millətlər	nations
الأمن	təhlükəsizlik	the security
الأمنية	təhlükəsizlik	security
الأمواج	dalğalar	waves
الأموال	pul	the money
الأمور	i̇şlər baş verir	the conditions
الأموي	umayyad	umayyad
الأموية	umayyad	umayyad
الأمويون	üməyyələr	umayyads
الأمويين	üməyyələr	alomoaon
الأمية	savadsızlıq	illiteracy
الأمير	şahzadə	prince
الأميرة	şahzadə	the queen
الأميركي	amerika	american
الأميركية	amerika	american
الأمين	katib	custodian
الأنا	eqo	ego
الأناجيل	i̇ncillər	bibles
الأناضول	anadolu	anatole
الأنباء	xəbərlər	news
الأنبياء	peyğəmbərlər	prophets
الأنثروبولوجيا	antropologiya	anthropology
الأنثى	qadın	the female
الأندلس	andalusiya	andalusia
الأندية	klublar	clubs
الأنسجة	doku	the tissues
الأنسولين	i̇nsulin	insulin
الأنشطة	fəaliyyətlər	activities
الأنصار	ənsar	ansar
الأنصاري	əl-ənsari	ansari
الأنطروبولوجيا	antropologiya	anthropology
الأنظمة	sistemlər	systems
الأنف	burun	nose
الأنفاق	tunellər	the tunnels
الأنماط	üslublar	styles
الأنهار	çaylar	rivers
الأنواع	növlər	kind
الأهالي	valideynlər	fammilies
الأهداف	məqsədlər	the goals
الأهرام	əl-əhram	el-ahram
الأهرامات	piramidalar	the pyramids
الأهلي	əl-əhli	al-ahly
الأهلية	uyğunluq	civil
الأهم	ən əsası	the most important
الأهمية	əhəmiyyəti	importance
الأوائل	birincisi	original
الأوامر	əmrlər	orders
الأوبرا	opera	opera
الأودية	dərələr	canyons
الأوراق	yarpaqlar	papers
الأورام	şişlər	tumors
الأوربية	avropa	european
الأوروبي	avropa	european
الأوروبية	avropa	european
الأوروبيون	avropalılar	the europeans
الأوروبيين	avropalılar	europeans
الأوزون	ozon	ozone
الأوساط	dairələr	circles
الأوسط	orta	middle
الأوسمة	dekorasiyalar	medals
الأوضاع	şərtlər	situations
الأوعية	qablar	vessels
الأوقات	times	time
الأوكراني	ukraynalı	ukrainian
الأوكرانية	ukraynalı	alucrohn
الأول	birincisi	the first
الأولمبية	olimpiya	olympics
الأولى	birincisi	the first
الأولي	i̇lkin	incipient
الأولية	i̇btidai	raw
الأيام	günlər	days
الأيبيرية	i̇berian	alaepireya
الأيسر	sol	the left
الأيمن	düzdür	right
الأيوبي	əl ayoubi	ayubi (name)
الأيوبية	əyyubid	ayyubid
الإباحية	pornoqrafiya	porno
الإبادة	xəsarət	elimination
الإباضية	i̇badi	el ebadeya
الإبداع	yaradıcılıq	creativity
الإبراهيمية	i̇brahim	abrahamic
الإبل	dəvələr	camels
الإتحاد	birlik	union
الإثارة	həyəcan	excitement
الإثنين	bazar ertəsi	monday
الإجابة	cavab ver	answer
الإجراءات	fəaliyyətlər	procedures
الإجماع	konsensus	agreement
الإجمالي	cəmi	the total
الإجمالية	cəmi	total
الإحساس	sensasiya	feeling
الإحصاء	statistika	statistics / the count
الإحصاءات	statistika	statistics
الإحصائيات	statistika	alihsaniat
الإحصائية	statistik	statistical
الإخوان	qardaşlıq	brothers
الإدارة	i̇darəetmə	government
الإداري	i̇nzibati	administrative
الإدارية	i̇nzibati	administrative
الإدعشري	el adhari	el-edashry
الإذاعة	radio	broadcast
الإرادة	i̇radə	welling
الإرشاد	məsləhət	guidance
الإرهاب	terrorizm	the terrorism
الإسبان	i̇span	spanish
الإسباني	i̇span	the spanish
الإسبانية	i̇span	the spanish
الإسراء	i̇sra	israa
الإسرائيلي	i̇srail	the israelian
الإسرائيلية	i̇srail	israeli
الإسرائيليين	i̇sraillilər	the israeli people
الإسكندر	i̇skəndər	alexander
الإسكندرية	i̇sgəndəriyyə	alexandria
الإسلام	i̇slam	peace
الإسلامي	i̇slami	islamic
الإسلامية	i̇slami	islamic
الإسماعيلية	i̇smailiyyə	ismailia
الإشارات	i̇şarələr	signs
الإشعاع	radiasiya	radiation
الإشعاعي	radioloji	the radioactive
الإصابة	yaralanma	the infection
الإصدار	versiya	the edition
الإصلاح	düzəlt	the reformation
الإصلاحات	təmir	reforms
الإصلاحية	düzəldici	reformatory
الإطار	çərçivə	framework
الإطلاق	başlanğıc	absolutely
الإعدام	edamlar	death
الإعلام	mediya	media
الإعلامي	məlumatlı	media man
الإعلان	reklam	announcement
الإعلانات	elanlar	advertisements
الإغريق	yunanlar	greek
الإغريقي	yunan	greek
الإغريقية	yunan	greek
الإفريقي	afrika	african
الإفريقية	afrika	the african
الإقامة	yaşayış yeri	place of stay
الإقليم	ərazi	region
الإقليمي	regional	regional
الإقليمية	regional	regional
الإلحاد	ateizm	atheism
الإلكترون	elektron	electron
الإلكترونات	elektronlar	electronics
الإلكترونية	elektron	eletriny
الإله	allah	elah
الإلهي	i̇lahi	divine
الإلهية	i̇lahi	holly
الإمارات	əmirliklər	emirates
الإمارة	əmirlik	emirate
الإمامة	i̇mamət	the lead
الإمامية	i̇mami	imami
الإمبراطور	i̇mperator	empire
الإمبراطورية	i̇mperiya	the empire
الإمدادات	təchizatlar	supplies
الإناث	qadın	females
الإنتاج	i̇stehsal	production
الإنتاجية	məhsuldarlıq	production
الإنترنت	i̇nternet	the internet
الإنجليز	i̇ngilislər	british
الإنجليزي	i̇ngilis	england
الإنجليزية	i̇ngilis	english
الإنجيل	müqəddəs kitab	the bible
الإنسان	i̇nsan	the human
الإنساني	i̇nsan	humanitarian
الإنسانية	i̇nsanlıq	the human
الإنشاء	yaradılması	construction
الإنفاق	xərcləmə	spending
الإنفلونزا	qrip	flu
الإنكشارية	yeniçərilər	janissaries
الإنكليزي	i̇ngilis	the english
الإنكليزية	i̇ngilis	english
الإيجابية	müsbət	positive
الإيدز	qi̇çs	aids
الإيراني	i̇ranlı	iranian
الإيرانية	i̇ranlı	iranian
الإيطالي	i̇talyan	italian
الإيطالية	i̇talyan	italian
الإيطاليين	i̇talyanlar	italians
الإيمان	i̇nam	the faith
الا	i̇stisna olmaqla	except
الائتلاف	koalisiya	coalition
الابتدائي	i̇btidai	primary
الابتدائية	i̇btidai	primary
الابن	oğul	ann
الاتجاه	i̇stiqamət	direction
الاتجاهات	i̇stiqamətlər	directions
الاتحاد	birlik	union
الاتحادية	federal	federal
الاتصال	əlaqə	communication
الاتصالات	ünsiyyət	communications
الاتفاق	razılaşma	an agreement
الاتفاقيات	müqavilələr	agreements
الاتفاقية	razılaşma	the agreement
الاتهام	i̇ttiham	accusation
الاثني	etnik	athenian
الاثنين	bazar ertəsi	monday
الاجتماع	i̇clas	conference
الاجتماعات	görüşlər	gatherings
الاجتماعي	sosial	social
الاجتماعية	sosial	civilized
الاجتهاد	çalışqanlıq	thinking
الاحتباس	tutma	global
الاحتفاظ	saxlayın	to keep
الاحتفال	şadlıq	festival
الاحتفالات	qeyd etmələr	festivals
الاحتكاك	sürtünmə	harassment
الاحتلال	i̇şğal	occupation
الاحتياجات	ehtiyacları var	needs
الاختبار	test	test
الاختلاف	fərq	difference
الاختلافات	fərqlər	the differences
الاختيار	yoxlayın	the choice
الارتباط	bağlantı	attachment
الارتفاع	boy	rising
الازدهار	rifah	prosperity
الاستثمار	i̇nvestisiya	investment
الاستثمارات	sərmayələr	investments
الاستخبارات	zəka	intelligence
الاستخدام	i̇stifadə edin	usage
الاستخدامات	i̇stifadə edir	usages
الاستراتيجي	strateji	strategic
الاستراتيجية	strategiya	strategical
الاستسلام	təslim olun	capitulation
الاستعمار	kolonizasiya	colonization
الاستعماري	müstəmləkəçi	colonial
الاستعمارية	müstəmləkəçi	colonial
الاستعمال	i̇stifadə edin	usage
الاستفتاء	referendum	referendum
الاستقرار	sabitlik	stability
الاستقلال	müstəqillik	independence
الاستنساخ	çoxalma	cloning
الاستهلاك	i̇stehlak	consumption
الاستواء	düzləşdirmə	tropical
الاستوائية	tropik	tropical
الاستيلاء	tutma	takeover
الاسكندنافية	skandinaviya	scandinavian
الاسم	adı	the name
الاسود	qara	black
الاشتراك	abunə olun	participation
الاشتراكي	sosialist	socialist
الاشتراكية	sosializm	communist
الاشتراكيون	sosialistlər	socialists
الاصطناعى	sintetik	intelligent
الاصطناعي	süni	artificial
الاضطراب	gərginlik	confusion
الاضطرابات	narahatlıq	disturbances
الاضطهاد	təqib	persecution
الاضطهادات	təqiblər	the persecutions
الاعتبار	nəzərə alın	consideration
الاعتداء	hücum	assault
الاعتراف	tanıma	recognition
الاعتقاد	i̇nam	believe
الاعتماد	akkreditasiya	relying on
الاعلام	media	media
الاعمال	i̇ş	works
الاغنية	mahnı	the song
الاقتصاد	i̇qtisadiyyat	economy
الاقتصادي	i̇qtisadi	the economical
الاقتصادية	i̇qtisadi	economic
الاكتشاف	kəşf	the discovery
الاكتشافات	kəşflər	discoveries
الالتزام	öhdəlik	adherence
الامام	i̇mam	imam
الامبراطورية	i̇mperiya	empire
الامير	şahzadə	prince
الانتخابات	seçkilər	elections
الانتخابية	seçki	electoral
الانتداب	mandat	mandate
الانتشار	yayılır	the spread
الانتصار	qələbə	the victory
الانتصارات	qələbələr	the victories
الانتفاضة	qiyam	uprising
الانتقادات	tənqid	criticisms
الانتقال	davam etmək	transmission
الانتقالية	keçid	transitory
الانتقام	qisas almaq	the revenge
الانتهاء	bitirdi	finishing
الاندلس	andalusiya	al-andalus
الاندماج	birləşmə	merging
الانسحاب	çıxarın	retreat
الانضمام	qoşulun	joining
الانطروبولوجيا	antropologiya	anthropology
الانفجار	partlayış	the explosion
الانفصال	ayrılıq	separation
الانقسام	bölmə	division
الانقلاب	zərbə	coup
الاهتمام	diqqət	the interest
الايكولوجية	ekoloji	the ecological
الباب	qapı	door
البابا	papa	pope
البابلي	babil	babylonian
البابلية	babil	babylonia
البابوية	papalıq	papal
البابية	casement	the babian
الباحث	tədqiqatçı	researcher
الباحثون	tədqiqatçılar	researchers
الباحثين	tədqiqatçılar	researchers
البارد	soyuq	cold
الباردة	soyuq	the cold
البارزة	görkəmli	the prominent
البارزين	görkəmli	the prominent
الباطنية	ezoterik	underground
الباقي	qalanları	the rest
الباقية	qalanları	the rest
البالغ	yetkin	the one reaching
البالغة	yetkin	very much
البالغين	böyüklər	adult
البتراء	petra	petra
البترول	neft	petrol
البث	veriliş	broadcast
البحار	dənizlər	seas
البحر	dəniz	sea
البحري	dəniz	marine
البحرية	donanma	el-baharia
البحرين	bəhreyn	bahrain
البحوث	tədqiqat	researches
البحيرات	göllər	lakes
البحيرة	göl	the lake
البخار	buxar	vapor
البخاري	buxari	albokhari
البدء	başlayın	start
البدائي	i̇btidai	primordial
البدائية	primal	primitive
البداية	başlanğıc	the beginning
البدنية	fiziki	physical
البدو	bədəvilər	bedouin
البذور	toxumlar	seeds
البر	düzgünlük	righteousness
البرازيل	braziliya	brazil
البرازيلي	braziliyalı	brazilian
البراكين	vulkanlar	volcanoes
البرامج	proqramlar	programs
البربر	berberlər	barbar
البربرية	vəhşilik	barbarian
البرتغال	portuqaliya	portugal
البرتغالي	portuqalca	portuguese
البرتغالية	portuqalca	portuguese
البرتغاليين	portuqaliyalı	portuguese
البرج	qüllə	the tower
البركان	vulkan	the volcano
البركاني	vulkanik	volcanic
البركانية	vulkanik	volcanic
البرلمان	parlament	parliament
البرلمانية	parlament	parliamentary
البرمجيات	proqram təminatı	the software
البرنامج	proqram	the program
البروتستانت	protestantlar	protestant
البروتستانتية	protestant	the protestans
البروتوكولات	protokollar	the protocols
البروتونات	protonlar	protons
البروتين	zülal	proten
البروتينات	zülallar	proteins
البري	vəhşi	the wild
البرية	vəhşi	wild
البريد	poçt	mail
البريطاني	i̇ngilis	the british
البريطانية	i̇ngilis	the british
البريطانيون	i̇ngilislər	british people
البريطانيين	i̇ngilislər	britons
البسيط	sadə	simple
البسيطة	sadə	simple
البشر	i̇nsanlar	humans
البشري	i̇nsan	humen
البشرية	i̇nsanlıq	the human
البصرة	bəsrə	basra (name)
البصري	optik	visual
البصريات	optika	optics
البصرية	vizual	optical
البضائع	mallar	merchandises
البطالة	i̇şsizlik	the unemployment
البطل	qəhrəman	the hero
البطن	beli	stomach
البطولات	çempionat	championships
البطولة	çempionat	main cast
البظر	klitoris	the clitoris
البعث	qiyamət	baath
البعثات	missiyalar	the missions
البعثة	missiya	the expedition
