$ tỉ	مليار دولار	$ billion
cô	لها	girl
côi	يتيم	orphaned
côn	تفتق	a stick (n.)
công	العمل	worker
côngtenơ	الحاوية	container
cõi	العوالم	entire area
cõng	على ظهره	piggyback
cù	دغدغة	cu
cùi	البرص	leprosy
cùng	معا	together
cú	بومة	old
cúi	ينحني	to bow (v.)
cúm	الانفلونزا	cum
cúng	دافئ	worship
cúp	انقطاع	cup (n.)
cút	اخرج	to kick someone out (v.)
căm	موصول	detest (cam thu)
căn	جذري	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	تمتد	tense
cũ	قديم	old
cũi	سرير أطفال	kennel
cũng	كذلك	also
cơm	أرز	rice
cư	يسكن	resident
cưa	المنشار	saw
cưng	حبيبي	also
cước	الشحن	megaman
cưới	متزوج	marry
cướp	سرقة	to rob (v.)
cười	تضحك	smile
cường	مكثف	strengthen
cưỡi	ركوب	ride
cưỡng	القسري	force some body to do some thing. cưỡng dâm=rape
cạc	البطاقة	card (n.)
cạn	ضحلة	shallow
cạnh	حافة	"(term should be ""khía cạnh"") an angle"
cạo	حلق	shave
cạp	العقرب	scorpion
cả	كلاهما	both
cải	خردل	reform
cảm	بارد	pleasure
cản	ابتليت	prevent
cảng	ميناء	port
cảnh	المشهد	situation
cảo	تسحب	posthumous
cấm	محظور	ban
cấn	تحتاج	dramatic
cấp	منحة	level or rank (n.)
cất	مقطر	"(term should be ""cất giữ"") to keep safe or store"
cầm	عقد	to hold (v.)
cần	تحتاج	need
cầu	الجسر	request
cầy	الزباد	farmed
cẩn	كن حذرا	carefully
cẩu	رافعة	"(term should be ""hải cẩu"") a seal (n.)"
cận	نهج	close
cập	عداد	mention
cậu	له	a young man (n.)
cậy	يمكن الاعتماد عليه	reliable
cắm	سد العجز	to plant (v.)
cắn	لدغة	to bite
cắp	سرقة	steal
cắt	قطع	cut
cằm	الذقن	chin
cằn	غاضب	exhausted (adj.)
cặp	زوج	couple
cọ	النخيل	rub
cọc	كومة	pile
cọp	نمر	tiger
cỏ	العشب	plant
cố	حاول	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	كوب	cereal
cối	هاون	mortar
cốm	شذرات	grilled rice
cống	تحية	dedicate
cồn	كحولي	i
cồng	غونغ	gong
cổng	البوابة	gate
cỗ	ظهر السفينة	engine
cỗi	عنيد	barren
cộ	مركبة	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	قديم	origin
cộng	زائد	to add (v.)
cột	العمود	pole
cớ	عذر	excuse
cờ	العلم	flag
cỡ	الحجم	size
cợt	يمزح	"(term should be ""đùa cợt"") to trifle (v.)"
cục	القسم	department
cụm	الكتلة	cluster
cụp	مبتور	down
cụt	مبتور	"(should be ""xương cụt"") the tailbone or coccyx"
củ	الدرنات	a bulb, a botanical term
của	من	of
củi	الحطب	firewood
củng	أيضا	reinforce
cứ	على	any
cức	سجع	"(term should be ""cức Đê"") a character in chinese history"
cứng	صعب	hard
cứngi	هاردي	cungi
cừ	أكوام	nacre
cừu	الأغنام	sheep
cửa	الباب	door
cửu	اضرب	nine
cữ	النحاس	abstinence
cữu	النعش	nine
cự	المسافة	against
cựa	توتنهام	retreat
cực	متطرف	extreme
cựu	السابق	former
d	د	d.
da	الجلد	skin
daegu	دايجو	daegu
dahl	دحل	(proper noun) dahl, as in author roald dahl
dai	مطاطي	persistent
daily	يوميا	daily
dakota	داكوتا	dakota, as in the state of south dakota
dalat	دالات	da lat
dampier	أكثر رطوبة	(proper noun) dampier, a last name
dan	دان	dan
dancing	الرقص	dancing
danger	خطر	danger
danh	الاسم	list
daniel	دانيال	daniel
dante	دانتي	dante
dao	سكين	poniard
darwin	داروين	darwin
das	داس	das
dassault	داسو	(proper noun) dassault
date	التاريخ	date
dau	الصداع	dau
dave	ديف	(proper noun) dave, as in dave sexton
david	ديفيد	david, as in david thomas
davies	ديفيز	davies
davis	ديفيس	davis
dbsk	دبسك	dbsk
dc	العاصمة	d.c.
ddr	د	ddr
dean	عميد	a name
degree	درجة	degree
delhi	دلهي	delhi
delphi	دلفي	(proper noun) delphi, as in the oracle
demeter	ديميتر	(proper noun) demeter, the greek goddess of the harvest
den	عرين	den
dennis	دنيس	dennis
department	القسم	departmen
derek	ديريك	derek
des	ديس	des
descartes	ديكارت	descartes
design	التصميم	thiet ke
deuterium	الديوتريوم	deuterium
deutschland	دويتشلاند	deutschland
dewan	ديوان	dewan, as in dewan rakyat
dewitt	ديويت	(proper noun) dewitt, as in rose dewitt bukater
di	دي	move
diana	ديانا	(proper noun) diana, as in diana ross
die	يموت	german
diego	دييجو	diego
dien	مجنون	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	ديماجيو	gimaggio
dinh	قصر	official residence or palace
dionysus	ديونيسوس	dionysus, as in the greek god
discovery	اكتشاف	discovery
discussion	مناقشة	discussion
disneyland	ديزني لاند	disneyland
division	الانقسام	division
divoire	المطلقة	d'lvoire
diêm	المباريات	diem vuong
diên	مجنون	"(term should be ""kinh diên"") canon (n.)"
diềm	الستائر	matches
diều	طائرة ورقية	kite
diểu	طائرة ورقية	(proper noun) diểu
diễm	ديم	beauty; a common vietnamese first name for women
diễu	مارس	parade
diệc	مالك الحزين	a heron (n.)
diệm	ديم	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	وجه	face to face
diệt	اقتل	to kill or destroy (v.)
diệu	السحر	effective (adj.)
djibouti	جيبوتي	djibouti, a country in africa
djokovic	ديوكوفيتش	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	ديمتري	dmitri
dna	الحمض النووي	dna
do	بواسطة	because of
doanh	مشترك	"(term should be ""kinh doanh"") business (n.)"
doc	وثيقة	doc
docherty	دوكرتي	docherty
dolly	دوللي	(proper noun) dolly, as in singer dolly parton
dome	قبة	nha
dominican	الدومينيكان	(proper noun) dominican, as in the dominican republic
don	لا	(proper noun) don
donau	دوناو	donau
dortmund	دورتموند	(proper noun) dortmund
dougherty	بوق	dougherty
douglas	دوغلاس	douglas
dover	دوفر	(proper noun) dover, as in the capital of delaware
doyle	دويل	doyle
doãn	دوان	doan
doạ	تهديد	threat
dp	موانئ دبي	dp
dracula	دراكولا	dracula
draft	مسودة	draft
drake	دريك	(proper noun) drake
driver	سائق	a name
ds	س	ds
dtd	dtd	dtd
dth	دث	dth
du	du	travel
dubai	دبي	dubai
duiker	duiker	duiker
duk	دوك	duk
dumas	دوماس	dumas
dumbledore	دمبلدور	dumbledore
dung	روث	portrait
durham	دورهام	durham
dursley	دورسلي	dursley
duy	فقط	only
duyên	مقدرة	coastal
duyện	طموح	fellatio
duyệt	تصفح	browser
duơng	duong	ocean
duẩn	دوان	duan
duật	دوات	duat
duệ	أحفاد	descendants (n.)
duỗi	تصويب	stretch
dwight	دوايت	dwight
dà	داه	gradually
dài	طويل	to lengthen, as in time
dàn	انطلاق	to arrange
dàng	سهل	dang
dành	قضى	for
dào	وفيرة	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	سميك	thick
dái	شخ	"penis (n.), although some may use the term to mean ""testicles"""
dám	يجرؤ على	dare
dán	لصق	stick
dáng	الشكل	appearance
dát	مطعمة	inlay
dâm	بذيء	lustful (adj.)
dân	الناس	people
dâng	العرض	dedicate
dây	سلك	nerve
dã	متوحش	chronicle
dãi	متسامح	band
dãn	متوسعة	extend
dãy	تسلسل	a row (n.)
dè	كن حذرا	tight
défense	الدفاع	defense
dép	صنادل	slipper
dê	الماعز	goat
dì	عمة	aunt
dìu	دو	to lead by the hand (v.)
dính	لزجة	stick
dò	بحث	(with word tham) to survey
dòm	انظر	snoop
dòng	خط	"(term should be ""dòng họ"") family (n.)"
dó	ذلك	a type of plant used to make paper in vietnam (n.)
dông	عاصفة رعدية	a storm (n.)
dõi	المسار	monitor
dù	بالرغم من ذلك	though
dùi	خرامة	awl
dùng	تستخدم	use
dăm	حلاقات	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	بالطبع	why
dĩa	شوكات	dish
dũng	شجاع	courage
dơ	قذر	dirty
dơi	الخفافيش	bat
dư	فائض	remnant
dưa	البطيخ	melons
dưng	توقف	suddently
dương	إيجابي	penis
dường	يبدو	seem
dưỡng	التمريض	feed
dược	صيدلية	having to do with medicine (adj.)
dượng	عمي	uncle
dạ	نعم	night
dại	أحمق	stupid or idiotic (adj.)
dạn	لا يعرف الخوف	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	الشكل	tyoe
dạo	نزهة	vending
dạt	غسلها	to drift
dạy	تعليم	teach
dải	تجريد	range
dấm	خل	vinegar
dấp	عثرة	shape
dấu	العلامة	signal
dấy	إثارة	to raise (v.)
dần	تدريجيا	people
dầu	زيت	oil
dẫm	ستومب	step on
dẫn	يؤدي	to lead
dẫu	بالرغم من ذلك	though
dận	عمتي	to step on
dậu	الديك	rooster
dậy	استيقظ	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	يؤدي	lead
dằn	الصابورة	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	مثابر	dằng dai= long/endless
dẳng	مثابر	persist
dặm	أميال	mile
dặn	أمر	to advise (v.)
dặt	أجل	conservative
dẹp	مسطح	pacify
dẹt	شقة	flat
dẻ	الكستناء	chestnut
dẻo	اللدونة	flexible
dế	الصراصير	cricket
dền	قطيفة	beetroot
dể	سهل	easy
dễ	سهل	easy
dệt	نسج	textile
dị	التفرد	simple
dịch	ترجمة	semen
dịp	مناسبة	occasion
dịu	يانع	ease
dọa	تهديد	to threaten or scare (v.)
dọc	عمودي	along
dỏm	بارع	witty
dốc	منحدر	slope
dối	كذب	lie
dốt	جاهل	stupid or ignorant (adj.)
dồi	وفيرة	"(term should be ""trau dồi"") improve (v.)"
dồn	محاصر	accrue
dỗ	اقناع	dirty
dời	تحرك	leave
dở	سيء	incomplete
dỡ	التفريغ	remove
dụ	على سبيل المثال	example
dục	الجنس	sexuality
dụng	استخدام	use
dứa	أناناس	pineapple
dứt	انتهى	to cease
dừa	جوز الهند	coconut (n.)
dừng	توقف	to cease
dữ	البيانات	"(term should be ""giận dữ"") anger (n.)"
dự	المتوقعة	attend
dựa	على أساس	base on
dực	ذكر	dực, as in lê tương dực
dỹ	د	dy
e	ه	e.
ea	عصام	(proper noun) ea, as in ea kao
earles	آذان	earles
eaton	ايتون	eaton
ebro	ابرو	a name
ecmascript	إكماسكريبت	ecmascript
ecw	صدى	ecw
edda	إيدا	(proper noun) edda
edgar	إدغار	edgar, as in author edgar allan poe (n.)
edge	حافة	edge
edinburgh	ادنبره	(proper noun) edinburgh, as in edinburgh, scotland
edison	اديسون	edison
editor	محرر	editor
edmond	ادموند	edmond
edo	ايدو	edo
edward	إدوارد	edward
edwin	إدوين	edwin
eea	eea	eea
efron	إيفرون	efron, as in zac efron
egypt	مصر	egypt
eid	عيد	(proper noun) eid
eiffel	ايفل	eiffel
einstein	أينشتاين	einstein
eisenhower	ايزنهاور	eisenhower, as in former president dwight d. eisenhower
ekaterina	ايكاترينا	this is a name
elbe	إلب	(proper noun) the elbe river
electronic	إلكتروني	electronic
eliane	إليان	(proper noun) eliane
elip	القطع الناقص	ellipse
elizabeth	إليزابيث	elizabeth
ellen	ايلين	ellen
ellis	إليس	a name
elton	التون	(proper noun) elton, as in elton john
elvis	الفيس	elvis
elíp	القطع الناقص	ellipse
em	انت	younger sibling
email	البريد الإلكتروني	email
emily	إميلي	(proper noun) emily, as in emily dickinson
emir	أمير	emir
emmy	إيمي	emmy
en	en	erica reef
energy	الطاقة	energy
engels	إنجلز	engels
england	انجلترا	(proper noun) england, as in new england
eniac	عنابي	eniac
entente	الوفاق	entente
entropy	الكون	entropy
enzym	انزيم	enzymes
eo	الخصر	eo, as in the film captain eo
ep	الحلقة	a name
erich	إريك	erich
erik	إريك	erik, as in erik moller
eris	ايريس	eris
eritrea	إريتريا	eritrea
ernest	ernest	(proper noun) ernest
eros	إيروس	eros, greek god of love
erwin	اروين	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	ضروري	essential
ethernet	إيثرنت	ethernet
ethiopia	إثيوبيا	(proper noun) ethiopia
euclid	إقليدس	euclid
eugene	يوجين	eugene
eugène	يوجين	(proper noun) eugène
euler	أويلر	euler
euro	يورو	euro, as in the european currency
eurofighter	يوروفايتر	eurofighter
europe	أوروبا	europe
european	أوروبي	(proper adjective) european
eva	إيفا	eva
everton	ايفرتون	everton
every	كل	every
exgay	exgay	exgay
explorer	مستكشف	explorer
extensive	واسعة النطاق	extensive
fabio	فابيو	(proper noun) fabio
facebook	الفيسبوك	(proper noun) facebook
fact	حقيقة	fact
facto	بحكم الواقع	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	الفاو	fao
farrell	فاريل	farrell
faso	فاسو	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	الميزات	features
federer	فيدرر	federer
feet	قدم	feet
felipe	فيليبي	felipe
felis	فيليس	(proper noun) felis
felix	فيليكس	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	فرديناند	ferdinand
ferguson	فيرجسون	ferguson
fernando	فرناندو	fernando
ferrari	فيراري	ferrari
fiat	فيات	fiat
fidel	فيدل	fidel
field	مجال	field
fifa	الفيفا	fifa
fifpro	فيبرو	fifpro
figo	فيغو	figo
fiji	فيجي	fiji
finish	الانتهاء	finish
firefox	فايرفوكس	(proper noun) mozilla firefox
fischer	فيشر	fischer, as in louis fischer
fish	سمك	fish
fishbed	حوض السمك	fishbed
fitzgerald	فيتزجيرالد	(proper noun) fitzgerald
flanker	الإصدار	flanker
fleming	فلمنج	fleming
flight	رحلة	flight
foch	فوش	(proper noun) foch
focus	التركيز	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	فوكر	fokker
food	طعام	food
football	كرة القدم	bong da
forbes	فوربس	(proper noun) forbes, as in the magazine
ford	فورد	(proper noun) ford
fordham	فوردام	(proper noun) fordham
forks	شوكات	forks
foundation	الأساس	foundation
fox	الثعلب	fox
fpt	جزء لكل تريليون	a company name in vietnam
fracsin	فركسين	a function
franc	فرنك	franc
france	فرنسا	france
frances	فرنسا	frances
francis	فرانسيس	francis, as in francis xavier
francisco	فرانسيسكو	francisco
franco	فرانكو	franco
frank	صريح	frank
frankfurt	فرانكفورت	(proper noun) frankfurt
franklin	فرانكلين	franklin
franz	فرانز	(proper noun) franz, as in franz ritter
freud	فرويد	(proper noun) freud, as in sigmund freud
friedman	فريدمان	friedman
fu	فو	fu
fujiko	فوجيكو	fujiko, as in japanese writer fujiko fujio
fujimoto	فوجيموتو	fujimoto
fukuoka	فوكوكا	fukuoka
funimation	funimation	(proper noun) funimation
funk	الفانك	funk
futsal	كرة الصالات	futsal
fx	الفوركس	fx
ga	الجا	station
gabon	الغابون	gabon
gabriel	جبريل	gabriel
gabriella	غابرييلا	gabriella
gagarin	غاغارين	gagarin
gaia	غايا	gaia
gaillard	جيلارد	gaillard
galilei	الجليل	galilei
galileo	جاليليو	galileo, the astronomer
gam	غرامات	gam
gambia	غامبيا	gambia
gamow	gamow	a name
gan	الكبد	liver
gandhi	غاندي	gandhi, as in mahatma gandhi
gang	عصابة	cast iron
ganh	غيور	to be jealous
gao	قاو	strictly
gareth	غاريث	a name
garrett	غاريت	garrett
gary	غاري	gary
gascon	جاسكون	(proper noun) gascon, a dialect of france
gatt	جات	gatt
gaule	قياس	gaul, a region in ancient western europe
gaulois	الغالوي	gaulois
gay	مثلي الجنس	tense
gaza	غزة	gaza
gdańsk	غدانسك	(proper noun) gdansk, poland
gdp	الناتج المحلي الإجمالي	gdp
geisha	الغيشا	geisha
gen	الجينات	gene
gene	الجين	(proper noun) gene, an english first name
