$ tỉ	$ miliar	$ billion
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	pot	pot
potsdam	potsdam	(proper noun) potsdam
potter	pembuat tembikar	(proper noun) potter, as in harry potter
pour	tuangkan	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	perdana	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	pangeran	prince
princeton	pangeran	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	protein	protein
prôtêin	protein	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemy	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	bubur kertas	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyramid	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	selesai	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optik	bladder
quanh	sekitar	around
quay	berbalik	turn
que	batang	stick
queen	ratu	queen
queens	ratu	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	terbiasa	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	aturan	"(term should be ""quy ước"") agreement"
quyên	fundamental	"(term should be ""quyên góp"") to donate (v.)"
quyến	pesona	"(term should be ""gia quyến"") family"
quyền	benar	right
quyện	bergaul	mix
quyệt	berbahaya	"(should be ""xảo quyệt"") devious"
quá	juga	over
quái	heck	strange or odd
quán	bar	hometown
quáng	buta	blind
quát	teriak	generalize
quân	quan	army (n.)
quãng	sekitar	optical
quét	memindai	to sweep (v.)
quê	pedesaan	countryside
quên	lupa	forget
quý	seperempat	love
quýt	jeruk keprok	tangerine
quăng	lempar	to throw (v.)
quĩ	dana	orbit
quạ	gagak	crow (con qua)
quạt	kipas angin	fan
quản	memerintah	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	bungkus	wrap around
quất	kumquat	whip
quấy	melecehkan	harass
quần	celana	pants (n.)
quầng	halo	halo
quầy	counter	stall
quẩy	goyang	quay
quẫn	celaka	necessitous
quận	daerah	county (n.)
quật	penggalian	excavation
quẳng	lempar	throw
quặc	aneh	strange (adj.)
quặng	bijih	an ore (n.)
quẻ	heksagram	hexagram
quế	kayu manis	cinnamon (n.)
quết	sampah	knead
quệ	miskin	exhausted
quỉ	iblis	demon
quỳ	berlutut	demon (n.)
quỳnh	quỳnh	quynh
quỵ	stroke	stroke
quỷ	iblis	provided
quỹ	dana	fund
qúy	seperempat	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	ras	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	ram	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadhan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	berlari	ran
ranch	peternakan	ranch
randy	randy	randy
rang	berdering	roast
rangers	penjaga	rangers
ranh	batas	border (ranh gioi)
rao	iklan	to announce
rap	rap	rap
raptor	raptor	raptor
rate	nilai	rate
rau	sayuran	vegetable
ray	sinar	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	nyata	real
reanimation	penghidupan kembali	reanimation
reap	menuai	reap
reef	karang	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	renda	lace (n.)
renaissance	kebangkitan	renaissance
renault	renault	renault
rené	rené	rene
reo	berdering	yell
reserve	cadangan	reserve
resort	resor	resort
reverse	mundur	reverse
revolution	revolusi	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	naik	rising
risk	risiko	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	sendiri	own
riêu	riêu	crab
riết	riet	urgently
riềng	lengkuas	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	robert	roberts
robespierre	jubah	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	cambuk	a stick or switch used for punishment (n.)
roland	roland	roland
romania	romania	romania
rome	roma	rome, as in rome, italy
romeo	roma	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	rumput laut	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	penemu	rovers
rowling	mendayung	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	menyesali	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	romanian	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	lari	tremble
rung	getaran	to shake or vibrate (v.)
russian	rusia	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	udang	pemmican
ruồi	terbang	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	bidang	"(term should be ""ruộng đất"") farmland (n.)"
ruột	usus	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	lihat	finding
ràng	jelas	clear
rành	lancar	exhaustive
rào	pagar	barrier
rác	sampah	gabbage-trash
rách	sobek	tear
rái	berang-berang	colander
rán	goreng	fried (adj.)
ráp	perakitan	to assemble (v.)
râm	teduh	shade
râu	jenggot	beard or mustache (n.)
rã	membusuk	out
rãi	secara luas	"(term should be ""rộng rãi"") generous"
rãnh	alur	groove
räikkönen	räikkönen	raikkonen
rèm	tirai	curtain
rèn	penempaan	train
ré	menjerit	re
république	république	republique
rét	dingin	cold
rê	seret	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	erangan	moan
rêu	lumut	moss
rì	berbisik	lush (adj.)
rìa	tepi	edge
rình	memata-matai	to watch for
rìu	kapak	ax
rít	desis	to wail (v.)
rò	kebocoran	leak
ròng	bersih	net
rót	menuang	to pour (v.)
rô	berpetak-petak	diamond
rôbôt	robot	robot
rôma	roma	roman
rông	hampa	rising (adj.)
rõ	jelas	clear
rùa	kura-kura	turtle
rùng	menyeramkan	horror
rút	menarik diri	withdraw
răn	perintah	commandment
răng	gigi	roasted
rōmaji	rōmaji	romaji
rũ	menggoda	charm
rơ	mobil	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	jatuh	fall
rơm	sedotan	straw
rươi	kamu	sand-worm
rước	prosesi	welcome
rưới	taburi	to sprinkle (v.)
rưỡi	setengah	half
rượt	kejar	pursue
rượu	alkohol	wine
rạ	lalang	straw
rạc	diskrit	discrete
rạch	sayatan	canal
rạng	subuh	break
rạp	teater	theater
rải	tersebar	spread
rảnh	gratis	to be free (adj.)
rất	sangat	very
rầm	kusen	aggressive
rầu	sedih	sorrow
rẫy	dataran tinggi	full
rậm	lebat	jungle
rập	orang arab	"(term should be ""Ả rập"") arab"
rắc	taburi	trouble
rắn	ular	snake
rằm	bulan purnama	a full moon (n.)
rằng	itu	roasted
rặng	batu	a row
rẻ	murah	cheap
rẽ	berbalik	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	erangan	pealed
rể	menantu	in-law
rễ	akar	root (n.)
rệp	kutu daun	bug
rệt	diucapkan	clearly
rệu	aye	decay
rỉ	karat	leak
rịavũng	rìvà	ria - bay
rỏ	jelas	clearly
rối	kusut	disorder
rốm	terlihat	rom
rồ	gila	"(term should be ""điên rồ"") foolish (adj.)"
rồi	sudah	and
rồng	naga	dragon
rổ	keranjang	basket
rỗi	gratis	savation
rỗng	kosong	hollow
rộ	kesibukan	profuse (adj.)
rộn	sibuk	busy
rộng	lebar	wide
rớt	gagal	drop
rời	kiri	leave
rỡ	brilian	brilliant
rợ	orang barbar	a savage (n.)
rợn	menyeramkan	scary
rụng	jatuh	to drop
rủ	terkulai	ask
rủi	kecelakaan	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	hutan	forest
rửa	cuci	to wash (v.)
rữa	cuci	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	salah	wrong
saigon	saigon	saigon
saintdenis	orang suci	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	penyelamat	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	untuk	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	kelahiran	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	bintang	how
sap	getah	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkoma	sarcoma
sardinia	sardinia	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	sabtu	saturday
sau	nanti	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	sauniere	saunière
scandinavia	skandinavia	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	scotland	scotland
scots	skotlandia	(proper noun) scots
scott	scott	scott
scream	menjerit	scream
scud	cepat	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	cari	search
seattle	seattle	(proper noun) seattle, washington
secret	rahasia	bi mat
sedna	sedna	(proper noun) sedna
see	lihat	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	akal	sense
september	september	(proper noun) the month of september
serbia	serbia	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	seri	series
service	layanan	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	seksi	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	shah	shah
shaman	dukun	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	dgn malu-malu	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	shiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	siwa	shiva
shoal	beting	(proper noun) shoal
shonen	shonen	shonen
shop	toko	shop
short	pendek	short
showcase	showcase	a name
shōnen	shonen	shonen
siberi	siberi	siberi
sicilia	sisilia	sicilia
sicily	sisilia	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silesia	silesia
silic	silikon	silicon
silicat	silikat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	bernyanyi	sing
sinh	terlahir	genital
sip	menyesap	sip
sirô	sirup	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	kencangkan	to cut off (v.)
sky	langit	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	pandai besi	smith
smithsonian	smithsonian	smithsonian
so	jadi	compare
société	masyarakat	societe
socrates	socrates	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	lagu	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	jiwa	soul
soát	kontrol	control
soạn	menulis	compose
spears	tombak	spears
spellman	perapal mantra	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	olahraga	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	berdiri	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	mulai	bat dau
status	status	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	batu	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	jalan	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfida	sulfide
sulu	sulu	sulu
sum	jumlah	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	musim panas	summer
summerslam	musim panas	(proper noun) summerslam
sun	matahari	sun
sunday	minggu	(proper noun) sunday
sung	buah ara	supplement
sunni	sunni	sunni
sunsilk	berjemur	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	terganggu	decrease
suê	jadi	lush
suôn	dengan lancar	smooth
suất	produktivitas	number
suối	aliran	stream
suốt	seluruh	through/all over
suồng	halus	overfamiliar
svd	svd	svd
swan	angsa	swan
swaziland	sewati	swaziland
sweet	manis	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sinkronkan	sync
syria	syria	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	lantai	san
sàng	ayakan	ready
sành	barang pecah belah	"(term should be ""sành sứ"") pottery"
sào	kutub	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sá	road
sách	buku	list
sái	salah	sai
sám	bertobat	penitent
sáng	pagi	light
sánh	komparatif	compare
sáo	seruling	flute
sáp	lilin	merger
sát	tutup	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	enam	six
sâm	ginseng	sam
sân	halaman	"(should be ""sân khấu"") a stage"
sâu	dalam	deep
sã	sa	flippant
sãi	salah	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	kilat	clay
sê	se	sepon
sêri	seri	series
sêu	lumut	seu tet
sính	siswa	betrothal gifts
síp	siprus	cyprus
sít	kencang	close
sò	tiram	oyster
sòng	kasino	casino
sóc	tupai	"(should be ""sóc trăng"") a vietnamese town"
sói	serigala	wolf
sóng	gelombang	wave
sót	kelalaian	to miss (v.)
sô	angka	than
sôi	mendidih	vibrant
sông	sungai	river
sùng	pengabdian	cult
sú	harimau hitam	a type of mangrove (n.)
súc	ternak	animal
sún	tenggelam	sun
súng	senjata	gun
súp	sup	source
sút	tembakan	reduce
săn	berburu	to hunt
sơn	dicat	a mountain
sư	profesor	lion
sưa	susu	filled with
sưng	pembengkakan	swell
sưu	koleksi	collection
sương	embun	dew (n.)
sướng	bahagia	high
sườn	daging	slope
sưởi	pemanasan	heat
sạch	bersih	clean
sạn	hotel	hotel
sảm	cerah	sam
sản	produksi	reproductive
sảng	segar	sonorous
sảnh	aula	a hall, as in the rock and roll hall of fame
sấm	guntur	ginseng
sấu	buaya	crocodile
sấy	pengeringan	dry
sầm	membanting	crowded
sầu	melankolis	sad
sẩn	papula	coarseness
sẫm	gelap	dark
sập	runtuh	destroy
sắm	belanja	shopping
sắn	singkong	cassava (n.)
sắp	akan	soon
sắt	besi	"(term should be ""sắt son"") constant (adj.)"
sẵn	tersedia	available
sẹo	bekas luka	scar
sẻ	akan	share
sẽ	akan	will
sọ	tengkorak	brain
sọc	garis-garis	stripe
sỏ	lancang	oligarchy
sỏi	kerikil	gravel
số	angka	"(term should be ""số lượng"") quantity (n.)"
sốc	kaget	shock
sống	hidup	live
sốt	demam	fever
sồi	oak	oak
sổ	buku	window
sớ	akan	document
sớm	awal	som
sờ	menyentuh	touch
sỡ	terjawab	colorful
sợ	takut	afraid
sợi	benang	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	tulang rawan	cartilage
sụp	runtuh	collapse
sụt	merosot	drop
sủa	menggonggong	bright
sủi	berbuih	sparkling
sủng	karismatik	favored
sứ	porselen	embassy
sứa	ubur-ubur	jellyfish (n.)
sức	kekuatan	strength
sứt	terkelupas	cleft
sừng	klakson	sừng sững= huge
sử	sejarah	"(term should be ""sử dụng"") to use (v.)"
sửa	memperbaiki	repair
sửng	kaget	startling
sửu	lembu	cow
sữa	susu	milk
sự	itu	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	tag	tag
tai	telinga	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tajikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	berkabung	funeral
tanh	mencurigakan	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	saya	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	tugas	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	taksi	taxi
tay	tangan	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	teknis	technical
ted	ted	(proper noun) ted
teddy	teddy	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekomunikasi	telecom
telekom	telekom	telekom
telex	teleks	telex
telnet	telnet	telnet
tem	cap	stamp
temple	kuil	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartel	tensor
teo	atrofi	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	wilayah	territories
terry	terry	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	itu	to forgive (v.)
thai	hamil	pregnant
thailand	thailand	thailand
tham	keserakahan	involved
thames	thames	thames
than	batubara	coal
thang	tangga	ladder
thanh	bar	youth
thani	thani	thani
thao	olahraga	sport
thau	kuningan	a basin (n.)
thay	sebagai gantinya	change
thcn	thcn	vocational school
thcs	terima kasih	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	mereka	their
them	mereka	plus
then	lalu	key
theo	ikuti	according to
theory	teori	thẻoy
theravada	theravada	theravada
theres	ada	there
theseus	ini kita	theseus, the greek hero
thi	ujian	competition (n.)
thich	seperti	explanation
thien	thien	sky
third	ketiga	thỉd
thiu	basi	buồn thiu= sad/boring
thiêm	thiem	thiem
thiêng	suci	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	timah	tin
thiến	pengebirian	castrate
thiếp	kartu nama	concubine
thiết	diatur	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	hilang	lack
thiềm	sabit	crescent
thiền	meditasi	buddhist (adj.)
thiển	tunjukkan	superficial
thiểu	kecil	minimum
thiện	bagus	good
thiệp	kartu	intervene
thiệt	sungguh	damage
thiệu	pengantar	"(term should be ""giới thiệu"") to introduce (v.)"
tho	ya	tho
thoa	oleskan	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	thong	(proper noun) thong, as in ang thong
those	itu	those
thoái	regresif	deterioration
thoán	tebak	usurpation
thoáng	lapang	"(term should be ""thoáng qua"") to pass quickly"
thoát	keluar	drainage
thoại	suara	telephone
thoạt	sekilas	just (adv.)
thoả	kesepakatan	compromise
thoải	nyaman	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	sesekali	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	cepat	suddenly
thpt	terima kasih	high school
thriller	film thriller	thriller
thskts	terima kasih	phd- architect
thua	kalah	defeat
thumb|các	ibu jari |	thumb|many
thunderbolt	petir	thunderbolt
thung	lembah	valley
thuyên	perpindahan	a name
thuyết	teori	theory
thuyền	perahu	boat
thuê	menyewa	employ
thuần	murni	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	konflik	support
thuận	pro	favourable
thuật	seni	term
thuế	pajak	tax
thuốc	obat-obatan	medicine (n.)
thuộc	milik	belong
thuớc	air	"(term should be ""kích thước"") dimensions of an object"
thuờng	biasanya	usually
thuở	masa kecil	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	terima kasih	water
thvn	terima kasih	vietnam television
thy	milikmu	thy
thà	lebih suka	honest
thành	untuk	"(term should be ""hình thành"") to take shape"
thày	guru	teacher
thác	kaskade	harvest
thách	tantangan	challenge
thái	thailand	attitude
thám	detektif	to spy (v.)
tháng	bulan	month (n.)
thánh	suci	a holy person; a saint (n.)
tháo	lepaskan	"(term should be ""tháo chạy"") to run with abandon"
tháp	menara	tower
thâm	intensif	penetrate
thâu	direkam	to collect (v.)
thây	lihat	body
thãi	sial	superabundant
thèm	mendambakan	desire
thép	baja	steel
thét	teriaknya	shout
thê	itu	category
thêm	tambah	more
thêu	sulaman	to embroider (v.)
thìa	sendok	spoon
thìn	lalu	(proper noun) thìn, the year of the dragon
thình	tiba-tiba	"(term should be ""thình lình"") suddenly"
thí	percobaan	(with word du) for example
thít	itu	(proper noun) mân thít, a district in vietnam
thò	menyodok	tho
thòi	kerugian	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	padi	grain (n.)
thói	kebiasaan	a habit (n.)
thô	kasar	rough, old-fashioned
thôi	ayo	only
thông	diinformasikan	"(term should be ""thông thường"") usual (adj.)"
thù	permusuhan	"entire term should be ""ke thu""; means ""enemy"""
thùng	laras	barrel
thùy	lobus	thuy
thú	menarik	"(should be ""thích thú"") pleasurable"
thúc	akhir	push
thúy	thuy	thuy
thăm	kunjungi	visit
thăng	dipromosikan	helicopter
thơm	harum	aromatic
thư	surat	"(term should be ""ung thư"") cancer (n.)"
thưa	sayang	sparse
thương	cinta	love
thước	penguasa	ruler
thường	sering	usually (adv.)
thưởng	hadiah	to reward (v.)
thược	gedebuk	(proper noun) thược
thượng	atas	upper
thạc	tuan	master
thạch	jeli	rock or stone (n.)
thạnh	selain itu	thanh
thạo	ahli	fluent
thả	jatuh	"(term should be ""thả lỏng"") to let loose (v.)"
thải	limbah	waste
thảm	karpet	carpet or rug (n.)
thản	tenteram	calmly
thảo	thao	"(term should be ""hội thảo"") a workshop (n.)"
thấp	rendah	low (adj.)
thấu	penetran	penetrate
thầm	diam-diam	"(term should be ""thì thầm"") to whisper (v.)"
thần	tuhan	"entire term should be ""tinh than""; means ""of the mind"""
thầy	guru	teacher (n.)
thẩm	anggota juri	osmotic/leak
thẫm	gelap	dark
thận	ginjal	careful
thập	silang	tens
thật	benar	true (adj.)
thắm	kelopak	tham
thắn	terus terang	frank
thắng	menang	win
thắngthua	wonthua	win-lose
thắp	cahaya	light
thắt	mengikat	tense
thằn	kadal	"entire term should be ""than lan""; means ""lizard"""
thằng	kawan	a derogatory term for a man (n.)
thẳm	dalam	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	lurus	horizontal
thặng	surplus	surplus
thẹn	malu	shameful
thẻ	kartu	card
thế	jadi	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	baja	steel
thề	bersumpahlah	swear
thềm	rak	shelf
thể	menjadi	maybe
thỉnh	terkadang	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	mode	prosperous
thịt	daging	meat (n.)
thọ	umur panjang	phu tho
thọc	tusukan	jab
thỏ	kelinci	rabbit
thỏa	kesepakatan	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	ingot	a bar (n.)
thối	busuk	smelly
thốt	diucapkan	scream
thồ	pak	to transport via horse (v.)
thổ	bumi	"(term should be ""lãnh thổ"") territory (n.)"
thổi	untuk meniup	blow
thớt	talenan	sparse
thời	waktu	period
thở	bernafas	breathe
thợ	pekerja	craftman
