$ tỉ	en milliards de dollars	$ billion
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	sur	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optique	bladder
quanh	aux alentours	around
quay	tourné	turn
que	tiges	stick
queen	reine	queen
queens	reines	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	habitué	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	coran	quran
quy	règles	"(term should be ""quy ước"") agreement"
quyên	fondamentaux	"(term should be ""quyên góp"") to donate (v.)"
quyến	charme	"(term should be ""gia quyến"") family"
quyền	à droite	right
quyện	se mêler	mix
quyệt	insidieux	"(should be ""xảo quyệt"") devious"
quá	aussi	over
quái	diable	strange or odd
quán	bar	hometown
quáng	aveugle	blind
quát	cria	generalize
quân	quan	army (n.)
quãng	environ	optical
quét	scanner	to sweep (v.)
quê	campagne	countryside
quên	oublié	forget
quý	trimestre	love
quýt	mandarine	tangerine
quăng	lancer	to throw (v.)
quĩ	fonds	orbit
quạ	corbeaux	crow (con qua)
quạt	fan	fan
quản	régissant	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	envelopper	wrap around
quất	kumquat	whip
quấy	remuer	harass
quần	pantalon	pants (n.)
quầng	halo	halo
quầy	compteurs	stall
quẩy	bascule	quay
quẫn	misérable	necessitous
quận	comté	county (n.)
quật	fouille	excavation
quẳng	lancer	throw
quặc	bizarre	strange (adj.)
quặng	minerai	an ore (n.)
quẻ	hexagramme	hexagram
quế	cannelle	cinnamon (n.)
quết	écume	knead
quệ	pauvre	exhausted
quỉ	le diable	demon
quỳ	s&#39;agenouiller	demon (n.)
quỳnh	quỳnh	quynh
quỵ	avc	stroke
quỷ	le diable	provided
quỹ	fonds	fund
qúy	trimestre	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	course	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	bélier	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	couru	ran
ranch	ranch	ranch
randy	randy	randy
rang	a sonné	roast
rangers	rangers	rangers
ranh	limite	border (ranh gioi)
rao	annonce	to announce
rap	rap	rap
raptor	rapace	raptor
rate	taux	rate
rau	légumes	vegetable
ray	rayon	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	réel	real
reanimation	réanimation	reanimation
reap	récolter	reap
reef	récif	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	dentelle	lace (n.)
renaissance	renaissance	renaissance
renault	renault	renault
rené	rené	rene
reo	a sonné	yell
reserve	réserver	reserve
resort	station	resort
reverse	inverser	reverse
revolution	révolution	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	montant	rising
risk	risque	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	propre	own
riêu	riêu	crab
riết	riet	urgently
riềng	galanga	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	fouet	a stick or switch used for punishment (n.)
roland	roland	roland
romania	roumanie	romania
rome	rome	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	algues	seaweed (n.)
rosen	rosé	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	routeur	cong noi
rovers	rovers	rovers
rowling	râle	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	roumain	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	courir	tremble
rung	secouer	to shake or vibrate (v.)
russian	russe	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	crevettes	pemmican
ruồi	vole	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	champ	"(term should be ""ruộng đất"") farmland (n.)"
ruột	intestin	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	vérifier	finding
ràng	clair	clear
rành	courant	exhaustive
rào	clôture	barrier
rác	ordures	gabbage-trash
rách	déchiré	tear
rái	loutre	colander
rán	faire frire	fried (adj.)
ráp	assemblage	to assemble (v.)
râm	ombragé	shade
râu	barbe	beard or mustache (n.)
rã	décomposition	out
rãi	largement	"(term should be ""rộng rãi"") generous"
rãnh	groove	groove
räikkönen	räikkönen	raikkonen
rèm	rideau	curtain
rèn	forger	train
ré	crissement	re
république	république	republique
rét	froid	cold
rê	faire glisser	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	gémissant	moan
rêu	mousse	moss
rì	chuchoter	lush (adj.)
rìa	bord	edge
rình	espionner	to watch for
rìu	hache	ax
rít	sifflement	to wail (v.)
rò	fuite	leak
ròng	net	net
rót	verser	to pour (v.)
rô	damier	diamond
rôbôt	robot	robot
rôma	rome	roman
rông	creux	rising (adj.)
rõ	clair	clear
rùa	tortue	turtle
rùng	effrayant	horror
rút	retirer	withdraw
răn	commandement	commandment
răng	les dents	roasted
rōmaji	rōmaji	romaji
rũ	séduisant	charm
rơ	voiture	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	tomber	fall
rơm	paille	straw
rươi	toi	sand-worm
rước	procession	welcome
rưới	saupoudrer	to sprinkle (v.)
rưỡi	la moitié	half
rượt	chasser	pursue
rượu	alcool	wine
rạ	chaume	straw
rạc	discret	discrete
rạch	incision	canal
rạng	aube	break
rạp	théâtres	theater
rải	dispersé	spread
rảnh	gratuit	to be free (adj.)
rất	très	very
rầm	montant	aggressive
rầu	triste	sorrow
rẫy	montagne	full
rậm	touffue	jungle
rập	arabe	"(term should be ""Ả rập"") arab"
rắc	saupoudrer	trouble
rắn	serpents	snake
rằm	pleine lune	a full moon (n.)
rằng	ça	roasted
rặng	le rocher	a row
rẻ	pas cher	cheap
rẽ	tourner	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	gémir	pealed
rể	gendre	in-law
rễ	racines	root (n.)
rệp	pucerons	bug
rệt	prononcé	clearly
rệu	oui	decay
rỉ	rouille	leak
rịavũng	rìvà	ria - bay
rỏ	clair	clearly
rối	emmêlé	disorder
rốm	nuageux	rom
rồ	fou	"(term should be ""điên rồ"") foolish (adj.)"
rồi	déjà	and
rồng	dragon	dragon
rổ	panier	basket
rỗi	gratuit	savation
rỗng	vide	hollow
rộ	agitation	profuse (adj.)
rộn	occupé	busy
rộng	large	wide
rớt	échouer	drop
rời	à gauche	leave
rỡ	brillant	brilliant
rợ	barbares	a savage (n.)
rợn	effrayant	scary
rụng	tomber	to drop
rủ	retombant	ask
rủi	mésaventure	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	forêt	forest
rửa	laver	to wash (v.)
rữa	laver	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	mal	wrong
saigon	saigon	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzbourg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samouraï	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	à	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	naissance	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	les étoiles	how
sap	sève	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarcome	sarcoma
sardinia	sardaigne	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	samedi	saturday
sau	plus tard	after (adv.)
saudi	saoudien	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	scandinavie	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	ecosse	scotland
scots	écossais	(proper noun) scots
scott	scott	scott
scream	crier	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	recherche	search
seattle	seattle	(proper noun) seattle, washington
secret	secret	bi mat
sedna	sedna	(proper noun) sedna
see	voir	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	sens	sense
september	septembre	(proper noun) the month of september
serbia	la serbie	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	série	series
service	service	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	sexy	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	shah	shah
shaman	chaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	chiite	shia
shiite	chiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	haut-fond	(proper noun) shoal
shonen	shonen	shonen
shop	boutique	shop
short	court	short
showcase	vitrine	a name
shōnen	shōnen	shonen
siberi	sibérie	siberi
sicilia	sicilia	sicilia
sicily	sicile	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silésie	silesia
silic	silicium	silicon
silicat	silicate	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinaï	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	chanter	sing
sinh	né	genital
sip	siroter	sip
sirô	sirop	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	resserrer	to cut off (v.)
sky	ciel	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slave	(proper noun) slav
slavơ	slave	slavic
slytherin	serpentard	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	forgeron	smith
smithsonian	smithsonian	smithsonian
so	donc	compare
société	société	societe
socrates	socrate	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonate	sonata
song	chanson	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	âme	soul
soát	contrôle	control
soạn	composer	compose
spears	des lances	spears
spellman	sortilège	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sports	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	se tenir	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	commencer	bat dau
status	statut	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	steven	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	pierres	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	rue	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfure	sulfide
sulu	sulu	sulu
sum	somme	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	été	summer
summerslam	summerslam	(proper noun) summerslam
sun	soleil	sun
sunday	dimanche	(proper noun) sunday
sung	figues	supplement
sunni	sunnite	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	altéré	decrease
suê	donc	lush
suôn	en douceur	smooth
suất	la productivité	number
suối	stream	stream
suốt	partout	through/all over
suồng	lisse	overfamiliar
svd	svd	svd
swan	cygne	swan
swaziland	swaziland	swaziland
sweet	doux	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	synchroniser	sync
syria	la syrie	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	étage	san
sàng	tamis	ready
sành	vaisselle	"(term should be ""sành sứ"") pottery"
sào	poteau	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sá	road
sách	livres	list
sái	mauvais	sai
sám	repentant	penitent
sáng	suis	light
sánh	comparatif	compare
sáo	flûte	flute
sáp	cire	merger
sát	fermer	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	six	six
sâm	ginseng	sam
sân	cour	"(should be ""sân khấu"") a stage"
sâu	profond	deep
sã	sã	flippant
sãi	mal	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	foudre	clay
sê	se	sepon
sêri	série	series
sêu	mousse	seu tet
sính	étudiant	betrothal gifts
síp	chypre	cyprus
sít	serré	close
sò	huîtres	oyster
sòng	casino	casino
sóc	écureuil	"(should be ""sóc trăng"") a vietnamese town"
sói	loup	wolf
sóng	vague	wave
sót	omission	to miss (v.)
sô	nombre	than
sôi	bouillante	vibrant
sông	rivière	river
sùng	dévotion	cult
sú	tigre noir	a type of mangrove (n.)
súc	bétail	animal
sún	évier	sun
súng	pistolets	gun
súp	soupe	source
sút	tir	reduce
săn	chasser	to hunt
sơn	peint	a mountain
sư	professeur	lion
sưa	lait	filled with
sưng	enflure	swell
sưu	objets de collection	collection
sương	rosée	dew (n.)
sướng	heureux	high
sườn	côtelettes	slope
sưởi	chauffage	heat
sạch	propre	clean
sạn	hôtel	hotel
sảm	brillant	sam
sản	la production	reproductive
sảng	frais	sonorous
sảnh	salle	a hall, as in the rock and roll hall of fame
sấm	tonnerre	ginseng
sấu	crocodile	crocodile
sấy	séchage	dry
sầm	claque	crowded
sầu	mélancolie	sad
sẩn	papules	coarseness
sẫm	sombre	dark
sập	s&#39;effondrer	destroy
sắm	achats	shopping
sắn	manioc	cassava (n.)
sắp	sur le point de	soon
sắt	fer	"(term should be ""sắt son"") constant (adj.)"
sẵn	disponible	available
sẹo	cicatrice	scar
sẻ	sera	share
sẽ	sera	will
sọ	crâne	brain
sọc	rayures	stripe
sỏ	impertinent	oligarchy
sỏi	gravier	gravel
số	nombre	"(term should be ""số lượng"") quantity (n.)"
sốc	choqué	shock
sống	vivre	live
sốt	fièvre	fever
sồi	chêne	oak
sổ	réserver	window
sớ	sera	document
sớm	tôt	som
sờ	touchant	touch
sỡ	manqué	colorful
sợ	avoir peur	afraid
sợi	fil	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	cartilage	cartilage
sụp	s&#39;effondrer	collapse
sụt	effondrement	drop
sủa	aboyer	bright
sủi	effervescent	sparkling
sủng	charismatique	favored
sứ	porcelaine	embassy
sứa	méduse	jellyfish (n.)
sức	force	strength
sứt	ébréché	cleft
sừng	corne	sừng sững= huge
sử	histoire	"(term should be ""sử dụng"") to use (v.)"
sửa	réparer	repair
sửng	choqué	startling
sửu	ox	cow
sữa	lait	milk
sự	le	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	balise	tag
tai	l&#39;oreille	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	le tadjikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	talibans	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifène	tamoxifen
tanaka	tanaka	tanaka
tang	le deuil	funeral
tanh	poisson	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzanie	tanzania
tao	moi	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	tâche	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmanie	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	les mains	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	technique	technical
ted	ted	(proper noun) ted
teddy	nounours	teddy, as in teddy lupin, a character in the harry potter series
telecom	télécom	telecom
telekom	telekom	telekom
telex	télex	telex
telnet	telnet	telnet
tem	tampon	stamp
temple	temple	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	cartel	tensor
teo	atrophie	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	territoires	territories
terry	éponge	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	tha	to forgive (v.)
thai	enceinte	pregnant
thailand	thaïlande	thailand
tham	avidité	involved
thames	tamise	thames
than	charbon	coal
thang	échelle	ladder
thanh	bar	youth
thani	thani	thani
thao	sports	sport
thau	laiton	a basin (n.)
thay	à la place	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thèbes	thebes
their	leur	their
them	eux	plus
then	alors	key
theo	suivre	according to
theory	la théorie	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	thésée	theseus, the greek hero
thi	examen	competition (n.)
thich	comme	explanation
thien	thien	sky
third	troisième	thỉd
thiu	rassis	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	sacré	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	étain	tin
thiến	castration	castrate
thiếp	carte de visite	concubine
thiết	ensemble	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	manquant	lack
thiềm	faucille	crescent
thiền	méditation	buddhist (adj.)
thiển	montrer	superficial
thiểu	mineur	minimum
thiện	bon	good
thiệp	carte de voeux	intervene
thiệt	vraiment	damage
thiệu	introduction	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	tamponner	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	string	(proper noun) thong, as in ang thong
those	ces	those
thoái	régressif	deterioration
thoán	deviner	usurpation
thoáng	aéré	"(term should be ""thoáng qua"") to pass quickly"
thoát	sortir	drainage
thoại	voix	telephone
thoạt	à première vue	just (adv.)
thoả	traiter	compromise
thoải	confortable	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	occasionnellement	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	invite	suddenly
thpt	thpt	high school
thriller	suspense	thriller
thskts	thskts	phd- architect
thua	perdre	defeat
thumb|các	le pouce |	thumb|many
thunderbolt	coup de foudre	thunderbolt
thung	vallée	valley
thuyên	déplacement	a name
thuyết	la théorie	theory
thuyền	bateau	boat
thuê	embaucher	employ
thuần	pur	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	conflit	support
thuận	pros	favourable
thuật	l&#39;art	term
thuế	taxe	tax
thuốc	médecine	medicine (n.)
thuộc	appartenir	belong
thuớc	de l&#39;eau	"(term should be ""kích thước"") dimensions of an object"
thuờng	habituellement	usually
thuở	enfance	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	ton	thy
thà	préférerait	honest
thành	à	"(term should be ""hình thành"") to take shape"
thày	enseignant	teacher
thác	cascade	harvest
thách	défi	challenge
thái	thai	attitude
thám	détective	to spy (v.)
tháng	mois	month (n.)
thánh	saint	a holy person; a saint (n.)
tháo	délier	"(term should be ""tháo chạy"") to run with abandon"
tháp	tour	tower
thâm	intensif	penetrate
thâu	enregistré	to collect (v.)
thây	voir	body
thãi	merde	superabundant
thèm	envie	desire
thép	acier	steel
thét	a crié	shout
thê	le	category
thêm	ajouter	more
thêu	broderie	to embroider (v.)
thìa	cuillère	spoon
thìn	alors	(proper noun) thìn, the year of the dragon
thình	soudain	"(term should be ""thình lình"") suddenly"
thí	expériences	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	fourré	tho
thòi	désavantage	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	paddy	grain (n.)
thói	habitude	a habit (n.)
thô	rugueux	rough, old-fashioned
thôi	allez	only
thông	informé	"(term should be ""thông thường"") usual (adj.)"
thù	querelle	"entire term should be ""ke thu""; means ""enemy"""
thùng	baril	barrel
thùy	lobe	thuy
thú	intéressant	"(should be ""thích thú"") pleasurable"
thúc	fin	push
thúy	thuy	thuy
thăm	visite	visit
thăng	promu	helicopter
thơm	parfumé	aromatic
thư	lettre	"(term should be ""ung thư"") cancer (n.)"
thưa	cher	sparse
thương	l&#39;amour	love
thước	règle	ruler
thường	souvent	usually (adv.)
thưởng	récompense	to reward (v.)
thược	thud	(proper noun) thược
thượng	supérieur	upper
thạc	maîtres	master
thạch	gelée	rock or stone (n.)
thạnh	merci	thanh
thạo	expert	fluent
thả	laisser tomber	"(term should be ""thả lỏng"") to let loose (v.)"
thải	déchets	waste
thảm	moquette	carpet or rug (n.)
thản	serein	calmly
thảo	thao	"(term should be ""hội thảo"") a workshop (n.)"
thấp	faible	low (adj.)
thấu	pénétrant	penetrate
thầm	silencieusement	"(term should be ""thì thầm"") to whisper (v.)"
thần	dieu	"entire term should be ""tinh than""; means ""of the mind"""
thầy	enseignant	teacher (n.)
thẩm	jurés	osmotic/leak
thẫm	sombre	dark
thận	reins	careful
thập	traverser	tens
thật	vrai	true (adj.)
thắm	pétale	tham
thắn	franchement	frank
thắng	gagné	win
thắngthua	wonthua	win-lose
thắp	lumière	light
thắt	attacher	tense
thằn	lézard	"entire term should be ""than lan""; means ""lizard"""
thằng	guy	a derogatory term for a man (n.)
thẳm	profond	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	droit	horizontal
thặng	surplus	surplus
thẹn	honte	shameful
thẻ	carte	card
thế	alors	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	acier	steel
thề	jure	swear
thềm	étagère	shelf
thể	être	maybe
thỉnh	parfois	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	vogue	prosperous
thịt	viande	meat (n.)
thọ	longévité	phu tho
thọc	jab	jab
thỏ	lapin	rabbit
thỏa	accord	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	lingot	a bar (n.)
thối	pourri	smelly
thốt	prononcé	scream
thồ	emballer	to transport via horse (v.)
thổ	la terre	"(term should be ""lãnh thổ"") territory (n.)"
thổi	souffler	blow
thớt	planche à découper	sparse
thời	le temps	period
thở	respirer	breathe
thợ	ouvrier	craftman
thụ	récepteur	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	échancré	clyster
thủ	premier	masturbate
thủa	thua	during childhood
thủng	perforation	having holes
thứ	les choses	no.
thức	éveillé	way
thừa	redondant	redundant
thừng	corde	"(term should be ""thẳng thừng"") mercilessly"
thử	essayer	try
thửa	colis	square
thự	villa	mansion
thực	réel	perform
ti	ti	titov
tia	rayons	ray
tiananmen	tiananmen	tiananmen
tiara	diadème	tiara
tibet	tibet	(proper noun) tibet
tigris	tigre	tigris
tiliaceus	tiliaceus	hoa dam but
tim	coeur	heart
timor	timor	timor
timothy	fléole	timothy
tin	croire	believe
tinbắc	message	file bac
tincầu	pont d&#39;étain	file bridge
tinh	planète	"(term should be ""tinh dịch"") sperm (n.)"
tinnhà	tinhome	folder: house
tinsông	actualités	file river
tinthị	tinthị	file: town
tirol	tirol	tirol
tisdale	tisdale	tisdale
tish	tish	(proper noun) tish
tissa	tissa	(proper noun) tissa, as in moggaliputta tissa
tivi	télévision	television
tizard	assistant	(proper noun) tizard
tiên	d&#39;abord	first
tiêu	poivre	"entire term should be ""tieu chuan""; means ""a requirement"""
tiếc	malheureusement	"(term should be ""tiếc thương"") to pity (v.)"
tiếm	dingo	seize
tiến	en avant	operate
tiếng	heures	language
tiết	sécrétion	abstinence/intensity
tiếu	maladroit	"(should be ""đàm tiếu"") to sneer"
tiềm	potentiel	potential
tiền	l&#39;argent	money (n.)
tiều	merde	(proper noun) the name of a poet
tiểu	faire pipi	tiểu sử= biography
tiễu	m. liu	patrol
tiệc	fête	party
tiệm	salon	shop
tiện	pratique	mean
tiệp	tchèque	gustav franck
tiệt	putain	sterilize
tncs	tncs	communist youth union
tngt	tngt	traffic accidents
tnhh	limité	limited
toang	toang	fast
tobago	tobago	tobago
toei	toei	toei
tokugawa	tokugawa	tokugawa
tokyo	tokyo	tokyo, the capital of japan
tokyopop	tokyopop	tokyopop
tomas	tomas	(proper noun) tomas
