$ tỉ	мільярд доларів	$ billion
cố	спробуйте	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	кубок	cereal
cối	ступка	mortar
cốm	самородки	grilled rice
cống	стік	dedicate
cồn	алкоголь	i
cồng	гонг	gong
cổng	ворота	gate
cỗ	настил	engine
cỗi	впертий	barren
cộ	автомобільний	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	старий	origin
cộng	плюс	to add (v.)
cột	стовпчик	pole
cớ	виправдання	excuse
cờ	прапор	flag
cỡ	розмір	size
cợt	жартувати	"(term should be ""đùa cợt"") to trifle (v.)"
cục	відділ	department
cụm	кластер	cluster
cụp	ампутували	down
cụt	ампутували	"(should be ""xương cụt"") the tailbone or coccyx"
củ	бульби	a bulb, a botanical term
của	з	of
củi	дрова	firewood
củng	також	reinforce
cứ	на	any
cức	кухар	"(term should be ""cức Đê"") a character in chinese history"
cứng	важко	hard
cứngi	харді	cungi
cừ	стовпи	nacre
cừu	баранина	sheep
cửa	двері	door
cửu	примножувати	nine
cữ	cu	abstinence
cữu	шкатулка	nine
cự	відстань	against
cựa	шпори	retreat
cực	полюс	extreme
cựu	колишній	former
d	г	d.
da	шкіра	skin
daegu	daegu	daegu
dahl	даль	(proper noun) dahl, as in author roald dahl
dai	жорсткий	persistent
daily	щодня	daily
dakota	дакота	dakota, as in the state of south dakota
dalat	да лат	da lat
dampier	демпфер	(proper noun) dampier, a last name
dan	дан	dan
dancing	танці	dancing
danger	небезпека	danger
danh	назва	list
daniel	даніель	daniel
dante	данте	dante
dao	ніж	poniard
darwin	дарвін	darwin
das	дас	das
dassault	дассо	(proper noun) dassault
date	дата	date
dau	олія	dau
dave	дейв	(proper noun) dave, as in dave sexton
david	девід	david, as in david thomas
davies	дейвіс	davies
davis	девіс	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ддр	ddr
dean	декан	a name
degree	ступінь	degree
delhi	делі	delhi
delphi	дельфі	(proper noun) delphi, as in the oracle
demeter	деметер	(proper noun) demeter, the greek goddess of the harvest
den	лігво	den
dennis	dennis	dennis
department	відділ	departmen
derek	дерек	derek
des	дес	des
descartes	декарт	descartes
design	thiết kế	thiet ke
deuterium	дейтерій	deuterium
deutschland	німеччина	deutschland
dewan	деван	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	ді	move
diana	діана	(proper noun) diana, as in diana ross
die	померти	german
diego	дієго	diego
dien	божевільний	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	димаджіо	gimaggio
dinh	палац	official residence or palace
dionysus	діоніс	dionysus, as in the greek god
discovery	відкриття	discovery
discussion	обговорення	discussion
disneyland	діснейленд	disneyland
division	поділ	division
divoire	дивоар	d'lvoire
diêm	сірники	diem vuong
diên	божевільний	"(term should be ""kinh diên"") canon (n.)"
diềm	доблесті	matches
diều	кайт	kite
diểu	фарс	(proper noun) diểu
diễm	дієма	beauty; a common vietnamese first name for women
diễu	марш	parade
diệc	чапля	a heron (n.)
diệm	дієма	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	обличчя	face to face
diệt	вбити	to kill or destroy (v.)
diệu	магія	effective (adj.)
djibouti	джибуті	djibouti, a country in africa
djokovic	джокович	(proper noun) djokovic, as in novak djokovic
dm	дм	dm
dmitri	дмитри	dmitri
dna	днк	dna
do	від	because of
doanh	суглоб	"(term should be ""kinh doanh"") business (n.)"
doc	док	doc
docherty	дочерчі	docherty
dolly	доллі	(proper noun) dolly, as in singer dolly parton
dome	купол	nha
dominican	домініканець	(proper noun) dominican, as in the dominican republic
don	дон	(proper noun) don
donau	donau	donau
dortmund	дортмунд	(proper noun) dortmund
dougherty	подвійність	dougherty
douglas	дуглас	douglas
dover	довер	(proper noun) dover, as in the capital of delaware
doyle	дойл	doyle
doãn	doan	doan
doạ	загрозливий	threat
dp	д.п.	dp
dracula	дракула	dracula
draft	чернетка	draft
drake	дрейк	(proper noun) drake
driver	водій	a name
ds	дс	ds
dtd	тов	dtd
dth	dth	dth
du	дю	travel
dubai	дубай	dubai
duiker	дуйкер	duiker
duk	качка	duk
dumas	думи	dumas
dumbledore	глумник	dumbledore
dung	гній	portrait
durham	дарем	durham
dursley	дурслі	dursley
duy	тільки	only
duyên	зумовлений	coastal
duyện	прагнучий	fellatio
duyệt	веб-переглядач	browser
duơng	duong	ocean
duẩn	дуан	duan
duật	дуат	duat
duệ	нащадків	descendants (n.)
duỗi	випрямити	stretch
dwight	двайт	dwight
dà	так	gradually
dài	довго	to lengthen, as in time
dàn	інсценування	to arrange
dàng	легко	dang
dành	витрачено	for
dào	рясний	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	товстий	thick
dái	мочити	"penis (n.), although some may use the term to mean ""testicles"""
dám	наважуйся	dare
dán	пасти	stick
dáng	форма	appearance
dát	інкрустований	inlay
dâm	розкутий	lustful (adj.)
dân	люди	people
dâng	пропозиція	dedicate
dây	шнур	nerve
dã	дикий	chronicle
dãi	вседозволений	band
dãn	розширені	extend
dãy	дальність	a row (n.)
dè	будь обережний	tight
défense	дефенс	defense
dép	босоніжки	slipper
dê	козел	goat
dì	тітка	aunt
dìu	dìu	to lead by the hand (v.)
dính	липкий	stick
dò	пошук	(with word tham) to survey
dòm	погляд	snoop
dòng	струм	"(term should be ""dòng họ"") family (n.)"
dó	що	a type of plant used to make paper in vietnam (n.)
dông	гроза	a storm (n.)
dõi	доріжка	monitor
dù	хоч	though
dùi	перфоратор	awl
dùng	використання	use
dăm	стружки	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	звичайно	why
dĩa	тарілка	dish
dũng	доблесний	courage
dơ	брудний	dirty
dơi	кажани	bat
dư	залишковий	remnant
dưa	дині	melons
dưng	стоп	suddently
dương	позитивний	penis
dường	здається	seem
dưỡng	медсестра	feed
dược	аптека	having to do with medicine (adj.)
dượng	дядько	uncle
dạ	так	night
dại	нерозумний	stupid or idiotic (adj.)
dạn	безстрашний	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	формат	tyoe
dạo	прогулятися	vending
dạt	вимиті	to drift
dạy	вчити	teach
dải	смуга	range
dấm	оцту	vinegar
dấp	спотикатися	shape
dấu	знак	signal
dấy	збудження	to raise (v.)
dần	поступово	people
dầu	олія	oil
dẫm	тупати	step on
dẫn	путівник	to lead
dẫu	хоч	though
dận	тітка	to step on
dậu	півень	rooster
dậy	вставай	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	вести	lead
dằn	баласт	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	наполегливі	dằng dai= long/endless
dẳng	наполегливі	persist
dặm	миля	mile
dặn	впорядковано	to advise (v.)
dặt	замовлення	conservative
dẹp	вирівняти	pacify
dẹt	квартира	flat
dẻ	каштани	chestnut
dẻo	пластичність	flexible
dế	цвіркуни	cricket
dền	амарант	beetroot
dể	легко	easy
dễ	легко	easy
dệt	ткацтво	textile
dị	сингулярність	simple
dịch	перекласти	semen
dịp	нагода	occasion
dịu	солодкий	ease
dọa	загрозливий	to threaten or scare (v.)
dọc	вертикальний	along
dỏm	дотепний	witty
dốc	схил	slope
dối	брехати	lie
dốt	неосвічений	stupid or ignorant (adj.)
dồi	рясний	"(term should be ""trau dồi"") improve (v.)"
dồn	кутовий	accrue
dỗ	коаксичний	dirty
dời	рухатися	leave
dở	поганий	incomplete
dỡ	розвантаження	remove
dụ	наприклад	example
dục	секс	sexuality
dụng	використання	use
dứa	ананас	pineapple
dứt	стоп	to cease
dừa	кокосового горіха	coconut (n.)
dừng	стоп	to cease
dữ	дані	"(term should be ""giận dữ"") anger (n.)"
dự	прогнозується	attend
dựa	заснований	base on
dực	самець	dực, as in lê tương dực
dỹ	dỹ	dy
e	е	e.
ea	еа	(proper noun) ea, as in ea kao
earles	вушка	earles
eaton	етон	eaton
ebro	ебро	a name
ecmascript	ecmascript	ecmascript
ecw	екв	ecw
edda	едда	(proper noun) edda
edgar	едгар	edgar, as in author edgar allan poe (n.)
edge	край	edge
edinburgh	единбург	(proper noun) edinburgh, as in edinburgh, scotland
edison	едісон	edison
editor	редактор	editor
edmond	едмонд	edmond
edo	едо	edo
edward	едвард	edward
edwin	едвін	edwin
eea	еа	eea
efron	ефрон	efron, as in zac efron
egypt	єгипет	egypt
eid	ід	(proper noun) eid
eiffel	ейфелева	eiffel
einstein	ейнштейн	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	катерина	this is a name
elbe	ельба	(proper noun) the elbe river
electronic	електронний	electronic
eliane	eliane	(proper noun) eliane
elip	еліпс	ellipse
elizabeth	елізабет	elizabeth
ellen	еллен	ellen
ellis	ellis	a name
elton	елтон	(proper noun) elton, as in elton john
elvis	елвіс	elvis
elíp	еліпс	ellipse
em	ти	younger sibling
email	електронною поштою	email
emily	емілі	(proper noun) emily, as in emily dickinson
emir	емір	emir
emmy	еммі	emmy
en	en	erica reef
energy	енергії	energy
engels	ангелів	engels
england	англія	(proper noun) england, as in new england
eniac	еніак	eniac
entente	антанта	entente
entropy	ентропія	entropy
enzym	фермент	enzymes
eo	талія	eo, as in the film captain eo
ep	еп	a name
erich	еріх	erich
erik	ерік	erik, as in erik moller
