$	usd	a sign of doller
ઇરાક	irāka	iraq
ઇરાન	irāna	iran
ઇરાની	irāņu	irani
ઇલેક્ટ્રોનિક	elektroniska	electronic
ઇશાન	uz ziemeļaustrumiem	north east
ઇશ્વર	dievs	god
ઇશ્વરની	dieva	god's
ઇશ્વરને	dievam	god
ઇસ	ir	year
ઇસકે	iske	its [hindi & urdu  word]
ઇસપૂર્વે	bc	before christ
ઇસી	ek	this
ઇસીડબ્લ્યુ	ecw	ecw
ઇસુ	jēzus	jesus christ
ઇસે	ise	this
ઇસ્	इस्	ad
ઇસ્કોન	iskcon	iskon
ઇસ્લામ	islāms	islam
ઇસ્લામના	no islāma	of the islam
ઇસ્લામિક	islāma	islamic
ઇસ્લામી	islāma	islamic
ઇસ્લામીક	islāma	islamic
ઈ	e	e
ઈંગ્લિશ	angļu	english
ઈંગ્લેન્ડ	anglija	england
ઈંગ્લેન્ડમાં	anglijā	england
ઈંદ્ર	indra	idar
ઈક્વિપમેન્ટ	iekārtas	equipment
ઈચ્છા	vēlme	will
ઈજિપ્ત	ēģipte	egypt
ઈજીપ્ત	ēģipte	egypt
ઈજીપ્તના	no ēģiptes	egypt
ઈટાલિયન	itāļu valoda	italian
ઈટાલી	itālijā	italy
ઈટાલીએ	itālijā	italy
ઈટાલીમાં	itālijā	in italy
ઈતિહાસ	vēsture	history
ઈતિહાસકારો	vēsturnieki	historian
ઈતિહાસની	vēstures	of the history
ઈતિહાસમાં	vēsturē	in history
ઈત્યાદિ	utt	etc
ઈન	iekšā	in
ઈનિંગ્સ	injings	innings
ઈન્ટરનેટ	internets	internet
ઈન્ટરનેટના	no interneta	of interenet
ઈન્ટરનેટની	no interneta	of internet, internet's
ઈન્ટરનેટનું	no interneta	of internet
ઈન્ટરનેટને	internets	to internet
ઈન્ટરનેટનો	no interneta	internate
ઈન્ટરનેટે	internets	internet has
ઈન્ટરનેશનલ	starptautiskā	international
ઈન્ડસ્ટ્રીઝ	nozares	industries
ઈન્ડિયન	indiānis	indian
ઈન્ડિયા	indija	india
ઈન્ડોનેશિયા	indonēzija	indonesia
ઈન્દિરા	indira	indira
ઈન્દિરાએ	indira	indira had
ઈન્ફોર્મેશન	informācija	information
ઈન્સ્ટિટ્યૂટ	institūts	institute
ઈન્સ્ટીટ્યુટ	institūts	institute
ઈપુ	bc	a. d.
ઈપૂ	bc	before christ
ઈમારત	ēka	building
ઈમારતો	ēkas	buildings
ઈમેલ	e-pasts	e mail
ઈરાદો	nodoms	intention
ઈરાન	irāna	iran
ઈરાનથી	no irānas	from iran
ઈરાનને	uz irānu	iran
ઈરાનમાં	irānā	in iran
ઈરાની	irāņu	irani, native of iran, from iran
ઈલેક્ટ્રોનિક	elektroniska	electronic
ઈશ્વર	dievs	god
ઈશ્વરને	dievam	god
ઈસ	ir	a.d.
ઈસવીસન	ad	a.d.
ઈસા	ir	isa
ઈસાઈ	kristietis	christian
ઈસાપૂર્વ	bc	before christ
ઈસ્ટ	austrumos	east
ઈસ્લામ	islāms	islam
ઈસ્લામિક	islāma	islamic
ઈસ્લામી	islāma	islamic
ઉ	a.	for example
ઉંચા	augsts	high
ઉંચાઇ	augstums	hight
ઉંચાઈ	augstums	hight
ઉંચી	augsts	high
ઉંચુ	augsts	high
ઉંચું	augsts	high
ઉંચો	augsts	high
ઉંમર	vecums	age
ઉંમરના	no vecuma	age
ઉંમરમાં	vecumā	age
ઉંમરે	vecums	at the age
ઉકેલ	atrisinājums	solution
ઉકેલવા	atrisini	solve
ઉગ્ર	sīva	intensive
ઉચિત	gadatirgus	appropriate
ઉચ્ચ	augsts	higher
ઉચ્ચતમ	augstākais	the best
ઉચ્ચતર	augstāks	higher,
ઉચ્ચપ્રદેશ	plato	highlands
ઉચ્ચાર	izruna	pronouns
ઉચ્ચારણ	izruna	pronunciation
ઉચ્ચારણો	akcenti	pronunciations
ઉછેર	pacelts	bringing up
ઉજવણી	svētki	celebration
ઉજવણીઓ	svinības	celebrations
ઉજવણીમાં	svētkos	in celebration
ઉજવવામાં	svinēja	in celebrating
ઉજવાય	svinēja	celebrated,
ઉજવે	svinēt	celebrates
ઉજ્જડ	pamests	barren
ઉઠાવીને	pacelšana	upside
ઉઠાવે	paceļ	lift
ઉઠી	pamodos	wake up
ઉઠે	pamodos	gets up
ઉડિયા	orija	oriya
ઉતર	ziemeļi	north
ઉતરતા	dilstošā secībā	dcending
ઉતરાણ	nosēšanās	uttarayana
ઉતરી	nolaidies	descended from
ઉતરે	zemes	in north
ઉતર્યા	nosēdušies	get down
ઉતારા	izraksts	accommodation
ઉતારી	izkrauts	to copy down
ઉતારો	lejupielādēt	place of resting, tent
ઉત્કટ	kaislība	eager
ઉત્કૃષ્ટ	lieliski	classical
ઉત્ક્રાંતિ	evolūcija	evolution
ઉત્તમ	lieliski	best
ઉત્તર	ziemeļi	north
ઉત્તરથી	no ziemeļiem	from north
ઉત્તરમાં	ziemeļos	in the north
ઉત્તરા	ziemeļi	northen
ઉત્તરાખંડ	uttarakhand	uttarakhand
ઉત્તરાધિકારી	pēctecis	heir ? successor
ઉત્તરાર્ધમાં	pēdējā	late
ઉત્તરી	ziemeļu	north
ઉત્તરીય	ziemeļu	northern
ઉત્તરે	uz ziemeļiem	at north
ઉત્તરોત્તર	soli pa solim	gradually
ઉત્તેજન	stimulēšana	excitement
ઉત્પતિ	genesis	evolution
ઉત્પત્તિ	genesis	oregenesis
ઉત્પન	ražošana	produce
ઉત્પન્ન	ģenerēts	produce
ઉત્પાદક	ražotājs	producer
ઉત્પાદકો	ražotāji	producers
ઉત્પાદન	produkts	production
ઉત્પાદનના	ražošanas	production's
ઉત્પાદનની	produkta	of production
ઉત્પાદનમાં	ražošanā	in production
ઉત્પાદનો	izstrādājumi	productions
ઉત્સવ	festivāls	festival
ઉત્સવો	festivāli	festivals
ઉત્સાહ	entuziasms	excitement
ઉદભવ	celies	origin
ઉદભવી	izcēlās	occured
ઉદય	celies	rissing
ઉદા	e.g.	esectrs
ઉદાર	dāsns	generous
ઉદાહરણ	piemērs	for example
ઉદાહરણો	piemēri	illustrations
ઉદ્ઘાટન	inauguration	inaugration
ઉદ્દેશ	objektīvs	purpose
ઉદ્દેશો	mērķi	intention
ઉદ્દેશ્ય	mērķis	purpose, aim
ઉદ્દેશ્યથી	speciāli	motive
ઉદ્ભવ	izcelsme	originate
ઉદ્યાન	parks	park
ઉદ્યોગ	rūpniecība	industry
ઉદ્યોગના	no nozares	of industry
ઉદ્યોગનું	no rūpniecības	of industry
ઉદ્યોગને	rūpniecība	industry
ઉદ્યોગપતિ	uzņēmējs	industrialist
ઉદ્યોગમાં	rūpniecībā	in business
ઉદ્યોગો	nozares	industries
ઉધોગ	rūpniecība	industry
ઉનકી	viņa	their
ઉનકે	unke	them
ઉના	una	una
ઉનાળા	vasara	summer
ઉનાળાના	vasara	summer
ઉનાળામાં	vasarā	in summer
ઉનાળુ	vasara	summer related
ઉનાળો	vasara	summer
ઉન્હે	viņi	them
ઉન્હોને	viņi	he [hindi - urdu word]
ઉપખંડ	subkontinents	subdivision / sub continental
ઉપખંડના	no subkontinenta	of subcontinent
ઉપખંડમાં	subkontinentā	in the subcontinent
ઉપગ્રહ	satelīts	satellite
ઉપગ્રહો	satelīti	satellites
ઉપચાર	dziedināšana	medication
ઉપદેશ	sludina	upadesh
ઉપનગરીય	piepilsēta	suburban
ઉપનગરોમાં	priekšpilsētās	suburbs
ઉપનામ	segvārds	alias
ઉપનિષદ	upanišādi	upanishad (ancient texts)
ઉપયોગ	izmantojiet	use
ઉપયોગથી	izmantojot	by using
ઉપયોગની	lietošanai	of use
ઉપયોગને	izmantojiet	to use
ઉપયોગમાં	lietots	in use
ઉપયોગી	noderīga	necessary
ઉપર	virs	on
ઉપરથી	no augšas	beyond
ઉપરના	virs	upper
ઉપરની	virs	upper
ઉપરનું	virs	upper
ઉપરનો	virs	upper
ઉપરાંત	papildus	in addition to
ઉપરી	augšējā	upper
ઉપરોક્ત	virs	as mentioned above
ઉપલબ્ધ	pieejams	available
ઉપલા	augšējā	upper
ઉપવાસ	badošanās	fast
ઉપવાસીબાપુ	upavasibapu	upvasibapu
ઉપસી	upasi	come up
ઉપસ્થિત	klāt	present
ઉપાય	risinājums	solution
ઉપાયો	līdzekļi	solutions
ઉપાસના	dievkalpojums	worship
ઉભરી	izcēlās	emerging
ઉભા	stāv	to stand besides
ઉભી	vertikāli	standing
ઉભુ	pozas	standing
ઉભો	pozas	standing
ઉમટી	umti	coming, gathering,
ઉમદા	cēls	noble
ઉમર	vecums	age
ઉમરમાં	vecumā	in age
ઉમાશંકર	umashankars	umashanker
ઉમેદવાર	kandidāts	candidate
ઉમેરવામાં	pievienots	addition
ઉમેરી	pievienots	adding
ઉમેરો	pievienot	addition
ઉર્જા	enerģija	energy
ઉર્દુ	urdu	urdu
ઉર્દૂ	urdu	urdu
ઉલ્લેખ	piemini	mention
ઉલ્લેખનીય	ievērojams	notable
ઉષ્મા	karstums	enthalpy or heat
ઉસ	mums	that [hindi word in gujarati script]
ઉસે	izmantojiet	to that [hindi language]
ઊઁચા	riša	high
ઊઁચી	augsts	high
ઊંચા	augsts	high
ઊંચાઇ	augstums	hight
ઊંચાઈ	augstums	hight
ઊંચાઈએ	augstumā	at height
ઊંચી	augsts	high
ઊંચુ	augsts	high
ઊંચો	augsts	high
ઊંડા	dziļi	eggs
ઊંડી	dziļi	deep
ઊંડો	dziļi	deep
ઊડી	audi	fly
ઊપર	augšā	over
ઊભા	piecelties	standing
ઊભી	vertikāli	standing
ઊભું	vertikāli	stood
ઊભો	vertikāli	comes up
ઊર્જા	enerģija	energy
ઊર્જાના	no enerģijas	of energy, energys'
ઊર્ટ	art	oort
ઋણ	parāds	debt
ઋતુ	gada sezona	season
ઋતુઓ	gadalaiki	seasons
ઋતુમાં	gada sezonā	in season
ઋષિ	svētais	rishi
ઋષિએ	gudrais	saga
ઋષી	gudrais	sage
ઍ	a	that, it
ઍફીલ	ophil	eiffel
એ	a	that
એંડ	un	and
એઇ	ae	ai
એઇડ્ઝ	aids	aids
એઇડ્ઝના	no aids	aids
એએલયુ	alu	a.l.u.
એક	a	one
એકંદર	kopumā	on an average
એકંદરે	kopumā	on average
એકજ	tikai viens	only one
એકઠા	kopā	collect
એકઠી	kolekcionēšana	collect
એકતા	vienotība	oneness
એકતાનું	no vienotības	of oneness
એકત્ર	kolekcionēšana	collect
એકત્રિત	savāc	collected
એકથી	no viena	than one
એકદમ	pilnīgi	very
એકની	no viena	each
એકબીજા	viens otru	for each other
એકબીજાથી	viens no otra	from each other
એકબીજાના	viens no otra	to each other
એકબીજાની	viens otru	to each other
એકબીજાને	viens otru	to each other
એકમ	vienība	theory
એકમાત્ર	zole	only
એકમો	vienības	units
એકરૂપ	vienveidīgs	homogenous
એકલવ્ય	eklavija	eklavya
એકલા	vienatnē	alone
એકલે	vienatnē	alone
એકલો	vienatnē	alone
એકવાર	vienreiz	onetime
એકસમાન	vienveidīgs	homogeneous
એકસરખી	vienveidīgi	equally
એકસાથે	kopā	all togather
એકસેસ	piekļuve	access
એકસ્વરી	xvery	es-query
એકાંત	vientulība	solitude
એકાઉન્ટ	konts	account
એકાદ	ekads	one
એકીકરણ	integrācija	unification, fusion
એકીકૃત	integrēts	united
એકેડમી	akadēmija	academy
એકેડેમિયા	akadēmija	academia
એકેડેમી	akadēmija	academy
એક્ઝિક્યુટિવ	izpilddirektors	executive
એક્ટ	tēlot	act
એક્યુપ્રેસર	akupresūra	accpressure
એક્શન	darbība	action
એક્સ	x	x
એક્સચેન્જ	apmaiņa	exchange
એક્સપ્રેસ	izteikt	express
એક્સેસ	piekļuve	access
એચ	h.	h
એચઆઇવી	hiv	hiv
એચઆઇવીના	hiv	of hiv
એચઆઇવીની	hiv	hiv, human immunodeficiency virus
