$ tỉ	miljardu dolāru	$ billion
phiến	asmens	"(should be ""nha phiến"") opium"
phiện	opijs	opium
phiệt	phiet	militarism
phnom	phnom	phnom
phnôm	phomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	fēnikss	(proper noun) phoenix
phong	istaba	movement
php	php	php
phrygian	frygian	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	bez pārklājuma	expose
phun	izsmidzināt	to spray or spit (v.)
phà	prāmis	ferry
phàm	mirstīgais	superhuman
phàn	sūdzēties	complain
phá	laušana	destroy
phác	skice	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	pārspēt	manner (n.)
phái	sekta	a party
phán	tiesnesis	judge
pháo	lielgabalu	artillery
pháp	francija	method
phát	pārraide	develop
phèn	alum	alum
phèo	fèo	organs
phép	atļauts	permit
phê	pacelties augstu	"(term should be ""phê bình"") to criticize (v.)"
phêrô	pēteris	peter
phì	palielināts	non-
phình	izspiesties	bulge
phí	uzlādēt	non-
phía	pusē	side
phích	termoss	a flask (n.)
phím	atslēga	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	istaba	office
phó	vietnieks	second
phóng	palaišana	to launch (v.)
phô	pilsēta	display
phôi	embrijs	embryo
phông	fonts	font
phùng	dvesma	phung
phúc	svētīts	good fortune (n.)
phúclộc	svētība	phuc-loc
phún	bum	"(term should be ""lún phún"") sparse (adj.)"
phúng	žēl	satire
phút	minūte	a minute (n.)
phăn	satracināt	phan
phăng	phang	knock
phương	phuong	direction
phước	svētība	luck
phường	palātā	ward
phượng	fēnikss	phoenix
phạn	sanskrits	sanskrit
phạt	sodīt	punish
phả	ciltsraksti	pedigree
phải	taisnība	must
phải 	taisnība	right
phản	skaitītājs	reaction
phảng	plakans	subtle
phần	daļa	part
phẩm	izstrādājumi	food
phẩy	komats	a comma
phẫn	sašutis	wrathful
phẫu	operācija	surgery
phận	liktenis	part
phật	buda	buddhist
phẳng	lidmašīna	flat (adj.)
phế	lūžņi	dismiss
phết	izplatība	to spread or smear (v.)
phỉ	lazda	defame
phỏng	sadedzināt	interview
phố	pilsēta	city
phối	koordinēt	coordinate
phốt	fosfāts	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	piepūsts	to swell (v.)
phổ	spektrs	popular
phổi	plaušu	lung
phộng	zemesrieksti	peanut
phới	peldēt	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	nūdeļu zupa	pho
phục	apģērbs	convincing
phụng	pasniegt	worship
phụt	dvesma	minute
phủ	pārklāts	government
phức	sarežģīts	complex
picchu	pikči	a name
piccolo	pikolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	līdaka	pike
pin	akumulators	battery
pinlus	pinlus	pinlus
pioneer	pionieris	pioneer
pipes	caurules	pipes
pisa	piza	a name
piston	virzulis	piston
pitch	piķis	pitch
pius	pijs	pius
plaaf	klaips	plaaf
plan	plāns	plan
plasma	plazma	plasma
plate	šķīvis	plate
plato	plato	plato
platon	platon	platon
player	spēlētājs	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocēns	pleistocen
plus	plus	plus
pluto	plutons	pluto
pm	plkst	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polija	poland
pollack	pollaks	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polinēze	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	pods	pot
potsdam	potsdam	(proper noun) potsdam
potter	podnieks	(proper noun) potter, as in harry potter
pour	ielej	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradeša	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	sludināt	(proper noun) preah
premier	premjers	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	princis	prince
princeton	princetonu	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekts	projekt
prometheus	prometejs	(proper noun) prometheus
protein	olbaltumvielu	protein
prôtêin	olbaltumvielas	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemaja	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulicers	(proper noun) pulitzer, as in the pulitzer prize
pulp	mīkstums	pulp
punjab	pendžabs	punjab
pusan	pusan	(proper noun) pusan
putin	putins	putin
pyrenees	pireneji	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	katara	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	autors	transmit
quad	četrinieks	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optiskā	bladder
quanh	apkārt	around
quay	pagriezās	turn
que	stieņi	stick
queen	karaliene	queen
queens	karalienes	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	pazīstams	accustomed to
qui	qui	formal
quincy	cidonija	(proper noun) quincy, as in quincy jones
quran	korāns	quran
quy	noteikumiem	"(term should be ""quy ước"") agreement"
quyên	pamati	"(term should be ""quyên góp"") to donate (v.)"
quyến	šarmu	"(term should be ""gia quyến"") family"
quyền	atļauju	right
quyện	sajaukt	mix
quyệt	mānīgs	"(should be ""xảo quyệt"") devious"
quá	arī	over
quái	heck	strange or odd
quán	bārs	hometown
quáng	akls	blind
quát	kliedza	generalize
quân	quan	army (n.)
quãng	apm	optical
quét	skenēt	to sweep (v.)
quê	ciems	countryside
quên	aizmirst	forget
quý	dārgakmeņi	love
quýt	mandarīns	tangerine
quăng	mētāties	to throw (v.)
quĩ	fonds	orbit
quạ	vārnas	crow (con qua)
quạt	ventilatoru	fan
quản	valdošie	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	ietīt	wrap around
quất	kumkvāts	whip
quấy	maisa	harass
quần	bikses	pants (n.)
quầng	halo	halo
quầy	skaitītājs	stall
quẩy	šūpošana	quay
quẫn	nožēlojami	necessitous
quận	apgabals	county (n.)
quật	rakšana	excavation
quẳng	mētāties	throw
quặc	dīvaini	strange (adj.)
quặng	rūdas	an ore (n.)
quẻ	heksagramma	hexagram
quế	kanēlis	cinnamon (n.)
quết	putas	knead
quệ	nabadzīgs	exhausted
quỉ	velns	demon
quỳ	ceļos	demon (n.)
quỳnh	qunnh	quynh
quỵ	insults	stroke
quỷ	velns	provided
quỹ	fonds	fund
qúy	ceturksnis	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	sacensības	race
rafael	rafaels	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralfs	(proper noun) ralph, as in ralph waldo emerson
ram	auns	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadāns	(proper noun) the fasting month of ramadan
ramayana	ramajana	ramayana
rambus	rambuss	rambus
ran	skrēja	ran
ranch	rančo	ranch
randy	randijs	randy
rang	zvanīja	roast
rangers	rangers	rangers
ranh	robeža	border (ranh gioi)
rao	sludinājums	to announce
rap	reps	rap
raptor	raptors	raptor
rate	likme	rate
rau	dārzeņu	vegetable
ray	staru	rail (n.)
raya	rajas	raya
raymond	raymond	raymond
rađa	radars	radar
reagan	reagan	reagan
real	īsts	real
reanimation	reanimācija	reanimation
reap	pļaut	reap
reef	rifs	reef
regia	regija	regia
reichelt	reichelt	reichelt
ren	mežģīnes	lace (n.)
renaissance	renesanse	renaissance
renault	renault	renault
rené	renē	rene
reo	gredzens	yell
reserve	rezervēt	reserve
resort	kūrorts	resort
reverse	atpakaļgaitā	reverse
revolution	revolūcija	revolution
rey	rej	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rodas	rhodes
rica	rica	rica
ricardo	rikardo	ricardo
ricci	ricci	ricci
richard	richards	richard
richardson	ričardsons	(proper noun) richardson, as in james o. richardson
richie	bagātnieks	(proper noun) richie, as in singer lionel richie
rico	riko	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	celšanās	rising
risk	risks	risk
ritchie	rituāls	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	privāts	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	roberts	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robins	a name
robinson	robinsons	robinson, as in michelle robinson
rockefeller	rokefellers	rockefeller, as in john d. rockefeller
roddick	roddiks	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	stienis	a stick or switch used for punishment (n.)
roland	rolands	roland
romania	rumānija	romania
rome	romu	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronalds	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	aļģes	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	roterdama	(proper noun) rotterdam
rousseau	ruso	rousseau
router	maršrutētājs	cong noi
rovers	rovers	rovers
rowling	airēšana	rowling
roy	rojs	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolfs	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	valdi	(proper noun) rulin
rumani	rumāņu	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	skriet	tremble
rung	vibrēt	to shake or vibrate (v.)
russian	krievu	(proper adjective) russian
russkaya	ruskaja	(proper noun) russkaya avionika
ruth	rūta	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	rupjība	ruud
ruốc	garneles	pemmican
ruồi	mušas	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	rīsu lauks	"(term should be ""ruộng đất"") farmland (n.)"
ruột	zarnas	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	izbraukšana	finding
ràng	skaidrs	clear
rành	tekoši	exhaustive
rào	žogs	barrier
rác	atkritumu	gabbage-trash
rách	saplēsts	tear
rái	ūdrs	colander
rán	apcep	fried (adj.)
ráp	montāža	to assemble (v.)
râm	ēnains	shade
râu	bārda	beard or mustache (n.)
rã	pagrimums	out
rãi	bruģis	"(term should be ""rộng rãi"") generous"
rãnh	tranšeja	groove
räikkönen	räikkönen	raikkonen
rèm	aizkars	curtain
rèn	kalšana	train
ré	čīkstēt	re
république	république	republique
rét	auksts	cold
rê	velciet	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	čukstēt	moan
rêu	sūnas	moss
rì	čukst	lush (adj.)
rìa	mala	edge
rình	spiegs	to watch for
rìu	cirvis	ax
rít	šņākt	to wail (v.)
rò	noplūde	leak
ròng	tīkls	net
rót	ielejot	to pour (v.)
rô	rūtaini	diamond
rôbôt	robots	robot
rôma	romu	roman
rông	dobi	rising (adj.)
rõ	skaidrs	clear
rùa	bruņurupucis	turtle
rùng	rāpojošs	horror
rút	atsaukt	withdraw
răn	bauslis	commandment
răng	zobu	roasted
rōmaji	rōmaji	romaji
rũ	vilinošs	charm
rơ	auto	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	kritums	fall
rơm	salmi	straw
rươi	tevi	sand-worm
rước	gājiens	welcome
rưới	apkaisa	to sprinkle (v.)
rưỡi	puse	half
rượt	tramdīt	pursue
rượu	alkohols	wine
rạ	salmu	straw
rạc	diskrēts	discrete
rạch	kanāls	canal
rạng	rītausma	break
rạp	teātri	theater
rải	izkaisīti	spread
rảnh	bez maksas	to be free (adj.)
rất	ļoti	very
rầm	aploks	aggressive
rầu	skumji	sorrow
rẫy	audzēšana	full
rậm	kupls	jungle
rập	arābu	"(term should be ""Ả rập"") arab"
rắc	apkaisa	trouble
rắn	čūska	snake
rằm	pilnmēness	a full moon (n.)
rằng	ka	roasted
rặng	akmens	a row
rẻ	lēts	cheap
rẽ	pagrieziens	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	vaidēt	pealed
rể	znots	in-law
rễ	saknes	root (n.)
rệp	bļāviens	bug
rệt	izrunāts	clearly
rệu	jā	decay
rỉ	rūsa	leak
rịavũng	rìvà	ria - bay
rỏ	skaidrs	clearly
rối	samudžināts	disorder
rốm	mākoņains	rom
rồ	traks	"(term should be ""điên rồ"") foolish (adj.)"
rồi	jau	and
rồng	pūķis	dragon
rổ	grozs	basket
rỗi	bez maksas	savation
rỗng	dobi	hollow
rộ	burzma	profuse (adj.)
rộn	aizņemts	busy
rộng	plašs	wide
rớt	kritums	drop
rời	pa kreisi	leave
rỡ	izcili	brilliant
rợ	barbari	a savage (n.)
rợn	rāpojošs	scary
rụng	šķūnis	to drop
rủ	uzaicināt	ask
rủi	nelaime	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	mežs	forest
rửa	mazgāt	to wash (v.)
rữa	mazgāt	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddams	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safīns	safin
sahara	sahara	sahara
sai	nepareizi	wrong
saigon	saigons	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salems	(proper noun) salem, as in the city
salvador	salvadors	salvador
salzburg	zalcburga	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	sampans	samphan
samsung	samsung	samsung
samuel	samuels	samuel
samuelson	samuelsons	(proper noun) samuelson
samurai	samuraju	samurai
samut	samuts	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	uz	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	dzimšanas	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	zvaigzne	how
sap	sulas	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sāra	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkoma	sarcoma
sardinia	sardīnija	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	sestdiena	saturday
sau	pēc	after (adv.)
saudi	saūda	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandināvija	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	šillers	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	šūmahers	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	blēdis	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	skotija	scotland
scots	skoti	(proper noun) scots
scott	skots	scott
scream	kliedz	scream
scud	skaustīt	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	meklēt	search
seattle	sietla	(proper noun) seattle, washington
secret	slepeni	bi mat
sedna	sedna	(proper noun) sedna
see	redzēt	see
sejm	sejm	(proper noun) sejm
selena	selēna	selena
semit	semit	(proper noun) semit
sen	lotoss	lotus
sense	jēga	sense
september	septembris	(proper noun) the month of september
serbia	serbija	serbia
sergeyevich	sergejevičs	(proper noun) sergeyevich
seri	sērijas	series
service	apkalpošana	service
sesshomaru	seshomaru	a name
seth	septītā	seth
seto	seto	seto
sextus	sextus	sextus
sexy	seksīgs	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	šahs	shah
shaman	šamanis	the shaman religion
shan	šans	shan
shane	shane	(proper noun) shane, an english first name
shankly	šausmīgi	(proper noun) shankly, as in bill shankly
shaolin	šaolīns	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	šerloks	a name
shi	shi	shi
shia	šiija	shia
shiite	shiite	shiite
shikoku	šikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	šinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	širakawago	(proper noun) shirakawa-go
shiva	šiva	shiva
shoal	seklums	(proper noun) shoal
shonen	shonen	shonen
shop	veikals	shop
short	īss	short
showcase	vitrīna	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicīlija	sicilia
sicily	sicīlija	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silēzija	silesia
silic	silīcijs	silicon
silicat	silikāts	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	dziedāt	sing
sinh	dzimis	genital
sip	malks	sip
sirô	sīrups	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	pievelciet	to cut off (v.)
sky	debesis	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slāvi	(proper noun) slav
slavơ	slāvi	slavic
slytherin	slīterīns	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	kalējs	smith
smithsonian	smithsonian	smithsonian
so	tātad	compare
société	société	societe
socrates	sokrāts	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	tāpēc es	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonāte	sonata
song	dziesma	however (adv.)
sony	sony	sony
soo	tā	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbons	sorbonne, the university in paris (n.)
sos	sos	sos
soul	dvēsele	soul
soát	kontrole	control
soạn	komponists	compose
spears	šķēpi	spears
spellman	pareizrakstnieks	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spīlberga	(proper noun) spielberg, as in steven spielberg
sports	sports	sports
sri	sīrija	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	staļingrada	stalingrad
stamford	stamford	this is a name
stand	stāvēt	stand
stanford	stanfords	stanford, as in stanford university
stanley	stallis	stanley
starr	zvaigznīte	a name
startin	startin	bat dau
status	statusu	status
stdc	stdc	stdc
stefan	stefans	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stefans	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterliņu	a name
steve	stīvs	steve
stevens	stīvensa	(proper noun) stevens, as in amanda stevens
stevenson	stīvensons	stevenson
stevie	stevijs	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	šķībs	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	akmeņi	stones
storting	storting	storting
strasberg	strasberga	strasberg
strauss	strauss	strauss
street	iela	street
struct	būvēt	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	štutgarte	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfīds	sulfide
sulu	sulu	sulu
sum	summa	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	vasara	summer
summerslam	summerslam	(proper noun) summerslam
sun	saule	sun
sunday	svētdiena	(proper noun) sunday
sung	vīģes	supplement
sunni	sunnīti	sunni
sunsilk	sauļošanās	sunsilk, a hair products company
super	super	super
suriname	surinama	suriname
susan	sūzana	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	neveiksme	decrease
suê	tātad	lush
suôn	gludi	smooth
suất	produktivitāte	number
suối	sildīšana	stream
suốt	visā	through/all over
suồng	gluda	overfamiliar
svd	svd	svd
swan	gulbis	swan
swaziland	svazilenda	swaziland
sweet	salds	sweet
sy	sy	sy
sydney	sidneja	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sinhronizēt	sync
syria	sīrija	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	grīda	san
sàng	siets	ready
sành	terakota	"(term should be ""sành sứ"") pottery"
sào	pole	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	grāmata	list
sái	nepareizi	sai
sám	nožēlojams	penitent
sáng	spīdēšana	light
sánh	salīdzinošais	compare
sáo	flauta	flute
sáp	vasks	merger
sát	tuvu	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	seši	six
sâm	žeņšeņs	sam
sân	pagalms	"(should be ""sân khấu"") a stage"
sâu	dziļi	deep
sã	sã	flippant
sãi	nepareizi	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	apgaismojums	clay
sê	se	sepon
sêri	sērijas	series
sêu	sūnas	seu tet
sính	students	betrothal gifts
síp	kipra	cyprus
sít	saspringts	close
sò	gliemene	oyster
sòng	kazino	casino
sóc	vāvere	"(should be ""sóc trăng"") a vietnamese town"
sói	vilks	wolf
sóng	vilnis	wave
sót	izlaidība	to miss (v.)
sô	numuru	than
sôi	vārot	vibrant
sông	upe	river
sùng	ziedošanās	cult
sú	melnais tīģeris	a type of mangrove (n.)
súc	liellopi	animal
sún	izlietne	sun
súng	pistoles	gun
súp	zupa	source
sút	nošauts	reduce
săn	medības	to hunt
sơn	krāsot	a mountain
sư	profesors	lion
sưa	piens	filled with
sưng	pietūkums	swell
sưu	kolekcijas	collection
sương	rasa	dew (n.)
sướng	laimīgs	high
sườn	pusē	slope
sưởi	sildīšana	heat
sạch	tīrs	clean
sạn	viesnīca	hotel
sảm	spilgti	sam
sản	produkcija	reproductive
sảng	svaigi	sonorous
sảnh	zāle	a hall, as in the rock and roll hall of fame
sấm	pērkons	ginseng
sấu	krokodils	crocodile
sấy	žāvēšana	dry
sầm	slams	crowded
sầu	melanholija	sad
sẩn	papulas	coarseness
sẫm	tumšs	dark
sập	sabrukt	destroy
sắm	iepirkšanās	shopping
sắn	manioka	cassava (n.)
sắp	gandrīz	soon
sắt	dzelzs	"(term should be ""sắt son"") constant (adj.)"
sẵn	pieejams	available
sẹo	rēta	scar
sẻ	būs	share
sẽ	būs	will
sọ	galvaskauss	brain
sọc	svītras	stripe
sỏ	pļāpīgs	oligarchy
sỏi	grants	gravel
số	numuru	"(term should be ""số lượng"") quantity (n.)"
sốc	šokēts	shock
sống	dzīvo	live
sốt	drudzis	fever
sồi	ozols	oak
sổ	grāmata	window
sớ	būs	document
sớm	drīz	som
sờ	pieskarties	touch
sỡ	palaida garām	colorful
sợ	nobijies	afraid
sợi	dzijas	fibers
sục	džakuzi	"(term should be ""sôi sục"") to boil"
sụn	skrimslis	cartilage
sụp	sabrukt	collapse
sụt	kritums	drop
sủa	miza	bright
sủi	putojošs	sparkling
sủng	harizmātisks	favored
sứ	keramikas	embassy
sứa	medūzas	jellyfish (n.)
sức	spēks	strength
sứt	sasmalcināts	cleft
sừng	rags	sừng sững= huge
sử	vēsture	"(term should be ""sử dụng"") to use (v.)"
sửa	remonts	repair
sửng	šokēts	startling
sửu	vērsis	cow
sữa	piens	milk
sự		situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	birka	tag
tai	auss	ear
taiji	taiji	(proper noun) taiji
taipei	taipeja	taipei
taiwan	taivāna	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tadžikistāna	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	talibu	taliban
talmud	talmuds	talmud
tam	tam	three (n.)
tamoxifen	tamoksifēns	tamoxifen
tanaka	tanaka	tanaka
tang	sērojot	funeral
tanh	netīrs	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzānija	tanzania
tao	es	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	uzdevums	task
tasman	tasmans	tasman, as in abel tasman
tasmania	tasmānija	tasmania, a place
tau	tau	tau
taxi	taksometrs	taxi
tay	roka	hand
taylor	teilors	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	tehnisks	technical
ted	ted	(proper noun) ted
teddy	rotaļu	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekomunikāciju	telecom
telekom	telekom	telekom
telex	telekss	telex
telnet	telnet	telnet
tem	zīmogs	stamp
temple	templis	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartelis	tensor
teo	atrofiska	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	teritorijas	territories
terry	frotē	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	attaisnojums	to forgive (v.)
thai	grūtniece	pregnant
thailand	taizeme	thailand
tham	alkatība	involved
thames	thames	thames
than	kokogles	coal
thang	kāpnes	ladder
thanh	bārs	youth
thani	nekā	thani
thao	sports	sport
thau	misiņš	a basin (n.)
thay	tā vietā	change
thcn	tūkst	vocational school
thcs	thcs	secondary
thdq	tūkst	thdq
thebes	thebes	thebes
their	viņu	their
them	viņiem	plus
then	tad	key
theo	saskaņā ar	according to
theory	teorija	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	šie	theseus, the greek hero
thi	eksāmens	competition (n.)
thich	piemēram	explanation
thien	thien	sky
third	trešais	thỉd
thiu	sastāvējies	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	svēts	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	alva	tin
thiến	neitrāls	castrate
thiếp	karti	concubine
thiết	komplekts	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	īss	lack
thiềm	sirpis	crescent
thiền	meditācija	buddhist (adj.)
thiển	šovs	superficial
thiểu	nepilngadīgs	minimum
thiện	labi	good
thiệp	karti	intervene
thiệt	tiešām	damage
thiệu	ievads	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tu	tho
thoa	dab	combination
thoai	tei	gentle
thomas	thomas	thomas
thompson	tompsons	thompson
thong	siksna	(proper noun) thong, as in ang thong
those	tiem	those
thoái	regresīvs	deterioration
thoán	uzminēt	usurpation
thoáng	gaisīgs	"(term should be ""thoáng qua"") to pass quickly"
thoát	izeja	drainage
thoại	tālrunis	telephone
thoạt	pēc pirmā acu uzmetiena	just (adv.)
thoả	galā	compromise
thoải	ērti	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	ik pa laikam	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	pamudināt	suddenly
thpt	thpt	high school
thriller	trilleris	thriller
thskts	tūkst	phd- architect
thua	zaudēt	defeat
