$	dollarni tashkil etadi	dollars
войници	askarlar	soldiers
войниците	askarlar	soldiers
войска	armiya	army
войската	armiya	the army
войски	qo&#39;shinlar	armies
войските	qo&#39;shinlar	the troops
волга	volga	volga
волейбол	voleybol	volleyball
волен	ozod	gusty
волжка	volga	volga
волфганг	bo&#39;ri	wolfgang
воля	irodasi	will
волята	irodasi	will
вояджър	sayohatchi	voyager
впечатление	taassurot	impression
впоследствие	natijada	subsequently
враг	dushman	enemy
врагове	dushmanlar	foes
врата	eshik	door
вратар	darvozabon	goalkeeper
вратата	eshik	door
врати	eshiklar	doors
вратите	eshiklar	doors
враца	vraca	vratsa
врачанска	vratsa	vrachan
врачански	vratsa	from vratsa
вредни	zararli	harmful
време	vaqt	time
времена	marta	tenses
временен	vaqtincha	temporary
временна	vaqtincha	temporary
временни	vaqtincha	temporary
временно	vaqtincha	temporary
временното	vaqtincha	standings
времето	ob-havo	time
връзка	ulanish	connection
връзката	ulanish	link
връзки	ulanishlar	connections
връзките	ulanishlar	relations
връх	cho&#39;qqisi	top; peak
връчва	qo&#39;llar	bestows
връща	qaytadi	do
връщане	qaytish	return
връщането	qaytish	return
връщат	qaytish	return
все	hamma narsa	all
всеки	hamma	each
вселената	koinot	universe
всички	hammasi	all
всичките	hammasi	all
всичко	hamma narsa	all
вследствие	lozim	due
всъщност	aslini olib qaraganda	actually
всяка	har biri	every
всякаква	har qanday	all
всякакви	har xil	all
всяко	har bir	every
втора	ikkinchi	second
втората	ikkinchi	second
втори	ikkinchi	second
вторите	keyingisi	second
вторични	ikkilamchi	second
втория	ikkinchi	second
вторият	ikkinchi	second
вторник	seshanba	tuesday
второ	ikkinchi	second
второто	ikkinchi	second
вулкан	vulkan	volcano
вулкани	vulkanik jarayonlar	volcanoes
вулканите	vulkanik jarayonlar	volcanos
вулканична	vulkanik	volcanic
вулфила	bo&#39;ri	wolfile (little wolf)
вход	kirish	input
входа	kirish	input
във	ichida	in
въведен	tanishtirdi	commissioned
въведена	tanishtirdi	introduced
въведение	kirish	blessed virgin
въвежда	tanishtiradi	introduces
въвеждане	kirish	introduction
въвеждането	kirish	introduction
въвеждат	tanishtirish	bring
въглерод	uglerod	carbon
въглероден	uglerod	carbon
въглехидрати	uglevodlar	carbohydrates
въглехидратите	uglevodlar	the carbohydrates
въглища	ko&#39;mir	coal
въз	dam olish	on
възбуда	hayajon	agitation
възвишение	balandlik	eminence
възвишения	balandliklar	hills, elevations
възвръща	qaytadi	returns
възглед	ko&#39;rinish	view
възгледи	ko&#39;rish	views
възгледите	ko&#39;rish	vews
въздействие	ta&#39;sir	impact
въздействието	ta&#39;sir	the influence
въздействия	ta&#39;sirlari	influences
въздух	havo	air
въздуха	havo	air
въздушен	havo	air
въздушни	antenna	air
въздушните	antenna	air
възел	tugun	node
възкачването	ko&#39;tarilish	ascension
възкресение	tirilish	reincarnation
възли	tugunlari	nodes
възлиза	miqdoriga teng	amounts
възлизат	miqdori	amounts
възлияние	infuziya	libatio
възможен	mumkin	possible
възможна	mumkin	possible
възможни	mumkin	possible
възможните	mumkin	possible
възможно	mumkin	possibly
възможност	imkoniyat	possibility
възможности	imkoniyatlar	opportunies
възможностите	imkoniyatlar	the possibilities
възможността	imkoniyat	possibility
възнесение	ko&#39;tarilish	ascension
възникване	paydo bo&#39;lishi	origin
възникването	paydo bo&#39;lishi	originating
възникват	paydo	arise
възникнал	o&#39;rnidan turdi	occurred
възникнали	sodir bo&#39;lgan	originated
възникнало	sodir bo&#39;lgan	appeared
възпаление	yallig&#39;lanish	inflamation
възползва	foydalari	benefit
възприема	idrok qiladi	perceived
възприемат	idrok qilmoq	perceive
възраждане	jonlanish	renaissance
възраждането	uyg&#39;onish	rebirth
възраст	yoshi	age
възрастни	kattalar	adults
възрастните	kattalar	adult
възрастта	yoshi	age
възрожденска	uyg&#39;onish davri	revival
възрожденски	uyg&#39;onish davri	renaissance
възстановен	tiklandi	rebuilt
възстановена	tiklandi	established
възстанови	tiklash	recover
възстановява	tiklaydi	recover
възстановяване	tiklash	establishment
възстановяването	tiklash	the recovery
възстановят	tiklash	restore
възход	ko&#39;tarilish	rise
вълк	bo&#39;ri	wolf
вълна	to&#39;lqin	wave
вълната	to&#39;lqin	the wave
вълнения	hayajon	unrest
вълни	to&#39;lqinlar	waves
вълци	bo&#39;rilar	wolves
вълците	bo&#39;rilar	wolves
външен	tashqi	outside
външна	tashqi	external
външната	tashqi	external
външни	tashqi	external
външните	tashqi	external
външния	tashqi	external
външният	tashqi	appearance
външно	tashqi	foreign
въобще	umuman	at all
въоръжен	qurollangan	armed
въоръжени	qurollangan	armed
въоръжение	qurollanish	weaponry
въоръжените	qurollangan	the armed
въпреки	garchi	nevertheless
въпрос	savol	problem
въпроса	savol	issue
въпроси	savollar	questions
въпросите	savollar	questions
въпросът	savol	issue
върви	boring	go
върнат	qaytdi	back
върне	qaytish	return
въртене	aylanish	rotation
въртенето	aylanish	the spinning
върти	aylanishlar	spin
въртят	aylantirmoq	rotate
върха	yuqori	top
върхове	tepalari	peaks
върховен	oliy	supreme
върховете	tepalari	high
върховния	oliy	high
върховният	oliy	high
върху	yoqilgan	on
въстание	qo&#39;zg&#39;olon	uprising
въстанието	qo&#39;zg&#39;olon	uprising
въстания	qo&#39;zg&#39;olonlar	uprisings
вътре	ichida	inside
вътрешен	ichki	internal
вътрешна	ichki	iner
вътрешната	ichki	inside
вътрешни	ichki	home
вътрешните	ichki	home
вътрешния	ichki	inside
вътрешно	ichki	iner
вътрешността	ichki	inside
вътрешното	ichki	domestic
вяра	imon	vera
вярата	imon	faith
вярва	ishonadi	it is believed
вярвали	ishondi	believed
вярвания	e&#39;tiqodlar	beliefs
вярват	ishonish	believe
вятър	shamol	wind
вятъра	shamol	the wind
г	d	y
габриел	jabroil	gabriel
габрово	gabrovo	gabrovo
габровски	gabrovski	gabrovo's
гавраил	jabroil	gavrail
гаврил	gavril	gavril
гага	gaga	eider
гагарин	gagarin	gagarin
газ	gaz	gas
газа	gaz	gaza (name of city)
газания	gazaniya	gazania
газове	gazlar	gas
газовете	gazlar	gas
газови	gaz	gas
газовите	gaz	gas
гай	daraxtzor	guy
галактика	galaktika	galaxy
галактиката	galaktika	galaxy
галактики	galaktikalar	galaxies
галактиките	galaktikalar	galaxies
галерии	galereyalar	galleries
галерията	galereya	gallery
галилей	galileo	galileo
галилео	galileo	galileo
галия	galliy	gaul
гама	gamma	gama
гамелан	gamelan	gamelan
гана	gana	ghana
гандалф	gandalf	gandalf
ганди	gandi	gandhi
гао	gao	gao
гара	tog &#39;	station
гарантира	kafolatlari	ensure
гари	bekati	stations
гарнизон	garnizon	garrison
гарнизони	garnizonlar	garrisons
гарсия	garsiya	garcia
гауда	gouda	gauda
гауейн	gavayin	gawain (name)
гвардия	qorovul	guards
гватемала	gvatemala	guatemala
гвиана	gayana	guyana
гвинея	gvineya	guinea
гевара	gevara	guevara
гей	gey	gay
гейтс	darvozalar	gates
ген	gen	gene
генерал	umumiy	general
генерален	umumiy	general
генераллейтенант	general-leytenant	lieutenant general
генералмайор	general-mayor	generalmayor
генералния	umumiy	general
генерира	hosil qiladi	generate
генерират	hosil qilmoq	generating
генетичен	genetik	genetic
генетична	genetik	genetic
генетични	genetik	genetic
гени	genlar	genes
геноцид	genotsid	genocide
гео	geo	geo
география	geografiya	geography
географска	geografik	geographic
географската	geografik	geographical
географски	geografik jihatdan	geographical
географските	geografik	geographical
географско	geografik jihatdan	geographically
географското	geografik	geographic
геология	geologiya	geology
геоложки	geologik	geological
геометрия	geometriya	geometry
геоморфология	geomorfologiya	geomorphology
георг	georg	georg (name)
георги	georgi	george
