$ tỉ	বিলিয়ন ডলার	$ billion
clyde	ক্লাইড	(proper noun) clyde, as in bonnie and clyde
cmc	সিএমসি	cmc
cmt	cmt	cmt
cn	সিএন	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	সহ	spasm
coburn	coburn	coburn
cocoa	কোকো	cocoa
coen	coen	coen
coffea	coffea	coffee
cohen	কোহেন	cohen
coi	ঘড়ি	to regard
coleen	coleen	coleen
coleman	কোলম্যান	coleman
coli	কোলাই	coli
colin	কলিন	(proper noun) colin, as in colin powell
colleen	ছুঁড়ি	colleen
college	কলেজ	college
collins	কলিন্স	(proper noun) collins
collège	কলেজ	college (n.)
colombia	কলোমবিয়া	colombia
colombo	কলম্বো	(proper noun) colombo
colorado	কলোরাডো	(proper noun) colorado, as in the state
columbus	কলম্বাস	columbus
comic	কমিক	comic
common	সাধারণ	common
concacaf	কনকাকাফ	concacaf
concerto	গানবিষয়ক রচনা	concerto
concorde	concorde	concorde
condom	কনডম	condom
cong	বাঁকা	curved or bent
congo	কঙ্গো	congo
congress	কংগ্রেস	congress, as in library of congress
connecticut	কানেকটিকাট	connecticut
conrad	কনরাড	corrad
conservation	সংরক্ষণ	conservation
constantine	কনস্টান্টটাইন	constantine
contemporary	সমসাময়িক	contemporary
cooper	পিপানির্মাতা	(proper noun) cooper
copenhagen	কোপেনহেগেন	copenhagen
copernic	copernic	corpernic
copperfield	কপারফিল্ড	(proper noun) copperfield, as in magician david copperfield
coppola	কপোলা	coppola
copy	কপি	copy
cordyceps	cordyceps	cordyceps
core	মূল	core
cornell	কর্নেল	cornell
cosin	cosin	cosine
costa	পঁজর	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	craig	(proper noun) craig
crazy	পাগল	crazy
crespo	crespo	(proper noun) crespo
crest	ঝুঁটি	crest
crew	নাবিকদল	crew
crimson	আরক্ত	crimson
crisis	সঙ্কট	crisis
cristiano	ক্রিস্টিয়ানো	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	ক্রোয়েশিয়া	croatia
cross	ক্রস	cross
crs	crs	crs
cruz	ক্রুজের	cruz
cruzeiro	ব্রেজিলদেশের মুদ্রা	cruzeiro
crystal	স্ফটিক	crystal
ctc	ctc	ctc
cua	কাঁকড়া	crab (n.)
cullen	cullen	a name
cung	নম	circle
cunningham	কানিংহাম	cunningham; proper name
cup	কাপ	cup
cuả	এর	of, from, belonging to
cuốc	নিড়ানির	hoe
cuối	গত	last or final (adj.)
cuốn	কুণ্ডলী	book
cuống	চুপিসাড়ে অনুসরণ করা	throat
cuồng	পাগল	crazy (adj.)
cuộc	দ্য	the
cyanide	সাইয়্যান্যাজিনের মিশ্র	cyanide
cyber	সাইবার	cyber
cyril	cyril	(proper noun) cyril
cyrus	সাইরেস	cyrus
cyworld	cyworld	cyword
cà	কফি	ca
cài	ইনস্টল	install
càn	প্রয়োজন	raid
càng	অধিক	cang
cành	শাখা	branch
cào	আঁচড়ের দাগ	scratch
cày	চাষ	plow
các	দ্য	all (adv.)
cách	পথ	the
cái	দ্য	"(term should be ""con cái"") children (n.)"
cán	ঘূর্ণিত	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	গরূৎ	wing
cáo	শিয়াল	report
cáopx|bình	কোপেক্স | গড়	not a word
cáp	তারের	cable (n.)
cáy	বেহালাবাদক	fiddler
câm	মূক	mute (adj.)
cân	দাঁড়িপাল্লা	weight
câu	বাক্যটি	saying
cãi	তর্ক করা	argue
cò	ট্রিগার	stork
còn	এখনো	to have left (v.)
có	আছে	have
cói	শর	machine
cót	খাট	cot
cô	হারানো	girl
côi	এতিম	orphaned
côn	মোমবাতি	a stick (n.)
công	কাজ	worker
côngtenơ	আধার	container
cõi	রাজ্য	entire area
cõng	piggyback	piggyback
cù	সুড়সুড়ি	cu
cùi	কুষ্ঠরোগী	leprosy
cùng	এবং	together
cú	পেঁচা	old
cúi	নম	to bow (v.)
cúm	ফ্লু	cum
cúng	আরামদায়ক	worship
cúp	কাপ	cup (n.)
cút	বের হও	to kick someone out (v.)
căm	প্লাগ ইন	detest (cam thu)
căn	ভিত্তিগত	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	প্রসারণ	tense
cũ	পুরাতন	old
cũi	ডাবা	kennel
cũng	যেমন	also
cơm	ধান	rice
cư	জনপূর্ণ	resident
cưa	করাত	saw
cưng	আমার খোকামনি	also
cước	মালবাহী	megaman
cưới	বিবাহিত	marry
cướp	হরণ করা	to rob (v.)
cười	হাসি	smile
cường	শক্তিশালী	strengthen
cưỡi	অশ্বচালনা	ride
cưỡng	জোরপূর্বক	force some body to do some thing. cưỡng dâm=rape
cạc	কার্ড	card (n.)
cạn	অগভীর	shallow
cạnh	প্রান্ত	"(term should be ""khía cạnh"") an angle"
cạo	কামান	shave
cạp	বৃশ্চিকরাশি	scorpion
cả	উভয়	both
cải	সরিষা	reform
cảm	ঠান্ডা	pleasure
cản	জর্জরিত	prevent
cảng	বন্দর	port
cảnh	দৃশ্য	situation
cảo	টানাপড়েনে	posthumous
cấm	নিষিদ্ধ করা	ban
cấn	প্রয়োজন	dramatic
cấp	প্রদান	level or rank (n.)
cất	চুয়ান	"(term should be ""cất giữ"") to keep safe or store"
cầm	রাখা	to hold (v.)
cần	প্রয়োজন	need
cầu	সেতু	request
cầy	গন্ধগোকুল	farmed
cẩn	সতর্ক হোন	carefully
cẩu	কপিকল	"(term should be ""hải cẩu"") a seal (n.)"
cận	অভিগমন	close
cập	বিপরীত	mention
cậu	ছেলে	a young man (n.)
cậy	নির্ভর	reliable
cắm	প্লাগ লাগানো	to plant (v.)
cắn	দান্ত দিয়া ফুটা করা	to bite
cắp	চুরি করা	steal
cắt	কাটা	cut
cằm	থুতনি	chin
cằn	ক্রুদ্ধ	exhausted (adj.)
cặp	থলে	couple
cọ	ঘষা	rub
cọc	গাদা	pile
cọp	বাঘ	tiger
cỏ	ঘাস	plant
cố	চেষ্টা	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	কাপটি	cereal
cối	হামানদিস্তা	mortar
cốm	অংশটিতে	grilled rice
cống	ড্রেন	dedicate
cồn	এলকোহল	i
cồng	ঘণ্টা	gong
cổng	গেট	gate
cỗ	ডেক	engine
cỗi	একগুঁয়ে	barren
cộ	যান-সংক্রান্ত	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	পুরাতন	origin
cộng	যোগ	to add (v.)
cột	স্তম্ভ	pole
cớ	ছুতা	excuse
cờ	পতাকা	flag
cỡ	আয়তন	size
cợt	joking	"(term should be ""đùa cợt"") to trifle (v.)"
cục	বিভাগ	department
cụm	গুচ্ছ	cluster
cụp	কর্তিত	down
cụt	কর্তিত	"(should be ""xương cụt"") the tailbone or coccyx"
củ	কন্দ	a bulb, a botanical term
của	এর	of
củi	জ্বাল	firewood
củng	এছাড়াও	reinforce
cứ	চালু	any
cức	ঘুঘুধ্বনি	"(term should be ""cức Đê"") a character in chinese history"
cứng	কঠিন	hard
cứngi	hardi	cungi
cừ	খুঁটি	nacre
cừu	মেষশাবক	sheep
cửa	দরজা	door
cửu	সংখ্যাবৃদ্ধি	nine
cữ	ছেদ	abstinence
cữu	কৌটা	nine
cự	দূরত্ব	against
cựa	ত্বরান্বিত	retreat
cực	মেরু	extreme
cựu	সাবেক	former
d	ঘ	d.
da	চামড়া	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	শক্ত	persistent
daily	দৈনন্দিন	daily
dakota	ডাকোটা	dakota, as in the state of south dakota
dalat	দা ল্যাট	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	দেনিযেল	dan
dancing	নাট্য	dancing
danger	ঝুঁকি	danger
danh	নাম	list
daniel	ড্যানিয়েল	daniel
dante	দান্তে	dante
dao	ছুরি	poniard
darwin	ডারউইন	darwin
das	দাস	das
dassault	dassault	(proper noun) dassault
date	তারিখ	date
dau	তেল	dau
dave	ডেভ	(proper noun) dave, as in dave sexton
david	ডেভিড	david, as in david thomas
davies	ডেভিস	davies
davis	ডেভিস	davis
dbsk	dbsk	dbsk
dc	ডিসি	d.c.
ddr	ডিডিআর	ddr
dean	যাজক	a name
degree	ডিগ্রী	degree
delhi	দিল্লি	delhi
delphi	ডেল্ফী	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	গুহা	den
dennis	ডেনিস	dennis
department	বিভাগ	departmen
derek	ডেরেক	derek
des	দেস	des
descartes	ডেস্ক্রেটের	descartes
design	thiết kế	thiet ke
deuterium	ডিউটেরিয়াম	deuterium
deutschland	deutschland	deutschland
dewan	দেওয়ান	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	দ্বি	move
diana	দাইঅ্যান্যা	(proper noun) diana, as in diana ross
die	মরা	german
diego	দিয়েগো	diego
dien	পাগল	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	প্রাসাদ	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	আবিষ্কার	discovery
discussion	আলোচনা	discussion
disneyland	disneyland	disneyland
division	বিভাগ	division
divoire	divoire	d'lvoire
diêm	ম্যাচ	diem vuong
diên	পাগল	"(term should be ""kinh diên"") canon (n.)"
diềm	valances	matches
diều	ঘুড়ি	kite
diểu	প্রহসন	(proper noun) diểu
diễm	ডায়েম	beauty; a common vietnamese first name for women
diễu	মার্চ	parade
diệc	চক্রবাক	a heron (n.)
diệm	ডায়েম	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	মুখ	face to face
diệt	হত্যা	to kill or destroy (v.)
diệu	জাদু	effective (adj.)
djibouti	জিবুতি	djibouti, a country in africa
djokovic	জকোভিচ	(proper noun) djokovic, as in novak djokovic
dm	জন্য dm	dm
dmitri	দিমিত্রি	dmitri
dna	ডিএনএ	dna
do	দ্বারা	because of
doanh	যৌথ	"(term should be ""kinh doanh"") business (n.)"
doc	ডক	doc
docherty	ডোচার্টি	docherty
dolly	ক্ষুদ্র পুতুলের মত	(proper noun) dolly, as in singer dolly parton
dome	গম্বুজ	nha
dominican	ডোমিনিকান	(proper noun) dominican, as in the dominican republic
don	ডন	(proper noun) don
donau	donau	donau
dortmund	ডর্টমুন্ড	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	ডোভের	(proper noun) dover, as in the capital of delaware
doyle	ডয়েল	doyle
doãn	doan	doan
doạ	হুমকি	threat
dp	ডিপি	dp
dracula	dracula	dracula
draft	খসড়া	draft
drake	হংস	(proper noun) drake
driver	চালক	a name
ds	ডি এস	ds
dtd	dtd	dtd
dth	dth	dth
du	ডু	travel
dubai	দুবাই	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	ডাম্বলডোর	dumbledore
dung	গোবর	portrait
durham	ডরহম	durham
dursley	dursley	dursley
duy	কেবল	only
duyên	দৈবনির্দিষ্ট	coastal
duyện	উচ্চাকাঙ্ক্ষী	fellatio
duyệt	ব্রাউজার	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	উত্তরপুরূষ	descendants (n.)
duỗi	সোজা	stretch
dwight	ডোয়াইট	dwight
dà	dah	gradually
dài	দীর্ঘ	to lengthen, as in time
dàn	উপস্থাপনকারী	to arrange
dàng	সহজ	dang
dành	অতিবাহিত	for
dào	প্রচুর	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	পুরু	thick
dái	প্রস্রাব	"penis (n.), although some may use the term to mean ""testicles"""
dám	সাহস	dare
dán	পেস্ট করুন	stick
dáng	আকৃতি	appearance
dát	খচিত	inlay
dâm	লুচ্চা	lustful (adj.)
dân	সম্প্রদায়	people
dâng	প্রদান	dedicate
dây	কাণ্ড	nerve
