$	usd	dollarsign
beurs	akciju tirgus	bourse
beurt	pagriezties	turn
beurzen	stipendijas	fairs
bevallen	dzemdēt	satisfactory (1st sentence), gave birth (3rd sentence), give birth (5th sentence)
bevalling	dzemdības	confinement
bevat	satur	contains
bevatte	satur	contained
bevatten	saturēt	contains
beveiliging	drošība	security
bevel	pasūtīt	command
bevelhebber	komandieris	commander
beveren	bebrs	beveren
bevestigd	apstiprināja	confirmed
bevestigde	apstiprināja	confirmed
bevestiging	apstiprinājums	confirmation
bevinden	atrodas	who hear
bevindingen	atradumi	findings
bevindt	atrodas	located
beving	trīce	quiver
bevoegd	kompetents	competent
bevoegdheden	atļaujas	authorities
bevoegdheid	kompetence	responsability
bevolking	populācija	population
bevolkingsdichtheid	iedzīvotāju blīvums	population density
bevolkingsgroei	populācijas pieaugums	population growth
bevolkingsgroepen	iedzīvotāju grupas	communities
bevolkingssamenstelling	iedzīvotāju sastāvs	demographics
bevolkt	apdzīvots	inhabited
bevond	tika atrasts	located
bevonden	atrasts	found
bevorderd	reklamēts	promoted
bevorderen	reklamēt	to improve
bevordert	veicina	improves
bevriend	draugi	are friends
bevrijd	atbrīvots	liberated
bevrijden	atbrīvot	liberate
bevrijding	atbrīvošanās	liberation
bevrucht	apaugļota	fertilize
bevruchting	mēslošana	fertilization
bewaard	turēti	conserved
bewaren	saglabāt to	in this context it means: to keep a distance
beweegt	kustas	moves
beweerd	apgalvoja	claimed
beweerde	apgalvoja	asserted
beweert	apgalvo	claims
bewegen	kustēties	to move
bewegende	pārvietojas	moving
beweging	kustība	movement
bewegingen	kustības	movements
beweren	prasība	state
bewerken	rediģēt	editing
bewerking	operācija	remade
bewerkstelligen	paveikt	bring about
bewerkt	rediģēts	edit
bewezen	pierādīts	proved
bewijs	pierādījums	proof
bewijzen	pierādīt	proof
bewind	valdīt	reign
bewogen	pārcēlās	moved
bewonderen	apbrīnot	admire
bewondering	apbrīna	admiration
bewoners	iedzīvotāji	inhabitants
bewoning	dzīvesvieta	inhabitance
bewoond	apdzīvots	inhabited
bewoonde	apdzīvots	inhabited
bewust	apzinās	conscious
bewuste	apzinās	conscious
bewustzijn	izpratne	awareness
bezat	piederēja	possessed
bezaten	piederēja	took hold of
bezet	okupēts	occupates
bezette	okupēts	occupied
bezetten	okupēt	occupy
bezetting	nodarbošanās	occupation
bezichtigen	skats	see
bezienswaardigheden	apskates vietas	sights
bezig	aizņemts	busy
bezigheden	aktivitātes	activities
bezighouden	okupēt	occupy
bezighoudt	aizņemts	occupy
bezit	īpašumā	possession
bezitten	piederēt	own
bezittingen	īpašumi	posessions
bezocht	apmeklēja	visited
bezoek	apmeklējums	visit
bezoeken	apmeklēt	visit
bezoekers	apmeklētāji	visitors
bezoekt	vizītes	visit
bezwaar	iebildumi	objection
bezwaren	iebildumi	objections
beëindigd	izbeigts	ended
beëindigen	lai beidzas	terminate
beïnvloed	skarto	influenced
beïnvloeden	ietekmēt	to influence
beïnvloedt	ietekmē	influences
bibliografie	bibliogrāfija	bibliography
bibliotheek	bibliotēka	library
bibliotheken	bibliotēkas	libraries
bieber	bībers	bieber
bieden	piedāvājums	offered
biedt	piedāvājumus	offers
bier	alus	beer
biercultuur	alus kultūra	beer culture
bieren	alus	beers
bieslook	maurloki	chive
big	liels	big
bij	bite	with
bijbehorende	atbilstošie	associated
bijbel	bībele	bible
bijbelse	bībeles	biblical
bijdrage	ieguldījums	contribution
bijdragen	dot ieguldījumu	contributions/ contribute
bijeen	kopā	together
bijeenkomst	sapulce	meeting
bijeenkomsten	sapulces	meetings
bijen	bites	bees
bijgedragen	veicināja	contributed
bijgehouden	turpināja	kept / maintained
bijgestaan	palīdzēja	assisted
bijgevolg	sekojoši	so
bijgewerkt	atjaunināts	updated
bijgezet	iejaucās	adjoined
bijkomende	papildu	additional
bijna	gandrīz	almost
bijnaam	segvārds	nickname
bijnamen	iesaukas	nicknames
bijten	iekost	to bite
bijv	piem	for example
bijvangst	piezveja	surplus catch
bijvoorbeeld	piemēram	for instance
bijwerkingen	blakus efekti	side
bijwoord	sakāmvārds	adverb
bijzonder	īpašs	special
bijzondere	īpašs	special
bill	rēķins	bill
billboard	stends	billboard
billy	bilijs	billy
bin	atkritumu tvertne	bin (part of name)
binden	kakla saite	bind
binnen	ietvaros	inside
binnenkant	iekšā	inside
binnenland	iekšzemē	interior
binnenlands	iekšzemes	domestic
binnenlandse	iekšzemes	inland
binnenstad	iekšpilsēta	town
binnenste	iekšējais	inner
bio-ethiek	bioētika	bio ethics
biografie	biogrāfija	biography
biologie	bioloģija	biology
biologisch	bioloģiskā	biological
biologische	bioloģiskā	biological
bioscoop	kino	movie theater
bioscopen	kinoteātros	movie theaters
bipolaire	bipolāri	bipolar
bisdom	diecēze	bisdom
bisdommen	diecēzes	dioceses
bisschop	bīskaps	biship
bisschoppen	bīskapi	bischops
bitch	kuce	teef
björn	bjorns	bjorn
blaasontsteking	cistīts	urinary infection
black	melns	black
blad	lapa	journal
bladeren	lapas	leaves
blair	blair	blair
blake	blake	blake
blanc	blanc	white
blanke	baltais cilvēks	white
blanken	baltumi	whites
blauw	zils	blue
blauwe	zils	blue
blazen	sitiens	blow
bleef	palika	stayed absence
bleek	izrādijās	appeared to be
bleken	balināšana	appeared
bleven	palika	remain
blij	laimīgs	happy
blijft	paliek	remains
blijken	izrādīties	to appear
blijkt	izrādās	seems
blijven	palikt	happy just
blijvend	ilgstošs	remain
blijvende	ilgstošs	staying
blind	akls	blind
blinde	akls	blind
bloed	asinis	blood
bloedarmoede	anēmija	anaemia
bloedcellen	asins šūnas	blood cells
bloeddruk	asinsspiediens	blood pressure
bloedige	asiņaini	bloody
bloedsomloop	asinsrites sistēma	circulatory
bloeduitstorting	zilumi	haematoma
bloedvaten	asinsvadi	veins
bloedverlies	asins zudums	bloodloss
bloei	zied	blossom
bloeiende	ziedošs	flowering
bloeiperiode	ziedēšanas periods	blossom period
bloem	zieds	flower
bloemen	ziedi	floral
blog	emuārs	blog
blok	bloķēt	block
blokkade	aizsprostojums	blockade
blokken	bloki	blocks
blokkeren	bloķēt	obstruct
bloot	kails	revealed
blootgesteld	pakļauti	exposed
blootstelling	iedarbība	exposure
blote	pliks	naked
blue	zils	blue
blues	blūza	blues
bluetooth	bluetooth	bluetooth - proper noun - brand name
bluray	bluray	blu-ray
bnp	nkp	gdp
bob	boba	bob
bobby	bobijs	bobby
bocht	locīt	curve
bod	cena	offer
bodem	apakšā	soil
boden	piedāvāja	offered
boeda	buda	buda
boedapest	budapešta	budapest
boeddha	buda	buddha
boeddhisme	budisms	buddhism
boeddhisten	budisti	buddhists
boeddhistische	budists	buddhist
boeg	priekšgala	bow
boeing	boeing	boeing - proper noun
boek	grāmata	book
boekarest	bukareste	bucharest
boeken	grāmatas	books
boekenreeks	grāmatu sērija	book series
boer	zemnieks	boer (name)
boerderij	ferma	farm
boeren	zemnieki	farmers
boete	labi	fine
boezems	krūtis	atrium
bohemen	bohēmija	bohemians
bol	sfēra	sphere
bolivia	bolīvija	bolivia
bombardement	bombardēšana	bombardment
bombardementen	bombardēšana	bombardments
bomen	koki	trees
bon	kvīts	bon
bonaire	bonaire	bonaire
bonaparte	bonaparte	bonaparte
bond	saite	bond
bondgenoot	sabiedrotais	ally
bondgenootschap	alianse	alliance
bondgenoten	sabiedrotie	allies
bondsrepubliek	federālā republika	federal republic
bonen	pupiņas	beans
bonn	bonna	bonn
bono	bono	good
bood	piedāvāja	offered
boodschap	ziņa	message
boodschappen	pārtikas preces	messages
boog	priekšgala	arc
book	grāmata	book
boom	koks	tree
boord	dēlis	bord
boos	dusmīgs	angry
boot	laiva	boat
bootleg	zābaks	bootleg
borderline	robeža	borderline
border|pxvlag	apmale | px karogs	border
borg	depozīts	bail
boris	boriss	boris
borsato	borsato	borsato
borst	krūtīs	chest
borsten	krūtis	breasts
borstkanker	krūts vēzis	breast cancer
borstvoeding	barošana ar krūti	breastfeeding
bos	mežs	forest
bosbouw	mežsaimniecība	forestry
bosch	boša	bosch
bosnië	bosnija	bosnie
bosporus	bosfors	bosporus
bossen	meži	forests
bot	kauls	bone
boten	laivas	boats
boter	sviests	butter
botsing	avārija	collision
botten	kauli	bones
bottom	apakšā	bottom
boudewijn	boudewijn	boudewijn - proper noun - first name
boulevard	bulvāris	boulevard
bourgondische	burgundietis	burgundian
bourgondië	bordo	bourgondie
bouw	būvniecība	building
bouwde	būvēts	built
bouwden	būvēts	builded
bouwen	uzbūvēt	build
bouwkunst	arhitektūra	architecture
bouwmaterialen	būvmateriāli	building materials
bouwstijl	arhitektūras stils	building style
bouwwerk	celtne	structure
bouwwerken	struktūras	buildings
boven	augšstāvā	processing
bovenaan	virsotnē	above
bovendien	turklāt	also
bovengenoemde	teica iepriekš	afore mentioned
bovenop	virs	on top
bovenstaande	virs	above mentioned
bovenste	augšējā	upper
bovenzijde	augšējā puse	top
bowie	bowie	bowie
box	kaste	box
boy	puika	boy
boys	zēni	jongens
boze	dusmīgs	angry
brabant	brabants	brabant
brabants	brabants	brabants
brabantse	brabantse	brabant
bracht	atnesa	brought
brachten	atnesa	brought
brad	breds	brad
brak	izlauzās	started
braken	vemt	throwing up
bram	bram	bram
brand	uguns	fire
branden	sadedzināt	fires
brandende	dedzināšana	burning
brandstof	degviela	fuel
brandstoffen	degviela	fuels
brandweer	ugunsdzēsēju brigāde	fire brigade
braque	braque	braque
braziliaanse	brazīlietis	brazilian
brazilië	brazīlija	brazil
break	pārtraukums	break
breda	breda	breda
brede	plašs	broad
breder	plašāka	wider
bredere	plašāka	broader
breed	plašs	broad
breedte	platums	width
breedtegraad	platuma grādos	latitude
breekt	pārtraukumi	breaks
breidde	paplašināts	spread
breiden	paplašināt	expand
brein	smadzenes	brain
breken	pārtraukums	break
brengen	atnest	bring
brengt	nes	brings
bretagne	bretaņa	brittany
breuk	pārrāvums	console
brian	braiens	brian
bridge	tilts	bridge
brief	vēstule	letter
brieven	vēstules	letters
bril	brilles	"""bril""/ glasses"
brink	zaļš	brink
brit	brit	briton
british	britu	britisch
britney	britnija	britney
brits	britu	brittish
britse	britu	britisch
britten	britu	british
broeders	brāļi	brothers
broeikaseffect	siltumnīcas efekts	greenhouse effect
broek	bikses	broek
broer	brālis	brother
broers	brāļi	brothers
bron	avots	source
bronnen	avoti	sources
bronzen	bronzas	bronze
brood	maize	bread
brooke	brūka	brooke
brooklyn	bruklina	brooklyn
bros	trausls	bros
brothers	brāļi	brothers (broers)
brouwen	brūvēt	brew
brown	brūns	brown (name)
bruce	bruce	bruce
brug	tilts	bridge
brugge	brige	brugge
bruggen	tilti	bridges
brugse	brige	bruges
bruikbaar	izmantojams	usable (2nd sentence), practicable (5th and 6th sentence)
bruiloft	kāzas	wedding
bruin	brūns	brown
bruine	brūns	brown
brussel	brisele	brussels
brussels	briseles	brussels
brusselse	briseles	brussels
bruto	bruto	gross
brutus	brutāli	brutus - proper noun - surname or first name
btw	pvn	btw
budget	budžets	budget
buenos	buenosai	buenos
buigen	priekšgala	bend
buik	vēders	belly
building	ēka	building
buis	caurule	tube
buiten	ārā	outside
buitenaf	ārpusē	outside
buitengewoon	ārpus parastā	extraordinary
buitenkant	ārpusē	outside
buitenland	ārzemēs	foreign country
buitenlanders	ārzemnieki	foreigners
buitenlands	ārzemju	foreign
buitenlandse	ārzemju	octavian
buitenste	ārējais	outer most
buitenwereld	ārpasaule	outside world
buitenwijken	priekšpilsētas	suburbs
bul	bul	bul
bulgaarse	bulgāru	bulgarian
bulgarije	bulgārija	bulgaria
bull	bullis	bull
bunker	bunkuru	bunker
burcht	cietoksnis	stronghold
bureau	rakstāmgalds	bureau
buren	kaimiņi	neighbours
burgemeester	mērs	mayor
burgemeesters	mēri	mayors
burger	civilā	citizen
burgerij	buržuāzija	city state
burgerlijk	civilā	civil
burgerlijke	civilā	civil
burgeroorlog	pilsoņu karš	civil war
burgers	pilsoņiem	citizens
burton	burtons	burton
bus	autobuss	bus
bush	krūms	bush
business	bizness	business
bussen	autobusi	buses
but	bet	<english word> but
buurland	kaimiņvalsts	neighbouring country
buurlanden	kaimiņvalstīs	neighbouring countries
buurt	apkārtne	neighbourhood
buurten	apkaimes	neighbours
bv	piem.	eg
by	autors	door (2nd sentence)
byzantijnen	bizantieši	byzantins
byzantijnse	bizantīns	byzantin
byzantium	bizantija	byzantium
c	c	c
ca	apm	ca
cacao	kakao	cocoa
caesar	cēzars	caesar
caesars	ķeizari	caesars
cafeïne	kofeīns	caffeine
café	kafejnīca	public house
cafés	kafejnīcas	bars
calcium	kalcijs	calcium
california	kalifornijā	californie
californian	kalifornijas	californian
californische	kalifornietis	californian
californië	kalifornijā	california
call	zvana	call
calvijn	kalvins	calvijn
cambodja	kambodža	camboida
cambridge	kembridža	cambridge
camera	kamera	camera
cameron	kamerons	cameron
camp	nometne	camp
campagne	kampaņa	campaign
campus	pilsētiņā	campus
can	var	can
canada	kanāda	canada
canadese	kanādietis	canadean
canarische	kanārijputniņš	canary
canis	canis	canis
cannabis	kaņepes	cannabis
canon	kanons	canon
cant	aprunāt	cant
capaciteit	ietilpība	capacity
car	auto	car
caraïbische	karību jūras reģions	carribean
carcheologisch	karheoloģiskā	archeologic
card	karti	card
care	aprūpi	care
carel	carel	carel
caribische	karību jūras reģions	caribic
carl	kārlis	carl
carlisle	kārlis	carlisle
carlo	carlo	carlo
carlos	carlos	carlos
carnaval	karnevāls	carnaval
carolina	karolīna	carolina
caroline	karolīna	caroline
carpathia	carpātija	carpathia
carrière	karjera	career
carter	karteris	crankcase
carthago	kartāga	carthago
casa	casa	casa
cash	skaidrā naudā	cash
casino	kazino	casino
cast	cast	cast
castilië	kastīlija	castile
castle	pils	kasteel
castro	kastro	castro
catalaans	katalāņu	catalan
catalaanse	katalāņu	catalan
catalonië	katalonija	catalonia
categorie	kategorija	category
categorieamerikaans	kategorijas amerikānis	category american
categorieamerikaanse	kategorijas amerikānis	category american
categoriebrits	kategorija briti	category british
categorieduits	kategorija vācu valoda	category: german
categoriefilm	kategorijas filma	category: movie
categoriegemenebest	kategorija sadraudzība	category commonwealth
categoriegeschiedenis	kategoriju vēsture	category history
categoriehoofdstad	kategorijas kapitāls	category of capital
categorieinfectieziekte	kategorijas infekcijas slimība	category infectious disease
categorieitaliaans	kategorijas itāļi	category italian
categorieland	kategorijas valsts	country category
categorienederlands	kategorija holandiešu	category:dutch
categorieplaats	kategorijas vieta	category
categorieprogramma	kategoriju programma	category: programme
categoriestad	kategorijas pilsēta	category city
categorietelevisieprogramma	kategorijas televīzijas programma	category: television show
categoriewerelderfgoed	kategorija pasaules mantojums	category world inheritance
categorieën	kategorijas	categories
catharina	katarina	catharina
cavalerie	kavalieris	cavalry
caïro	kaira	cairo
cbs	cbs	cbs
cd	kompaktdisks	compact disc
cda	cda	cda
cdot	cdot	cdot
cds	cd	compact discs
cdv	cdv	cdv
cel	šūna	cell
cellen	šūnas	cells
cement	cements	cement
centimeter	centimetrs	centimeter
centra	centri	centers
centraal	centrālais	central
centraalazië	vidusāzija	central-asia
centraaleuropa	centrāleiropa	eastern europe
central	centrālais	central
centrale	centrālais	central
centre	centrā	center
centrum	centrs	centre
century	gadsimtā	century
cf	sal	cf
challenge	izaicinājums	challenge
champions	čempioni	champions
chan	čan	chan
change	mainīt	change
channel	kanāls	channel
chaos	haoss	chaos
charleroi	šarleruā	charleroi
charles	charles	charles
charlie	čārlijs	charlie
charlotte	šarlote	charlotte
chase	tramdīt	chase
che	che	che
chef	priekšnieks	chief
cheliceren	apsveicu	cheliceren
chelsea	chelsea	chelsea
chemie	ķīmija	chemical
chemisch	ķīmiska	chemical
chemische	ķīmiska	chemical
cheops	cheops	cheops
chicago	čikago	chicago
chief	priekšnieks	chief
child	bērns	shield
children	bērni	children
chileense	čīle	chilean
chili	čili	chili
