$	dollar təşkil edib	dollars
врата	qapı	door
вратар	qapıçı	goalkeeper
вратата	qapı	door
врати	qapılar	doors
вратите	qapılar	doors
враца	vraca	vratsa
врачанска	vratsa	vrachan
врачански	vratsa	from vratsa
вредни	zərərli	harmful
време	vaxt	time
времена	dəfə	tenses
временен	müvəqqəti	temporary
временна	müvəqqəti	temporary
временни	müvəqqəti	temporary
временно	müvəqqəti	temporary
временното	müvəqqəti	standings
времето	hava	time
връзка	əlaqə	connection
връзката	əlaqə	link
връзки	əlaqələri	connections
връзките	əlaqələri	relations
връх	zirvəsi	top; peak
връчва	əllər	bestows
връща	qayıdır	do
връщане	qayıtmaq	return
връщането	qayıdış	return
връщат	qayıtmaq	return
все	hər şey	all
всеки	hər kəs	each
вселената	kainat	universe
всички	hamısı	all
всичките	hamısı	all
всичко	hər şey	all
вследствие	görə	due
всъщност	faktiki olaraq	actually
всяка	hər biri	every
всякаква	hər hansı	all
всякакви	hər cür	all
всяко	hər	every
втора	ikinci	second
втората	ikinci	second
втори	ikinci	second
вторите	sonuncu	second
вторични	orta	second
втория	ikinci	second
вторият	ikinci	second
вторник	çərşənbə axşamı	tuesday
второ	ikinci	second
второто	ikinci	second
вулкан	vulkan	volcano
вулкани	vulkanlar	volcanoes
вулканите	vulkanlar	volcanos
вулканична	vulkanik	volcanic
вулфила	qurd	wolfile (little wolf)
вход	giriş	input
входа	giriş	input
във	içində	in
въведен	tanıtdı	commissioned
въведена	tanıtdı	introduced
въведение	giriş	blessed virgin
въвежда	təqdim edir	introduces
въвеждане	giriş	introduction
въвеждането	giriş	introduction
въвеждат	tanıtmaq	bring
въглерод	karbon	carbon
въглероден	karbon	carbon
въглехидрати	karbohidratlar	carbohydrates
въглехидратите	karbohidratlar	the carbohydrates
въглища	kömür	coal
въз	res	on
възбуда	həyəcan	agitation
възвишение	yüksəliş	eminence
възвишения	yüksəkliklər	hills, elevations
възвръща	qayıdır	returns
възглед	görünüşü	view
възгледи	baxışlar	views
възгледите	baxışlar	vews
въздействие	təsir	impact
въздействието	təsir	the influence
въздействия	təsirləri	influences
въздух	hava	air
въздуха	hava	air
въздушен	hava	air
въздушни	hava	air
въздушните	hava	air
възел	düyün	node
възкачването	qalxma	ascension
възкресение	dirilmə	reincarnation
възли	qovşaqları	nodes
възлиза	məbləğində	amounts
възлизат	məbləği	amounts
възлияние	infuziya	libatio
възможен	mümkün	possible
възможна	mümkün	possible
възможни	mümkün	possible
възможните	mümkün	possible
възможно	mümkün	possibly
възможност	fürsət	possibility
възможности	imkanlar	opportunies
възможностите	imkanlar	the possibilities
възможността	fürsət	possibility
възнесение	qalxma	ascension
възникване	baş verməsi	origin
възникването	ortaya çıxması	originating
възникват	yaranır	arise
възникнал	qalxdı	occurred
възникнали	meydana gəldi	originated
възникнало	meydana gəldi	appeared
възпаление	iltihab	inflamation
възползва	faydaları	benefit
възприема	qavrayır	perceived
възприемат	qavramaq	perceive
възраждане	canlanma	renaissance
възраждането	dirçəliş	rebirth
възраст	yaş	age
възрастни	böyüklər	adults
възрастните	böyüklər	adult
възрастта	yaş	age
възрожденска	i̇ntibah	revival
възрожденски	i̇ntibah	renaissance
възстановен	bərpa edildi	rebuilt
възстановена	bərpa edildi	established
възстанови	bərpa edin	recover
възстановява	bərpa edir	recover
възстановяване	bərpa	establishment
възстановяването	bərpa	the recovery
възстановят	bərpa edin	restore
възход	qalxmaq	rise
вълк	qurd	wolf
вълна	dalğa	wave
вълната	dalğa	the wave
вълнения	həyəcan	unrest
вълни	dalğalar	waves
вълци	qurdlar	wolves
вълците	qurdlar	wolves
външен	xarici	outside
външна	xarici	external
външната	xarici	external
външни	xarici	external
външните	xarici	external
външния	xarici	external
външният	xarici	appearance
външно	xarici	foreign
въобще	ümumiyyətlə	at all
въоръжен	silahlı	armed
въоръжени	silahlı	armed
въоръжение	silahlanmaq	weaponry
въоръжените	silahlı	the armed
въпреки	baxmayaraq	nevertheless
въпрос	sual	problem
въпроса	sual	issue
въпроси	suallar	questions
въпросите	sualları	questions
въпросът	sual	issue
върви	get	go
върнат	qayıtdı	back
върне	qayıtmaq	return
въртене	fırlanma	rotation
въртенето	fırlanma	the spinning
върти	fırlanır	spin
въртят	dönmək	rotate
върха	üst	top
върхове	zirvələri	peaks
върховен	ali	supreme
върховете	zirvələri	high
върховния	ali	high
върховният	ali	high
върху	yandır	on
въстание	qiyam	uprising
въстанието	qiyam	uprising
въстания	qiyamlar	uprisings
вътре	içəri	inside
вътрешен	daxili	internal
вътрешна	daxili	iner
вътрешната	daxili	inside
вътрешни	daxili	home
вътрешните	daxili	home
вътрешния	daxili	inside
вътрешно	daxili	iner
вътрешността	daxili	inside
вътрешното	daxili	domestic
вяра	iman	vera
вярата	iman	faith
вярва	inanır	it is believed
вярвали	inanırdı	believed
вярвания	inanclar	beliefs
вярват	inanmaq	believe
вятър	külək	wind
вятъра	külək	the wind
г	d	y
габриел	cəbrail	gabriel
габрово	gabrovo	gabrovo
габровски	gabrovski	gabrovo's
гавраил	cəbrail	gavrail
гаврил	gavril	gavril
гага	qaqa	eider
гагарин	qaqarin	gagarin
газ	qaz	gas
газа	qaz	gaza (name of city)
газания	qazaniya	gazania
газове	qazlar	gas
газовете	qazlar	gas
газови	qaz	gas
газовите	qaz	gas
гай	bağ	guy
галактика	qalaktika	galaxy
галактиката	qalaktika	galaxy
галактики	qalaktikalar	galaxies
галактиките	qalaktikalar	galaxies
галерии	qalereyalar	galleries
галерията	qalereya	gallery
галилей	qalileo	galileo
галилео	qalileo	galileo
галия	gallium	gaul
гама	qamma	gama
гамелан	gamelan	gamelan
гана	qana	ghana
гандалф	gandalf	gandalf
ганди	qandi	gandhi
гао	gao	gao
гара	dağ	station
гарантира	zəmanətlər	ensure
гари	stansiyası	stations
гарнизон	qarnizon	garrison
гарнизони	qarnizonlar	garrisons
гарсия	garciya	garcia
гауда	gouda	gauda
гауейн	gawain	gawain (name)
гвардия	gözətçi	guards
гватемала	qvatemala	guatemala
гвиана	guyana	guyana
гвинея	qvineya	guinea
гевара	guevara	guevara
гей	gey	gay
гейтс	qapıları	gates
ген	gen	gene
генерал	ümumi	general
генерален	ümumi	general
генераллейтенант	general leytenant	lieutenant general
генералмайор	general-mayor	generalmayor
генералния	general	general
генерира	yaradır	generate
генерират	yaratmaq	generating
генетичен	genetik	genetic
генетична	genetik	genetic
генетични	genetik	genetic
гени	genlər	genes
геноцид	soyqırımı	genocide
гео	geo	geo
география	coğrafiya	geography
географска	coğrafi	geographic
географската	coğrafi	geographical
географски	coğrafi cəhətdən	geographical
географските	coğrafi	geographical
географско	coğrafi cəhətdən	geographically
географското	coğrafi	geographic
геология	geologiya	geology
геоложки	geoloji	geological
геометрия	həndəsə	geometry
