$	dollar təşkil edib	(dollar sign)
candidats	namizədlər	candidates
candidature	tətbiqi	candidacy
candide	səmimi	candid
canis	canis	canis
canne	qamış	cane
cannes	qamışlar	canes
canon	top	canon
canot	kanoe	dinghy
canots	kanonlar	lifeboats
canton	kanton	canton
cantons	kantonlar	districts
cap	kape	cape
capable	qadirdir	capable
capables	qadirdir	can
capacité	tutumu	ability or capability
capacités	imkanları	capabilities
capitaine	kapitan	captain
capital	kapital	capital
capitale	kapital	capital city
capitales	paytaxtlar	capitals
capitalisme	kapitalizm	capitalism
capitaliste	kapitalist	capitalist
capitaux	kapital	capitals
capitole	kapitol	capitole
capone	kapone	capone
capture	tutmaq	capture
capvert	baş vurmaq	green-cape
car	çünki	as
caractère	xarakteri	specificity
caractères	simvol	characters
caractérise	səciyyələndirir	characterized
caractéristique	xarakterikdir	characteristics
caractéristiques	xüsusiyyətləri	characteristic
caractérisé	xarakterizə olunur	characterized
caractérisée	xarakterizə olunur	characterised
caravage	karavaqo	caravaggio
caraïbes	karib	carribean
carbone	karbon	carbon
carburant	yanacaq	fuel
cardiaque	ürək	cardiac
cardiaques	ürək	heart
cardinal	kardinal	cardinal
carl	carl	carl
carlo	karlo	carlo
carlos	carlos	carlos
carnaval	karnaval	carnival
carnets	noutbuklar	notebooks
carole	carole	carol (but in this contexte carole as it mention carole king)
caroline	karolina	carolina
carolingienne	carolingian	carolingian
carrefour	yol qovşağı	crossroad
carrie	carrie	carrie
carrière	karyera	career
carrières	karyera	pits
carroll	carroll	carroll
carré	kvadrat	square
carrée	kvadrat	square
carrés	meydanlar	squares
carte	xəritə	map
carter	qəfəs	(surname)
cartes	kartları	maps
carthage	karfagen	carthage
cartier	karter	cartier
cartographie	kartoqrafiya	cartography
cas	dava	case
casablanca	kasablanka	casablanca
case	daxma	hut
casino	kazino	casino
casting	tökmə	cast
castro	kastro	castro
catalan	katalan	catalan
catalogne	katalon	catalonia
catalogue	kataloqu	catalog
catastrophe	fəlakət	disaster
catastrophes	fəlakətlər	disasters
catch	tutmaq	wrestling
catcheur	güləşçi	catcher
catcheurs	güləşçilər	wrestlers
catherine	ketrin	catherine
catholicisme	katoliklik	catholicism
catholique	katolik	catholic
catholiques	katoliklər	catholics
cathédrale	kafedral	cathedral
cathédrales	kafedrallar	cathedrals
catégorie	kateqoriya	category
catégorieacteur	aktyor kateqoriyası	two words : category actor
catégorieactrice	kateqoriya	category: actress
catégorieancien	kateqoriyalı	category: former
catégoriechanteur	müğənni kateqoriyası	category: singer
catégoriechanteuse	mahnı kateqoriyası	singer's category
catégoriechevalier	cəngavər kateqoriyası	category : knight
catégoriedécès	ölüm kateqoriyası	category died
catégoriefilm	kateqoriyası	category: movie
catégoriegroupe	kateqoriya qrupu	category: band
catégoriehistoire	kateqoriya tarixi	category history
catégoriejoueur	oyunçu kateqoriyası	category: player
catégorielauréat	qalib kateqoriyası	category: winner
catégoriemembre	üzv kateqoriyası	class member
catégoriemort	ölü kateqoriya	category: dead
catégorienom	kateqoriyanom	category name
catégoriepeintre	rəssam kateqoriyası	category: painter
catégoriepersonnalité	kateqoriya şəxsiyyəti	category : personality
catégorieréalisateur	kateqoriya direktoru	category: director
catégories	kateqoriyalar	categories
catégoriesérie	kateqoriyalar	category: serie
catégorieécrivain	kateqoriya yazıçısı	category writer
catégorieélève	tələbə kateqoriyası	category: student
caucase	qafqaz	caucasus
cause	səbəb	because
causes	səbəb olur	cause
causé	səbəb oldu	caused
cavalerie	süvari	cavalry
cavaliers	atlılar	horse riders
cavité	boşluq	cavities
cbs	cbs	cbs
cd	cd	cd
cdot	cdot	cdot
ce	bu	this
ceci	bu	this
ceinture	kəmər	belt
cela	ki	this
celle	ki	the one
celleci	bu	she
celles	olanlar	these
cellesci	bunlar	this one
cellulaire	hücrə	cell
cellule	hücrə	cell
cellules	hüceyrələr	cells
celtes	zirzəmilər	celtic
celtique	selikli	celtic
celui	ki	the
celuici	bu bir	this one
cena	cena	cena
cendres	kül	ashes
censure	senzura	censor
censé	ehtimal olunur	considered
cent	yüz	100
centaine	yüz	100
centaines	yüzlərlə	hundreds
centenaire	yüzillik	centenary
central	mərkəzi	central
centrale	mərkəzi	plant
centrales	mərkəzi	plant
centraux	mərkəzi	central
centre	mərkəzi	center
centres	mərkəzləri	centers
centreville	şəhərin mərkəzində	downtown
centré	mərkəzləşmişdir	centered
centrée	mərkəzləşmişdir	centered
cents	qəpik	cents
cependant	lakin	however
cercle	dairə	circle
cercles	dairələr	circles
cerf	maral	cerf
certain	müəyyən	certain
certaine	müəyyən	certain
certainement	mütləq	certainly
certaines	bəzi	some
certains	bəzi	certain
certes	əlbətdə	course
certification	sertifikatlaşdırma	certification
certifié	təsdiqlənib	certifies
certitude	əminlik	certainty
cerveau	beyin	brain
ces	bunlar	these
cesse	dayan	ceases
cessé	dayandı	stopped
cest	var	this is
cestàdire	yəni	this is to say
cet	bu	this
cette	bu	this
ceux	olanlar	those
ceuxci	bunlar	these
cf	cf	cf
chacun	hər biri	anyone
chacune	hər biri	each
chaine	zəncir	chaina
chair	ət	flesh
chaise	stul	chair
chaleur	istilik	heat
challenger	iddiaçı	challenger
chamber	otaq	chamber
chambre	otaq	chamber
chambres	yataq otaqları	rooms
champ	sahə	field
champagne	şampan	champagne
champion	çempion	champion
championnat	çempionat	championship
championnats	çempionatlar	championships
champions	çempionlar	champions
champs	sahələr	fields
chan	chan	chan
chance	şans	chance
chancelier	kansler	chancellor
chances	şansları	chances
chandler	çilçıraq	shipchandler
chanel	şanel	chanel
change	dəyişmək	changes
changement	dəyişmək	change
changements	dəyişikliklər	changes
changent	dəyişmək	change
changer	dəyişmək	to change
changé	dəyişdi	changed
channel	kanal	channel
chanson	mahnı	song
chansons	mahnıları	songs
chant	oxuyur	song
chante	oxumaq	sings
chanter	oxumaq	sing
chanteur	müğənni	singer
chanteurs	müğənnilər	singers
chanteuse	müğənni	singer
chantier	tikinti sahəsi	construction
chantiers	tikinti sahələri	works
chants	qışqırıqlar	song
chanté	səsləndirdi	sang
chaos	xaos	chaos
chapeau	şapka	hat
chapelle	ibadətgah	chapel
chapitre	fəsil	chapter
chapitres	fəsillər	chapters
chaplin	chaplin	chaplin
chaque	hər	each
char	arabası	tank
charbon	kömür	coal
charge	şarj edin	load
charges	ittihamlar	charges
chargé	yüklənmişdir	loaded
chargée	yüklənmişdir	responsible
chargés	yüklənmişdir	accountable
charité	xeyriyyəçilik	charity
charlemagne	karlemagne	charlemagne
charles	çarlz	charles
charlie	charlie	charlie
charlotte	charlotte	charlotte
charme	cazibədarlıq	spell
chars	tanklar	tanks
charte	nizamnamə	charter
chasse	ovçuluq	chases
chasseurs	ovçu	fighters
chat	pişik	cat
chats	pişiklər	cats
chaud	isti	hot
chaude	isti	hot
chauds	isti	hot
chauffage	istilik	hotness
chaussures	ayaqqabı	shoes
chaîne	zəncir	channel
chaînes	zəncirlər	channels
che	che	che
chef	rəis	chief
chefdœuvre	şah əsəri	masterpiece
cheflieu	cheflieu	town
chefs	başları	chiefs
chelem	slam	slam
chemin	yol	path
chemins	yolları	paths
cher	əziz	expensive
cherchant	axtaran	wanting
cherche	axtarır	search
cherchent	axtarmaq	seek
chercher	axtarış	search
chercheurs	tədqiqatçılar	researcher
cherché	axtarıldı	sought
cheval	at	horse
chevalet	dəzgah	easel
chevalier	cəngavər	knight
chevaliers	cəngavərlər	knights
chevaux	atlar	horses
cheveux	saç	hair
chez	at	at
chicago	çikaqo	proper noun (city of chicago)
chien	köpək	dog
chiens	itlər	dogs
chiffre	fiqur	code
chiffres	rəqəmlər	figures
chili	çili	chili
chimie	kimya	chemistry
chimique	kimyəvi	chemical
chimiques	kimyəvi	chemical
chimène	ximene	chimene
chine	çin	china
chinois	çin	chinese
chinoise	çin	chinese
chinoises	çin	chinese
chirac	şirak	chirac
chirurgie	əməliyyat	surgery
choc	şok	shock
chocolat	şokolad	chocolate
choice	seçim	choix
choisi	seçilib	chosen
choisie	seçilib	chosen
choisir	seçmək	choose
choisis	seçmək	chosen
choisissent	seçmək	choose
choisit	seçmək	chooses
choix	seçim	choice
chopin	chopin	chopin
chose	şey	thing
choses	şeylər	things
chris	xris	chris
christ	xristian	christ
christian	xristian	christian
christianisme	xristianlıq	christianism
christine	xristian	christine
christophe	xristian	christopher
christopher	xristian	christopher
chronique	xroniki	chronic
chroniques	salnamələr	reviews
chronologie	qrafiki	chronology
chronologique	xronoloji	chronologique
chrétien	xristian	chrétien
chrétienne	xristian	christian
chrétiennes	xristian	christian
chrétiens	xristianlar	christians
chuck	çaqmaq	chuck d of public enemy
churchill	kilsill	churchill
chute	düşmək	fall
chutes	düşür	snowfall
chypre	şifrə	cypress
château	qala	castle
châteaux	qalalar	castles
chêne	palıd	oak
chômage	işsizlik	unemployment
chœur	xor	choir
cia	cia	cia
cible	hədəf	target
cicontre	əleyhinə	cicontre
cicéron	sicero	cicéron
cidessous	aşağıda	below
cidessus	yuxarıda	below
ciel	göy	sky
cimetière	qəbiristanlıq	cemetery
cincinnati	cincinnati	cincinnati
cinq	beş	five
cinquantaine	əlli	around fifty
cinquante	əlli	fifty
cinquième	beşinci	fifth
cinéaste	rejissor	moviemaker (can be a producer or a scriptwriter)
cinéma	kinoteatr	cinema
cinémas	kinoteatrlar	movies
cinématographique	kinematoqrafik	cinematographic
cinématographiques	kinematoqrafik	cinematographic
cio	cio	ioc
circoncision	sünnət	circumcision
circonscription	minmək	constituencies
circonscriptions	seçki dairələri	districts
circonstances	hallar	circumstances
circuit	dövrə	circuit
circuits	sxemlər	circuits
circulaire	dairəvi	circular
circulation	trafik	traffic
circulent	dövran etmək	go around
cirque	sirk	circus
citation	sitat	quotation
citations	kotirovkalar	quotations
cite	sitat	quotes
citer	sitat	quote
citons	sitat gətirək	mention
citoyen	vətəndaşı	citizen
citoyenneté	vətəndaşlıq	citizenship
citoyens	vətəndaşlar	citizens
city	şəhər	city
cité	sitat gətirir	mentioned
cités	sitat gətirir	cited
civil	mülki	civil
civile	mülki	civil
civiles	mülki	civil
civilisation	sivilizasiya	civilization
civilisations	sivilizasiyalar	civilisation
civils	mülki şəxslər	civilians
civiques	vətəndaş	civic
clair	aydın	clear
claire	aydın	claire
clairement	aydın şəkildə	clearly
clan	qəbilə	clan
clans	klanlar	clans
classe	sinif	ranks
classement	təsnifatı	ranking
classements	sıralaması	rankings
classer	təsnif edin	dismiss
classes	siniflər	classes
classicisme	klassizm	classicism
classification	təsnifatı	classification
classique	klassik	classical
classiques	klassiklər	traditional
classé	təsnif edilmişdir	ranked
classée	təsnif edilmişdir	classified
classées	təsnif edilmişdir	ranked (american idol) classified (obama) ranked (communes)
classés	təsnif edilmişdir	ranking
claude	claude	claude
clavier	klaviatura	keyboard
clergé	ruhanilər	clergy
client	müştəri	client
clients	müştərilər	clients
clientèle	müştəri	customer
cliff	uçurum	cliff (man's name)
climat	iqlim	climate
climatique	iqlim	climate
climatiques	iqlim	climatic
climatologie	iqlimşünaslıq	climitalogy
climats	iqlim	climates
clinique	klinikası	clinic
cliniques	klinikalar	clinic
clint	clint	clint
clinton	klinton	clinton
clip	klip	clip
clips	kliplər	clips
clitoris	klitoris	clitoris
clos	bağlıdır	indoor
club	klub	club
clubs	klublar	clubs
clé	açar	key
clément	mərhəmət	clément
cléopâtre	klopatra	cleopatra
clés	düymələri	keys
clôture	hasar	closure
cm	sm	cm
cnrs	cnrs	cnrs
co	co	co
coalition	koalisiya	coalition
cobain	kobain	cobain
cocacola	kokakola	coca-cola
cocaïne	kokain	cocaine
coco	kokos	coco
code	kodu	code
codes	kodlar	codes
cody	cody	cody
coffret	qutusu	"box ( as in ""dvd box"")"
cohérence	ardıcıllıq	coherence
coke	koks	coke
col	yaxası	col
colbert	kolbert	colbert
cold	soyuq	cold
cole	məktəb	school
coli	coli	coli
colin	kolin	hake
coll	kol	coll
collaborateurs	əməkdaşlar	collaborators
collaboration	əməkdaşlıq	collaboration
collaborations	əməkdaşlıq	collaborations
collabore	əməkdaşlıq etmək	works
collaboré	əməkdaşlıq etdi	collaborated
collecte	kolleksiya	raising
collectif	kollektiv	collective
collectifs	kollektiv	collective
collection	kolleksiya	collection
collections	kolleksiyalar	collections
collective	kollektiv	collective
collectivité	icma	collectivity - collectivity - community
collectivités	icmalar	regions
colline	təpə	hill
collines	təpələr	hills
collins	təpələr	dennis collins
collision	toqquşma	collision
collège	kollec	middle school
collègues	həmkarları	colleagues
colmar	yaxası	colmar
colomb	göyərçin	colombus
colombie	kolumbiya	colombia
colonel	polkovnik	colonel
colonial	müstəmləkə	colonial
coloniale	müstəmləkə	colonial
coloniales	müstəmləkə	colonial
colonie	koloniya	colony
colonies	koloniyalar	colonies
colonisation	müstəmləkəçilik	colonisation
colonne	sütun	column
colonnes	sütunlar	columns
colons	məskunlaşanlar	settlers
coluche	koluc	coluche
columbia	kolumbiya	columbia
colère	qəzəb	anger
combat	mübarizə	battle
combats	döyüşür	fightings
combattants	döyüşçülər	fighters
combattre	mübarizə	to fight
combien	nə qədər	how much
combinaison	birləşmə	combination
combustion	yanma	combustion
come	gəl	come
comics	prikol	comics
comique	gülməli	comic
comiques	komik	comic
comité	komitə	committee
commandant	komandir	commanding officer
commande	əmr	order (of vaccines)/commission (of an opera)
commandement	əmr	commandment
commandes	sifarişlər	commands
commandé	əmr	ordered
comme	kimi	as
commence	başlamaq	started
commencent	başlamaq	start
commencer	başlamaq	begin
commencé	başladı	begins
comment	necə	how
commentaire	şərh	comment
commentaires	şərhlər	comments
commentateurs	şərhçilər	commentators
commença	başladı	started
commerce	ticarət	commerce
commercial	kommersiya	commercial
commerciale	kommersiya	commercial
commerciales	kommersiya	commercial
commercialisation	marketinq	marketing
commerciaux	kommersiya	commercial
commerçants	tacirlər	traders
commis	vəzir	perpetrated
commissaire	komissar	commissioner
commission	komissiya	commission
commissions	komissiyaları	comities
commonwealth	birlik	commonwealth
commun	ümumi	common
communautaire	icma	communal
communautaires	icma	community
communauté	icma	community
communautés	icmalar	communities
commune	ümumi	global
communes	ümumi	global
communication	rabitə	communication
communications	rabitə	communications
communiquer	ünsiyyət qurmaq	communicate
communiqué	mətbuat şərhi	release
communisme	kommunizm	communism
communiste	kommunist	communist
communistes	kommunistlər	communists
communs	ümumi	common
communément	ümumiyyətlə	commonly
commémoration	anma	remembrance
compagne	yoldaş	wife
compagnie	şirkəti	company
compagnies	şirkətlər	companies
compagnon	yoldaş	compagnon
compagnons	yoldaşlar	companions
company	şirkəti	company
comparable	müqayisə edilə bilər	comparable
comparaison	müqayisə	comparison
compare	müqayisə et	compares
comparer	müqayisə et	compare
comparé	müqayisə etdi	compared
comparée	müqayisə etdi	compared
compassion	şəfqət	compassion
compatible	uyğun	compatible
compenser	kompensasiya etmək	compensate
compilation	tərtib	compilation
compilations	tərtiblər	compilations
complet	dolu	full
complexe	kompleks	complex
complexes	kompleks	complex
complexité	mürəkkəblik	complexity
complications	fəsadlar	complications
complot	sui-qəsd	plot
complète	tamamlandı	complete
complètement	tamamilə	completely
complètes	tamamlandı	complete
complément	tamamlayan	complement
complémentaire	tamamlayan	complementary
complémentaires	tamamlayıcı	additional
compléter	tamamlandı	complete
complété	tamamlandı	completed
comportant	ibarət	with
comporte	davranır	include
comportement	davranış	behaviour
comportements	davranışları	behaviors
comportent	xüsusiyyəti	include
composant	komponent	writing
composante	komponent	component
composantes	komponentləri	components
composants	komponentləri	components
compose	bəstələmək	consists
composent	makiyaj etmək	compose
composer	bəstələmək	compose
compositeur	bəstəkar	composer
compositeurs	bəstəkarlar	composers
composition	tərkibi	composition
compositions	kompozisiyaları	compositions
composé	mürəkkəb	composed
composée	tərtib etmişdir	composed
composées	tərtib etmişdir	composed
composés	birləşmələr	composed
comprenant	daxil olmaqla	including
comprend	başa düşür	include
comprendre	başa düşmək	understand
comprennent	başa düşmək	include
compression	sıxılma	compression
compris	başa düşdü	included
comprise	başa düşdü	included
compromis	güzəştə getmək	compromise
compréhension	anlayış	comprehension
comptait	sayılır	numbered
comptant	nağd	counting
compte	hesabı	count
comptent	saymaq	count
compter	saymaq	counting
comptes	hesablar	mentioned
compétence	bacarıq	skill
compétences	bacarıqları	skills
compétition	rəqabət	competition
compétitions	yarışlar	competitions
compétitivité	rəqabət qabiliyyəti	competitiveness
comte	saymaq	count
comtesse	sayğac	countess
comté	mahal	county
comtés	mahallar	county
comédie	komediya	comedy
comédien	aktyor	comedian
comédienne	aktrisa	comedian
comédiens	komediyaçılar	actors
