$ tỉ	milijardu dolara	$ billion
pour	sipati	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premijera	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	princ	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	proteina	protein
prôtêin	protein	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolomej	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulpa	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pireneji	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	katar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	od	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optički	bladder
quanh	okolo	around
quay	okrenuo	turn
que	šipke	stick
queen	kraljice	queen
queens	kraljice	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	poznat	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	kur&#39;an	quran
quy	pravila	"(term should be ""quy ước"") agreement"
quyên	osnove	"(term should be ""quyên góp"") to donate (v.)"
quyến	šarm	"(term should be ""gia quyến"") family"
quyền	dozvolu	right
quyện	druže se	mix
quyệt	podmukao	"(should be ""xảo quyệt"") devious"
quá	također	over
quái	jebote	strange or odd
quán	bar	hometown
quáng	slep	blind
quát	viknu	generalize
quân	quan	army (n.)
quãng	cca	optical
quét	za skeniranje	to sweep (v.)
quê	selo	countryside
quên	zaboraviti	forget
quý	dragoceno	love
quýt	mandarina	tangerine
quăng	baciti	to throw (v.)
quĩ	fonda	orbit
quạ	vrane	crow (con qua)
quạt	ventilator	fan
quản	upravljanje	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	zamotati	wrap around
quất	kumquat	whip
quấy	promešati	harass
quần	pantalone	pants (n.)
quầng	halo	halo
quầy	brojač	stall
quẩy	ljuljanje	quay
quẫn	bedno	necessitous
quận	okrug	county (n.)
quật	iskopavanje	excavation
quẳng	baciti	throw
quặc	čudno	strange (adj.)
quặng	ruda	an ore (n.)
quẻ	heksagram	hexagram
quế	cimet	cinnamon (n.)
quết	ološ	knead
quệ	siromašan	exhausted
quỉ	đavo	demon
quỳ	klekni	demon (n.)
quỳnh	quỳnh	quynh
quỵ	moždani udar	stroke
quỷ	đavo	provided
quỹ	fonda	fund
qúy	četvrtina	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	trka	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	ram	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	otrčao	ran
ranch	ranč	ranch
randy	randy	randy
rang	zazvonio	roast
rangers	rendžera	rangers
ranh	granica	border (ranh gioi)
rao	oglas	to announce
rap	rap	rap
raptor	raptor	raptor
rate	stopa	rate
rau	povrća	vegetable
ray	zraka	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	stvaran	real
reanimation	reanimacija	reanimation
reap	žeti	reap
reef	greben	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	čipka	lace (n.)
renaissance	renesansa	renaissance
renault	renault	renault
rené	rené	rene
reo	prsten	yell
reserve	rezerva	reserve
resort	odmaralište	resort
reverse	preokrenuti	reverse
revolution	revolucija	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	ustaje	rising
risk	rizik	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	privatni	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	šipka	a stick or switch used for punishment (n.)
roland	roland	roland
romania	rumunija	romania
rome	rome	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	alge	seaweed (n.)
rosen	ružin	rosen, as in nathan rosen
roth	roth	roth
rotterdam	roterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	usmjerivač	cong noi
rovers	roveri	rovers
rowling	veslanje	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rumunski	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	trčati	tremble
rung	vibriraju	to shake or vibrate (v.)
russian	ruski	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	kozice	pemmican
ruồi	muhe	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	polje riže	"(term should be ""ruộng đất"") farmland (n.)"
ruột	creva	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	provjeri	finding
ràng	jasno	clear
rành	tečno govori	exhaustive
rào	ograda	barrier
rác	smeće	gabbage-trash
rách	rastrgan	tear
rái	vidra	colander
rán	pržiti	fried (adj.)
ráp	montaža	to assemble (v.)
râm	sjenovito	shade
râu	brada	beard or mustache (n.)
rã	propadanje	out
rãi	kaldrma	"(term should be ""rộng rãi"") generous"
rãnh	rov	groove
räikkönen	räikkönen	raikkonen
rèm	zavjesa	curtain
rèn	kovanje	train
ré	vrisnuti	re
république	république	republique
rét	hladno	cold
rê	povuci	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	cviljenje	moan
rêu	mahovina	moss
rì	šapućući	lush (adj.)
rìa	ivica	edge
rình	špijun	to watch for
rìu	sjekira	ax
rít	šišta	to wail (v.)
rò	curenje	leak
ròng	neto	net
rót	sipajući	to pour (v.)
rô	kariran	diamond
rôbôt	robot	robot
rôma	rome	roman
rông	šuplje	rising (adj.)
rõ	jasno	clear
rùa	kornjača	turtle
rùng	jezivo	horror
rút	povući	withdraw
răn	zapovijed	commandment
răng	zub	roasted
rōmaji	rōmaji	romaji
rũ	zavodljiv	charm
rơ	auto	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	pad	fall
rơm	slama	straw
rươi	tebi	sand-worm
rước	povorka	welcome
rưới	posipati	to sprinkle (v.)
rưỡi	polovina	half
rượt	juriti	pursue
rượu	alkohol	wine
rạ	taj smeč	straw
rạc	diskretna	discrete
rạch	kanal	canal
rạng	zora	break
rạp	pozorišta	theater
rải	rasute	spread
rảnh	besplatno	to be free (adj.)
rất	vrlo	very
rầm	jamb	aggressive
rầu	tužan	sorrow
rẫy	uzgoj	full
rậm	bujan	jungle
rập	arapski	"(term should be ""Ả rập"") arab"
rắc	posipati	trouble
rắn	zmija	snake
rằm	puni mjesec	a full moon (n.)
rằng	da	roasted
rặng	kamen	a row
rẻ	jeftino	cheap
rẽ	skrenuti	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	stenjati	pealed
rể	zet	in-law
rễ	korijenje	root (n.)
rệp	bug	bug
rệt	izgovara	clearly
rệu	da	decay
rỉ	rđa	leak
rịavũng	rìvà	ria - bay
rỏ	jasno	clearly
rối	zapetljan	disorder
rốm	oblačno	rom
rồ	luda	"(term should be ""điên rồ"") foolish (adj.)"
rồi	već	and
rồng	zmaj	dragon
rổ	korpa	basket
rỗi	besplatno	savation
rỗng	šuplje	hollow
rộ	gužva	profuse (adj.)
rộn	zauzeto	busy
rộng	širok	wide
rớt	pad	drop
rời	levo	leave
rỡ	sjajan	brilliant
rợ	varvari	a savage (n.)
rợn	jezivo	scary
rụng	šupa	to drop
rủ	pozvati	ask
rủi	mishap	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	šuma	forest
rửa	oprati	to wash (v.)
rữa	oprati	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	sadam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	pogrešno	wrong
saigon	saigon	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	do	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	rođenje	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	zvijezda	how
sap	sok	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkom	sarcoma
sardinia	sardinija	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	subota	saturday
sau	posle	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandinavije	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	škotska	scotland
scots	škoti	(proper noun) scots
scott	scott	scott
scream	vrišti	scream
scud	prevara	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	pretraživanje	search
seattle	seattle	(proper noun) seattle, washington
secret	tajna	bi mat
sedna	sedna	(proper noun) sedna
see	vidi	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	polu	(proper noun) semit
sen	lotos	lotus
sense	smisla	sense
september	septembra	(proper noun) the month of september
serbia	srbija	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	serija	series
service	usluga	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	seksi	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	šah	shah
shaman	šaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	drhtavo	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	oštar	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	šerlok	a name
shi	shi	shi
shia	shia	shia
shiite	šiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	plićak	(proper noun) shoal
shonen	shonen	shonen
shop	prodavnica	shop
short	kratko	short
showcase	izlog	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sicilija	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	šlezija	silesia
silic	silicijum	silicon
silicat	silikat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	pevaj	sing
sinh	rođen	genital
sip	gutljaj	sip
sirô	sirup	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	zategnuti	to cut off (v.)
sky	nebo	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	smith	smith
smithsonian	smithsonian	smithsonian
so	tako	compare
société	société	societe
socrates	sokrat	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	pjesma	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	duša	soul
soát	kontrola	control
soạn	kompozitor	compose
spears	koplja	spears
spellman	čarolija	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sport	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	stajati	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	startin	bat dau
status	statusa	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	kamenje	stones
storting	skladištenje	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	ulica	street
struct	stru	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfid	sulfide
sulu	sulu	sulu
sum	suma	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	leto	summer
summerslam	summerslam	(proper noun) summerslam
sun	sunce	sun
sunday	nedjelja	(proper noun) sunday
sung	smokve	supplement
sunni	sunni	sunni
sunsilk	sunčanica	sunsilk, a hair products company
super	super	super
suriname	surinam	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	neuspjeh	decrease
suê	tako	lush
suôn	glatko	smooth
suất	produktivnost	number
suối	grejanje	stream
suốt	širom	through/all over
suồng	glatka	overfamiliar
svd	svd	svd
swan	labud	swan
swaziland	swaziland	swaziland
sweet	slatko	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sinhronizacija	sync
syria	syria	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	kat	san
sàng	sito	ready
sành	terakota	"(term should be ""sành sứ"") pottery"
sào	pol	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	knjiga	list
sái	pogrešno	sai
sám	pokajnik	penitent
sáng	blistav	light
sánh	uporedni	compare
sáo	flauta	flute
sáp	vosak	merger
sát	zatvoriti	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	šest	six
sâm	ginseng	sam
sân	dvorište	"(should be ""sân khấu"") a stage"
sâu	duboko	deep
sã	sã	flippant
sãi	pogrešno	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	rasvjeta	clay
sê	se	sepon
sêri	serija	series
sêu	mahovina	seu tet
sính	student	betrothal gifts
síp	kipar	cyprus
sít	zbijeno	close
sò	školjka	oyster
sòng	casino	casino
sóc	vjeverica	"(should be ""sóc trăng"") a vietnamese town"
sói	vuk	wolf
sóng	val	wave
sót	propust	to miss (v.)
sô	broj	than
sôi	ključanja	vibrant
sông	rijeka	river
sùng	odanost	cult
sú	crni tigar	a type of mangrove (n.)
súc	goveda	animal
sún	sudoper	sun
súng	puške	gun
súp	supa	source
sút	upucan	reduce
săn	loviti	to hunt
sơn	boje	a mountain
sư	profesore	lion
sưa	mlijeko	filled with
sưng	oticanje	swell
sưu	kolekcionarstvo	collection
sương	rosa	dew (n.)
sướng	srećna	high
sườn	strana	slope
sưởi	grejanje	heat
sạch	čist	clean
sạn	hotel	hotel
sảm	svijetao	sam
sản	proizvodnja	reproductive
sảng	svež	sonorous
sảnh	sala	a hall, as in the rock and roll hall of fame
sấm	grom	ginseng
sấu	krokodila	crocodile
sấy	sušenje	dry
sầm	slama	crowded
sầu	melanholija	sad
sẩn	papule	coarseness
sẫm	mračno	dark
sập	kolaps	destroy
sắm	kupovina	shopping
sắn	cassava	cassava (n.)
sắp	skoro	soon
sắt	gvožđe	"(term should be ""sắt son"") constant (adj.)"
sẵn	na raspolaganju	available
sẹo	ožiljak	scar
sẻ	će	share
sẽ	volja	will
sọ	lobanja	brain
sọc	pruge	stripe
sỏ	sassy	oligarchy
sỏi	šljunak	gravel
số	broj	"(term should be ""số lượng"") quantity (n.)"
sốc	šokiran	shock
sống	živi	live
sốt	vrućica	fever
sồi	hrast	oak
sổ	knjiga	window
sớ	volja	document
sớm	uskoro	som
sờ	dodir	touch
sỡ	propustili	colorful
sợ	uplašen	afraid
sợi	prediva	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	hrskavice	cartilage
sụp	kolaps	collapse
sụt	pad	drop
sủa	kora	bright
sủi	šumeće	sparkling
sủng	karizmatičan	favored
sứ	keramika	embassy
sứa	meduze	jellyfish (n.)
sức	snage	strength
sứt	usitnjeno	cleft
sừng	rog	sừng sững= huge
sử	istorija	"(term should be ""sử dụng"") to use (v.)"
sửa	popravak	repair
sửng	šokiran	startling
sửu	ox	cow
sữa	mlijeko	milk
sự	the the	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	oznaka	tag
tai	uho	ear
taiji	taiji	(proper noun) taiji
taipei	tajpej	taipei
taiwan	tajvan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tadžikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	talibani	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoksifen	tamoxifen
tanaka	tanaka	tanaka
tang	tugovanje	funeral
tanh	riblji	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzanija	tanzania
tao	ja	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	zadatak	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmanija	tasmania, a place
tau	tau	tau
taxi	taksi	taxi
tay	ruka	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	tehničke	technical
ted	ted	(proper noun) ted
teddy	medo	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekom	telecom
telekom	telekom	telekom
telex	teleks	telex
telnet	telnet	telnet
tem	pečat	stamp
temple	hram	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartela	tensor
teo	atrofični	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	teritorije	territories
terry	frotir	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	izgovor	to forgive (v.)
thai	trudna	pregnant
thailand	tajland	thailand
tham	pohlepa	involved
thames	thames	thames
than	ugalj	coal
thang	merdevine	ladder
thanh	bar	youth
thani	thani	thani
thao	sport	sport
thau	mesing	a basin (n.)
thay	umjesto toga	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	njihove	their
them	njih	plus
then	onda	key
theo	prema	according to
theory	teorija	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	teze	theseus, the greek hero
thi	ispit	competition (n.)
thich	kao	explanation
thien	thien	sky
third	treća	thỉd
thiu	ustajan	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	sveto	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	kalaj	tin
thiến	neuter	castrate
thiếp	kartica	concubine
thiết	set	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	kratko	lack
thiềm	srp	crescent
thiền	meditacija	buddhist (adj.)
thiển	pokazati	superficial
thiểu	maloljetnika	minimum
thiện	dobro	good
thiệp	kartica	intervene
thiệt	stvarno	damage
thiệu	uvod	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	dab	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	tangi	(proper noun) thong, as in ang thong
those	one	those
thoái	regresivno	deterioration
thoán	pogodi	usurpation
thoáng	prozračan	"(term should be ""thoáng qua"") to pass quickly"
thoát	izlaz	drainage
thoại	telefon	telephone
thoạt	na prvi pogled	just (adv.)
thoả	dogovor	compromise
thoải	ugodno	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	povremeno	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	brz	suddenly
thpt	thpt	high school
thriller	triler	thriller
thskts	thskts	phd- architect
thua	izgubiti	defeat
thumb|các	palac |	thumb|many
thunderbolt	thunderbolt	thunderbolt
thung	dolina	valley
thuyên	raseljavanje	a name
thuyết	teorija	theory
thuyền	brod	boat
thuê	iznajmiti	employ
thuần	čisto	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	sukob	support
thuận	pros	favourable
thuật	čl	term
thuế	poreza	tax
thuốc	lijek	medicine (n.)
thuộc	pripadati	belong
thuớc	voda	"(term should be ""kích thước"") dimensions of an object"
thuờng	obično	usually
thuở	djetinjstvo	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	tvoj	thy
thà	radije bih	honest
thành	fort	"(term should be ""hình thành"") to take shape"
thày	učiteljice	teacher
thác	kaskada	harvest
thách	izazov	challenge
thái	tajlandski	attitude
thám	detektive	to spy (v.)
tháng	mesec	month (n.)
thánh	st	a holy person; a saint (n.)
tháo	ukloniti	"(term should be ""tháo chạy"") to run with abandon"
tháp	kule	tower
thâm	duboko	penetrate
thâu	snimljen	to collect (v.)
thây	vidi	body
thãi	sranje	superabundant
thèm	žudjeti	desire
thép	čelika	steel
thét	vrisnuo	shout
thê	the the	category
thêm	više	more
thêu	najam	to embroider (v.)
thìa	kašika	spoon
thìn	onda	(proper noun) thìn, the year of the dragon
thình	odjednom	"(term should be ""thình lình"") suddenly"
thí	eksperimenti	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	pokucao	tho
thòi	nedostatak	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	neolušan	grain (n.)
thói	navika	a habit (n.)
thô	grub	rough, old-fashioned
thôi	hajde	only
thông	informisan	"(term should be ""thông thường"") usual (adj.)"
thù	feud	"entire term should be ""ke thu""; means ""enemy"""
thùng	kanta za smeće	barrel
thùy	režanj	thuy
thú	zanimljivo	"(should be ""thích thú"") pleasurable"
thúc	kraj	push
thúy	thuy	thuy
thăm	poseta	visit
thăng	promovisan	helicopter
thơm	mirisna	aromatic
thư	pisma	"(term should be ""ung thư"") cancer (n.)"
thưa	draga	sparse
thương	ljubav	love
thước	vladar	ruler
thường	često	usually (adv.)
thưởng	nagrada	to reward (v.)
thược	thud	(proper noun) thược
thượng	gornji	upper
thạc	majstore	master
thạch	žele	rock or stone (n.)
thạnh	vlč	thanh
thạo	stručnjak	fluent
thả	kap	"(term should be ""thả lỏng"") to let loose (v.)"
thải	otpad	waste
thảm	tepih	carpet or rug (n.)
thản	spokojan	calmly
thảo	prekrasno	"(term should be ""hội thảo"") a workshop (n.)"
thấp	kratko	low (adj.)
thấu	penetrant	penetrate
thầm	tiho	"(term should be ""thì thầm"") to whisper (v.)"
thần	bože	"entire term should be ""tinh than""; means ""of the mind"""
thầy	učitelj	teacher (n.)
thẩm	porotnici	osmotic/leak
thẫm	mračno	dark
thận	bubreg	careful
thập	križ	tens
thật	stvaran	true (adj.)
thắm	latica	tham
thắn	iskreno	frank
thắng	pobijedio	win
thắngthua	pobjeda	win-lose
thắp	svjetlost	light
thắt	vezati	tense
thằn	guštera	"entire term should be ""than lan""; means ""lizard"""
thằng	momak	a derogatory term for a man (n.)
thẳm	duboko	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	ravno	horizontal
thặng	višak	surplus
thẹn	posramljeno	shameful
thẻ	kartica	card
thế	dakle	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	čelika	steel
thề	psovati	swear
thềm	polica	shelf
thể	biti	maybe
thỉnh	pozvati	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	modu	prosperous
thịt	meso	meat (n.)
thọ	dugovječnost	phu tho
thọc	jab	jab
thỏ	zec	rabbit
thỏa	sporazum	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	ingota	a bar (n.)
thối	trulo	smelly
thốt	izgovoreno	scream
thồ	spakovati	to transport via horse (v.)
thổ	zemlja	"(term should be ""lãnh thổ"") territory (n.)"
thổi	udarac	blow
thớt	daska za sjeckanje	sparse
thời	vreme	period
thở	dah	breathe
thợ	radnik	craftman
thụ	receptor	"(term should be ""thụ thai"") to become pregnant"
thục	shu	(proper noun) a vietnamese first name
thụt	razveden	clyster
thủ	prime	masturbate
thủa	thua	during childhood
thủng	perforacija	having holes
thứ	stvari	no.
thức	budan	way
thừa	suvišan	redundant
