+	+ +	plus sign
จนมีคำกล่าวว่า	যতক্ষণ না বলা হয়েছিল	said
จน่าน	সোম	nan state
จบุรีรัมย์	buriram	burerum state
จมูก	নাক	nose
จระเข้และแอลลิเกเตอร์	কুমির এবং মলত্যাগকারী	crocodile and alligator
จรัญญา	charanya	jarunya - a surname
จริยธรรม	নীতিশাস্ত্র	ethics
จริยศาสตร์	নীতিশাস্ত্র	ethics
จริยา	ভদ্রমহিলা	jariya
จลำพูน	lamphun স্বাগতম	jalumpoon - a place in thailand
จสตูล	si সং ket	stoul state
จสุราษฎร์ธานี	সুরাত থানি	surat thani province
จอมบึง	স্ফীত	chom bueng
จอมพลถนอม	চম ফোন থনম	field marshal thanom
จอมพลสฤษดิ์	মাঠ মার্শাল সরিত	field marshal sarit
จอมพลเรือ	শিপ মার্শাল	the general of the navy
จอมเทียน	jomtien	jom tien - a location in thailand
จอร์เจีย	জর্জিয়া	georgia
จะต้องหาตัวแทนลงจากเวที	মঞ্চ থেকে নামার জন্য অবশ্যই একজন প্রতিনিধি খুঁজে বের করতে হবে	find a teammate to leave the stage, a unique game
จะเขียนว่า	বলতে হবে	written as
จะเข้	তারের বাদ্যযন্ত্রবিশেষ	jakhe
จะได้	পাবেন	results in
จักจั่น	ঘুর্ঘুরে পোকা	chakkachan
จักรพรรดิเนอร์วา	সম্রাট নির্বান	emperor nerva
จักรพรรดิไททัส	সম্রাট তিতাস	titus (flavius vespa)
จักรพันธุ์	chakphan	chakrabhand
จักรวาลวิทยา	সৃষ্টিতত্ব	cosmology
จังหวัด	প্রদেশ	province
จังหวัดกระบี่	ক্রবি প্রদেশ	krabee state
จังหวัดกาญจนบุรี	kanchanaburi	kanchanaburi province
จังหวัดกาฬสินธุ์	kalasin	kalasin province
จังหวัดขอนแก่น	খোন কােন প্রদেশ	khon kaen province
จังหวัดคยองกี	জিয়ংগি প্রদেশ	the state of kyong gee
จังหวัดคยองซาง	গিয়ংসাং প্রদেশ	kyongchang province
จังหวัดฉะเชิงเทรา	buri রাম	chachoengsao province
จังหวัดชุมพร	chumphon	chumphon province
จังหวัดตราด	ত্রত প্রদেশ	trat province
จังหวัดตาก	টাক প্রদেশ	tak province
จังหวัดนครปฐม	নাখন পাঠোম প্রদেশ	nakhon pathom province
จังหวัดนครพนม	নাখন ফানম প্রদেশ	nakorn panom state
จังหวัดนครสวรรค์	নাখোঁ সাওয়ান প্রদেশ	nakorn sawan province in thailand
จังหวัดน่าน	নান প্রদেশ	nan state in the north east of thailand
จังหวัดปัตตานี	পট্টনী প্রদেশ	pattani state
จังหวัดพระนครศรีอยุธยา	ফরা নাখোঁ সি আয়ুঠায়	nakon sri ahyutthaya province
จังหวัดพังงา	ফাং এনগা প্রদেশ	phang nga province
จังหวัดพิษณุโลก	ফিতসানুলোক প্রদেশ	pisanulok state
จังหวัดมหาสารคาม	মহা সরখম প্রদেশ	maha sarakham province
จังหวัดยโสธร	yasothon,	yasothorn province (name of thai province)
จังหวัดระยอง	rayong	rayong province
จังหวัดราชบุรี	ratchaburi,	ratchaburi province
จังหวัดลำพูน	lamphun স্বাগতম	lamphun province
จังหวัดสงขลา	songkhla	songkla province
จังหวัดสมุทรสงคราม	সামুত সংখরাম প্রদেশ	samut songkhram province
จังหวัดสิงห์บุรี	গানে বুড়ি প্রদেশ	sing buri province
จังหวัดหนองบัวลำภู	নং বুয়া লাম্পু প্রদেশ	nong bua lamphu province
จังหวัดอุดรธานี	উদন থানি প্রদেশ	udon thani state
จังหวัดเชลลา	shella	chella city
จังหวัดเชียงราย	চিয়াং রাই	chianrai province
จังหวัดเชียงใหม่	চিয়াং মাই প্রদেশ	chiang mai province
จังหวัดเพชรบุรี	ফেচবাবুড়ি প্রদেশ	petcharaburi state
จังหวัดเพชรบูรณ์	ফেত্চবুন	petchabun province
จังหวัดเลย	লোই প্রদেশ	loei (name of thai province)
จังหวัดแพร่	phrae	prae state
จังหาร	junghan	changhan
