$	$ $	(dollar sign)
catégoriemembre	categoría de miembro	class member
catégoriemort	categoría muerta	category: dead
catégorienom	categorienom	category name
catégoriepeintre	categoría de pintor	category: painter
catégoriepersonnalité	categoría personalidad	category : personality
catégorieréalisateur	director de categoría	category: director
catégories	categorías	categories
catégoriesérie	categoríaseries	category: serie
catégorieécrivain	escritor de categoría	category writer
catégorieélève	categoría de estudiante	category: student
caucase	cáucaso	caucasus
cause	causa	because
causes	causas	cause
causé	causado	caused
cavalerie	caballería	cavalry
cavaliers	jinetes	horse riders
cavité	cavidad	cavities
cbs	cbs	cbs
cd	cd	cd
cdot	cdot	cdot
ce	esto	this
ceci	esto	this
ceinture	cinturón	belt
cela	eso	this
celle	eso	the one
celleci	esta	she
celles	esas	these
cellesci	estas	this one
cellulaire	celular	cell
cellule	célula	cell
cellules	células	cells
celtes	celtas	celtic
celtique	celta	celtic
celui	eso	the
celuici	este	this one
cena	cena	cena
cendres	cenizas	ashes
censure	censura	censor
censé	supuesta	considered
cent	cien	100
centaine	cien	100
centaines	cientos	hundreds
centenaire	centenario	centenary
central	central	central
centrale	central	plant
centrales	central	plant
centraux	central	central
centre	centro	center
centres	centros	centers
centreville	centro de la ciudad	downtown
centré	centrado	centered
centrée	centrado	centered
cents	centavos	cents
cependant	sin embargo	however
cercle	circulo	circle
cercles	círculos	circles
cerf	ciervo	cerf
certain	cierto	certain
certaine	cierto	certain
certainement	definitivamente	certainly
certaines	algunos	some
certains	algunos	certain
certes	ciertamente	course
certification	certificación	certification
certifié	certificado	certifies
certitude	certeza	certainty
cerveau	cerebro	brain
ces	estos	these
cesse	parar	ceases
cessé	detenido	stopped
cest	es	this is
cestàdire	es decir	this is to say
cet	esto	this
cette	este	this
ceux	esos	those
ceuxci	estos	these
cf	cf	cf
chacun	cada uno	anyone
chacune	cada uno	each
chaine	cadena	chaina
chair	carne	flesh
chaise	silla	chair
chaleur	calor	heat
challenger	retador	challenger
chamber	habitacion	chamber
chambre	habitación	chamber
chambres	dormitorios	rooms
champ	campo	field
champagne	champán	champagne
champion	campeón	champion
championnat	campeonato	championship
championnats	campeonatos	championships
champions	campeones	champions
champs	campos	fields
chan	chan	chan
chance	suerte	chance
chancelier	canciller	chancellor
chances	posibilidades	chances
chandler	chandler	shipchandler
chanel	chanel	chanel
change	cambiar	changes
changement	cambiar	change
changements	cambios	changes
changent	cambiar	change
changer	cambiar	to change
changé	cambiado	changed
channel	canal	channel
chanson	canción	song
chansons	canciones	songs
chant	cantando	song
chante	cantado	sings
chanter	cantar	sing
chanteur	cantante	singer
chanteurs	cantantes	singers
chanteuse	cantante	singer
chantier	sitio de construcción	construction
chantiers	obras	works
chants	cantos	song
chanté	cantado	sang
chaos	caos	chaos
chapeau	sombrero	hat
chapelle	capilla	chapel
chapitre	capitulo	chapter
chapitres	capítulos	chapters
chaplin	chaplin	chaplin
chaque	cada	each
char	carro	tank
charbon	carbón	coal
charge	cobrar	load
charges	cargos	charges
chargé	cargado	loaded
chargée	cargado	responsible
chargés	cargado	accountable
charité	caridad	charity
charlemagne	carlomagno	charlemagne
charles	charles	charles
charlie	charlie	charlie
charlotte	charlotte	charlotte
charme	encanto	spell
chars	tanques	tanks
charte	chárter	charter
chasse	caza	chases
chasseurs	cazadores	fighters
chat	gato	cat
chats	gatos	cats
chaud	caliente	hot
chaude	caliente	hot
chauds	caliente	hot
chauffage	calefaccion	hotness
chaussures	zapatos	shoes
chaîne	cadena	channel
chaînes	cadenas	channels
che	che	che
chef	jefe	chief
chefdœuvre	obra maestra	masterpiece
cheflieu	cheflieu	town
chefs	cabezas	chiefs
chelem	golpe	slam
chemin	camino	path
chemins	caminos	paths
cher	querido	expensive
cherchant	buscando	wanting
cherche	buscando	search
cherchent	buscar	seek
chercher	buscar	search
chercheurs	investigadores	researcher
cherché	buscado	sought
cheval	caballo	horse
chevalet	caballete	easel
chevalier	caballero	knight
chevaliers	caballeros	knights
chevaux	caballos	horses
cheveux	pelo	hair
chez	a las	at
chicago	chicago	proper noun (city of chicago)
chien	perro	dog
chiens	perros	dogs
chiffre	figura	code
chiffres	figuras	figures
chili	chile	chili
chimie	quimica	chemistry
chimique	quimico	chemical
chimiques	quimico	chemical
chimène	quimene	chimene
chine	china	china
chinois	chino	chinese
chinoise	chino	chinese
chinoises	chino	chinese
chirac	chirac	chirac
chirurgie	cirugía	surgery
choc	shock	shock
chocolat	chocolate	chocolate
choice	elección	choix
choisi	elegido	chosen
choisie	elegido	chosen
choisir	elegir	choose
choisis	elegir	chosen
choisissent	elegir	choose
choisit	elegir	chooses
choix	opcion	choice
chopin	chopin	chopin
chose	cosa	thing
choses	cosas	things
chris	chris	chris
christ	cristo	christ
christian	cristiano	christian
christianisme	cristianismo	christianism
christine	christine	christine
christophe	christophe	christopher
christopher	christopher	christopher
chronique	crónico	chronic
chroniques	crónicas	reviews
chronologie	cronograma	chronology
chronologique	cronológico	chronologique
chrétien	cristiano	chrétien
chrétienne	cristiana	christian
chrétiennes	cristiano	christian
chrétiens	cristianos	christians
chuck	tirar	chuck d of public enemy
churchill	churchill	churchill
chute	caída	fall
chutes	caídas	snowfall
chypre	chipre	cypress
château	castillo	castle
châteaux	castillos	castles
chêne	roble	oak
chômage	desempleo	unemployment
chœur	coro	choir
cia	cia	cia
cible	objetivo	target
cicontre	en contra	cicontre
cicéron	cicero	cicéron
cidessous	abajo	below
cidessus	arriba	below
ciel	cielo	sky
cimetière	cementerio	cemetery
cincinnati	cincinnati	cincinnati
cinq	cinco	five
cinquantaine	años cincuenta	around fifty
cinquante	cincuenta	fifty
cinquième	quinto	fifth
cinéaste	cineasta	moviemaker (can be a producer or a scriptwriter)
cinéma	cine	cinema
cinémas	cines	movies
cinématographique	cinematográfico	cinematographic
cinématographiques	cinematográfico	cinematographic
cio	cio	ioc
circoncision	circuncisión	circumcision
circonscription	cabalgando	constituencies
circonscriptions	circunscripciones	districts
circonstances	circunstancias	circumstances
circuit	circuito	circuit
circuits	circuitos	circuits
circulaire	circular	circular
circulation	el trafico	traffic
circulent	circular	go around
cirque	circo	circus
citation	cita	quotation
citations	citas	quotations
cite	cita	quotes
citer	citar	quote
citons	citemos	mention
citoyen	ciudadano	citizen
citoyenneté	ciudadania	citizenship
citoyens	ciudadanos	citizens
city	ciudad	city
cité	citado	mentioned
cités	citado	cited
civil	civil	civil
civile	civil	civil
civiles	civil	civil
civilisation	civilizacion	civilization
civilisations	civilizaciones	civilisation
civils	civiles	civilians
civiques	cívica	civic
clair	claro	clear
claire	claro	claire
clairement	claramente	clearly
clan	clan	clan
clans	clanes	clans
classe	clase	ranks
classement	clasificación	ranking
classements	clasificaciones	rankings
classer	clasificar	dismiss
classes	clases	classes
classicisme	clasicismo	classicism
classification	clasificación	classification
classique	clásico	classical
classiques	clásicos	traditional
classé	clase	ranked
classée	clasificado	classified
classées	clasificado	ranked (american idol) classified (obama) ranked (communes)
classés	clasificado	ranking
claude	claude	claude
clavier	teclado	keyboard
clergé	clero	clergy
client	cliente	client
clients	clientes	clients
clientèle	clientela	customer
cliff	acantilado	cliff (man's name)
climat	clima	climate
climatique	climatico	climate
climatiques	climatico	climatic
climatologie	climatología	climitalogy
climats	climas	climates
clinique	clinica	clinic
cliniques	clínicas	clinic
clint	clint	clint
clinton	clinton	clinton
clip	recortar	clip
clips	clips	clips
clitoris	clítoris	clitoris
clos	cerrado	indoor
club	club	club
clubs	clubes	clubs
clé	llave	key
clément	clemente	clément
cléopâtre	cleopatra	cleopatra
clés	llaves	keys
clôture	valla	closure
cm	cm	cm
cnrs	cnrs	cnrs
co	co	co
coalition	coalición	coalition
cobain	cobain	cobain
cocacola	cocacola	coca-cola
cocaïne	cocaína	cocaine
coco	coco	coco
code	codigo	code
codes	códigos	codes
cody	cody	cody
coffret	caja	"box ( as in ""dvd box"")"
cohérence	consistencia	coherence
coke	coca cola	coke
col	collar	col
colbert	colbert	colbert
cold	frio	cold
cole	escuela	school
coli	coli	coli
colin	colin	hake
coll	coll	coll
collaborateurs	colaboradores	collaborators
collaboration	colaboración	collaboration
collaborations	colaboraciones	collaborations
collabore	colaborar	works
collaboré	colaborado	collaborated
collecte	coleccion	raising
collectif	colectivo	collective
collectifs	colectivo	collective
collection	coleccion	collection
collections	colecciones	collections
collective	colectivo	collective
collectivité	comunidad	collectivity - collectivity - community
collectivités	comunidades	regions
colline	colina	hill
collines	colinas	hills
collins	colinas	dennis collins
collision	colisión	collision
collège	colegio	middle school
collègues	colegas	colleagues
colmar	colmar	colmar
colomb	paloma	colombus
colombie	colombia	colombia
colonel	coronel	colonel
colonial	colonial	colonial
coloniale	colonial	colonial
coloniales	colonial	colonial
colonie	colonia	colony
colonies	colonias	colonies
colonisation	colonización	colonisation
colonne	columna	column
colonnes	columnas	columns
colons	colonos	settlers
coluche	coluche	coluche
columbia	colombia	columbia
colère	rabia	anger
combat	pelea	battle
combats	peleas	fightings
combattants	luchadores	fighters
combattre	pelea	to fight
combien	cuanto	how much
combinaison	combinación	combination
combustion	combustión	combustion
come	ven	come
comics	historietas	comics
comique	gracioso	comic
comiques	cómico	comic
comité	comité	committee
commandant	comandante	commanding officer
commande	comando	order (of vaccines)/commission (of an opera)
commandement	comando	commandment
commandes	órdenes	commands
commandé	ordenado	ordered
comme	como	as
commence	comenzar	started
commencent	comenzar	start
commencer	comenzar	begin
commencé	comenzó	begins
comment	como	how
commentaire	comentar	comment
commentaires	comentarios	comments
commentateurs	comentaristas	commentators
commença	comenzó	started
commerce	comercio	commerce
commercial	comercial	commercial
commerciale	comercial	commercial
commerciales	comercial	commercial
commercialisation	comercialización	marketing
commerciaux	comercial	commercial
commerçants	comerciantes	traders
commis	empleado	perpetrated
commissaire	comisario	commissioner
commission	comisión	commission
commissions	comisiones	comities
commonwealth	mancomunidad	commonwealth
commun	común	common
communautaire	comunidad	communal
communautaires	comunidad	community
communauté	comunidad	community
communautés	comunidades	communities
commune	común	global
communes	común	global
communication	comunicacion	communication
communications	comunicaciones	communications
communiquer	para comunicarse	communicate
communiqué	comunicado de prensa	release
communisme	comunismo	communism
communiste	comunista	communist
communistes	comunistas	communists
communs	común	common
communément	comúnmente	commonly
commémoration	conmemoración	remembrance
compagne	compañera	wife
compagnie	compañia	company
compagnies	empresas	companies
compagnon	compañera	compagnon
compagnons	compañeros	companions
company	compañia	company
comparable	comparable	comparable
comparaison	comparacion	comparison
compare	comparar	compares
comparer	comparar	compare
comparé	comparado	compared
comparée	comparado	compared
compassion	compasión	compassion
compatible	compatible	compatible
compenser	compensar	compensate
compilation	compilación	compilation
compilations	compilaciones	compilations
complet	lleno	full
complexe	complejo	complex
complexes	complejo	complex
complexité	complejidad	complexity
complications	complicaciones	complications
complot	conspiración	plot
complète	completar	complete
complètement	completamente	completely
complètes	completar	complete
complément	complemento	complement
complémentaire	complementario	complementary
complémentaires	complementario	additional
compléter	completar	complete
complété	completado	completed
comportant	que comprende	with
comporte	se comporta	include
comportement	comportamiento	behaviour
comportements	comportamientos	behaviors
comportent	característica	include
composant	componente	writing
composante	componente	component
composantes	componentes	components
composants	componentes	components
compose	componer	consists
composent	maquillar	compose
composer	componer	compose
compositeur	compositor	composer
compositeurs	compositores	composers
composition	composición	composition
compositions	composiciones	compositions
composé	compuesto	composed
composée	compuesto	composed
composées	compuesto	composed
composés	compuestos	composed
comprenant	incluyendo	including
comprend	entiende	include
comprendre	entender	understand
comprennent	entender	include
compression	compresión	compression
compris	entendido	included
comprise	entendido	included
compromis	compromiso	compromise
compréhension	comprensión	comprehension
comptait	contado	numbered
comptant	efectivo	counting
compte	cuenta	count
comptent	contar	count
compter	contar	counting
comptes	cuentas	mentioned
compétence	habilidad	skill
compétences	habilidades	skills
compétition	competencia	competition
compétitions	competiciones	competitions
compétitivité	competitividad	competitiveness
comte	contar	count
comtesse	condesa	countess
comté	condado	county
comtés	condados	county
comédie	comedia	comedy
comédien	actor	comedian
comédienne	actriz	comedian
comédiens	comediantes	actors
comédies	comedias	comedy
concentration	concentración	concentration
concentre	concentrados	focuses
concentrent	enfoque	concentrated
concentrer	enfoque	cencentrate
concept	concepto	concept
conception	diseño	conception(for meridines)  making (for the char) have an idea (for rommel)
conceptions	diseños	conceptions
concepts	conceptos	concepts
concernant	concerniente	concerning
concerne	preocupaciones	concerns
concernent	preocupación	regarding
concernés	preocupado	concerned
concert	concierto	concert
concerto	concierto	concerto
concertos	conciertos	concertos
concerts	conciertos	concerts
concevoir	para diseñar	design
concile	consejo	council
concilier	conciliar	conciliate
conclu	concluido	concluded
conclure	para concluir	find
conclusion	conclusión	end
conclusions	conclusiones	conclusions
conclut	concluye	concludes
concorde	concordia	concorde
concours	competencia	contest
concurrence	competencia	competition
concurrent	competidor	competitor
concurrents	competidores	rival
condamnation	condena	condemnation
condamne	condenar	condemns
condamné	condenado	condemned
condamnée	condenado	sentenced
condamnés	condenado	sentenced
condition	condicion	health
conditions	condiciones	conditions
conducteur	chofer	driver
conduire	conducir	driving
conduisant	líder	leading
conduisent	conducir	they drive
conduit	conduce	leads
conduite	conducir	command
conduits	conductos	taken
confession	confesión	religion
confessions	confesiones	confessions
confiance	confiar	trust
