$ tỉ	milliárd dollár	$ billion
piccolo	pikolófuvola	piccolo
pierre	pierre	pierre
pierrot	bohóc	pierrot
pietro	pietro	pietro
pike	csuka	pike
pin	az elem	battery
pinlus	pinlus	pinlus
pioneer	úttörő	pioneer
pipes	csövek	pipes
pisa	pisa	a name
piston	dugattyú	piston
pitch	hangmagasság	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	terv	plan
plasma	vérplazma	plasma
plate	lemez	plate
plato	plató	plato
platon	platon	platon
player	játékos	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleisztocén	pleistocen
plus	plusz	plus
pluto	plútó	pluto
pm	délután	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	lengyelország	poland
pollack	sárga tőkehal	a name
pollux	pollux	a name
polo	póló	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	edény	pot
potsdam	potsdam	(proper noun) potsdam
potter	fazekas	(proper noun) potter, as in harry potter
pour	önt	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	miniszterelnök	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	herceg	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prométheusz	(proper noun) prometheus
protein	a fehérje	protein
prôtêin	fehérje	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemaiosz	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pép	pulp
punjab	pandzsáb	punjab
pusan	pusani	(proper noun) pusan
putin	putyin	putin
pyrenees	pireneusok	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	gyötrelem	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	katar	qatar
qd	qd	quantum dots
qing	csing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	által	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optikai	bladder
quanh	körül	around
quay	fordult	turn
que	rudak	stick
queen	királynő	queen
queens	királynők	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	ismerős	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	korán	quran
quy	szabályok	"(term should be ""quy ước"") agreement"
quyên	alapjait	"(term should be ""quyên góp"") to donate (v.)"
quyến	báj	"(term should be ""gia quyến"") family"
quyền	engedély	right
quyện	keveredik	mix
quyệt	ármányos	"(should be ""xảo quyệt"") devious"
quá	is	over
quái	fene	strange or odd
quán	rúd	hometown
quáng	vak	blind
quát	kiáltotta	generalize
quân	quan	army (n.)
quãng	kb	optical
quét	szkennelni	to sweep (v.)
quê	falu	countryside
quên	elfelejt	forget
quý	értékes	love
quýt	mandarin	tangerine
quăng	dobás	to throw (v.)
quĩ	alap	orbit
quạ	varjak	crow (con qua)
quạt	ventilátor	fan
quản	irányító	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	betakar	wrap around
quất	kumquat	whip
quấy	kavar	harass
quần	nadrág	pants (n.)
quầng	halo	halo
quầy	a számláló	stall
quẩy	hintaszék	quay
quẫn	nyomorult	necessitous
quận	kerület	county (n.)
quật	kiásás	excavation
quẳng	dobás	throw
quặc	furcsa	strange (adj.)
quặng	érc	an ore (n.)
quẻ	hatszög	hexagram
quế	fahéj	cinnamon (n.)
quết	hab	knead
quệ	szegény	exhausted
quỉ	az ördög	demon
quỳ	térdel	demon (n.)
quỳnh	quynh	quynh
quỵ	ütés	stroke
quỷ	az ördög	provided
quỹ	alap	fund
qúy	negyed	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	verseny	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	kos	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	futott	ran
ranch	tanya	ranch
randy	durva	randy
rang	csengetett	roast
rangers	rohamosztag	rangers
ranh	határ	border (ranh gioi)
rao	hirdetés	to announce
rap	koppintás	rap
raptor	raptor	raptor
rate	mérték	rate
rau	növényi	vegetable
ray	sugár	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	igazi	real
reanimation	újraélesztés	reanimation
reap	arat	reap
reef	zátony	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	csipke	lace (n.)
renaissance	reneszánsz	renaissance
renault	renault	renault
rené	rené	rene
reo	gyűrű	yell
reserve	lefoglal	reserve
resort	üdülő	resort
reverse	fordított	reverse
revolution	forradalom	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	emelkedő	rising
risk	kockázat	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	magán	own
riêu	rieu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	vörösbegy	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	rúd	a stick or switch used for punishment (n.)
roland	roland	roland
romania	románia	romania
rome	róma	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	algák	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rovers	rovers
rowling	rowling	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	román	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	fuss	tremble
rung	rezeg	to shake or vibrate (v.)
russian	orosz	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	garnélarák	pemmican
ruồi	legyek	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	rizsföld	"(term should be ""ruộng đất"") farmland (n.)"
ruột	bél	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	nézd meg	finding
ràng	egyértelmű	clear
rành	folyékony	exhaustive
rào	kerítés	barrier
rác	szemét	gabbage-trash
rách	szakadt	tear
rái	vidra	colander
rán	süt	fried (adj.)
ráp	gyülekezés	to assemble (v.)
râm	árnyas	shade
râu	szakáll	beard or mustache (n.)
rã	hanyatlás	out
rãi	macskakövez	"(term should be ""rộng rãi"") generous"
rãnh	árok	groove
räikkönen	räikkönen	raikkonen
rèm	függöny	curtain
rèn	kovácsolás	train
ré	visítás	re
république	république	republique
rét	hideg	cold
rê	ellenállás	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	nyafogás	moan
rêu	moha	moss
rì	suttogó	lush (adj.)
rìa	él	edge
rình	kém	to watch for
rìu	fejsze	ax
rít	sziszegés	to wail (v.)
rò	szivárgás	leak
ròng	háló	net
rót	öntés	to pour (v.)
rô	kockás	diamond
rôbôt	robot	robot
rôma	róma	roman
rông	üreges	rising (adj.)
rõ	egyértelmű	clear
rùa	teknősbéka	turtle
rùng	hátborzongató	horror
rút	visszavonul	withdraw
răn	parancsolat	commandment
răng	fog	roasted
rōmaji	romaji	romaji
rũ	csábító	charm
rơ	autó	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	esik	fall
rơm	szalma	straw
rươi	téged	sand-worm
rước	felvonulás	welcome
rưới	szór	to sprinkle (v.)
rưỡi	fél	half
rượt	üldözés	pursue
rượu	alkohol	wine
rạ	nádtető	straw
rạc	diszkrét	discrete
rạch	csatorna	canal
rạng	hajnal	break
rạp	színházak	theater
rải	elszórt	spread
rảnh	ingyenes	to be free (adj.)
rất	nagyon	very
rầm	ajtófélfa	aggressive
rầu	szomorú	sorrow
rẫy	megművelés	full
rậm	bokros	jungle
rập	arab	"(term should be ""Ả rập"") arab"
rắc	szór	trouble
rắn	kígyó	snake
rằm	telihold	a full moon (n.)
rằng	hogy	roasted
rặng	a szikla	a row
rẻ	olcsó	cheap
rẽ	fordulat	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	nyögés	pealed
rể	vő	in-law
rễ	gyökerek	root (n.)
rệp	bogár	bug
rệt	kiejtett	clearly
rệu	igen	decay
rỉ	rozsda	leak
rịavũng	riva	ria - bay
rỏ	egyértelmű	clearly
rối	kusza	disorder
rốm	felhős	rom
rồ	őrült	"(term should be ""điên rồ"") foolish (adj.)"
rồi	már	and
rồng	sárkány	dragon
rổ	kosár	basket
rỗi	ingyenes	savation
rỗng	üreges	hollow
rộ	nyüzsgés	profuse (adj.)
rộn	elfoglalt	busy
rộng	széles	wide
rớt	esik	drop
rời	bal	leave
rỡ	ragyogó	brilliant
rợ	barbárok	a savage (n.)
rợn	hátborzongató	scary
rụng	fészer	to drop
rủ	meghív	ask
rủi	baleset	unlucky or unfortunate (n.)
rứa	rua	rua
rừng	erdő	forest
rửa	mosás	to wash (v.)
rữa	mosás	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	szafari	safari
safin	safin	safin
sahara	sahara	sahara
sai	rossz	wrong
saigon	saigon	saigon
saintdenis	saint-denis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	szamoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	sámuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	szamuráj	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	nak nek	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	születés	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	csillag	how
sap	nedv	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sára	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	szarkóma	sarcoma
sardinia	szardínia	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	szombat	saturday
sau	utána	after (adv.)
saudi	szaúd-	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandinávia	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengeni	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	skócia	scotland
scots	skót	(proper noun) scots
scott	scott	scott
scream	sikoly	scream
scud	rohan	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	keresés	search
seattle	seattle	(proper noun) seattle, washington
secret	titok	bi mat
sedna	sedna	(proper noun) sedna
see	lát	see
sejm	szejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lótusz	lotus
sense	érzék	sense
september	szeptember	(proper noun) the month of september
serbia	szerbia	serbia
sergeyevich	szergejevics	(proper noun) sergeyevich
seri	sorozat	series
service	szolgáltatás	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	szexis	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	sah	shah
shaman	sámán	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	síita	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	sekély	(proper noun) shoal
shonen	shonen	shonen
shop	üzlet	shop
short	rövid	short
showcase	kirakat	a name
shōnen	sj	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	szicília	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	hegylánc	(proper noun) sierra
sikh	indiai felekezet	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silesia	silesia
silic	szilícium	silicon
silicat	szilikát	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	énekel	sing
sinh	született	genital
sip	korty	sip
sirô	szirup	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	szuper	super
siết	húzza	to cut off (v.)
sky	ég	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	szláv	(proper noun) slav
slavơ	szláv	slavic
slytherin	mardekár	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	kovács	smith
smithsonian	smithsonian	smithsonian
so	így	compare
société	société	societe
socrates	szókratész	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	szóval én	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	szonáta	sonata
song	dal	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	lélek	soul
soát	ellenőrzés	control
soạn	zeneszerző	compose
spears	lándzsák	spears
spellman	spellman	spellman
spence	spence	(proper noun) spence
spencer	zeke	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sport-	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	utca	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	állvány	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	csillag	a name
startin	startin	bat dau
status	állapot	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	istván	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	törvényes finomságú	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	kövek	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	utca	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	szulfid	sulfide
sulu	sulu	sulu
sum	összeg	reunite
sumatera	jakarta	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	nyár	summer
summerslam	summerslam	(proper noun) summerslam
sun	nap	sun
sunday	vasárnap	(proper noun) sunday
sung	füge	supplement
sunni	sunni	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	szuper	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	szutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	kudarc	decrease
suê	így	lush
suôn	simán	smooth
suất	termelékenység	number
suối	fűtés	stream
suốt	egész	through/all over
suồng	sima	overfamiliar
svd	svd	svd
swan	hattyú	swan
swaziland	szváziföld	swaziland
sweet	édes	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	a symantec	symantec
sync	szinkronizál	sync
syria	szíria	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	padló	san
sàng	szita	ready
sành	terrakotta	"(term should be ""sành sứ"") pottery"
sào	pólus	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	könyv	list
sái	rossz	sai
sám	bűnbánó	penitent
sáng	csillogó	light
sánh	összehasonlító	compare
sáo	fuvola	flute
sáp	viasz	merger
sát	bezárás	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	hat	six
sâm	ginszeng	sam
sân	udvar	"(should be ""sân khấu"") a stage"
sâu	mély	deep
sã	sã	flippant
sãi	rossz	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	világítás	clay
sê	se	sepon
sêri	sorozat	series
sêu	moha	seu tet
sính	diák	betrothal gifts
síp	ciprus	cyprus
sít	szoros	close
sò	kagyló	oyster
sòng	kaszinó	casino
sóc	mókus	"(should be ""sóc trăng"") a vietnamese town"
sói	a farkas	wolf
sóng	hullám	wave
sót	mulasztás	to miss (v.)
sô	szám	than
sôi	forró	vibrant
sông	folyó	river
sùng	odaadás	cult
sú	fekete tigris	a type of mangrove (n.)
súc	marha	animal
sún	mosogató	sun
súng	pisztolyok	gun
súp	leves	source
sút	lövés	reduce
săn	vadászat	to hunt
sơn	festék	a mountain
sư	egyetemi tanár	lion
sưa	tej	filled with
sưng	duzzanat	swell
sưu	gyűjtemények	collection
sương	harmat	dew (n.)
sướng	boldog	high
sườn	oldal	slope
sưởi	fűtés	heat
sạch	tiszta	clean
sạn	szálloda	hotel
sảm	fényes	sam
sản	termelés	reproductive
sảng	friss	sonorous
sảnh	előszoba	a hall, as in the rock and roll hall of fame
sấm	mennydörgés	ginseng
sấu	krokodil	crocodile
sấy	szárítás	dry
sầm	hátrahúzódás	crowded
sầu	melankólia	sad
sẩn	papulák	coarseness
sẫm	sötét	dark
sập	összeomlás	destroy
sắm	bevásárlás	shopping
sắn	manióka	cassava (n.)
sắp	majdnem	soon
sắt	vas	"(term should be ""sắt son"") constant (adj.)"
sẵn	elérhető	available
sẹo	sebhely	scar
sẻ	köteles	share
sẽ	akarat	will
sọ	koponya	brain
sọc	csíkok	stripe
sỏ	pimasz	oligarchy
sỏi	kavics	gravel
số	szám	"(term should be ""số lượng"") quantity (n.)"
sốc	döbbent	shock
sống	élő	live
sốt	láz	fever
sồi	tölgy	oak
sổ	könyv	window
sớ	akarat	document
sớm	hamar	som
sờ	érintés	touch
sỡ	nem fogadott	colorful
sợ	megrémült	afraid
sợi	fonalak	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	porcogó	cartilage
sụp	összeomlás	collapse
sụt	pangás	drop
sủa	ugat	bright
sủi	habzó	sparkling
sủng	karizmatikus	favored
sứ	kerámiai	embassy
sứa	medúza	jellyfish (n.)
sức	erő	strength
sứt	pattintott	cleft
sừng	kürt	sừng sững= huge
sử	történelem	"(term should be ""sử dụng"") to use (v.)"
sửa	javítás	repair
sửng	döbbent	startling
sửu	ökör	cow
sữa	tej	milk
sự	a	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	címke	tag
tai	fül	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	tajvan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tádzsikisztán	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	takla	taklamakan
tali	tali	thallium
taliban	tálib	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	gyász	funeral
tanh	gyanús	deserted
tankōbon	tankóbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	én	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	feladat	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	kéz	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	csád	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	műszaki	technical
ted	ted	(proper noun) ted
teddy	teddy	teddy, as in teddy lupin, a character in the harry potter series
telecom	távközlési	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	bélyeg	stamp
temple	templom	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartell	tensor
teo	sorvadásos	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	területekkel	territories
terry	bársony	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	mentség	to forgive (v.)
thai	terhes	pregnant
thailand	thaiföld	thailand
tham	kapzsiság	involved
thames	temze	thames
than	faszén	coal
thang	létra	ladder
thanh	rúd	youth
thani	akkor én	thani
thao	sport-	sport
thau	sárgaréz	a basin (n.)
thay	helyette	change
thcn	thcn	vocational school
thcs	a thc	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	azok	their
them	őket	plus
then	azután	key
theo	szerint a	according to
theory	elmélet	thẻoy
theravada	hínajána	theravada
theres	ott	there
theseus	theseus	theseus, the greek hero
thi	vizsga	competition (n.)
thich	mint	explanation
thien	tien	sky
third	harmadik	thỉd
thiu	állott	buồn thiu= sad/boring
thiêm	thiem	thiem
thiêng	szentelt	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	ón-	tin
thiến	semleges	castrate
thiếp	kártya	concubine
thiết	készlet	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	rövid	lack
thiềm	sarló	crescent
thiền	elmélkedés	buddhist (adj.)
thiển	előadás	superficial
thiểu	kisebb	minimum
thiện	jó	good
thiệp	kártya	intervene
thiệt	igazán	damage
thiệu	bevezetés	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	hangyányi	combination
thoai	thoai	gentle
thomas	tamás	thomas
thompson	thompson	thompson
thong	tanga	(proper noun) thong, as in ang thong
those	azok	those
thoái	csökkenő	deterioration
thoán	találd ki	usurpation
thoáng	levegős	"(term should be ""thoáng qua"") to pass quickly"
thoát	kijárat	drainage
thoại	telefon	telephone
thoạt	első pillantásra	just (adv.)
thoả	üzlet	compromise
thoải	kényelmes	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	néha	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	gyors	suddenly
thpt	thpt	high school
thriller	krimi	thriller
thskts	thskts	phd- architect
thua	elveszít	defeat
thumb|các	hüvelykujj |	thumb|many
thunderbolt	villámcsapás	thunderbolt
thung	völgy	valley
thuyên	elmozdulás	a name
thuyết	elmélet	theory
thuyền	hajó	boat
thuê	bérelni	employ
thuần	tiszta	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	összeütközés	support
thuận	profik	favourable
thuật	művészet	term
thuế	adó	tax
thuốc	gyógyszer	medicine (n.)
thuộc	tartozik	belong
thuớc	víz	"(term should be ""kích thước"") dimensions of an object"
thuờng	általában	usually
thuở	gyermekkor	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	te	thy
thà	inkább	honest
thành	erőd	"(term should be ""hình thành"") to take shape"
thày	tanár	teacher
thác	vízesés	harvest
thách	kihívás	challenge
thái	thai	attitude
thám	nyomozó	to spy (v.)
tháng	hónap	month (n.)
thánh	utca	a holy person; a saint (n.)
tháo	eltávolítás	"(term should be ""tháo chạy"") to run with abandon"
tháp	torony	tower
thâm	mély	penetrate
thâu	ragasztott	to collect (v.)
thây	lát	body
thãi	szar	superabundant
thèm	sóvárog	desire
thép	acél-	steel
thét	felsikoltott	shout
thê	a	category
thêm	több	more
thêu	bérlés	to embroider (v.)
thìa	kanál	spoon
thìn	azután	(proper noun) thìn, the year of the dragon
thình	hirtelen	"(term should be ""thình lình"") suddenly"
thí	kísérletek	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	megbökte	tho
thòi	hátrány	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	hántolatlan rizs	grain (n.)
thói	szokás	a habit (n.)
thô	durva	rough, old-fashioned
thôi	gyerünk	only
thông	tájékozott	"(term should be ""thông thường"") usual (adj.)"
thù	viszály	"entire term should be ""ke thu""; means ""enemy"""
thùng	kuka	barrel
thùy	fülcimpa	thuy
thú	érdekes	"(should be ""thích thú"") pleasurable"
thúc	vég	push
thúy	thuy	thuy
thăm	látogatás	visit
thăng	támogatni	helicopter
thơm	illatos	aromatic
thư	betűk	"(term should be ""ung thư"") cancer (n.)"
thưa	kedves	sparse
thương	szeretet	love
thước	vonalzó	ruler
thường	gyakran	usually (adv.)
thưởng	jutalom	to reward (v.)
thược	puffanás	(proper noun) thược
thượng	felső	upper
thạc	mesterek	master
thạch	zselé	rock or stone (n.)
thạnh	thanh	thanh
thạo	szakértő	fluent
thả	csepp	"(term should be ""thả lỏng"") to let loose (v.)"
thải	pazarlás	waste
thảm	szőnyeg	carpet or rug (n.)
thản	derűs	calmly
thảo	szép	"(term should be ""hội thảo"") a workshop (n.)"
thấp	rövid	low (adj.)
thấu	penetráns	penetrate
thầm	csendben	"(term should be ""thì thầm"") to whisper (v.)"
thần	isten	"entire term should be ""tinh than""; means ""of the mind"""
thầy	tanár	teacher (n.)
thẩm	esküdtek	osmotic/leak
thẫm	sötét	dark
thận	vese	careful
thập	kereszt	tens
thật	igazi	true (adj.)
thắm	virágszirom	tham
thắn	őszintén	frank
thắng	nyerte	win
thắngthua	nyerő	win-lose
thắp	fény	light
thắt	felköt	tense
