$	dollarni tashkil etadi	dollars
الأطباق	idishlar	dishes
الأطراف	tomonlar	the ends
الأطرش	atrash	alatrash
الأطعمة	oziq-ovqat	food
الأطفال	bolalar	children
الأطلس	atlas	atlas
الأطلسي	atlantika	atlantic
الأعداء	dushmanlar	enemies
الأعداد	tayyorlash	numbers
الأعراض	alomatlar	symptoms
الأعراق	millatlar	etchnic groups
الأعشاب	giyohlar	grass
الأعصاب	nervlar	nerves
الأعضاء	a&#39;zolar	members
الأعظم	eng katta	the greatest
الأعلام	ommaviy axborot vositalari	flags
الأعلى	yuqori	upper
الأعمال	biznes	acts
الأعمدة	ustunlar	columns
الأعوام	yillar	the years
الأغالبة	aqlabis	el-aghaleba
الأغاني	qo&#39;shiqlar	songs
الأغذية	ovqat	food
الأغراض	narsalar	purposes
الأغلب	ko&#39;pincha	mainly
الأغلبية	ko&#39;pchilik	majority
الأغنية	qo `shiq	song
الأفراد	jismoniy shaxslar	of the individuals
الأفريقي	afrika	african
الأفريقية	afrika	african
الأفضل	eng yaxshisi	the best
الأفعال	harakatlar	acts
الأفغاني	afg‘on	afghani
الأفكار	fikrlar	ideas
الأفلام	filmlar	the films
الأفيون	afyun	opium
الأقاليم	hududlar	regions
الأقدس	eng muqaddas	the sacred
الأقدم	eng qadimgi	the oldest
الأقرب	eng yaqin	the closest
الأقسام	bo&#39;limlar	sections
الأقصى	uzoq	maximum
الأقطار	diagonallar	territories
الأقل	kamida	least
الأقليات	ozchiliklar	minority
الأقمار	oylar	satellites
الأقوال	so&#39;zlar	sayings
الأكاديمية	akademiyasi	academy
الأكبر	eng katta	the biggest
الأكراد	bo&#39;ri	kurd
الأكسجين	kislorod	oxygen
الألب	alp tog&#39;lari	alps
الألبان	sut	dairy
الألبانية	alban	albanian
الألف	alif	the millenium
الألفية	ming yillik	millennium
الألم	og&#39;riq	pain
الألمان	nemislar	the germans
الألماني	nemis	german
الألمانية	nemis	german
الألواح	plitalar	plates
الألوان	ranglar	colours
الأم	onasi	origin
الأمازيغ	berberlar	the amazigh
الأمازيغية	berber	tamazight
الأماكن	joylar	places
الأمام	oldinga	imam
الأمان	xavfsizlik	security
الأمانة	halollik	the responsibility
الأمة	millat	suffered
الأمثال	hikmatlar	examples
الأمثلة	misollar	exampels
الأمد	davomiyligi	time
الأمر	masala	the issue
الأمراء	shahzodalar	princes
الأمراض	kasalliklar	disease
الأمريكتين	amerika	the two americas
الأمريكي	amerikalik	american
الأمريكية	amerikalik	america
الأمريكيون	amerikaliklar	americans
الأمريكيين	amerikaliklar	the americans
الأمصار	siklonlar	the states
الأمطار	yomg&#39;ir	rains
الأمعاء	ichak	intestines
الأمل	umid	hope
الأملاح	tuzlar	salts
الأمم	millatlar	nations
الأمن	xavfsizlik	the security
الأمنية	istak	security
الأمواج	to&#39;lqinlar	waves
الأموال	pul	the money
الأمور	ishlar sodir bo&#39;ladi	the conditions
الأموي	umayyad	umayyad
الأموية	umayyad	umayyad
الأمويون	umaviylar	umayyads
الأمويين	umaviylar	alomoaon
الأمية	savodsizlik	illiteracy
الأمير	shahzoda	prince
الأميرة	malika	the queen
الأميركي	amerikalik	american
الأميركية	amerikalik	american
الأمين	kotiba	custodian
الأنا	ego	ego
الأناجيل	injil	bibles
الأناضول	kichik osiyo	anatole
الأنباء	yangiliklar	news
الأنبياء	payg&#39;ambarlar	prophets
الأنثروبولوجيا	antropolog	anthropology
الأنثى	ayol	the female
الأندلس	andalus	andalusia
الأندية	klublar	clubs
الأنسجة	to&#39;qimalar	the tissues
الأنسولين	insulin	insulin
الأنشطة	faoliyatlar	activities
الأنصار	ansorlar	ansar
الأنصاري	al-ansoriy	ansari
الأنطروبولوجيا	antropologiya	anthropology
الأنظمة	tizimlar	systems
الأنف	burun	nose
الأنفاق	tunnellar	the tunnels
الأنماط	uslublar	styles
الأنهار	daryolar	rivers
الأنواع	turlari	kind
الأهالي	ota-onalar	fammilies
الأهداف	maqsadlar	the goals
الأهرام	piramidalar	el-ahram
الأهرامات	piramidalar	the pyramids
الأهلي	al-ahli	al-ahly
الأهلية	muvofiqlik	civil
الأهم	eng muhimi	the most important
الأهمية	muhimi	importance
الأوائل	yuqoridagi	original
الأوامر	buyruqlar	orders
الأوبرا	opera	opera
الأودية	vodiylar	canyons
الأوراق	barglari	papers
الأورام	o&#39;simta	tumors
الأوربية	evropa	european
الأوروبي	evropa	european
الأوروبية	evropa	european
الأوروبيون	evropaliklar	the europeans
الأوروبيين	evropaliklar	europeans
الأوزون	ozon	ozone
الأوساط	davralar	circles
الأوسط	o&#39;rta	middle
الأوسمة	bezaklar	medals
الأوضاع	shartlar	situations
الأوعية	idishlar	vessels
الأوقات	marta	time
الأوكراني	ukrain	ukrainian
الأوكرانية	ukrain	alucrohn
الأول	birinchi	the first
الأولمبية	olimpiya	olympics
الأولى	birinchi	the first
الأولي	boshlang&#39;ich	incipient
الأولية	birlamchi	raw
الأيام	kunlar	days
الأيبيرية	iberian	alaepireya
الأيسر	chapga	the left
الأيمن	to&#39;g&#39;ri	right
الأيوبي	al ayoubi	ayubi (name)
الأيوبية	ayyubid	ayyubid
الإباحية	pornografiya	porno
الإبادة	yo&#39;q qilish	elimination
الإباضية	ibadi	el ebadeya
الإبداع	ijodkorlik	creativity
الإبراهيمية	ibrohim	abrahamic
الإبل	tuyalar	camels
الإتحاد	birlashmasi	union
الإثارة	hayajon	excitement
الإثنين	dushanba	monday
الإجابة	javob	answer
الإجراءات	o&#39;lchovlar	procedures
الإجماع	kelishuv	agreement
الإجمالي	jami	the total
الإجمالية	jami	total
الإحساس	sezgi	feeling
الإحصاء	statistika	statistics / the count
الإحصاءات	statistika	statistics
الإحصائيات	statistika	alihsaniat
الإحصائية	statistik	statistical
الإخوان	birodarlik	brothers
الإدارة	ma&#39;muriyat	government
الإداري	ma&#39;muriy	administrative
الإدارية	ma&#39;muriy	administrative
الإدعشري	el-adxari	el-edashry
الإذاعة	radio	broadcast
الإرادة	iroda	welling
الإرشاد	maslahat	guidance
الإرهاب	terrorizm	the terrorism
الإسبان	ispan	spanish
الإسباني	ispan	the spanish
الإسبانية	ispan	the spanish
الإسراء	isroil	israa
الإسرائيلي	isroil	the israelian
الإسرائيلية	isroil	israeli
الإسرائيليين	isroilliklar	the israeli people
الإسكندر	aleksandr	alexander
الإسكندرية	iskandariya	alexandria
الإسلام	islom	peace
الإسلامي	islomiy	islamic
الإسلامية	islomiy	islamic
الإسماعيلية	ismoiliya	ismailia
الإشارات	belgilari	signs
الإشعاع	radiatsiya	radiation
الإشعاعي	radiologik	the radioactive
الإصابة	shikastlanish	the infection
الإصدار	bo&#39;shatish	the edition
الإصلاح	tuzatish	the reformation
الإصلاحات	ta&#39;mirlash	reforms
الإصلاحية	tuzatish	reformatory
الإطار	ramka	framework
الإطلاق	ishga tushirish	absolutely
الإعدام	qatllar	death
الإعلام	ommaviy axborot vositalari	media
الإعلامي	axborotli	media man
الإعلان	reklama	announcement
الإعلانات	reklama	advertisements
الإغريق	yunonlar	greek
الإغريقي	yunon	greek
الإغريقية	yunon	greek
الإفريقي	afrika	african
الإفريقية	afrika	the african
الإقامة	yashash joyi	place of stay
الإقليم	hudud	region
الإقليمي	mintaqaviy	regional
الإقليمية	mintaqaviy	regional
الإلحاد	ateizm	atheism
الإلكترون	elektron	electron
الإلكترونات	elektronlar	electronics
الإلكترونية	e	eletriny
الإله	xudo	elah
الإلهي	ilohiy	divine
الإلهية	ilohiy	holly
الإمارات	baa	emirates
الإمارة	amirlik	emirate
الإمامة	imomlik	the lead
الإمامية	imomi	imami
الإمبراطور	imperator	empire
الإمبراطورية	imperiya	the empire
الإمدادات	ta&#39;minot vositalari	supplies
الإناث	ayol	females
الإنتاج	ishlab chiqarish	production
الإنتاجية	hosildorlik	production
الإنترنت	internet	the internet
الإنجليز	ingliz	british
الإنجليزي	inglizcha	england
الإنجليزية	inglizcha	english
الإنجيل	xushxabar	the bible
الإنسان	inson	the human
الإنساني	inson	humanitarian
الإنسانية	insoniyat	the human
الإنشاء	yaratilish	construction
الإنفاق	xarajat	spending
الإنفلونزا	gripp	flu
الإنكشارية	yangilar	janissaries
الإنكليزي	inglizcha	the english
الإنكليزية	inglizcha	english
الإيجابية	ijobiy	positive
الإيدز	oits	aids
الإيراني	eronlik	iranian
الإيرانية	eronlik	iranian
الإيطالي	italyancha	italian
الإيطالية	italyancha	italian
الإيطاليين	italiyaliklar	italians
الإيمان	imon	the faith
الا	tashqari	except
الائتلاف	koalitsiya	coalition
الابتدائي	birlamchi	primary
الابتدائية	birlamchi	primary
الابن	o&#39;g&#39;il	ann
الاتجاه	yo&#39;nalish	direction
الاتجاهات	yo&#39;naltiruvchi	directions
الاتحاد	birlashmasi	union
الاتحادية	federal	federal
الاتصال	ulanish	communication
الاتصالات	telekommunikatsiyalar	communications
الاتفاق	kelishuv	an agreement
الاتفاقيات	shartnomalar	agreements
الاتفاقية	shartnoma	the agreement
الاتهام	ayblov	accusation
الاثني	millati	athenian
الاثنين	dushanba	monday
الاجتماع	uchrashuv	conference
الاجتماعات	uchrashuvlar	gatherings
الاجتماعي	ijtimoiy	social
الاجتماعية	ijtimoiy	civilized
الاجتهاد	tirishqoqlik	thinking
الاحتباس	saqlash	global
الاحتفاظ	saqlamoq	to keep
الاحتفال	bayram	festival
الاحتفالات	tantanalar	festivals
الاحتكاك	ishqalanish	harassment
الاحتلال	kasb	occupation
الاحتياجات	ehtiyojlar	needs
الاختبار	sinov	test
الاختلاف	farqi	difference
الاختلافات	farqlar	the differences
الاختيار	tanlov	the choice
الارتباط	aloqa	attachment
الارتفاع	balandligi	rising
الازدهار	obodlik	prosperity
الاستثمار	sarmoya	investment
الاستثمارات	investitsiyalar	investments
الاستخبارات	aql-idrok	intelligence
الاستخدام	foydalanish	usage
الاستخدامات	foydalanadi	usages
الاستراتيجي	strategik	strategic
الاستراتيجية	strategiya	strategical
الاستسلام	bermoq	capitulation
الاستعمار	mustamlaka	colonization
الاستعماري	mustamlaka	colonial
الاستعمارية	mustamlaka	colonial
الاستعمال	foydalanish	usage
الاستفتاء	referendum	referendum
الاستقرار	barqarorlik	stability
الاستقلال	mustaqillik	independence
الاستنساخ	ko&#39;paytirish	cloning
الاستهلاك	iste&#39;mol	consumption
الاستواء	tuzatish	tropical
الاستوائية	tropik	tropical
الاستيلاء	qo&#39;lga tushirish	takeover
الاسكندنافية	skandinaviya	scandinavian
الاسم	ism	the name
الاسود	qora	black
الاشتراك	obuna	participation
الاشتراكي	sotsialistik	socialist
الاشتراكية	sotsializm	communist
الاشتراكيون	sotsialistlar	socialists
الاصطناعى	sintetik	intelligent
الاصطناعي	sun&#39;iy	artificial
الاضطراب	turg&#39;unlik	confusion
الاضطرابات	notinchliklar	disturbances
الاضطهاد	quvg&#39;in	persecution
الاضطهادات	quvg&#39;inlar	the persecutions
الاعتبار	ko&#39;rib chiqish	consideration
الاعتداء	hujum	assault
الاعتراف	tanib olish	recognition
الاعتقاد	e&#39;tiqod	believe
الاعتماد	akkreditatsiya	relying on
الاعلام	ommaviy axborot vositalari	media
الاعمال	biznes	works
الاغنية	qo `shiq	the song
الاقتصاد	iqtisodiyot	economy
الاقتصادي	iqtisodiy	the economical
الاقتصادية	iqtisodiy	economic
الاكتشاف	kashfiyot	the discovery
الاكتشافات	kashfiyotlar	discoveries
الالتزام	majburiyat	adherence
الامام	imom	imam
الامبراطورية	imperiya	empire
الامير	shahzoda	prince
الانتخابات	saylov	elections
الانتخابية	saylov	electoral
الانتداب	mandat	mandate
الانتشار	tarqalish	the spread
الانتصار	g&#39;alaba	the victory
الانتصارات	g&#39;alabalar	the victories
الانتفاضة	qo&#39;zg&#39;olon	uprising
الانتقادات	tanqid	criticisms
الانتقال	ichkariga kirmoq	transmission
الانتقالية	o&#39;tish davri	transitory
الانتقام	qasos	the revenge
الانتهاء	tugadi	finishing
الاندلس	andalus	al-andalus
الاندماج	birlashish	merging
الانسحاب	tortib olish	retreat
الانضمام	qo‘shiling	joining
الانطروبولوجيا	antropologiya	anthropology
الانفجار	portlash	the explosion
الانفصال	ajratish	separation
الانقسام	bo&#39;linish	division
الانقلاب	to&#39;ntarish	coup
الاهتمام	qiziqish	the interest
الايكولوجية	ekologik	the ecological
الباب	eshik	door
البابا	papa	pope
البابلي	bobilga oid	babylonian
البابلية	bobilga oid	babylonia
البابوية	papachilik	papal
البابية	casement	the babian
الباحث	tadqiqotchi	researcher
الباحثون	tadqiqotchilar	researchers
الباحثين	tadqiqotchilar	researchers
البارد	sovuq	cold
الباردة	sovuq	the cold
البارزة	e&#39;tiborga loyiq	the prominent
البارزين	taniqli	the prominent
الباطنية	ezoterik	underground
الباقي	qolgani	the rest
الباقية	qolgani	the rest
البالغ	voyaga yetgan	the one reaching
البالغة	voyaga yetgan	very much
البالغين	kattalar	adult
البتراء	petra	petra
البترول	neft	petrol
البث	efirga uzatish	broadcast
البحار	dengizlar	seas
البحر	dengiz	sea
البحري	dengiz	marine
البحرية	dengiz floti	el-baharia
البحرين	ikki dengiz	bahrain
البحوث	izlanishlar	researches
البحيرات	ko&#39;llar	lakes
البحيرة	ko&#39;l	the lake
البخار	bug &#39;	vapor
البخاري	buxoriy	albokhari
البدء	boshlang	start
البدائي	ibtidoiy	primordial
البدائية	primal	primitive
البداية	boshlanishi	the beginning
البدنية	jismoniy	physical
البدو	badaviylar	bedouin
البذور	urug&#39;lar	seeds
البر	adolat	righteousness
البرازيل	braziliya	brazil
البرازيلي	braziliyalik	brazilian
البراكين	vulkanlar	volcanoes
البرامج	dasturlar	programs
البربر	berberlar	barbar
البربرية	vahshiylik	barbarian
البرتغال	portugaliya	portugal
البرتغالي	portugalcha	portuguese
البرتغالية	portugalcha	portuguese
البرتغاليين	portugal	portuguese
البرج	minora	the tower
البركان	vulkan	the volcano
البركاني	vulkanik	volcanic
البركانية	vulkanik	volcanic
البرلمان	parlament	parliament
البرلمانية	parlament	parliamentary
