$ tỉ	milliard dollar	$ billion
oprah	opra	(proper noun) oprah, as in oprah winfrey
organ	organ	organ
oricon	orikon	oricon
origin	kelib chiqishi	origin
orion	orion	(proper noun) orion, the hunter
orleans	orlean	(proper noun) orleans, as in new orleans
orochimaru	orochimaru	orochimaru
orton	orton	orton
os	os	os
osaka	osaka	(proper noun) osaka, a city in japan
osama	osama	(proper noun) osama, as in osama bin laden
osamu	osamu	(proper noun) osamu, a japanese first name
oscar	oskar	oscar
osiris	osiris	(proper noun) osiris, as in the egyptian god
oskar	oskar	a name
oslo	oslo	oslo
osment	osment	osment
ospf	ospf	ospf
ossetia	osetiya	(proper noun) ossetia
oswald	oswald	oswald
other	boshqa	other
otto	otto	(proper noun) otto, as in otto von bismarck
ottoman	usmonli	(proper noun) ottoman, as in the ottoman empire
outstanding	atoqli	xuat sac
owen	qarzdor	(proper noun) owen, as in michael owen
oxford	oksford	oxford
oxy	kislorod	oxygen
ozawa	ozava	(proper noun) ozawa, as in maria ozawa
oán	xafagarchilik	"(term should be ""oán than"") to complain or whine"
oát	vatt	a watt (n.)
oản	oan	"(term should be ""ăn oản"") gratitude and resentment (n.)"
paget	paget	(proper noun) paget
pailin	pailin	pailin
pakistan	pokiston	(proper noun) the country of pakistan
palais	palais	palais, as in grand palais
palawan	palawan	palawan
palenque	palenque	(proper noun) palenque
palestine	palestin	a name
palgrave	palgrave	palgrave
pali	pali	a name
pamir	pamir	pamir
pan	pan	pan, as in peter pan
panama	panama	panama
panamax	panamaks	(proper noun) panamax
panduranga	panduranga	(proper noun) panduranga
panthera	pantera	(proper noun) panthera, a genus of felines
panthéon	pantheon	a name
paolo	paolo	paolo
paperback	qog&#39;oz qog&#39;oz	paperback
papua	papua	papua
paraguay	paragvay	(proper noun) paraguay
pari	pari	pari
park	park	park
parton	parton	parton
patel	patel	(proper noun) patel
patrick	patrik	patrick
patriot	vatanparvar	patriot
paul	paul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	pedro	pedro
peers	tengdoshlar	peers
pele	pele	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penya	(proper noun) penh, as in phnom penh
pennsylvania	pensilvaniya	pennsylvania
penny	tinga	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	perry	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	tirishqoqlik	pershing
persian	persian	persian
peru	peru	peru, as in the south american country
peters	peters	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	aralashgan	to mix
phaethon	phethon	phaethon
pham	fam	pham
phanh	tormoz	expose
phao	suzuvchi	float
phaolô	pol	st. paul, the apostle
pharaoh	fir&#39;avn	pharaoh
pharaon	firon	pharaoh
phay	tegirmon	mill
phe	fraksiya	faction
phen	fen	time
phil	fil	(proper noun) phil, a first name
philip	filipp	philip
philippe	filipp	philippe
philippines	filippin	(proper noun) philippines
phillip	filip	(proper noun) phillip
phillips	fillar	philips
philosophiae	falsafasi	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	filtri	coffee filter
phineas	phineas	(proper noun) phineas
phiên	sessiya	trial
phiêu	sarguzasht	adventurous
phiếm	g&#39;iybat	gossip
phiến	pichoq	"(should be ""nha phiến"") opium"
phiện	afyun	opium
phiệt	parhez	militarism
phnom	phnom	phnom
phnôm	fomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	feniks	(proper noun) phoenix
phong	xona	movement
php	php	php
phrygian	frigiyalik	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	ochilmagan	expose
phun	buzadigan amallar	to spray or spit (v.)
phà	parom	ferry
phàm	o&#39;lik	superhuman
phàn	shikoyat	complain
phá	sindirish	destroy
phác	eskiz	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	urmoq	manner (n.)
phái	mazhab	a party
phán	sudya	judge
pháo	to&#39;p	artillery
pháp	frantsiya	method
phát	eshittirish	develop
phèn	alum	alum
phèo	rasmda ko&#39;rsatilgan	organs
phép	ruxsat berilgan	permit
phê	balandga intil	"(term should be ""phê bình"") to criticize (v.)"
phêrô	butrus	peter
phì	kattalashtirilgan	non-
phình	katta	bulge
phí	zaryadlash	non-
phía	tomoni	side
phích	termos	a flask (n.)
phím	kalit	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	xona	office
phó	deputat	second
phóng	ishga tushirish	to launch (v.)
phô	shahar	display
phôi	embriya	embryo
phông	shrift	font
phùng	shish	phung
phúc	muborak	good fortune (n.)
phúclộc	duo	phuc-loc
phún	bukmoq	"(term should be ""lún phún"") sparse (adj.)"
phúng	achinish	satire
phút	daqiqa	a minute (n.)
phăn	xafagarchilik	phan
phăng	phang	knock
phương	phuong	direction
phước	duo	luck
phường	palatada	ward
phượng	feniks	phoenix
phạn	sanskrit	sanskrit
phạt	jazolamoq	punish
phả	naslchilik	pedigree
phải	to&#39;g&#39;ri	must
phải 	to&#39;g&#39;ri	right
phản	hisoblagich	reaction
phảng	tekis	subtle
phần	qismi	part
phẩm	mahsulotlar	food
phẩy	vergul	a comma
phẫn	g&#39;azablangan	wrathful
phẫu	jarrohlik	surgery
phận	taqdir	part
phật	budda	buddhist
phẳng	tekislik	flat (adj.)
phế	hurda	dismiss
phết	tarqalish	to spread or smear (v.)
phỉ	findiq	defame
phỏng	kuyish	interview
phố	shahar	city
phối	koordinatasi	coordinate
phốt	fosfatdan iborat	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	shishiradi	to swell (v.)
phổ	spektr	popular
phổi	o&#39;pka	lung
phộng	yerfıstığı	peanut
phới	suzuvchi	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	noodle sho&#39;rva	pho
phục	kiyim	convincing
phụng	xizmat qilish	worship
phụt	shish	minute
phủ	qoplangan	government
phức	murakkab	complex
picchu	pichu	a name
piccolo	pikolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	pike	pike
pin	batareya	battery
pinlus	pinlus	pinlus
pioneer	kashshof	pioneer
pipes	quvurlar	pipes
pisa	pisa	a name
piston	piston	piston
pitch	ohang	pitch
pius	pius	pius
plaaf	plaf	plaaf
plan	rejasi	plan
plasma	plazma	plasma
plate	plitasi	plate
plato	plato	plato
platon	platon	platon
player	pleyer	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistotsen	pleistocen
plus	ortiqcha	plus
pluto	pluto	pluto
pm	kechqurun	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polsha	poland
pollack	pollack	a name
pollux	changlanish	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polinezi	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portlandiya	portland
porto	porto	porto
pot	qozon	pot
potsdam	potsdam	(proper noun) potsdam
potter	kulol	(proper noun) potter, as in harry potter
pour	quying	not vietnamese
powell	toz	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premerasi	premier
preminger	oldindan ogohlantiruvchi	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	shahzoda	prince
princeton	princeton	princeton
printemps	bosma nashr	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometey	(proper noun) prometheus
protein	oqsil	protein
prôtêin	oqsil	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemiya	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulpa	pulp
punjab	panjab	punjab
pusan	pusan	(proper noun) pusan
putin	qo&#39;ymoq	putin
pyrenees	pirenezlar	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	tomonidan	transmit
quad	to&#39;rtlik	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optik	bladder
quanh	atrofida	around
quay	burildi	turn
que	tayoqlar	stick
queen	malika	queen
queens	malika	(proper noun) queens, as in the new york borough
queensland	qirolicha qiroli	queensland
quen	tanish	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quron	quran
quy	qoidalari	"(term should be ""quy ước"") agreement"
quyên	asoslari	"(term should be ""quyên góp"") to donate (v.)"
quyến	jozibasi	"(term should be ""gia quyến"") family"
quyền	ruxsat	right
quyện	aralashmoq	mix
quyệt	makkor	"(should be ""xảo quyệt"") devious"
quá	ham	over
quái	heck	strange or odd
quán	bar	hometown
quáng	ko&#39;r	blind
quát	- deb baqirdi	generalize
quân	quan	army (n.)
quãng	taxminan	optical
quét	skanerlash	to sweep (v.)
quê	qishloq	countryside
quên	unut	forget
quý	qimmatbaho	love
quýt	mandarin	tangerine
quăng	silkitmoq	to throw (v.)
quĩ	fond	orbit
quạ	qarg&#39;alar	crow (con qua)
quạt	fanat	fan
quản	boshqaruv	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	o&#39;rash	wrap around
quất	kumquat	whip
quấy	aralashtiring	harass
quần	shim	pants (n.)
quầng	halo	halo
quầy	hisoblagich	stall
quẩy	tebranish	quay
quẫn	badbaxt	necessitous
quận	tuman	county (n.)
quật	qazish	excavation
quẳng	silkitmoq	throw
quặc	g&#39;alati	strange (adj.)
quặng	ruda	an ore (n.)
quẻ	hexagram	hexagram
quế	doljin	cinnamon (n.)
quết	ko&#39;pik	knead
quệ	bechora	exhausted
quỉ	shayton	demon
quỳ	tiz cho&#39;kib	demon (n.)
quỳnh	quỳnh	quynh
quỵ	urish	stroke
quỷ	shayton	provided
quỹ	fond	fund
qúy	chorak	quy
r	r	r
rabindranath	rabindranat	rabindranath
race	irqi	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	ray	slowly intake
raleigh	raliigh	raleigh
ralph	ralf	(proper noun) ralph, as in ralph waldo emerson
ram	ram	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramazon	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	yugurdi	ran
ranch	rancho	ranch
randy	randy	randy
rang	jiringladi	roast
rangers	qo&#39;riqchilar	rangers
ranh	chegara	border (ranh gioi)
rao	reklama	to announce
rap	rap	rap
raptor	zo&#39;ravon	raptor
rate	darajasi	rate
rau	sabzavot	vegetable
ray	nur	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reygan	reagan
real	haqiqiy	real
reanimation	reanimatsiya	reanimation
reap	o&#39;rmoq	reap
reef	rif	reef
regia	regia	regia
reichelt	reyxelt	reichelt
ren	dantel	lace (n.)
renaissance	uyg&#39;onish davri	renaissance
renault	renault	renault
rené	rené	rene
reo	uzuk	yell
reserve	zaxira	reserve
resort	kurort	resort
reverse	teskari	reverse
revolution	inqilob	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rika	rica
ricardo	rikardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	boylik	(proper noun) richie, as in singer lionel richie
rico	riko	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	chayqash	rin
rising	ko&#39;tarilish	rising
risk	xavf	risk
ritchie	ritchi	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	xususiy	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rokfeller	rockefeller, as in john d. rockefeller
roddick	tayoq	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	novda	a stick or switch used for punishment (n.)
roland	roland	roland
romania	rimiya	romania
rome	rome	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	yosunlar	seaweed (n.)
rosen	atirgul	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	russo	rousseau
router	yo&#39;riqnoma	cong noi
rovers	rovers	rovers
rowling	janjal	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolf	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	ruminiyalik	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	yugurish	tremble
rung	tebranish	to shake or vibrate (v.)
russian	ruscha	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	rut	(proper noun) ruth
rutherford	ruterford	rutherford
rutte	rutte	rutte
ruud	buzilish	ruud
ruốc	mayda qisqichbaqa	pemmican
ruồi	chivinlar	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	guruch maydoni	"(term should be ""ruộng đất"") farmland (n.)"
ruột	ichak	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	tekshirib ko&#39;rmoq	finding
ràng	ravshan	clear
rành	ravon	exhaustive
rào	to&#39;siq	barrier
rác	axlat	gabbage-trash
rách	yirtilgan	tear
rái	otter	colander
rán	qovurmoq	fried (adj.)
ráp	yig&#39;ish	to assemble (v.)
râm	soyali	shade
râu	soqol	beard or mustache (n.)
rã	parchalanishi	out
rãi	cho&#39;tka	"(term should be ""rộng rãi"") generous"
rãnh	xandaq	groove
räikkönen	raikkönen	raikkonen
rèm	parda	curtain
rèn	to&#39;qish	train
ré	qichqiriq	re
république	république	republique
rét	sovuq	cold
rê	sudrab torting	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	pichirlash	moan
rêu	mox	moss
rì	pichirlab	lush (adj.)
rìa	chekka	edge
rình	josus	to watch for
rìu	bolta	ax
rít	hushtak	to wail (v.)
rò	oqish	leak
ròng	aniq	net
rót	quyish	to pour (v.)
rô	katakchali	diamond
rôbôt	robot	robot
rôma	rome	roman
rông	ichi bo&#39;sh	rising (adj.)
rõ	ravshan	clear
rùa	toshbaqa	turtle
rùng	sudraluvchi	horror
rút	chekinmoq	withdraw
răn	buyruq	commandment
răng	tish	roasted
rōmaji	rōmaji	romaji
rũ	jozibali	charm
rơ	mashina	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	tushish	fall
rơm	somon	straw
rươi	senga	sand-worm
rước	yurish	welcome
rưới	sepmoq	to sprinkle (v.)
rưỡi	yarmi	half
rượt	ketidan quvmoq	pursue
rượu	alkogol	wine
rạ	qush	straw
rạc	diskret	discrete
rạch	kanal	canal
rạng	tong	break
rạp	teatrlar	theater
rải	tarqoq	spread
rảnh	ozod	to be free (adj.)
rất	juda	very
rầm	jamb	aggressive
rầu	qayg&#39;uli	sorrow
rẫy	etishtirish	full
rậm	po&#39;stloq	jungle
rập	arab	"(term should be ""Ả rập"") arab"
rắc	sepmoq	trouble
rắn	ilon	snake
rằm	to&#39;linoy	a full moon (n.)
rằng	bu	roasted
rặng	tog&#39; jinsi	a row
rẻ	arzon	cheap
rẽ	burish	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	nola	pealed
rể	kuyov	in-law
rễ	ildizlari	root (n.)
rệp	xato	bug
rệt	talaffuz qilinadi	clearly
rệu	ha	decay
rỉ	zang	leak
rịavũng	rìvà	ria - bay
rỏ	ravshan	clearly
rối	chalkashib ketdi	disorder
rốm	bulutli	rom
rồ	aqldan ozgan	"(term should be ""điên rồ"") foolish (adj.)"
rồi	allaqachon	and
rồng	ajdaho	dragon
rổ	savat	basket
rỗi	ozod	savation
rỗng	ichi bo&#39;sh	hollow
rộ	shovqin	profuse (adj.)
rộn	band	busy
rộng	keng	wide
rớt	tushish	drop
rời	chapga	leave
rỡ	yorqin	brilliant
rợ	vahshiyliklar	a savage (n.)
rợn	sudraluvchi	scary
rụng	to&#39;kmoq	to drop
rủ	taklif qilish	ask
rủi	mishap	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	o&#39;rmon	forest
rửa	yuvish	to wash (v.)
rữa	yuvish	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	noto&#39;g&#39;ri	wrong
saigon	sayg&#39;oq	saigon
saintdenis	avliyolar	saint-denis
sakura	sakura	sakura
salem	salom	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	saltsburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	sampan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samuray	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanches	sanchez
sang	ga	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	tug&#39;ilish	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santoslar	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	yulduz	how
sap	dastani	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	saravak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkoma	sarcoma
sardinia	sardiniya	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	shanba	saturday
sau	keyin	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunère	saunière
scandinavia	skandinaviya	scandinavia
schafer	shaffof	schafer, as in john c. schafer
schengen	shengen	schengen
schiller	qalliq	schiller
schlesinger	schlesinger	schlesinger
schneider	shnayder	schneider, a last name
schumacher	shumaxer	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	shuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	shotlandiya	scotland
scots	skots	(proper noun) scots
scott	skott	scott
scream	qichqirmoq	scream
scud	ehtiyotkorlik	scud
scuderia	skuderiya	scuderia
sdram	sdram	sdram
search	qidirmoq	search
seattle	sietl	(proper noun) seattle, washington
secret	sir	bi mat
sedna	sedna	(proper noun) sedna
see	qarang	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	ma&#39;nosi	sense
september	sentyabr	(proper noun) the month of september
serbia	serbiya	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	qator	series
service	xizmat	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sekstus	sextus
sexy	shahvoniy	sexy
seymour	saymur	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	shah	shah
shaman	shaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	ochiqchasiga	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharik	sharpay, as in sharpay evans
shawn	baqirish	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	shiyit	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	shoal	(proper noun) shoal
shonen	shonen	shonen
shop	do&#39;kon	shop
short	qisqa	short
showcase	vitrinalar	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sitsiliya	sicilia
sicily	sitsiliya	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	siyra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorskiy	a name
silas	silalar	silas
silesia	silesiya	silesia
silic	kremniy	silicon
silicat	silikatli	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinay	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	qo&#39;shiq ayt	sing
sinh	tug&#39;ilgan	genital
sip	yutmoq	sip
sirô	sirop	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	juda zo&#39;r	super
siết	torting	to cut off (v.)
sky	osmon	sky
skype	skayp	skype
skyteam	samoviy	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slizerin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	temirchi	smith
smithsonian	smitssonlik	smithsonian
so	shunday qilib	compare
société	société	societe
socrates	sokratlar	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	shunday qilib men	look/stare soi sáng=enlight
solaris	quyoshchilar	(proper noun) solaris
som	so&#39;mni tashkil etdi	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	qo&#39;shiq	however (adv.)
sony	soniy	sony
soo	soo	soon
sophie	sofie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	jon	soul
soát	boshqaruv	control
soạn	bastakor	compose
spears	nayzalar	spears
spellman	sehrgar	spellman
spence	spence	(proper noun) spence
spencer	spenser	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sport	sports
sri	shri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	qaysar	this is a name
stand	turmoq	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	yulduzcha	a name
startin	startin	bat dau
status	holat	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	stiermark	steiermark
steiner	dazmol mashinasi	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stefan	stephen
stephenie	o&#39;gay ona	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	stiv	steve
stevens	stivens	(proper noun) stevens, as in amanda stevens
stevenson	stivenson	stevenson
stevie	stevie	stevie
stewarthannah	stewartannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stokgolm	a name
stones	toshlar	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	bo&#39;g&#39;oz	strauss
street	ko‘cha	street
struct	tuzilishi	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	shtutgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stefano	stefano
su	su	condom
subakhi	subaxi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfid	sulfide
sulu	sulu	sulu
sum	sum	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	yoz	summer
summerslam	yoz fasli	(proper noun) summerslam
sun	quyosh	sun
sunday	yakshanba	(proper noun) sunday
sung	anjir	supplement
sunni	sunniy	sunni
sunsilk	quyosh botishi	sunsilk, a hair products company
super	juda zo&#39;r	super
suriname	surinam	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	muvaffaqiyatsizlik	decrease
suê	shunday qilib	lush
suôn	muammosiz	smooth
suất	samaradorlik	number
suối	isitish	stream
suốt	davomida	through/all over
suồng	silliq	overfamiliar
svd	svd	svd
swan	oqqush	swan
swaziland	svazilend	swaziland
sweet	shirin	sweet
sy	sy	sy
sydney	sidney	(proper noun) sydney, a city in australia
symantec	simantek	symantec
sync	sinxronlash	sync
syria	siriya	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	qavat	san
sàng	elakdan o&#39;tkazing	ready
sành	terakota	"(term should be ""sành sứ"") pottery"
sào	qutb	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunkul	road
sách	kitob	list
sái	noto&#39;g&#39;ri	sai
sám	tavba qilgan	penitent
sáng	porlashi	light
sánh	qiyosiy	compare
sáo	nay	flute
sáp	mum	merger
sát	yaqin	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	olti	six
sâm	ginseng	sam
sân	hovli	"(should be ""sân khấu"") a stage"
sâu	chuqur	deep
sã	sã	flippant
sãi	noto&#39;g&#39;ri	pagoda warden
são	sano	sao, as in sao paolo, brazil
sét	yoritish	clay
sê	se	sepon
sêri	qator	series
sêu	mox	seu tet
sính	talaba	betrothal gifts
síp	kipr	cyprus
sít	qattiq	close
sò	urish	oyster
sòng	kazino	casino
sóc	sincap	"(should be ""sóc trăng"") a vietnamese town"
sói	bo&#39;ri	wolf
sóng	to&#39;lqin	wave
sót	xato	to miss (v.)
sô	raqam	than
sôi	qaynoq	vibrant
sông	daryo	river
sùng	sadoqat	cult
sú	qora yo&#39;lbars	a type of mangrove (n.)
súc	qoramol	animal
sún	cho&#39;kish	sun
súng	qurol	gun
súp	sho&#39;rva	source
sút	otish	reduce
săn	ov qilish	to hunt
sơn	bo&#39;yamoq	a mountain
sư	professor	lion
sưa	sut	filled with
sưng	shishish	swell
sưu	to&#39;plamlar	collection
sương	shudring	dew (n.)
sướng	xursand	high
sườn	tomoni	slope
sưởi	isitish	heat
sạch	toza	clean
sạn	mehmonxona	hotel
sảm	yorqin	sam
sản	ishlab chiqarish	reproductive
sảng	yangi	sonorous
sảnh	zal	a hall, as in the rock and roll hall of fame
sấm	momaqaldiroq	ginseng
sấu	timsoh	crocodile
sấy	quritish	dry
sầm	jaranglaydi	crowded
sầu	ohangdorlik	sad
sẩn	papulalar	coarseness
sẫm	qorong&#39;i	dark
sập	qulashi	destroy
sắm	xarid qilish	shopping
sắn	kassava	cassava (n.)
sắp	deyarli	soon
sắt	temir	"(term should be ""sắt son"") constant (adj.)"
sẵn	mavjud	available
sẹo	chandiq	scar
sẻ	qiladi	share
sẽ	irodasi	will
sọ	bosh suyagi	brain
sọc	chiziqlar	stripe
sỏ	sassy	oligarchy
sỏi	shag&#39;al	gravel
số	raqam	"(term should be ""số lượng"") quantity (n.)"
sốc	larzaga keldi	shock
sống	tirik	live
sốt	isitma	fever
sồi	eman	oak
sổ	kitob	window
sớ	irodasi	document
sớm	tez orada	som
sờ	teginish	touch
sỡ	o&#39;tkazib yuborilgan	colorful
sợ	qo&#39;rqib ketdi	afraid
sợi	iplar	fibers
