$ tỉ	$ r $	$ billion
paraguay	paraguay	(proper noun) paraguay
pari	pari	pari
park	gbesile	park
parton	apa	parton
patel	patẹlu	(proper noun) patel
patrick	patrick	patrick
patriot	ọmọ alade	patriot
paul	poul	paul
paula	paula	paula
paulo	paulo	(proper noun) paulo
pavia	pavia	pavia
pbs	pbs	pbs
pda	pda	pda
pdf	pdf	pdf
pedro	rin irinse	pedro
peers	egbe	peers
pele	eso pishi	(proper noun) pele, as in the soccer player
penang	penang	penang
penh	penh	(proper noun) penh, as in phnom penh
pennsylvania	pennsilin	pennsylvania
penny	dinari	(proper noun) penny, an english first name
pereira	pereira	pereira
perl	perl	(proper noun) perl
pero	pero	pero
perry	ariyanjiyan	(proper noun) perry, as in elizabeth perry
persephone	persephone	presephone
pershing	tẹpẹlẹ	pershing
persian	aṣa	persian
peru	peru	peru, as in the south american country
peters	awọn alagbẹdẹ	peter's, possessive of peter
petersburg	petersburg	(proper noun) petersburg, as in saint petersburg
pfm	pfm	a name
pgs	pgs	associate professor
pgđ	pgđ	associate professor
pha	dapọ	to mix
phaethon	phaethon	phaethon
pham	pham	pham
phanh	idasilẹ	expose
phao	leefofo loju omi	float
phaolô	pọ́ọ̀lù	st. paul, the apostle
pharaoh	farao	pharaoh
pharaon	arabinrin	pharaoh
phay	milling	mill
phe	ẹgbẹ	faction
phen	iṣẹlẹ	time
phil	phil	(proper noun) phil, a first name
philip	philli	philip
philippe	agekuru	philippe
philippines	philippines	(proper noun) philippines
phillip	agekuru	(proper noun) phillip
phillips	phillips	philips
philosophiae	ologbon	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	fiimu	phim
phin	àlẹmọ	coffee filter
phineas	awọn iṣupọ	(proper noun) phineas
phiên	igba	trial
phiêu	ìrìn	adventurous
phiếm	olofofo	gossip
phiến	abẹfẹlẹ	"(should be ""nha phiến"") opium"
phiện	opium	opium
phiệt	oore	militarism
phnom	phnom	phnom
phnôm	pómónì	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	phoenix	(proper noun) phoenix
phong	yara	movement
php	php	php
phrygian	fèdè fèdè	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	ṣii	expose
phun	fun sokiri	to spray or spit (v.)
phà	ferry	ferry
phàm	kíkú	superhuman
phàn	kerora	complain
phá	fifọ	destroy
phác	sketch	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	lu	manner (n.)
phái	abala	a party
phán	lẹjọ	judge
pháo	ibọn kan	artillery
pháp	faranse	method
phát	igbohunsafefe	develop
phèn	alum	alum
phèo	phèo	organs
phép	gba laaye	permit
phê	ga	"(term should be ""phê bình"") to criticize (v.)"
phêrô	pétérù	peter
phì	gbooro	non-
phình	bulge	bulge
phí	idiyele	non-
phía	ẹgbẹ	side
phích	igbomikana	a flask (n.)
phím	bọtini	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	yara	office
phó	igbakeji	second
phóng	ifilole	to launch (v.)
phô	ilu	display
phôi	ọmọ inu oyun	embryo
phông	font	font
phùng	puff	phung
phúc	ibukun	good fortune (n.)
phúclộc	ibukun	phuc-loc
phún	àá	"(term should be ""lún phún"") sparse (adj.)"
phúng	aanu	satire
phút	iseju	a minute (n.)
phăn	fret	phan
phăng	phang	knock
phương	phuong	direction
phước	ibukun	luck
phường	ward	ward
phượng	phoenix	phoenix
phạn	sanskrit	sanskrit
phạt	fi iya jiya	punish
phả	afẹsẹgba	pedigree
phải	ni ọtun	must
phải 	ni ọtun	right
phản	ohunka	reaction
phảng	alapin	subtle
phần	apakan	part
phẩm	awọn ọja	food
phẩy	koma si	a comma
phẫn	ibinu	wrathful
phẫu	iṣẹ abẹ	surgery
phận	ayanmọ	part
phật	buddha	buddhist
phẳng	ọkọ ofurufu	flat (adj.)
phế	alokuirin	dismiss
phết	tànkálẹ	to spread or smear (v.)
phỉ	hazel	defame
phỏng	jona	interview
phố	ilu	city
phối	ipoidojuko	coordinate
phốt	fosifeti	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	pa	to swell (v.)
phổ	igbohunsafẹfẹ	popular
phổi	ẹdọfóró	lung
phộng	epa	peanut
phới	leefofo loju omi	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	bọtini nkankan	pho
phục	aṣọ	convincing
phụng	sìn	worship
phụt	puff	minute
phủ	ti bo	government
phức	eka	complex
picchu	picchu	a name
piccolo	ẹlẹyẹ	piccolo
pierre	gun	pierre
pierrot	ọfunfun	pierrot
pietro	pietro	pietro
pike	piiki	pike
pin	batiri naa	battery
pinlus	pinlus	pinlus
pioneer	aṣáájú-ọ̀nà	pioneer
pipes	awọn ọpa oniho	pipes
pisa	pisa	a name
piston	pisitini	piston
pitch	ọfin	pitch
pius	ẹyọ	pius
plaaf	ẹyẹ	plaaf
plan	gbero	plan
plasma	pilasima	plasma
plate	awo	plate
plato	plato	plato
platon	platon	platon
player	player	player
pleiku	ẹbẹ	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	pẹlu	plus
pluto	pluto	pluto
pm	irọlẹ	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	poli	pol
poland	polandii	poland
pollack	eruku	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	agbọnrin	(proper noun) pont, as in pont de normandie
pop	agbejade	pop
portland	aginjù	portland
porto	porto	porto
pot	ikoko	pot
potsdam	potsdam	(proper noun) potsdam
potter	amọkoko	(proper noun) potter, as in harry potter
pour	tú	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pdeslú	pradesh
praha	praha	praha
pratzen	pratu	pratzen
preah	àwahn	(proper noun) preah
premier	ajé	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	ọmọ alade	prince
princeton	itẹwe	princeton
printemps	awọn atẹwe	printemps
printf	atẹjade	printf
prinz	patako itẹwe	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	apejọ	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	onitẹsiwaju	(proper noun) prometheus
protein	amuaradagba	protein
prôtêin	amuaradagba	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	àbààwọ́n	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	ti ko nira	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyrenees	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	sẹẹrẹ	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	perez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	nipasẹ	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	opitika	bladder
quanh	yika	around
quay	yipada	turn
que	rodu	stick
queen	ayaba	queen
queens	awọn ayaba	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	faramọ	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	awọn ofin	"(term should be ""quy ước"") agreement"
quyên	awọn ipilẹṣẹ	"(term should be ""quyên góp"") to donate (v.)"
quyến	ifaya	"(term should be ""gia quyến"") family"
quyền	igbanilaaye	right
quyện	mingle	mix
quyệt	aṣogan	"(should be ""xảo quyệt"") devious"
quá	paapaa	over
quái	hekki	strange or odd
quán	pẹpẹ	hometown
quáng	afoju	blind
quát	kigbe	generalize
quân	quan	army (n.)
quãng	feleto	optical
quét	lati ọlọjẹ	to sweep (v.)
quê	abule	countryside
quên	gbagbe	forget
quý	iyebiye	love
quýt	ọsan oyinbo	tangerine
quăng	sí	to throw (v.)
quĩ	inawo	orbit
quạ	awọn kuroo	crow (con qua)
quạt	àìpẹ	fan
quản	ṣàkóso	"(entire term is ""cai quản"") to manage"
quảng	igbega	guangzhou
quấn	fi ipari si	wrap around
quất	kumquat	whip
quấy	aruwo	harass
quần	awọn sokoto	pants (n.)
quầng	halo	halo
quầy	ohun èlò	stall
quẩy	didara julọ	quay
quẫn	retṣe	necessitous
quận	agbegbe	county (n.)
quật	ìgbín	excavation
quẳng	sí	throw
quặc	eemọ	strange (adj.)
quặng	irin	an ore (n.)
quẻ	hektari	hexagram
quế	eso igi gbigbẹ oloorun	cinnamon (n.)
quết	itanjẹ	knead
quệ	talaka	exhausted
quỉ	eṣu	demon
quỳ	kunle	demon (n.)
quỳnh	quỳnh	quynh
quỵ	ọgbẹ	stroke
quỷ	eṣu	provided
quỹ	inawo	fund
qúy	mẹẹdogun	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	ije	race
rafael	rafaeli	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	ìyè	slowly intake
raleigh	igbidanwo	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	àgbo	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	àgbò	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	sáré	ran
ranch	oko ẹran ọsin	ranch
randy	olufẹ	randy
rang	ọmọ ẹgbẹ	roast
rangers	awọn oluṣọ	rangers
ranh	ààlà	border (ranh gioi)
rao	ad	to announce
rap	rp	rap
raptor	raptor	raptor
rate	oṣuwọn	rate
rau	ewebe	vegetable
ray	eegun	rail (n.)
raya	raya	raya
raymond	epo pupa	raymond
rađa	reda	radar
reagan	reagan	reagan
real	gidi	real
reanimation	atunkọ	reanimation
reap	kárè	reap
reef	odo	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	lesi	lace (n.)
renaissance	atunṣe	renaissance
renault	renault	renault
rené	rené	rene
reo	òrùka	yell
reserve	ifipamọ	reserve
resort	asegbeyin	resort
reverse	yiyipada	reverse
revolution	iyika	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	awọn orin	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	nyara	rising
risk	eewu	risk
ritchie	ritchie	a name
rivaldo	orogun	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	ikọkọ	own
riêu	riêu	crab
riết	ri	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	aṣọ alarabara	roberts
robespierre	olè	robespierre
robin	robin	a name
robinson	olopa	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	ọpá	a stick or switch used for punishment (n.)
roland	roland	roland
romania	romania	romania
rome	romeò	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommeli	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	ewe	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	iyipo	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	olulana	cong noi
rovers	rovers	rovers
rowling	titọ	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	gbooro	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	ara ilu róòmù	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	sáré	tremble
rung	gbọn	to shake or vibrate (v.)
russian	ara ilu russia	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	dabaru	ruud
ruốc	awọn ede	pemmican
ruồi	fo	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	aaye iresi	"(term should be ""ruộng đất"") farmland (n.)"
ruột	iṣan	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	ṣayẹwo	finding
ràng	ko o	clear
rành	alaapọn	exhaustive
rào	odi	barrier
rác	idoti	gabbage-trash
rách	ya	tear
rái	otita	colander
rán	din-din	fried (adj.)
ráp	apejọ	to assemble (v.)
râm	ojiji	shade
râu	irù	beard or mustache (n.)
rã	ibajẹ	out
rãi	cobble	"(term should be ""rộng rãi"") generous"
rãnh	trench	groove
räikkönen	räikkönen	raikkonen
rèm	aṣọ-ikele	curtain
rèn	forging	train
ré	ologbon	re
république	république	republique
rét	tutu	cold
rê	fa	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	iyara	moan
rêu	mossi	moss
rì	pariwo	lush (adj.)
rìa	eti	edge
rình	ṣe amí	to watch for
rìu	ake	ax
rít	rẹ	to wail (v.)
rò	jijo	leak
ròng	àwọn	net
rót	pouring	to pour (v.)
rô	ti tan	diamond
rôbôt	robot	robot
rôma	romeò	roman
rông	ṣofo	rising (adj.)
rõ	ko o	clear
rùa	ẹyẹ	turtle
rùng	ti irako	horror
rút	yọkuro	withdraw
răn	pipaṣẹ	commandment
răng	ehin	roasted
rōmaji	rōmaji	romaji
rũ	ẹlẹtan	charm
rơ	ọkọ ayọkẹlẹ	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	ṣubu	fall
rơm	koriko	straw
rươi	ìwọ	sand-worm
rước	ilana	welcome
rưới	kí wọn	to sprinkle (v.)
rưỡi	idaji	half
rượt	lepa	pursue
rượu	oti	wine
rạ	thatch	straw
rạc	oloye	discrete
rạch	odo odo	canal
rạng	owurọ	break
rạp	imiran	theater
rải	tuka	spread
rảnh	ọfẹ	to be free (adj.)
rất	pupọ	very
rầm	jamb	aggressive
rầu	ibanujẹ	sorrow
rẫy	ogbin	full
rậm	bushy	jungle
rập	arabawa	"(term should be ""Ả rập"") arab"
rắc	kí wọn	trouble
rắn	ejo	snake
rằm	oṣupa kikun	a full moon (n.)
rằng	iyẹn	roasted
rặng	àpáta	a row
rẻ	olowo poku	cheap
rẽ	yiyi	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	jẹro	pealed
rể	oko omo mi obirin	in-law
rễ	wá	root (n.)
rệp	kokoro	bug
rệt	oyè	clearly
rệu	aye	decay
rỉ	ipata	leak
rịavũng	rìvà	ria - bay
rỏ	ko o	clearly
rối	tangẹ	disorder
rốm	kurukuru	rom
rồ	irikuri	"(term should be ""điên rồ"") foolish (adj.)"
rồi	tẹlẹ	and
rồng	dragoni	dragon
rổ	apeere	basket
rỗi	ọfẹ	savation
rỗng	ṣofo	hollow
rộ	igbamu	profuse (adj.)
rộn	nṣiṣe lọwọ	busy
rộng	gbooro	wide
rớt	ṣubu	drop
rời	osi	leave
rỡ	o wuyi	brilliant
rợ	alaigbede	a savage (n.)
rợn	ti irako	scary
rụng	ta silẹ	to drop
rủ	fiwepe	ask
rủi	mishap	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	igbo	forest
rửa	wẹ	to wash (v.)
rữa	wẹ	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	ti ko tọ	wrong
saigon	saigoni	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	aráyé	samphan
samsung	samsung	samsung
samuel	samueli	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	sí	to
sango	sango	sango, a language spoken in africa
sangraal	oriire	sangraal
sanh	ibi	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	irawo	how
sap	sap	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarcoma	sarcoma
sardinia	sardinia	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	s&#39;oru	saturday
sau	lẹhin	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	sikandina	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	oloye	schneider, a last name
schumacher	oloye	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	ilu scotland	scotland
scots	scots	(proper noun) scots
scott	scott	scott
scream	pariwo	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	wa	search
seattle	seattle	(proper noun) seattle, washington
secret	aṣiri	bi mat
sedna	sedna	(proper noun) sedna
see	wo	see
sejm	sejm	(proper noun) sejm
selena	seeli	selena
semit	ipin	(proper noun) semit
sen	lotus	lotus
sense	ori	sense
september	oṣu kẹsan	(proper noun) the month of september
serbia	serbia	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	jara	series
service	iṣẹ	service
sesshomaru	sesshomaru	a name
seth	ṣeto	seth
seto	seto	seto
sextus	sextus	sextus
sexy	onibaje	sexy
seymour	seymour	seymour
seyssinquart	ile ijagba	(proper noun) seyss-inquart
shah	shah	shah
shaman	shaman	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	didan	sharpay, as in sharpay evans
shawn	faya	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	shiite	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	shoal	(proper noun) shoal
shonen	shonen	shonen
shop	ṣọọbu	shop
short	kukuru	short
showcase	iṣafihan	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	alarinrin	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	silesia	silesia
silic	ohun alumọni	silicon
silicat	fẹẹrẹ	silicate
silva	siliki	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simoni	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	kọrin	sing
sinh	bi	genital
sip	sip	sip
sirô	omi ṣuga oyinbo	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	dara julọ	super
siết	fẹẹrẹ	to cut off (v.)
sky	ọrun	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	smith	smith
smithsonian	smithsonian	smithsonian
so	nitorinaa	compare
société	lawujọ	societe
socrates	socrates	socrates
sohee	sohee	a korean name
soho	iyen	soho
soi	bẹẹ	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	orin	however (adv.)
sony	ọmọkùnrin	sony
soo	soo	soon
sophie	arabinrin	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	bẹẹ	sos
soul	ọkàn	soul
soát	iṣakoso	control
soạn	olupilẹṣẹ	compose
spears	awọn ọkọ	spears
spellman	akọbẹrẹ	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	eré ìdárayá	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	s	ss
st	st.	st.
stalingrad	stalingrad	stalingrad
stamford	ọmọ ogun	this is a name
stand	duro	stand
stanford	stanford	stanford, as in stanford university
stanley	ìlù	stanley
starr	irawo	a name
startin	ibẹrẹ	bat dau
status	ipo	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	iriju	steiner
stelzer	alarinrin	stelzer
stennis	stennis	stennis
stephen	alairi	stephen
stephenie	igbidanwo	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	amunisin	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	olukọni	stimson, as in henry lewis stimson, former secretary of war
stockholm	ọja iṣura	a name
stones	okuta	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	awọn okun	strauss
street	opopona	street
struct	igbekale	struct
stt	stt	order number
stuart	aṣaju	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	imi-ọjọ	sulfide
sulu	sulu	sulu
sum	aropọ	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	igba ooru	summer
summerslam	summerslam	(proper noun) summerslam
sun	oorun	sun
sunday	sunday	(proper noun) sunday
sung	ọpọtọ	supplement
sunni	sunni	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	dara julọ	super
suriname	abẹ	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	ikuna	decrease
suê	nitorinaa	lush
suôn	laisiyonu	smooth
suất	ise sise	number
suối	alapapo	stream
suốt	jakejado	through/all over
suồng	dan	overfamiliar
svd	svd	svd
swan	siwani	swan
swaziland	swaziland	swaziland
sweet	adun	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	ìsiṣẹpọ	sync
syria	aranmo	syria
sài	bẹẹni	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	ilẹ	san
sàng	dojuti	ready
sành	terracotta	"(term should be ""sành sứ"") pottery"
sào	òpó	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sipunculus	road
sách	iwe	list
sái	ti ko tọ	sai
sám	ronupiwada	penitent
sáng	didan	light
sánh	afiwera	compare
sáo	ferese	flute
sáp	epo-eti	merger
sát	sunmọ	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	mefa	six
sâm	ginseng	sam
sân	àgbà	"(should be ""sân khấu"") a stage"
sâu	jinjin	deep
sã	ãù	flippant
sãi	ti ko tọ	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	ina	clay
sê	se	sepon
sêri	jara	series
sêu	mossi	seu tet
sính	ọmọ ile-iwe	betrothal gifts
síp	kírúsì	cyprus
sít	fẹẹrẹ	close
sò	kilamu	oyster
sòng	kasino	casino
sóc	squirrel	"(should be ""sóc trăng"") a vietnamese town"
sói	ìkookò	wolf
sóng	igbi	wave
sót	iparun	to miss (v.)
sô	nọmba	than
sôi	farabale	vibrant
sông	odo	river
sùng	ìfaradà	cult
sú	tiger dudu	a type of mangrove (n.)
súc	ẹran	animal
sún	rì	sun
súng	awon ibon	gun
súp	bimo	source
sút	gbon	reduce
săn	ọdẹ	to hunt
sơn	kun	a mountain
sư	ọjọgbọn	lion
sưa	wara	filled with
sưng	wiwu	swell
sưu	awọn akopọ	collection
sương	ìri	dew (n.)
sướng	dun	high
sườn	ẹgbẹ	slope
sưởi	alapapo	heat
sạch	mọ	clean
sạn	hotẹẹli	hotel
sảm	didan	sam
sản	gbóògì	reproductive
sảng	alabapade	sonorous
sảnh	gbongan	a hall, as in the rock and roll hall of fame
sấm	ariwo	ginseng
sấu	ooni	crocodile
sấy	gbigbe	dry
sầm	slams	crowded
sầu	melancholy	sad
sẩn	papules	coarseness
sẫm	dudu	dark
sập	subu	destroy
sắm	ohun tio wa	shopping
sắn	ẹyẹ	cassava (n.)
sắp	fẹẹrẹ	soon
sắt	iron	"(term should be ""sắt son"") constant (adj.)"
sẵn	wa	available
sẹo	aleebu	scar
sẻ	yoo	share
sẽ	yoo	will
sọ	timole	brain
sọc	ìna	stripe
sỏ	ibusọ	oligarchy
sỏi	okuta	gravel
số	nọmba	"(term should be ""số lượng"") quantity (n.)"
sốc	derubami	shock
sống	ngbe	live
sốt	ibà	fever
sồi	igi oaku	oak
sổ	iwe	window
sớ	yoo	document
sớm	laipẹ	som
sờ	fọwọkan	touch
sỡ	padanu	colorful
sợ	bẹru	afraid
sợi	yarns	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	kerekere	cartilage
sụp	subu	collapse
sụt	slump	drop
sủa	epo igi	bright
sủi	alailowaya	sparkling
sủng	iwunilori	favored
sứ	seramiki	embassy
sứa	jellyfish	jellyfish (n.)
sức	okun	strength
sứt	chiki	cleft
sừng	iwo	sừng sững= huge
sử	itan	"(term should be ""sử dụng"") to use (v.)"
sửa	tunṣe	repair
sửng	derubami	startling
sửu	omi	cow
sữa	wara	milk
sự	awọn	situation
ta	á	us or our
tae	èè	(proper noun) tae
tag	samisi	tag
tai	eti	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tajikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	àm	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	ṣọfọ	funeral
tanh	ẹja	deserted
tankōbon	ojò	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	emi	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	iṣẹ-ṣiṣe	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	takisi	taxi
tay	ọwọ	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	imọ ẹrọ	technical
ted	ted	(proper noun) ted
teddy	ohun kikọ	teddy, as in teddy lupin, a character in the harry potter series
telecom	tẹlifoonu	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	ontẹ	stamp
temple	tẹmpili	temple
