$	ps	american dollar symbol
ஆடம்பரமான	lujoso	showy
ஆடல்	campamentos	dances
ஆடி	audi	tamil month aadi
ஆடும்	balanceo	dance
ஆடை	ropa	cloth
ஆடைகள்	ropa	dresses
ஆட்சி	régimen	ruling
ஆட்சிக்	gobernante	ruling
ஆட்சிக்காலத்தில்	en el reinado	ruling period
ஆட்சிக்காலம்	reinado	rein
ஆட்சிக்கு	régimen	rule
ஆட்சிப்	provincias	rulling
ஆட்சியாளர்களின்	gobernantes de la	rulers
ஆட்சியாளர்கள்	gobernantes	rulers
ஆட்சியின்	regla	under the ruling
ஆட்சியில்	sucesivo	governance
ஆட்சியை	régimen	governance
ஆட்சியைக்	poder	ruling government
ஆட்சியைப்	poder	throne
ஆட்டம்	sacudida	dance
ஆட்ராசைன்	atracain	atrocine
ஆணின்	al&#39;s	male
ஆணும்	hombre	men
ஆணுறை	condón	condoms
ஆணை	orden	order
ஆணையம்	comisión	commission
ஆண்	masculino	male
ஆண்களின்	de los hombres	males
ஆண்களுக்கு	para los hombres	for male
ஆண்கள்	de los hombres	gents
ஆண்குறி	pene	male penis
ஆண்குறியின்	pene	male penis
ஆண்ட	gobernante	ruled by
ஆண்டவன்	señor	god
ஆண்டவர்	el señor	god
ஆண்டின்	año	in that year
ஆண்டிற்கு	año	per year
ஆண்டில்	en el año	in
ஆண்டு	año	years
ஆண்டுகளாக	durante años,	for many years
ஆண்டுகளில்	en los años	years
ஆண்டுகளுக்கு	años	yearly
ஆண்டுகளுக்குப்	años	for several years
ஆண்டுகள்	años	years
ஆண்டுக்	anual	year
ஆண்டுக்கு	año	years
ஆண்டுதோறும்	anualmente	yearly
ஆண்டும்	año	yearly
ஆண்பால்	masculino	male
ஆதரவளித்தார்	soportado	help
ஆதரவாக	apoyo	supportive
ஆதரவு	apoyo	support
ஆதரவுடன்	con apoyo	with support
ஆதரவை	apoyo	support
ஆதலால்	por lo tanto	since
ஆதாம்	adán	adm and eve
ஆதார	recurso	resource
ஆதாரங்கள்	prueba de	proof
ஆதாரமாக	fuente	by evidence
ஆதாரமாகக்	fuente	evidence
ஆதாரமும்	evidencia	evidance
ஆதாரம்	fuente	proof
ஆதி	gen.	beginning
ஆதிக்க	el dominante	domination
ஆதிக்கத்தை	dominio	indian national congress strongly opposed the british colonial rule to bring independence. despite this event it showed the british sea dominance. arctic cold winds diminishes the atlantic sea power.
ஆதிக்கம்	dominio	leading
ஆதித்த	aditya	aaditya
ஆதித்தன்	atittan	athithan
ஆத்மா	alma	soul
ஆந்திர	ap	andira
ஆந்திரப்	andhra	andhra
ஆந்திரா	ap	andhra pradesh state in india
ஆன	enmarcado	made
ஆனது	los	a
ஆனந்த	ananda	happy
ஆனந்த்	anand	anand
ஆனார்	convirtió	become
ஆனாலும்	sin embargo,	though
ஆன்	sin embargo,	ann
ஆன்மா	alma	mind or conscious
ஆன்மீக	espiritual	spiritual
ஆன்லைன்	en línea	on line
ஆபத்தான	peligroso	dangerous
ஆபத்து	peligro	risk
ஆபிரகாம்	abrahán	abraham
ஆபிரிக்க	africano	africa
ஆபிரிக்கா	áfrica	africa
ஆப்	app	of
ஆப்கானித்தான்	afganistán	afganistan
ஆப்கானிஸ்தான்	afganistán	afghanistan
ஆப்பிரிக்க	africano	country
ஆப்பிரிக்கா	áfrica	africans
ஆப்பிரிக்காவின்	de áfrica	africa's
ஆப்பிரிக்காவில்	en áfrica	in africa
ஆப்பிள்	manzana	apple a fruit
ஆப்பிள்கள்	las manzanas	apples
ஆம்	si	yes
ஆம்ஸ்டர்டாம்	amsterdam	amsterdam
ஆய	coordenadas	core
ஆயர்	obispo	bishop
ஆயினும்	sin embargo	although
ஆயிரக்கணக்கான	miles	thousands of
ஆயிரம்	mil	thousand
ஆயிற்று	sucedió	happened
ஆயுத	brazos	equipment
ஆயுதங்களை	brazos	weapon
ஆயுதங்கள்	armas	weapons
ஆயுதம்	arma	weapon
ஆயுள்	vida	life
ஆய்வாளர்	analista	scientist
ஆய்வாளர்கள்	analistas	research scholars
ஆய்வின்	encuesta	experiment
ஆய்வில்	en el estudio	under research
ஆய்வு	revisión	research
ஆய்வுகளின்	estudios de la	from the research
ஆய்வுகளில்	en estudios	researches
ஆய்வுகளும்	tesis	experiments
ஆய்வுகளை	sondas	reserch
ஆய்வுகள்	encuestas	experiment
ஆய்வுக்	revisión	relating to research
ஆய்வுக்கு	diagnóstico	for research
ஆரஞ்சு	naranja	orange
ஆரம்ப	temprano	starting
ஆரம்பத்தில்	al principio	in the beginning
ஆரம்பம்	el principio	beginning
ஆரம்பிக்கப்பட்ட	iniciado	started
ஆரம்பிக்கும்	empieza	beginning
ஆரம்பித்த	empezó	start
ஆரம்பித்தது	empezado	started
ஆரம்பித்தார்	empezado	started
ஆரம்பித்து	empezado	start
ஆராய	explorar	to examine
ஆராயும்	explorar	research
ஆராய்ச்சி	investigación	research
ஆராய்ச்சிகள்	investigaciones	researches
ஆராய்ச்சிக்	investigación	research
ஆராய்ச்சியாளர்	investigador	researcher
ஆராய்ச்சியாளர்கள்	investigadores	researchers
ஆராய்ச்சியின்	investigación de	reserch
ஆராய்ச்சியில்	investigación en	research
ஆராய்ந்த	evaluar	researched
ஆரிய	ario	one of the community of india
ஆரியர்	ario	arya
ஆரையம்	radián	diameter
ஆரோக்கிய	bienestar	healthy
ஆரோக்கியமான	saludable	healthy
ஆரோக்கியம்	salud	healthy
ஆர்	r	r
ஆர்கானிக்	orgánico	organic
ஆர்க்கிமிடீஸ்	arquímedes	archimedes
ஆர்க்குட்	orkut	orkut
ஆர்க்டிக்	ártico	arctic
ஆர்தர்	arturo	arthur
ஆர்வத்தை	curiosidad	irterest
