$ tỉ	milyard dollar	$ billion
philippines	filippinlilər	(proper noun) philippines
phillip	philip	(proper noun) phillip
phillips	phillips	philips
philosophiae	fəlsəfə	(proper noun) philosophiae, as in the work philosophiae naturalis principia mathematica
phim	film	phim
phin	süzgəc	coffee filter
phineas	phineas	(proper noun) phineas
phiên	iclas	trial
phiêu	macəra	adventurous
phiếm	qeybət	gossip
phiến	bıçaq	"(should be ""nha phiến"") opium"
phiện	tiryək	opium
phiệt	pəhriz	militarism
phnom	phnom	phnom
phnôm	fomom	phnôm pênh= phnom penh(cambodia's capital)
pho	pho	part of a person's name, rat-pho, or ratford
phoenix	feniks	(proper noun) phoenix
phong	otaq	movement
php	php	php
phrygian	frigian	phrygian
phu	phu	"(term should be ""phu nhân"") wife (n.)"
phui	açılmamış	expose
phun	sprey	to spray or spit (v.)
phà	bərə	ferry
phàm	ölümcül	superhuman
phàn	şikayət etmək	complain
phá	qırılma	destroy
phác	eskiz	"(term should be ""phác thảo"") outline or sketch (n.)"
phách	döymək	manner (n.)
phái	təriqət	a party
phán	hakim	judge
pháo	top	artillery
pháp	fransa	method
phát	yayımlandı	develop
phèn	alum	alum
phèo	phèo	organs
phép	icazə verilir	permit
phê	qəhvə	"(term should be ""phê bình"") to criticize (v.)"
phêrô	peter	peter
phì	hipertrofiya	non-
phình	qabarıqlıq	bulge
phí	şarj edin	non-
phía	tərəfi	side
phích	termos	a flask (n.)
phím	açar	key
phò	phò	"(term should be ""phò mã"") a prince consort"
phòng	otaq	office
phó	deputat	second
phóng	müxbir	to launch (v.)
phô	şəhər	display
phôi	külçə	embryo
phông	şrift	font
phùng	şişmək	phung
phúc	mübarək	good fortune (n.)
phúclộc	mübarək	phuc-loc
phún	qabar	"(term should be ""lún phún"") sparse (adj.)"
phúng	təəssüf	satire
phút	dəqiqə	a minute (n.)
phăn	qaşqabaq	phan
phăng	fang	knock
phương	phuong	direction
phước	xeyir	luck
phường	palata	ward
phượng	feniks	phoenix
phạn	sanskrit	sanskrit
phạt	cəza	punish
phả	damazlıq	pedigree
phải	bəli	must
phải 	bəli	right
phản	sayğac	reaction
phảng	düz	subtle
phần	bölmə	part
phẩm	məhsullar	food
phẩy	vergül	a comma
phẫn	hirsli	wrathful
phẫu	əməliyyat	surgery
phận	taleyi	part
phật	buddha	buddhist
phẳng	düz	flat (adj.)
phế	qırıntıları	dismiss
phết	yaymaq	to spread or smear (v.)
phỉ	fındıq	defame
phỏng	yandırmaq	interview
phố	küçə	city
phối	əlaqələndirmək	coordinate
phốt	fosfatlar	"(term should be ""phốt-phát"") phosphate (n.)"
phồng	şişir	to swell (v.)
phổ	spektri	popular
phổi	ciyərlər	lung
phộng	fıstıq	peanut
phới	üzmək	"(term should be ""phơi phới"") mildly exciting (adj.)"
phở	pho	pho
phục	geyim	convincing
phụng	xidmət etmək	worship
phụt	şişmək	minute
phủ	örtülmüşdür	government
phức	kompleks	complex
picchu	picchu	a name
piccolo	piccolo	piccolo
pierre	pierre	pierre
pierrot	pierrot	pierrot
pietro	pietro	pietro
pike	pike	pike
pin	pin	battery
pinlus	pinlus	pinlus
pioneer	pioner	pioneer
pipes	borular	pipes
pisa	pisa	a name
piston	piston	piston
pitch	meydança	pitch
pius	pius	pius
plaaf	plaaf	plaaf
plan	plan	plan
plasma	plazma	plasma
plate	boşqab	plate
plato	plato	plato
platon	platon	platon
player	pleyer	player
pleiku	pleiku	(proper noun) pleiku
pleistocen	pleistocen	pleistocen
plus	üstəgəl	plus
pluto	pluto	pluto
pm	axşam	pm
pmu	pmu	pmu
po	po	po
pokémon	pokemon	pokemon
pol	pol	pol
poland	polşalı	poland
pollack	pollack	a name
pollux	pollux	a name
polo	polo	(proper noun) polo, as in marco polo
polynésie	polinezi	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portlandiya	portland
porto	porto	porto
pot	qazan	pot
potsdam	potsdam	(proper noun) potsdam
potter	dulusçu	(proper noun) potter, as in harry potter
pour	tökmək	not vietnamese
powell	toz	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	preah	(proper noun) preah
premier	premyer	premier
preminger	əvvəlcədən xəbər verən	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	şahzadə	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometey	(proper noun) prometheus
protein	zülal	protein
prôtêin	zülal	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemiya	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	pulpa	pulp
punjab	pəncab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pireneylər	pyrenees
pytago	pytaqo	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	sancmaq	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	üzərində	transmit
quad	dördüncü	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optik	bladder
quanh	ətrafında	around
quay	çevrildi	turn
que	çubuqlar	stick
queen	kraliça	queen
queens	kraliçalar	(proper noun) queens, as in the new york borough
queensland	kraliça	queensland
quen	vərdiş	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	quran	quran
quy	qaydaları	"(term should be ""quy ước"") agreement"
quyên	əsasları	"(term should be ""quyên góp"") to donate (v.)"
quyến	cazibədarlıq	"(term should be ""gia quyến"") family"
quyền	sağ	right
quyện	qarışmaq	mix
quyệt	məkrli	"(should be ""xảo quyệt"") devious"
quá	də	over
quái	heck	strange or odd
quán	bar	hometown
quáng	kor	blind
quát	qışqırdı	generalize
quân	quan	army (n.)
quãng	təqribən	optical
quét	tarama	to sweep (v.)
quê	kənd	countryside
quên	unutdu	forget
quý	dörddəbir	love
quýt	naringi	tangerine
quăng	silkələmək	to throw (v.)
quĩ	fond	orbit
quạ	qarğalar	crow (con qua)
quạt	fanat	fan
quản	idarəetmə	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	sarmaq	wrap around
quất	kumquat	whip
quấy	təcavüz etmək	harass
quần	şalvar	pants (n.)
quầng	halo	halo
quầy	sayğaclar	stall
quẩy	sallanan	quay
quẫn	bədbəxt	necessitous
quận	mahal	county (n.)
quật	qazıntı	excavation
quẳng	silkələmək	throw
quặc	qəribə	strange (adj.)
quặng	filiz	an ore (n.)
quẻ	hexagram	hexagram
quế	darçın	cinnamon (n.)
quết	köpük	knead
quệ	kasıb	exhausted
quỉ	şeytan	demon
quỳ	diz çökmək	demon (n.)
quỳnh	quỳnh	quynh
quỵ	vuruş	stroke
quỷ	şeytan	provided
quỹ	fond	fund
qúy	dörddəbir	quy
r	r	r
rabindranath	rabindranat	rabindranath
race	irqi	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	raf	(proper noun) ralph, as in ralph waldo emerson
ram	qoç	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramazan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	qaçdı	ran
ranch	ranch	ranch
randy	randy	randy
rang	çaldı	roast
rangers	mühafizəçilər	rangers
ranh	sərhədi	border (ranh gioi)
rao	elan	to announce
rap	rap	rap
raptor	zorlayan	raptor
rate	dərəcəsi	rate
rau	tərəvəzlər	vegetable
ray	şüa	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	real	real
reanimation	reanimasiya	reanimation
reap	biçmək	reap
reef	qaya	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	krujeva	lace (n.)
renaissance	intibah	renaissance
renault	renault	renault
rené	rené	rene
reo	çaldı	yell
reserve	ehtiyat	reserve
resort	kurort	resort
reverse	tərs	reverse
revolution	inqilab	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rika	rica
ricardo	rikardo	ricardo
ricci	ricci	ricci
richard	zəngin	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	zəngin	(proper noun) richie, as in singer lionel richie
rico	riko	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	yaxalamaq	rin
rising	yüksələn	rising
risk	risk	risk
ritchie	ritqi	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	sahibi	own
riêu	riêu	crab
riết	riet	urgently
riềng	qalangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rokfeller	rockefeller, as in john d. rockefeller
roddick	çubuq	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	qamçı	a stick or switch used for punishment (n.)
roland	roland	roland
romania	romaniya	romania
rome	rom	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	dəniz yosunu	seaweed (n.)
rosen	qızılgül	rosen, as in nathan rosen
roth	küp	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rovers	rovers
rowling	rinq	rowling
roy	qonaqlıq	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rumın	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	qaçmaq	tremble
rung	titrəmə	to shake or vibrate (v.)
russian	rus	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	rut	(proper noun) ruth
rutherford	rutford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	karides	pemmican
ruồi	uçur	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	sahə	"(term should be ""ruộng đất"") farmland (n.)"
ruột	bağırsaq	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	yoxlamaq	finding
ràng	aydın	clear
rành	axıcı	exhaustive
rào	hasar	barrier
rác	zibil	gabbage-trash
rách	cırılmış	tear
rái	otter	colander
rán	qızartmaq	fried (adj.)
ráp	toplaşmaq	to assemble (v.)
râm	kölgəli	shade
râu	saqqal	beard or mustache (n.)
rã	çürümə	out
rãi	geniş yayılmışdır	"(term should be ""rộng rãi"") generous"
rãnh	yivli	groove
räikkönen	räikkönen	raikkonen
rèm	pərdə	curtain
rèn	saxta	train
ré	qışqırmaq	re
république	république	republique
rét	soyuq	cold
rê	sürükləmək	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	qışqırmaq	moan
rêu	yosun	moss
rì	pıçıldayır	lush (adj.)
rìa	kənar	edge
rình	casus	to watch for
rìu	balta	ax
rít	hıçqırıq	to wail (v.)
rò	sızma	leak
ròng	xalis	net
rót	tökmək	to pour (v.)
rô	dama	diamond
rôbôt	robot	robot
rôma	rom	roman
rông	boşluq	rising (adj.)
rõ	aydın	clear
rùa	tısbağa	turtle
rùng	sürünən	horror
rút	çəkilmək	withdraw
răn	əmr	commandment
răng	dişlər	roasted
rōmaji	rōmaji	romaji
rũ	cazibədar	charm
rơ	maşın	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	düşmək	fall
rơm	saman	straw
rươi	sən	sand-worm
rước	gediş	welcome
rưới	səpmək	to sprinkle (v.)
rưỡi	yarı	half
rượt	təqib etmək	pursue
rượu	alkoqol	wine
rạ	qarmaq	straw
rạc	diskret	discrete
rạch	kəsik	canal
rạng	şəfəq	break
rạp	teatrlar	theater
rải	dağılmış	spread
rảnh	sərbəst	to be free (adj.)
rất	çox	very
rầm	cəm	aggressive
rầu	kədərli	sorrow
rẫy	dağlıq	full
rậm	köklü	jungle
rập	ərəb	"(term should be ""Ả rập"") arab"
rắc	səpmək	trouble
rắn	ilanlar	snake
rằm	tam ay	a full moon (n.)
rằng	ki	roasted
rặng	qaya	a row
rẻ	ucuz	cheap
rẽ	dönmək	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	nalə	pealed
rể	kürəkən	in-law
rễ	kökləri	root (n.)
rệp	aphids	bug
rệt	tələffüz edir	clearly
rệu	hə	decay
rỉ	pas	leak
rịavũng	rìvà	ria - bay
rỏ	aydın	clearly
rối	dolaşıq	disorder
rốm	xallı	rom
rồ	dəli	"(term should be ""điên rồ"") foolish (adj.)"
rồi	onsuz da	and
rồng	əjdaha	dragon
rổ	səbət	basket
rỗi	sərbəst	savation
rỗng	boş	hollow
rộ	səs-küy salmaq	profuse (adj.)
rộn	məşğuldur	busy
rộng	geniş	wide
rớt	uğursuz	drop
rời	qalıb	leave
rỡ	parlaq	brilliant
rợ	barbarlar	a savage (n.)
rợn	sürünən	scary
rụng	düşmək	to drop
rủ	düşmə	ask
rủi	mişap	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	meşə	forest
rửa	yumaq	to wash (v.)
rữa	yumaq	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	səddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	səhərə	sahara
sai	səhv	wrong
saigon	saiqon	saigon
saintdenis	müqəddəslər	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samuray	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	üçün	to
sango	sanqo	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	doğuş	bear
sanktpeterburg	sanktpeterburq	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	ulduzlar	how
sap	sap	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkoma	sarcoma
sardinia	sardiniya	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	şənbə	saturday
sau	sonradan	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandinaviya	scandinavia
schafer	şəfalı	schafer, as in john c. schafer
schengen	şengen	schengen
schiller	şiller	schiller
schlesinger	schlesinger	schlesinger
schneider	şnayder	schneider, a last name
schumacher	şumaxer	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	şuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	şotland	scotland
scots	skots	(proper noun) scots
scott	skot	scott
scream	fəryad	scream
scud	qarmaqarışıq	scud
scuderia	skuderiya	scuderia
sdram	sdram	sdram
search	axtarış	search
seattle	seattle	(proper noun) seattle, washington
secret	gizli	bi mat
sedna	sedna	(proper noun) sedna
see	bax	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	mənada	sense
september	sentyabr	(proper noun) the month of september
serbia	serbiya	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	seriyası	series
service	xidmət	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	seksual	sexy
seymour	seymur	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	şah	shah
shaman	şaman	the shaman religion
shan	şan	shan
shane	şan	(proper noun) shane, an english first name
shankly	şaqqıldayır	(proper noun) shankly, as in bill shankly
shaolin	şaolin	shaolin, as in the shaolin temples
sharpay	kəskin	sharpay, as in sharpay evans
shawn	qışqırmaq	shawn
sherlock	sherlock	a name
shi	şi	shi
shia	şiə	shia
shiite	şiə	shiite
shikoku	şikoku	shikoku, a japanese island (n.)
shinichi	şiniçi	shinichi
shinoda	şinoda	shinoda, as in mike shinoda
shirakami	şirakami	(proper noun) shirakami
shirakawago	şirakawaqo	(proper noun) shirakawa-go
shiva	şiva	shiva
shoal	şoal	(proper noun) shoal
shonen	şonen	shonen
shop	dükan	shop
short	qısa	short
showcase	vitrin	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sicily	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	siyerra	(proper noun) sierra
sikh	sıx	sikh
sikorsky	sikorsky	a name
silas	silalar	silas
silesia	silesiya	silesia
silic	silikon	silicon
silicat	silikat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinay	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	oxumaq	sing
sinh	doğulub	genital
sip	yudumlamaq	sip
sirô	şərbət	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	bərkidin	to cut off (v.)
sky	göy	sky
skype	skype	skype
skyteam	səma	skyteam
sl	sl	sl
slav	slav	(proper noun) slav
slavơ	slav	slavic
slytherin	sliterin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	dəmirçi	smith
smithsonian	smithsonian	smithsonian
so	belə	compare
société	ictiété	societe
socrates	sosratlar	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	günəşlər	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	mahnı	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sofi	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	ruh	soul
soát	nəzarət	control
soạn	bəstələmək	compose
spears	nizə	spears
spellman	sehrbaz	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	idman	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalinqrad	stalingrad
stamford	stamford	this is a name
stand	durmaq	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	startin	bat dau
status	status	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	stiermark	steiermark
steiner	sükan arxası	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	ögey	stephen
stephenie	ögey ana	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterlinq	a name
steve	stiv	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	səhmdar	a name
stones	daşlar	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	boğaz	strauss
street	küçə	street
struct	quruluş	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	stıx	(proper noun) styx, as in the river styx
stéfano	stefano	stefano
su	su	condom
subakhi	subaxi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfid	sulfide
sulu	sulu	sulu
sum	cəmi	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	yay	summer
summerslam	yaz	(proper noun) summerslam
sun	günəş	sun
sunday	bazar günü	(proper noun) sunday
sung	əncir	supplement
sunni	sünni	sunni
sunsilk	günəş suları	sunsilk, a hair products company
super	super	super
suriname	surinam	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	xizək	suv-p
suy	dəyərsizləşmiş	decrease
suê	belə	lush
suôn	rəvan	smooth
suất	məhsuldarlıq	number
suối	axın	stream
suốt	boyunca	through/all over
suồng	hamar	overfamiliar
svd	svd	svd
swan	qaranquş	swan
swaziland	svaziland	swaziland
sweet	şirin	sweet
sy	sy	sy
sydney	sidney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sinxronizasiya	sync
syria	siriya	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	mərtəbə	san
sàng	ələk	ready
sành	qab-qacaq	"(term should be ""sành sứ"") pottery"
sào	dirək	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sə	road
sách	kitablar	list
sái	səhv	sai
sám	tövbə	penitent
sáng	am	light
sánh	müqayisəli	compare
sáo	fleyta	flute
sáp	mum	merger
sát	bağlamaq	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	altı	six
sâm	jenşen	sam
sân	həyət	"(should be ""sân khấu"") a stage"
sâu	dərin	deep
sã	sã	flippant
sãi	səhv	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	ildırım	clay
sê	se	sepon
sêri	seriyası	series
sêu	yosun	seu tet
sính	tələbə	betrothal gifts
síp	kipr	cyprus
sít	sıx	close
sò	istiridyə	oyster
sòng	kazino	casino
sóc	dələ	"(should be ""sóc trăng"") a vietnamese town"
sói	qurd	wolf
sóng	dalğa	wave
sót	nöqsan	to miss (v.)
sô	nömrə	than
sôi	qaynar	vibrant
sông	çay	river
sùng	sədaqət	cult
sú	qara pələng	a type of mangrove (n.)
súc	mal-qara	animal
sún	batmaq	sun
súng	silah	gun
súp	şorba	source
sút	vurdu	reduce
săn	ovlamaq	to hunt
sơn	boyalı	a mountain
sư	professor	lion
sưa	süd	filled with
sưng	şişlik	swell
sưu	koleksiyonlar	collection
sương	şeh	dew (n.)
sướng	xoşbəxt	high
sườn	doğrayır	slope
sưởi	istilik	heat
sạch	təmiz	clean
sạn	otel	hotel
sảm	parlaq	sam
sản	istehsal	reproductive
sảng	təzə	sonorous
sảnh	zal	a hall, as in the rock and roll hall of fame
sấm	gurultu	ginseng
sấu	timsah	crocodile
sấy	qurutma	dry
sầm	qışqırır	crowded
sầu	qarışıqlıq	sad
sẩn	papüllər	coarseness
sẫm	qaranlıq	dark
sập	dağılmaq	destroy
sắm	alış-veriş	shopping
sắn	kassava	cassava (n.)
sắp	haqqında	soon
sắt	dəmir	"(term should be ""sắt son"") constant (adj.)"
sẵn	mövcuddur	available
sẹo	yara	scar
sẻ	edəcək	share
sẽ	edəcək	will
sọ	kəllə	brain
sọc	zolaqlar	stripe
sỏ	sassi	oligarchy
sỏi	çınqıl	gravel
số	nömrə	"(term should be ""số lượng"") quantity (n.)"
sốc	şoka düşdü	shock
sống	yaşamaq	live
sốt	qızdırma	fever
sồi	palıd	oak
sổ	kitab	window
sớ	edəcək	document
sớm	erkən	som
sờ	toxunan	touch
sỡ	əldən	colorful
sợ	qorxmaq	afraid
sợi	iplik	fibers
sục	cakuzi	"(term should be ""sôi sục"") to boil"
sụn	qığırdaq	cartilage
sụp	dağılmaq	collapse
sụt	yıxılmaq	drop
sủa	qabıqlı	bright
sủi	həddən artıq	sparkling
sủng	xarizmatik	favored
sứ	çini	embassy
sứa	meduza	jellyfish (n.)
sức	gücü	strength
sứt	yıxılıb	cleft
sừng	buynuz	sừng sững= huge
sử	tarixi	"(term should be ""sử dụng"") to use (v.)"
sửa	düzəltmək	repair
sửng	şoka düşdü	startling
sửu	ox	cow
sữa	süd	milk
sự	the	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	etiket	tag
tai	qulaq	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	tayvan	taiwan
taj	tac	taj, as in taj mahal
tajikistan	tacikistan	tajikistan
tajima	tacima	tajima
tajiri	taciri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoksifen	tamoxifen
tanaka	tanaka	tanaka
tang	yas	funeral
tanh	balıqlı	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzaniya	tanzania
tao	menim	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	tapşırıq	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmaniya	tasmania, a place
tau	tau	tau
taxi	taksi	taxi
tay	əllər	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tkm	tcm
tcp	tcp	tcp
technical	texniki	technical
ted	ted	(proper noun) ted
teddy	teddi	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekom	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	möhür	stamp
temple	məbəd	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartel	tensor
teo	atrofiya	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	ərazilər	territories
terry	terri	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texaslar	(proper noun) the state of texas
tgv	tgv	tgv
tha	tha	to forgive (v.)
thai	hamilə	pregnant
thailand	tayland	thailand
tham	xəsislik	involved
thames	temizler	thames
than	kömür	coal
thang	nərdivan	ladder
thanh	bar	youth
thani	daha çox	thani
thao	idman	sport
thau	pirinç	a basin (n.)
thay	əvəzinə	change
thcn	min manat	vocational school
thcs	min	secondary
thdq	thdq	thdq
thebes	tebesler	thebes
their	onların	their
them	onları	plus
then	sonra	key
theo	təqib edin	according to
theory	nəzəriyyə	thẻoy
theravada	teravada	theravada
theres	təriflər	there
theseus	bunlar	theseus, the greek hero
thi	imtahan	competition (n.)
thich	kimi	explanation
thien	thien	sky
third	üçüncü	thỉd
thiu	bayatdır	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	müqəddəs	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	qalay	tin
thiến	kastrasiya	castrate
thiếp	vizit kartı	concubine
thiết	dəsti	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	itkin	lack
thiềm	oraq	crescent
thiền	düşüncə	buddhist (adj.)
thiển	şou	superficial
thiểu	kiçik	minimum
thiện	yaxsi	good
thiệp	kartlar	intervene
thiệt	həqiqətən	damage
thiệu	giriş	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	dab	combination
thoai	thai	gentle
thomas	tomas	thomas
thompson	boğaz	thompson
thong	qayçı	(proper noun) thong, as in ang thong
those	olanlar	those
thoái	reqressiv	deterioration
thoán	tapmaq	usurpation
thoáng	havadar	"(term should be ""thoáng qua"") to pass quickly"
thoát	çıxmaq	drainage
thoại	səs	telephone
