$ tỉ	милијарду долара	$ billion
cố	покушати	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	пехар	cereal
cối	малтер	mortar
cốm	нуггетс	grilled rice
cống	одвод	dedicate
cồn	алкохол	i
cồng	гонг	gong
cổng	капија	gate
cỗ	палуба	engine
cỗi	тврдоглав	barren
cộ	возило	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	стари	origin
cộng	плус	to add (v.)
cột	колона	pole
cớ	изговор	excuse
cờ	застава	flag
cỡ	величина	size
cợt	шалим	"(term should be ""đùa cợt"") to trifle (v.)"
cục	одељење	department
cụm	цлустер	cluster
cụp	ампутиран	down
cụt	ампутиран	"(should be ""xương cụt"") the tailbone or coccyx"
củ	гомољи	a bulb, a botanical term
của	од	of
củi	огревно дрво	firewood
củng	такође	reinforce
cứ	на	any
cức	гугутање	"(term should be ""cức Đê"") a character in chinese history"
cứng	тешко	hard
cứngi	харди	cungi
cừ	стубови	nacre
cừu	јањетина	sheep
cửa	врата	door
cửu	множе се	nine
cữ	цу	abstinence
cữu	ковчег	nine
cự	удаљеност	against
cựa	спурс	retreat
cực	пол	extreme
cựu	бивши	former
d	д	d.
da	кожа	skin
daegu	дагу	daegu
dahl	дахл	(proper noun) dahl, as in author roald dahl
dai	тврд	persistent
daily	дневно	daily
dakota	дакота	dakota, as in the state of south dakota
dalat	да лат	da lat
dampier	дампиер	(proper noun) dampier, a last name
dan	дан	dan
dancing	плеше	dancing
danger	опасност	danger
danh	име	list
daniel	даниел	daniel
dante	данте	dante
dao	нож	poniard
darwin	дарвин	darwin
das	дас	das
dassault	дассаулт	(proper noun) dassault
date	датум	date
dau	уље	dau
dave	даве	(proper noun) dave, as in dave sexton
david	давид	david, as in david thomas
davies	давиес	davies
davis	давис	davis
dbsk	дбск	dbsk
dc	дц	d.c.
ddr	ддр	ddr
dean	декан	a name
degree	степен	degree
delhi	делхи	delhi
delphi	делпхи	(proper noun) delphi, as in the oracle
demeter	деметер	(proper noun) demeter, the greek goddess of the harvest
den	ден	den
dennis	деннис	dennis
department	одељење	departmen
derek	дерек	derek
des	дес	des
descartes	десцартес	descartes
design	тхиет ке	thiet ke
deuterium	деутеријум	deuterium
deutschland	деутсцхланд	deutschland
dewan	деван	dewan, as in dewan rakyat
dewitt	девитт	(proper noun) dewitt, as in rose dewitt bukater
di	ди	move
diana	диана	(proper noun) diana, as in diana ross
die	умрети	german
diego	диего	diego
dien	луда	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	димаггио	gimaggio
dinh	палата	official residence or palace
dionysus	диониз	dionysus, as in the greek god
discovery	откриће	discovery
discussion	дискусија	discussion
disneyland	диснеиланд	disneyland
division	подела	division
divoire	дивоире	d'lvoire
diêm	шибица	diem vuong
diên	луда	"(term should be ""kinh diên"") canon (n.)"
diềm	валанце	matches
diều	ките	kite
diểu	фарса	(proper noun) diểu
diễm	дием	beauty; a common vietnamese first name for women
diễu	марш	parade
diệc	чапља	a heron (n.)
diệm	дием	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	лице	face to face
diệt	убити	to kill or destroy (v.)
diệu	магија	effective (adj.)
djibouti	дјибоути	djibouti, a country in africa
djokovic	дјоковиц	(proper noun) djokovic, as in novak djokovic
dm	дм	dm
dmitri	дмитри	dmitri
dna	дна	dna
do	од стране	because of
doanh	зглоб	"(term should be ""kinh doanh"") business (n.)"
doc	доц	doc
docherty	доцхерти	docherty
dolly	доли	(proper noun) dolly, as in singer dolly parton
dome	купола	nha
dominican	доминикански	(proper noun) dominican, as in the dominican republic
don	дон	(proper noun) don
donau	донау	donau
dortmund	дортмунд	(proper noun) dortmund
dougherty	доугхерти	dougherty
douglas	доуглас	douglas
dover	довер	(proper noun) dover, as in the capital of delaware
doyle	доиле	doyle
doãn	доан	doan
doạ	пријетећи	threat
dp	дп	dp
dracula	драцула	dracula
draft	нацрт	draft
drake	драке	(proper noun) drake
driver	возач	a name
ds	дс	ds
dtd	дтд	dtd
dth	дтх	dth
du	ду	travel
dubai	дубаи	dubai
duiker	дуикер	duiker
duk	дук	duk
dumas	думас	dumas
dumbledore	думбледоре	dumbledore
dung	гној	portrait
durham	дурхам	durham
dursley	дурслеи	dursley
duy	само	only
duyên	предодређена	coastal
duyện	тежи	fellatio
duyệt	прегледач	browser
duơng	дуонг	ocean
duẩn	дуан	duan
duật	дуат	duat
duệ	потомци	descendants (n.)
duỗi	исправити	stretch
dwight	двигхт	dwight
dà	да	gradually
dài	дуго	to lengthen, as in time
dàn	инсценација	to arrange
dàng	лако	dang
dành	потрошио	for
dào	обилна	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	дебео	thick
dái	мокраћа	"penis (n.), although some may use the term to mean ""testicles"""
dám	усудити се	dare
dán	паста	stick
dáng	облик	appearance
dát	интарзиран	inlay
dâm	левд	lustful (adj.)
dân	људи	people
dâng	понуда	dedicate
dây	кабел	nerve
dã	дивљи	chronicle
dãi	пермисиван	band
dãn	проширен	extend
dãy	домет	a row (n.)
dè	бити пажљив	tight
défense	одбрана	defense
dép	сандале	slipper
dê	јарац	goat
dì	тетка	aunt
dìu	диу	to lead by the hand (v.)
dính	лепљив	stick
dò	претрага	(with word tham) to survey
dòm	погледај	snoop
dòng	тренутни	"(term should be ""dòng họ"") family (n.)"
dó	то	a type of plant used to make paper in vietnam (n.)
dông	тхундерсторм	a storm (n.)
dõi	трацк	monitor
dù	ипак	though
dùi	пробијач	awl
dùng	употреба	use
dăm	струготине	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	наравно	why
dĩa	тањир	dish
dũng	с периком	courage
dơ	прљав	dirty
dơi	слепи мисеви	bat
dư	преостали	remnant
dưa	диње	melons
dưng	зауставити	suddently
dương	позитивно	penis
dường	изгледа	seem
dưỡng	нега	feed
dược	апотека	having to do with medicine (adj.)
dượng	стриц	uncle
dạ	да	night
dại	безумно	stupid or idiotic (adj.)
dạn	неустрашива	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	формат	tyoe
dạo	прошетати	vending
dạt	опрао	to drift
dạy	подучавати	teach
dải	трака	range
dấm	сирћета	vinegar
dấp	спотицање	shape
dấu	знак	signal
dấy	узбудљиво	to raise (v.)
dần	постепено	people
dầu	уље	oil
dẫm	стрпати	step on
dẫn	водич	to lead
dẫu	ипак	though
dận	тетка	to step on
dậu	пијетао	rooster
dậy	устани	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	олово	lead
dằn	баласт	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	упоран	dằng dai= long/endless
dẳng	упоран	persist
dặm	миљу	mile
dặn	наређено	to advise (v.)
dặt	наредити	conservative
dẹp	изравнати	pacify
dẹt	раван	flat
dẻ	кестени	chestnut
dẻo	пластичност	flexible
dế	цврчци	cricket
dền	амарант	beetroot
dể	лако	easy
dễ	лако	easy
dệt	ткање	textile
dị	јединственост	simple
dịch	превести	semen
dịp	прилика	occasion
dịu	благ	ease
dọa	пријетећи	to threaten or scare (v.)
dọc	вертикала	along
dỏm	духовит	witty
dốc	нагиб	slope
dối	лаж	lie
dốt	незналица	stupid or ignorant (adj.)
dồi	обилна	"(term should be ""trau dồi"") improve (v.)"
dồn	углати	accrue
dỗ	наговорити	dirty
dời	потез	leave
dở	лоше	incomplete
dỡ	истовар	remove
dụ	на пример	example
dục	секс	sexuality
dụng	употреба	use
dứa	ананас	pineapple
dứt	зауставити	to cease
dừa	кокос	coconut (n.)
dừng	зауставити	to cease
dữ	података	"(term should be ""giận dữ"") anger (n.)"
dự	пројектован	attend
dựa	заснован	base on
dực	мушки	dực, as in lê tương dực
dỹ	ды	dy
e	е	e.
ea	еа	(proper noun) ea, as in ea kao
earles	еарлес	earles
eaton	еатон	eaton
ebro	ебро	a name
ecmascript	ецмасцрипт	ecmascript
ecw	ецв	ecw
edda	едда	(proper noun) edda
edgar	едгар	edgar, as in author edgar allan poe (n.)
edge	ивица	edge
edinburgh	единбург	(proper noun) edinburgh, as in edinburgh, scotland
edison	едисон	edison
editor	уредник	editor
edmond	едмонд	edmond
edo	едо	edo
edward	едвард	edward
edwin	едвин	edwin
eea	ееа	eea
efron	ефрон	efron, as in zac efron
egypt	египат	egypt
eid	еид	(proper noun) eid
eiffel	еиффелов	eiffel
einstein	еинстеин	einstein
eisenhower	еисенховер	eisenhower, as in former president dwight d. eisenhower
ekaterina	екатерина	this is a name
elbe	елбе	(proper noun) the elbe river
electronic	електронски	electronic
eliane	елиане	(proper noun) eliane
elip	елипса	ellipse
elizabeth	елизабетх	elizabeth
ellen	еллен	ellen
ellis	еллис	a name
elton	елтон	(proper noun) elton, as in elton john
elvis	елвис	elvis
elíp	елипса	ellipse
em	ти	younger sibling
email	емаил	email
emily	емили	(proper noun) emily, as in emily dickinson
emir	емир	emir
emmy	емми	emmy
en	ен	erica reef
energy	енергије	energy
engels	енгелс	engels
england	енглеска	(proper noun) england, as in new england
eniac	енијак	eniac
entente	ентенте	entente
entropy	ентропија	entropy
enzym	ензим	enzymes
eo	струк	eo, as in the film captain eo
ep	еп	a name
erich	ерицх	erich
erik	ерик	erik, as in erik moller
eris	ерис	eris
eritrea	еритреја	eritrea
ernest	ернест	(proper noun) ernest
eros	ерос	eros, greek god of love
erwin	ервин	(proper noun) erwin, as in erwin rommel
españa	еспана	espana
essential	суштинско	essential
ethernet	мрежни	ethernet
ethiopia	етиопија	(proper noun) ethiopia
euclid	еуцлид	euclid
eugene	еугене	eugene
eugène	еугене	(proper noun) eugène
