$	$ $	dollars
الأنبياء	los profetas	prophets
الأنثروبولوجيا	antropología	anthropology
الأنثى	la hembra	the female
الأندلس	andalucia	andalusia
الأندية	clubes	clubs
الأنسجة	tejido	the tissues
الأنسولين	insulina	insulin
الأنشطة	actividades	activities
الأنصار	ansar	ansar
الأنصاري	al ansari	ansari
الأنطروبولوجيا	antropología	anthropology
الأنظمة	sistemas	systems
الأنف	la nariz	nose
الأنفاق	túneles	the tunnels
الأنماط	estilos	styles
الأنهار	ríos	rivers
الأنواع	especie	kind
الأهالي	padres	fammilies
الأهداف	objetivos	the goals
الأهرام	al-ahram	el-ahram
الأهرامات	pirámides	the pyramids
الأهلي	al-ahly	al-ahly
الأهلية	elegibilidad	civil
الأهم	lo más importante	the most important
الأهمية	importancia	importance
الأوائل	el primero	original
الأوامر	comandos	orders
الأوبرا	la opera	opera
الأودية	valles	canyons
الأوراق	hojas	papers
الأورام	tumores	tumors
الأوربية	europeo	european
الأوروبي	europeo	european
الأوروبية	europeo	european
الأوروبيون	europeos	the europeans
الأوروبيين	europeos	europeans
الأوزون	ozono	ozone
الأوساط	círculos	circles
الأوسط	medio	middle
الأوسمة	decoraciones	medals
الأوضاع	condiciones	situations
الأوعية	cuencos	vessels
الأوقات	tiempos	time
الأوكراني	ucraniano	ukrainian
الأوكرانية	ucraniano	alucrohn
الأول	el primero	the first
الأولمبية	olímpico	olympics
الأولى	el primero	the first
الأولي	inicial	incipient
الأولية	primaria	raw
الأيام	los dias	days
الأيبيرية	ibérico	alaepireya
الأيسر	izquierda	the left
الأيمن	derecho	right
الأيوبي	al ayoubi	ayubi (name)
الأيوبية	ayubí	ayyubid
الإباحية	pornografía	porno
الإبادة	exterminio	elimination
الإباضية	ibadi	el ebadeya
الإبداع	la creatividad	creativity
الإبراهيمية	abrahámico	abrahamic
الإبل	camellos	camels
الإتحاد	unión	union
الإثارة	entusiasmo	excitement
الإثنين	lunes	monday
الإجابة	respuesta	answer
الإجراءات	acciones	procedures
الإجماع	consenso	agreement
الإجمالي	total	the total
الإجمالية	total	total
الإحساس	sensación	feeling
الإحصاء	estadísticas	statistics / the count
الإحصاءات	estadísticas	statistics
الإحصائيات	estadísticas	alihsaniat
الإحصائية	estadística	statistical
الإخوان	hermandad	brothers
الإدارة	gestión	government
الإداري	administrativo	administrative
الإدارية	administrativo	administrative
الإدعشري	el adhari	el-edashry
الإذاعة	radio	broadcast
الإرادة	la voluntad	welling
الإرشاد	consejeria	guidance
الإرهاب	el terrorismo	the terrorism
الإسبان	el español	spanish
الإسباني	el español	the spanish
الإسبانية	espanol	the spanish
الإسراء	isra	israa
الإسرائيلي	israelí	the israelian
الإسرائيلية	israelí	israeli
الإسرائيليين	los israelíes	the israeli people
الإسكندر	alexander	alexander
الإسكندرية	alejandria	alexandria
الإسلام	islam	peace
الإسلامي	islámico	islamic
الإسلامية	islámico	islamic
الإسماعيلية	ismailia	ismailia
الإشارات	los signos	signs
الإشعاع	la radiación	radiation
الإشعاعي	radiológica	the radioactive
الإصابة	la herida	the infection
الإصدار	versión	the edition
الإصلاح	arreglar	the reformation
الإصلاحات	reparaciones	reforms
الإصلاحية	correccional	reformatory
الإطار	marco	framework
الإطلاق	el lanzamiento	absolutely
الإعدام	ejecuciones	death
الإعلام	los medios	media
الإعلامي	informativo	media man
الإعلان	publicidad	announcement
الإعلانات	anuncios	advertisements
الإغريق	los griegos	greek
الإغريقي	griego	greek
الإغريقية	griego	greek
الإفريقي	africano	african
الإفريقية	africano	the african
الإقامة	residencia	place of stay
الإقليم	territorio	region
الإقليمي	regional	regional
الإقليمية	regional	regional
الإلحاد	ateísmo	atheism
الإلكترون	electrón	electron
الإلكترونات	electrones	electronics
الإلكترونية	electrónica	eletriny
الإله	dios	elah
الإلهي	divino	divine
الإلهية	divino	holly
الإمارات	emiratos	emirates
الإمارة	el emirato	emirate
الإمامة	imamate	the lead
الإمامية	imami	imami
الإمبراطور	el emperador	empire
الإمبراطورية	el imperio	the empire
الإمدادات	suministros	supplies
الإناث	la hembra	females
الإنتاج	producción	production
الإنتاجية	productividad	production
الإنترنت	el internet	the internet
الإنجليز	el ingles	british
الإنجليزي	ingles	england
الإنجليزية	ingles	english
الإنجيل	la biblia	the bible
الإنسان	el humano	the human
الإنساني	el humano	humanitarian
الإنسانية	la humanidad	the human
الإنشاء	creación	construction
الإنفاق	gasto	spending
الإنفلونزا	la gripe	flu
الإنكشارية	jenízaros	janissaries
الإنكليزي	el ingles	the english
الإنكليزية	ingles	english
الإيجابية	lo positivo	positive
الإيدز	sida	aids
الإيراني	iraní	iranian
الإيرانية	iraní	iranian
الإيطالي	italiano	italian
الإيطالية	italiano	italian
الإيطاليين	italianos	italians
الإيمان	fe	the faith
الا	excepto	except
الائتلاف	la coalición	coalition
الابتدائي	el primario	primary
الابتدائية	elemental	primary
الابن	el hijo	ann
الاتجاه	dirección	direction
الاتجاهات	direcciones	directions
الاتحاد	la union	union
الاتحادية	federal	federal
الاتصال	contacto	communication
الاتصالات	comunicación	communications
الاتفاق	el acuerdo	an agreement
الاتفاقيات	acuerdos	agreements
الاتفاقية	acuerdo	the agreement
الاتهام	la acusación	accusation
الاثني	etnicidad	athenian
الاثنين	lunes	monday
الاجتماع	la reunión	conference
الاجتماعات	reuniones	gatherings
الاجتماعي	social	social
الاجتماعية	social	civilized
الاجتهاد	diligencia	thinking
الاحتباس	retención	global
الاحتفاظ	mantener	to keep
الاحتفال	celebración	festival
الاحتفالات	celebraciones	festivals
الاحتكاك	fricción	harassment
الاحتلال	ocupación	occupation
الاحتياجات	necesidades	needs
الاختبار	la prueba	test
الاختلاف	la diferencia	difference
الاختلافات	las diferencias	the differences
الاختيار	cheque	the choice
الارتباط	el enlace	attachment
الارتفاع	altura	rising
الازدهار	prosperidad	prosperity
الاستثمار	inversión	investment
الاستثمارات	inversiones	investments
الاستخبارات	inteligencia	intelligence
الاستخدام	uso	usage
الاستخدامات	usos	usages
الاستراتيجي	estratégico	strategic
الاستراتيجية	estrategia	strategical
الاستسلام	rendirse	capitulation
الاستعمار	colonización	colonization
الاستعماري	colonial	colonial
الاستعمارية	colonial	colonial
الاستعمال	uso	usage
الاستفتاء	el referéndum	referendum
الاستقرار	estabilidad	stability
الاستقلال	independencia	independence
الاستنساخ	reproducción	cloning
الاستهلاك	el consumo	consumption
الاستواء	nivelación	tropical
الاستوائية	tropical	tropical
الاستيلاء	ataque	takeover
الاسكندنافية	escandinavo	scandinavian
الاسم	el nombre	the name
الاسود	negro	black
الاشتراك	suscribete	participation
الاشتراكي	socialista	socialist
الاشتراكية	socialismo	communist
الاشتراكيون	los socialistas	socialists
الاصطناعى	sintético	intelligent
الاصطناعي	artificial	artificial
الاضطراب	turbulencia	confusion
الاضطرابات	disturbios	disturbances
الاضطهاد	persecución	persecution
الاضطهادات	persecuciones	the persecutions
الاعتبار	consideración	consideration
الاعتداء	asalto	assault
الاعتراف	reconocimiento	recognition
الاعتقاد	creencia	believe
الاعتماد	acreditación	relying on
الاعلام	medios de comunicación	media
الاعمال	negocios	works
الاغنية	la cancion	the song
الاقتصاد	la economia	economy
الاقتصادي	economico	the economical
الاقتصادية	economico	economic
الاكتشاف	descubrimiento	the discovery
الاكتشافات	descubrimientos	discoveries
الالتزام	compromiso	adherence
الامام	imán	imam
الامبراطورية	el imperio	empire
الامير	el príncipe	prince
الانتخابات	elecciones	elections
الانتخابية	electoral	electoral
الانتداب	mandato	mandate
الانتشار	difundiendo	the spread
الانتصار	victoria	the victory
الانتصارات	victorias	the victories
الانتفاضة	el levantamiento	uprising
الانتقادات	critica	criticisms
الانتقال	seguir adelante	transmission
الانتقالية	transitoria	transitory
الانتقام	venganza	the revenge
الانتهاء	terminado	finishing
الاندلس	andalucia	al-andalus
الاندماج	la fusión	merging
الانسحاب	retirarse	retreat
الانضمام	unirse	joining
الانطروبولوجيا	antropología	anthropology
الانفجار	la explosión	the explosion
الانفصال	separación	separation
الانقسام	división	division
الانقلاب	el golpe	coup
الاهتمام	atencion	the interest
الايكولوجية	ecologico	the ecological
الباب	la puerta	door
البابا	el papa	pope
البابلي	babilonia	babylonian
البابلية	babilonia	babylonia
البابوية	el papado	papal
البابية	casement	the babian
الباحث	investigador	researcher
الباحثون	investigadores	researchers
الباحثين	investigadores	researchers
البارد	frio	cold
الباردة	frio	the cold
البارزة	notable	the prominent
البارزين	eminente	the prominent
الباطنية	esotérico	underground
الباقي	el resto	the rest
الباقية	el resto	the rest
البالغ	adulto	the one reaching
البالغة	adulto	very much
البالغين	adultos	adult
البتراء	petra	petra
البترول	petróleo	petrol
البث	broadcast	broadcast
البحار	los mares	seas
البحر	el mar	sea
البحري	marine	marine
البحرية	armada	el-baharia
البحرين	bahrein	bahrain
البحوث	investigación	researches
البحيرات	lagos	lakes
البحيرة	el lago	the lake
البخار	steam	vapor
البخاري	bujari	albokhari
البدء	inicio	start
البدائي	primitivo	primordial
البدائية	primitivo	primitive
البداية	el principio	the beginning
البدنية	fisico	physical
البدو	beduinos	bedouin
البذور	semillas	seeds
البر	justicia	righteousness
البرازيل	brasil	brazil
البرازيلي	brasileño	brazilian
البراكين	volcanes	volcanoes
البرامج	programas	programs
البربر	bereberes	barbar
البربرية	barbarie	barbarian
البرتغال	portugal	portugal
البرتغالي	portugués	portuguese
البرتغالية	portugués	portuguese
البرتغاليين	los portugueses	portuguese
البرج	la torre	the tower
البركان	el volcan	the volcano
البركاني	volcánico	volcanic
البركانية	volcánico	volcanic
البرلمان	parlamento	parliament
البرلمانية	parlamentario	parliamentary
البرمجيات	software	the software
البرنامج	el programa	the program
البروتستانت	protestantes	protestant
البروتستانتية	protestante	the protestans
البروتوكولات	protocolos	the protocols
البروتونات	protones	protons
البروتين	proteína	proten
البروتينات	proteínas	proteins
البري	salvaje	the wild
البرية	salvaje	wild
البريد	mail	mail
البريطاني	británico	the british
البريطانية	británico	the british
البريطانيون	los británicos	british people
البريطانيين	los británicos	britons
البسيط	simple	simple
البسيطة	simple	simple
البشر	humanos	humans
البشري	humano	humen
البشرية	la humanidad	the human
البصرة	basora	basra (name)
البصري	óptica	visual
البصريات	óptica	optics
البصرية	visual	optical
البضائع	los bienes	merchandises
البطالة	desempleo	the unemployment
البطل	el heroe	the hero
البطن	vientre	stomach
البطولات	campeonatos	championships
البطولة	el campeonato	main cast
البظر	el clítoris	the clitoris
البعث	resurrección	baath
البعثات	misiones	the missions
البعثة	la misión	the expedition
البعد	la dimensión	far
البعض	algunos	some
البعيدة	lejos	far
البغدادي	al-baghdadi	one from baghdad
البق	bichos	bugs
البقاء	quedarse	remaining
البقر	la vaca	beef
البقرة	la vaca	the cow
البقعة	pulido	spot
البكارة	virginidad	virginity
البكتيريا	las bacterias	the bacteria
البكر	prístino	the oldest
البلاد	el pais	states
البلاغة	retórica	rhetoric
البلد	el pais	country
البلدان	países	countries
البلدة	el pueblo	town
البلديات	municipios	municipalities
البلدية	el municipio	municipality
البلدين	los dos paises	two countries
البلطيق	báltico	baltic
