$	dollarni tashkil etadi	(dollar sign)
caché	yashirin	hidden
cachée	yashirin	hidden
cadeaux	sovg&#39;alar	gifts
cadet	kursant	younger
cadre	ramka	through
cadres	ramkalar	frameworks
café	qahva	coffee
caféine	kofein	cafein
cafés	kafelar	coffees
cage	qafas	cage
cahier	daftar	notebook
cahiers	daftarlari	book
caille	bedana	callie
caire	qohira	cairo
caisse	tekshirib ko&#39;rmoq	fund
caisses	sandiqlar	funds
calcaire	ohaktosh	limestone
calcium	kaltsiy	calcium
calcul	hisoblash	calculation
calculer	hisoblash	compute
calculs	hisob-kitoblar	calculus
calculé	hisoblab chiqilgan	calculated
calendrier	taqvim	calendar
califat	xalifalik	caliphate
calife	xalifa	caliph
california	kaliforniya	california
californie	kaliforniya	california
calme	sokin	peace
camarades	o&#39;rtoqlar	comrades
cambodge	kambodja	cambodgia
cambridge	kambrij	cambridge
cameron	kamon	cameron
cameroun	kamerun	cameroon
camille	tuya	camille
camp	lager	camp
campagne	kampaniyasi	campaign
campagnes	kampaniyalari	campaigns
camps	lagerlar	sides
campus	kampus	campus
camus	kamus	camus
caméra	kamera	camera
caméras	kameralar	cameras
canada	kanada	canada
canadien	kanada	canadian
canadienne	kanada	canadian
canadiens	kanadaliklar	canadian
canal	kanal	canal
canal+	kanal +	canal+
canard	o&#39;rdak	duck
canaries	kanareyka	canary islands
canaux	kanallar	channels
cancer	saraton	cancer
cancers	saraton	cancers
candidat	nomzod	candidate
candidats	nomzodlar	candidates
candidature	dastur	candidacy
candide	samimiy	candid
canis	kanis	canis
canne	qamish	cane
cannes	qamish	canes
canon	to&#39;p	canon
canot	baydarka	dinghy
canots	kanonlar	lifeboats
canton	kanton	canton
cantons	kantonlar	districts
cap	kaput	cape
capable	qodir	capable
capables	qodir	can
capacité	imkoniyatlar	ability or capability
capacités	imkoniyatlar	capabilities
capitaine	kapitan	captain
capital	poytaxt	capital
capitale	poytaxt shahar	capital city
capitales	poytaxtlar	capitals
capitalisme	kapitalizm	capitalism
capitaliste	kapitalist	capitalist
capitaux	poytaxt	capitals
capitole	kapitoliy	capitole
capone	kapone	capone
capture	qo&#39;lga olish	capture
capvert	yashil qalpoqcha	green-cape
car	chunki	as
caractère	belgi	specificity
caractères	belgilar	characters
caractérise	xarakterlaydi	characterized
caractéristique	xususiyati	characteristics
caractéristiques	xususiyatlari	characteristic
caractérisé	xarakterli	characterized
caractérisée	xarakterli	characterised
caravage	karavaggi	caravaggio
caraïbes	karib dengizi	carribean
carbone	uglerod	carbon
carburant	yoqilg&#39;i	fuel
cardiaque	yurak	cardiac
cardiaques	yurak	heart
cardinal	kardinal	cardinal
carl	karl	carl
carlo	karlo	carlo
carlos	karlos	carlos
carnaval	karnaval	carnival
carnets	daftarlari	notebooks
carole	karol	carol (but in this contexte carole as it mention carole king)
caroline	karolina	carolina
carolingienne	carolingian	carolingian
carrefour	chorrahada	crossroad
carrie	karri	carrie
carrière	mansab	career
carrières	martaba	pits
carroll	karroll	carroll
carré	kvadrat	square
carrée	kvadrat	square
carrés	kvadratchalar	squares
carte	menyu	map
carter	qafas	(surname)
cartes	kartalar	maps
carthage	karfagen	carthage
cartier	karter	cartier
cartographie	kartografiya	cartography
cas	quti	case
casablanca	kasablanka	casablanca
case	kulba	hut
casino	kazino	casino
casting	quyma	cast
castro	kastro	castro
catalan	kataloncha	catalan
catalogne	kataloniya	catalonia
catalogue	katalog	catalog
catastrophe	falokat	disaster
catastrophes	ofatlar	disasters
catch	qo&#39;lga olish	wrestling
catcheur	kurashchi	catcher
catcheurs	kurashchilar	wrestlers
catherine	ketrin	catherine
catholicisme	katoliklik	catholicism
catholique	katolik	catholic
catholiques	katoliklar	catholics
cathédrale	ibodathona	cathedral
cathédrales	soborlar	cathedrals
catégorie	kategoriya	category
catégorieacteur	aktyorlar toifasi	two words : category actor
catégorieactrice	kategoriya	category: actress
catégorieancien	kategoriya bo&#39;yicha	category: former
catégoriechanteur	qo&#39;shiqchi toifasi	category: singer
catégoriechanteuse	ashula kategoriyasi	singer's category
catégoriechevalier	ritsar toifasi	category : knight
catégoriedécès	o&#39;lim toifasi	category died
catégoriefilm	kategoriya	category: movie
catégoriegroupe	kategoriya guruhi	category: band
catégoriehistoire	kategoriya tarixi	category history
catégoriejoueur	o&#39;yinchi toifasi	category: player
catégorielauréat	g&#39;oliblar toifasi	category: winner
catégoriemembre	a&#39;zo toifasi	class member
catégoriemort	o&#39;lik toifasi	category: dead
catégorienom	kategoriyenom	category name
catégoriepeintre	rassom toifasi	category: painter
catégoriepersonnalité	kategoriya shaxsiyati	category : personality
catégorieréalisateur	kategoriya direktori	category: director
catégories	toifalar	categories
catégoriesérie	turkum turkumlari	category: serie
catégorieécrivain	kategoriya yozuvchisi	category writer
catégorieélève	talabalar toifasi	category: student
caucase	kavkaz	caucasus
cause	sabab	because
causes	sabablari	cause
causé	sabab bo&#39;ldi	caused
cavalerie	otliqlar	cavalry
cavaliers	chavandozlar	horse riders
cavité	bo&#39;shliq	cavities
cbs	cbs	cbs
cd	cd	cd
cdot	cdot	cdot
ce	bu	this
ceci	bu	this
ceinture	kamar	belt
cela	bu	this
celle	bu	the one
celleci	bu	she
celles	o&#39;sha	these
cellesci	bular	this one
cellulaire	uyali	cell
cellule	hujayra	cell
cellules	hujayralar	cells
celtes	keltlar	celtic
celtique	keltlar	celtic
celui	bitta	the
celuici	bunisi	this one
cena	kena	cena
cendres	kul	ashes
censure	tsenzura	censor
censé	taxmin qilinmoqda	considered
cent	yuz	100
centaine	yuz	100
centaines	yuzlab	hundreds
centenaire	yuz yilligi	centenary
central	markaziy	central
centrale	markaziy	plant
centrales	elektr stantsiyalari	plant
centraux	markaziy	central
centre	markazi	center
centres	markazlari	centers
centreville	shahar markazida	downtown
centré	markazi	centered
centrée	markazlashtirilgan	centered
cents	tsent	cents
cependant	ammo	however
cercle	aylana	circle
cercles	doiralar	circles
cerf	kiyik	cerf
certain	aniq	certain
certaine	aniq	certain
certainement	albatta	certainly
certaines	biroz	some
certains	biroz	certain
certes	albatta	course
certification	sertifikatlash	certification
certifié	sertifikatlangan	certifies
certitude	aniqlik	certainty
cerveau	miya	brain
ces	bular	these
cesse	to&#39;xta	ceases
cessé	to&#39;xtadi	stopped
cest	bu	this is
cestàdire	demak	this is to say
cet	bu	this
cette	bu	this
ceux	o&#39;sha	those
ceuxci	bular	these
cf	cf	cf
chacun	har biri	anyone
chacune	har biri	each
chaine	zanjir	chaina
chair	tanasi	flesh
chaise	stul	chair
chaleur	issiqlik	heat
challenger	raqib	challenger
chamber	xona	chamber
chambre	yotoq xonasi	chamber
chambres	yotoq xonalari	rooms
champ	maydon	field
champagne	shampan vinosi	champagne
champion	chempion	champion
championnat	chempionati	championship
championnats	chempionatlar	championships
champions	chempionlar	champions
champs	maydonlar	fields
chan	chan	chan
chance	omad	chance
chancelier	kansler	chancellor
chances	imkoniyat	chances
chandler	qandil	shipchandler
chanel	chanel	chanel
change	almashish	changes
changement	o&#39;zgartirish	change
changements	o&#39;zgaradi	changes
changent	o&#39;zgartirish	change
changer	kaliti	to change
changé	almashish	changed
channel	kanal	channel
chanson	qo&#39;shiq	song
chansons	qo&#39;shiqlar	songs
chant	qo&#39;shiq	song
chante	kuyladi	sings
chanter	qo&#39;shiq ayt	sing
chanteur	ashulachi	singer
chanteurs	qo&#39;shiqchilar	singers
chanteuse	ashulachi	singer
chantier	qurilish maydonchasi	construction
chantiers	qurilish maydonchalari	works
chants	chinqiriqlar	song
chanté	kuyladi	sang
chaos	betartiblik	chaos
chapeau	shlyapa	hat
chapelle	chapel	chapel
chapitre	bob	chapter
chapitres	boblar	chapters
chaplin	chaplin	chaplin
chaque	har biri	each
char	tank	tank
charbon	ko&#39;mir	coal
charge	zaryadlash	load
charges	ayblovlar	charges
chargé	zaryadlash	loaded
chargée	yuklangan	responsible
chargés	yuklangan	accountable
charité	xayriya	charity
charlemagne	charlemagne	charlemagne
charles	charlz	charles
charlie	charli	charlie
charlotte	charlotte	charlotte
charme	jozibasi	spell
chars	tanklar	tanks
charte	nizom	charter
chasse	ov qilish	chases
chasseurs	ovchilar	fighters
chat	mushuk	cat
chats	mushuklar	cats
chaud	issiq	hot
chaude	issiq	hot
chauds	issiq	hot
chauffage	isitgich	hotness
chaussures	poyabzal	shoes
chaîne	zanjir	channel
chaînes	zanjirlar	channels
che	che	che
chef	boshliq	chief
chefdœuvre	nodir asar, shoh asar	masterpiece
cheflieu	cheflieu	town
chefs	boshlari	chiefs
chelem	qoqmoq	slam
chemin	yo&#39;l	path
chemins	yo&#39;llar	paths
cher	qimmat	expensive
cherchant	qidirmoqda	wanting
cherche	ni axtarish	search
cherchent	ular qidiradilar	seek
chercher	qidirmoq	search
chercheurs	tadqiqotchilar	researcher
cherché	qidirildi	sought
cheval	ot	horse
chevalet	molga	easel
chevalier	ritsar	knight
chevaliers	ritsarlar	knights
chevaux	otlar	horses
cheveux	soch	hair
chez	ichida	at
chicago	chikagoda	proper noun (city of chicago)
chien	it	dog
chiens	itlar	dogs
chiffre	shakl	code
chiffres	raqamlar	figures
chili	chili	chili
chimie	kimyo	chemistry
chimique	kimyoviy	chemical
chimiques	kimyoviy	chemical
chimène	kimyen	chimene
chine	xitoy	china
chinois	xitoy	chinese
chinoise	xitoy	chinese
chinoises	xitoy	chinese
chirac	chirak	chirac
chirurgie	jarrohlik	surgery
choc	zarba	shock
chocolat	shokolad	chocolate
choice	tanlash	choix
choisi	tanlandi	chosen
choisie	tanlangan	chosen
choisir	tanlamoq	choose
choisis	tanlang	chosen
choisissent	tanlang	choose
choisit	tanlang	chooses
choix	tanlash	choice
chopin	chopin	chopin
chose	narsa	thing
choses	narsalar	things
chris	chris	chris
christ	masih	christ
christian	xristian diniga oid	christian
christianisme	xristianlik	christianism
christine	xristian	christine
christophe	xristofe	christopher
christopher	xristian	christopher
chronique	surunkali	chronic
chroniques	yilnomalar	reviews
chronologie	xronologiya	chronology
chronologique	xronologik	chronologique
chrétien	xristian	chrétien
chrétienne	xristian diniga oid	christian
chrétiennes	xristian	christian
chrétiens	xristianlar	christians
chuck	chuck	chuck d of public enemy
churchill	cherkov	churchill
chute	tushish	fall
chutes	tushadi	snowfall
chypre	kipr	cypress
château	qasr	castle
châteaux	qal&#39;alar	castles
chêne	eman	oak
chômage	ishsizlik	unemployment
chœur	xor	choir
cia	cia	cia
cible	nishon	target
cicontre	qarshi	cicontre
cicéron	tsitseron	cicéron
cidessous	quyida	below
cidessus	yuqorida	below
ciel	osmon	sky
cimetière	qabriston	cemetery
cincinnati	tsincinnati	cincinnati
cinq	beshta	five
cinquantaine	ellikinchi	around fifty
cinquante	ellik	fifty
cinquième	beshinchi	fifth
cinéaste	rejissyor	moviemaker (can be a producer or a scriptwriter)
cinéma	kinoteatr	cinema
cinémas	kinoteatrlar	movies
cinématographique	kinematografik	cinematographic
cinématographiques	kinematografik	cinematographic
cio	cio	ioc
circoncision	sunnat	circumcision
circonscription	minish	constituencies
circonscriptions	saylov okruglari	districts
circonstances	holatlar	circumstances
circuit	elektron	circuit
circuits	aylanishlar	circuits
circulaire	dumaloq	circular
circulation	transport	traffic
circulent	aylanmoq	go around
cirque	sirk	circus
citation	kotirovka	quotation
citations	tirnoq	quotations
cite	kotirovka	quotes
citer	iqtibos keltirmoq	quote
citons	keling, iqtibos keltiraylik	mention
citoyen	fuqaro	citizen
citoyenneté	fuqarolik	citizenship
citoyens	fuqarolar	citizens
city	shahar	city
cité	iqtibos keltirdi	mentioned
cités	iqtibos keltirdi	cited
civil	fuqarolik	civil
civile	fuqarolik	civil
civiles	fuqarolik	civil
civilisation	tsivilizatsiya	civilization
civilisations	tsivilizatsiyalar	civilisation
civils	tinch fuqarolar	civilians
civiques	fuqarolik	civic
clair	ravshan	clear
claire	kler	claire
clairement	aniq	clearly
clan	urug&#39;-aymoq	clan
clans	klanlar	clans
classe	sinf	ranks
classement	tartiblashtirish	ranking
classements	reytinglar	rankings
classer	tasniflang	dismiss
classes	sinflar	classes
classicisme	klassizm	classicism
classification	tasniflash	classification
classique	klassik	classical
classiques	klassika	traditional
classé	sinf	ranked
classée	tasniflangan	classified
classées	tasniflangan	ranked (american idol) classified (obama) ranked (communes)
classés	tasniflangan	ranking
claude	qarsak chalmoq	claude
clavier	klaviatura	keyboard
clergé	ruhoniylar	clergy
client	mijoz	client
clients	mijozlar	clients
clientèle	mijozlar bazasi	customer
cliff	jarlik	cliff (man's name)
climat	ob-havo	climate
climatique	iqlimiy	climate
climatiques	iqlimiy	climatic
climatologie	iqlimshunoslik	climitalogy
climats	iqlimi	climates
clinique	klinik	clinic
cliniques	klinikalar	clinic
clint	jingalak	clint
clinton	klinton	clinton
clip	klip	clip
clips	kliplar	clips
clitoris	klitoris	clitoris
clos	yopiq	indoor
club	klub	club
clubs	klublar	clubs
clé	kalit	key
clément	tozaligi	clément
cléopâtre	kleopatra	cleopatra
clés	tugmachalar	keys
clôture	qilichbozlik	closure
cm	sm	cm
cnrs	cnrs	cnrs
co	co	co
coalition	koalitsiyasi	coalition
cobain	kobeyn	cobain
cocacola	coca cola	coca-cola
cocaïne	kokain	cocaine
coco	kokos	coco
code	kodlangan	code
codes	kodlari	codes
cody	cody	cody
coffret	qutisi	"box ( as in ""dvd box"")"
cohérence	mustahkamlik	coherence
coke	koks	coke
col	yoqa	col
colbert	bo&#39;yi past	colbert
cold	sovuq	cold
cole	maktab	school
coli	coli	coli
colin	kolin	hake
coll	coll	coll
collaborateurs	hamkorlar	collaborators
collaboration	hamkorlik	collaboration
collaborations	hamkorlik	collaborations
collabore	hamkorlik qilish	works
collaboré	hamkorlik qildi	collaborated
collecte	yig&#39;ish	raising
collectif	jamoaviy	collective
collectifs	jamoaviy	collective
collection	yig&#39;ish	collection
collections	to&#39;plamlar	collections
collective	jamoaviy	collective
collectivité	hamjamiyat	collectivity - collectivity - community
collectivités	jamoalar	regions
colline	tepalik	hill
collines	tepaliklar	hills
collins	tepaliklar	dennis collins
collision	to&#39;qnashuv	collision
collège	o&#39;rta maktab	middle school
collègues	hamkasblari	colleagues
colmar	yoqasi	colmar
colomb	kolumb	colombus
colombie	kolumbiya	colombia
colonel	polkovnik	colonel
colonial	mustamlaka	colonial
coloniale	mustamlaka	colonial
coloniales	mustamlaka	colonial
colonie	mustamlaka	colony
colonies	mustamlakalar	colonies
colonisation	mustamlaka	colonisation
colonne	ustun	column
colonnes	ustunlar	columns
colons	ko&#39;chmanchilar	settlers
coluche	koluche	coluche
columbia	kolumbiya	columbia
colère	g&#39;azab	anger
combat	jang	battle
combats	janjallar	fightings
combattants	jangchilar	fighters
combattre	jang	to fight
combien	necha pul	how much
combinaison	birikmasi	combination
combustion	yonish	combustion
come	keling	come
comics	komikslar	comics
comique	kulgili	comic
comiques	kulgili	comic
comité	qo&#39;mitasi	committee
commandant	qo&#39;mondon	commanding officer
commande	buyurdi	order (of vaccines)/commission (of an opera)
commandement	buyruq	commandment
commandes	buyurtmalar	commands
commandé	buyurdi	ordered
comme	sifatida	as
commence	boshlash	started
commencent	boshlash	start
commencer	boshlamoq	begin
commencé	boshlash	begins
comment	qanday qilib? »yoki« nima	how
commentaire	sharh	comment
commentaires	izohlar	comments
commentateurs	sharhlovchilar	commentators
commença	boshlandi	started
commerce	savdo	commerce
commercial	tijorat	commercial
commerciale	tijorat	commercial
commerciales	tijorat	commercial
commercialisation	marketing	marketing
commerciaux	tijorat	commercial
commerçants	savdogarlar	traders
commis	xizmatchi	perpetrated
commissaire	komissar	commissioner
commission	komissiya	commission
commissions	komissiyalari	comities
commonwealth	hamdo&#39;stlik	commonwealth
commun	umumiy	common
communautaire	hamjamiyat	communal
communautaires	hamjamiyat	community
communauté	hamjamiyat	community
communautés	jamoalar	communities
commune	umumiy	global
communes	umumiy	global
communication	aloqa	communication
communications	aloqa	communications
communiquer	aloqa qilmoq	communicate
communiqué	aloqa qildi	release
communisme	kommunizm	communism
communiste	kommunist	communist
communistes	kommunistlar	communists
communs	umumiy	common
communément	odatda	commonly
commémoration	xotira	remembrance
compagne	hamroh	wife
compagnie	kompaniyasi	company
compagnies	kompaniyalari	companies
compagnon	hamroh	compagnon
compagnons	hamrohlar	companions
company	kompaniyasi	company
comparable	taqqoslanadigan	comparable
comparaison	taqqoslash	comparison
compare	taqqoslandi	compares
comparer	solishtiring	compare
comparé	taqqoslandi	compared
comparée	taqqoslandi	compared
compassion	rahm-shafqat	compassion
compatible	mos keladi	compatible
compenser	o&#39;rnini qoplash	compensate
compilation	jamlama	compilation
compilations	kompilyatsiya	compilations
complet	to&#39;la	full
complexe	murakkab	complex
complexes	murakkab	complex
complexité	murakkablik	complexity
