$ tỉ	$ బిలియన్	$ billion
clinton	క్లింటన్	clinton, as in former president bill clinton
clip	క్లిప్	clip
clips	క్లిప్లను	clips
clo	క్లోరిన్	chlorine
clow	clow	clow
clyde	క్లైడ్	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	cmt	cmt
cn	cn	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	సహ	spasm
coburn	కౌబర్న్	coburn
cocoa	కోకో	cocoa
coen	coen	coen
coffea	కాఫీ	coffee
cohen	కోహెన్	cohen
coi	వాచ్	to regard
coleen	coleen	coleen
coleman	కోల్మన్	coleman
coli	కోలి	coli
colin	కోలిన్	(proper noun) colin, as in colin powell
colleen	కొలీన్	colleen
college	కాలేజ్	college
collins	కాలిన్స్	(proper noun) collins
collège	కళాశాల	college (n.)
colombia	కొలంబియా	colombia
colombo	కొలంబో	(proper noun) colombo
colorado	కొలరాడో	(proper noun) colorado, as in the state
columbus	కొలంబస్	columbus
comic	హాస్య	comic
common	సాధారణ	common
concacaf	కాన్కాకాఫ్లోనూ	concacaf
concerto	సంగీత	concerto
concorde	కాంకర్డ్	concorde
condom	కండోమ్	condom
cong	వక్ర	curved or bent
congo	కాంగో	congo
congress	సమావేశం	congress, as in library of congress
connecticut	కనెక్టికట్	connecticut
conrad	కాన్రాడ్	corrad
conservation	పరిరక్షణ	conservation
constantine	కాన్స్టాంటైన్	constantine
contemporary	సమకాలీన	contemporary
cooper	కూపర్	(proper noun) cooper
copenhagen	కోపెన్హాగన్	copenhagen
copernic	copernic	corpernic
copperfield	కాపర్ఫీల్డ్	(proper noun) copperfield, as in magician david copperfield
coppola	కొప్పోల	coppola
copy	కాపీని	copy
cordyceps	కార్డీసెప్స్	cordyceps
core	కోర్	core
cornell	కార్నెల్	cornell
cosin	cosin	cosine
costa	కోస్టా	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	క్రైగ్	(proper noun) craig
crazy	వెర్రి	crazy
crespo	crespo	(proper noun) crespo
crest	చిహ్నం	crest
crew	సిబ్బంది	crew
crimson	క్రిమ్సన్	crimson
crisis	సంక్షోభం	crisis
cristiano	క్రిస్టియానో	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	క్రొయేషియా	croatia
cross	క్రాస్	cross
crs	crs	crs
cruz	cruz	cruz
cruzeiro	క్రుజీరోతో	cruzeiro
crystal	క్రిస్టల్	crystal
ctc	ctc	ctc
cua	పీత	crab (n.)
cullen	కల్లెన్	a name
cung	విల్లు	circle
cunningham	కన్నిన్గ్హమ్	cunningham; proper name
cup	కప్	cup
cuả	ఆఫ్	of, from, belonging to
cuốc	hoes	hoe
cuối	గత	last or final (adj.)
cuốn	కాయిల్	book
cuống	కొమ్మ	throat
cuồng	వెర్రి	crazy (adj.)
cuộc	ది	the
cyanide	సైనైడ్	cyanide
cyber	సైబర్	cyber
cyril	సిరిల్	(proper noun) cyril
cyrus	సైరస్	cyrus
cyworld	cyworld	cyword
cà	కాఫీ	ca
cài	ఇన్స్టాల్	install
càn	అవసరం	raid
càng	మరింత	cang
cành	శాఖ	branch
cào	స్క్రాచ్	scratch
cày	దున్నటం	plow
các	ది	all (adv.)
cách	మార్గం	the
cái	ది	"(term should be ""con cái"") children (n.)"
cán	గాయమైంది	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	వింగ్	wing
cáo	నక్క	report
cáopx|bình	cáopx | సగటు	not a word
cáp	కేబుల్	cable (n.)
cáy	రీల్స్	fiddler
câm	మూగ	mute (adj.)
cân	ప్రమాణాల	weight
câu	వాక్యం	saying
cãi	వాదిస్తారు	argue
cò	ట్రిగ్గర్	stork
còn	ఇప్పటికీ	to have left (v.)
có	కలిగి	have
cói	sedge	machine
cót	మంచం	cot
cô	మిస్	girl
côi	అనాథ	orphaned
côn	taper	a stick (n.)
công	పని	worker
côngtenơ	కంటైనర్	container
cõi	రాజ్యాలుగా	entire area
cõng	పిగ్గీబ్యాక్	piggyback
cù	చక్కిలిగింత	cu
cùi	కుష్ఠరోగులుండినను	leprosy
cùng	మరియు	together
cú	గుడ్లగూబ	old
cúi	విల్లు	to bow (v.)
cúm	ఫ్లూ	cum
cúng	హాయిగా	worship
cúp	కప్	cup (n.)
cút	బయటకి పో	to kick someone out (v.)
căm	ప్లగిన్ చేయబడింది	detest (cam thu)
căn	రాడికల్	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	కధనాన్ని	tense
cũ	పాత	old
cũi	తొట్టి	kennel
cũng	అలాగే	also
cơm	వరి	rice
cư	అనువాదం బాగా	resident
cưa	రంపపు	saw
cưng	నా పసికందు	also
cước	సరుకు	megaman
cưới	వివాహం	marry
cướp	దోచుకుంటున్నారని	to rob (v.)
cười	నవ్వుల	smile
cường	బలమైన	strengthen
cưỡi	స్వారీ	ride
cưỡng	బలవంతంగా	force some body to do some thing. cưỡng dâm=rape
cạc	కార్డ్	card (n.)
cạn	లోతు లేని	shallow
cạnh	అంచు	"(term should be ""khía cạnh"") an angle"
cạo	గొరుగుట	shave
cạp	స్కార్పియన్	scorpion
cả	రెండు	both
cải	ఆవాల	reform
cảm	చల్లని	pleasure
cản	నత్తనడక	prevent
cảng	పోర్ట్	port
cảnh	సన్నివేశం	situation
cảo	లాగుతుంది	posthumous
cấm	నిషేదించుట	ban
cấn	అవసరం	dramatic
cấp	మంజూరు	level or rank (n.)
cất	స్వేదనం	"(term should be ""cất giữ"") to keep safe or store"
cầm	పట్టుకోండి	to hold (v.)
cần	అవసరం	need
cầu	వంతెన	request
cầy	పునుగు	farmed
cẩn	జాగ్రత్త	carefully
cẩu	క్రేన్	"(term should be ""hải cẩu"") a seal (n.)"
cận	విధానం	close
cập	కౌంటర్	mention
cậu	బాయ్	a young man (n.)
cậy	ఆధారపడి	reliable
cắm	అనుసంధానించు	to plant (v.)
cắn	కొరుకు	to bite
cắp	దొంగతనం	steal
cắt	కట్	cut
cằm	గడ్డం	chin
cằn	క్రోధస్వభావం	exhausted (adj.)
cặp	బ్యాగ్	couple
cọ	రబ్	rub
cọc	పైల్	pile
cọp	పులి	tiger
cỏ	గడ్డి	plant
cố	ప్రయత్నించండి	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	కప్పు	cereal
cối	ఫిరంగి	mortar
cốm	నగ్గెట్స్	grilled rice
cống	హరించడం	dedicate
cồn	మద్యం	i
cồng	గాంగ్	gong
cổng	గేట్	gate
cỗ	డెక్	engine
cỗi	మొండి పట్టుదలగల	barren
cộ	వాహన	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	పాత	origin
cộng	ప్లస్	to add (v.)
cột	కాలమ్	pole
cớ	అవసరం లేదు	excuse
cờ	జెండా	flag
cỡ	పరిమాణం	size
cợt	హాస్యంగా	"(term should be ""đùa cợt"") to trifle (v.)"
cục	శాఖ	department
cụm	క్లస్టర్	cluster
cụp	తీసివేయబడిన	down
cụt	తీసివేయబడిన	"(should be ""xương cụt"") the tailbone or coccyx"
củ	దుంపలు	a bulb, a botanical term
của	యొక్క	of
củi	కట్టెల	firewood
củng	కూడా	reinforce
cứ	పై	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	హార్డ్	hard
cứngi	hardi	cungi
cừ	స్తంభాలు	nacre
cừu	గొర్రె	sheep
cửa	తలుపు	door
cửu	గుణకారం	nine
cữ	క	abstinence
cữu	పేటిక	nine
cự	దూరం	against
cựa	స్పర్స్	retreat
cực	పోల్	extreme
cựu	మాజీ	former
d	d	d.
da	చర్మం	skin
daegu	గ్వాంగ్జు	daegu
dahl	డల్	(proper noun) dahl, as in author roald dahl
dai	కఠినమైన	persistent
daily	రోజువారీ	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	డా లాట్	da lat
dampier	డాంపియెర్	(proper noun) dampier, a last name
dan	డాన్	dan
dancing	డ్యాన్స్	dancing
danger	ప్రమాదం	danger
danh	పేరు	list
daniel	daniel	daniel
dante	డాంటే	dante
dao	కత్తి	poniard
darwin	డార్విన్	darwin
das	దాస్	das
dassault	డసాల్ట్	(proper noun) dassault
date	తేదీ	date
dau	ఆయిల్	dau
dave	డేవ్	(proper noun) dave, as in dave sexton
david	డేవిడ్	david, as in david thomas
davies	డేవిస్	davies
davis	డేవిస్	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	డీన్	a name
degree	డిగ్రీ	degree
delhi	ఢిల్లీ	delhi
delphi	డెల్ఫీ	(proper noun) delphi, as in the oracle
demeter	డిమీటర్	(proper noun) demeter, the greek goddess of the harvest
den	డెన్	den
dennis	డెన్నిస్	dennis
department	శాఖ	departmen
derek	డెరెక్	derek
des	డెస్	des
descartes	డెస్కార్టెస్	descartes
design	thiết kế	thiet ke
deuterium	డ్యుటీరియం	deuterium
deutschland	deutschland	deutschland
dewan	దేవన్	dewan, as in dewan rakyat
dewitt	డేవిట్	(proper noun) dewitt, as in rose dewitt bukater
di	డి	move
diana	డయానా	(proper noun) diana, as in diana ross
die	చనిపోయే	german
diego	డియెగో	diego
dien	వెర్రి	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	డిమగ్గియో	gimaggio
dinh	ప్యాలెస్	official residence or palace
dionysus	డియోనిసస్	dionysus, as in the greek god
discovery	ఆవిష్కరణ	discovery
discussion	చర్చ	discussion
disneyland	డిస్నీల్యాండ్	disneyland
division	విభజన	division
divoire	divoire	d'lvoire
diêm	మ్యాచ్లు	diem vuong
diên	వెర్రి	"(term should be ""kinh diên"") canon (n.)"
diềm	valances	matches
diều	గాలిపటం	kite
diểu	ప్రహసనము	(proper noun) diểu
diễm	డిఎం	beauty; a common vietnamese first name for women
diễu	మార్చి	parade
diệc	కొంగ	a heron (n.)
diệm	డిఎం	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	ముఖం	face to face
diệt	కిల్	to kill or destroy (v.)
diệu	మేజిక్	effective (adj.)
djibouti	జైబూటీ	djibouti, a country in africa
djokovic	జొకోవిక్	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	ద్వారా	because of
doanh	ఉమ్మడి	"(term should be ""kinh doanh"") business (n.)"
doc	డిఓసి	doc
docherty	డోకర్డీ	docherty
dolly	డాలీ	(proper noun) dolly, as in singer dolly parton
dome	గోపురం	nha
dominican	డొమినికన్	(proper noun) dominican, as in the dominican republic
don	డాన్	(proper noun) don
donau	డౌనౌ	donau
dortmund	డార్ట్మండ్	(proper noun) dortmund
dougherty	డౌఘెర్టీ	dougherty
douglas	డగ్లస్	douglas
dover	డోవర్	(proper noun) dover, as in the capital of delaware
doyle	డోయల్	doyle
doãn	doan	doan
doạ	బెదిరించడం	threat
dp	డిపి	dp
dracula	డ్రాక్యులా	dracula
draft	డ్రాఫ్ట్	draft
drake	డ్రేక్	(proper noun) drake
driver	డ్రైవర్	a name
ds	ds	ds
dtd	dtd	dtd
dth	డిటిహెచ్	dth
du	డు	travel
dubai	దుబాయ్	dubai
duiker	డుయ్కెర్	duiker
duk	డ్యూక్	duk
dumas	dumas	dumas
dumbledore	డంబుల్డోర్	dumbledore
dung	పేడ	portrait
