$	dollarni tashkil etadi	your
baraawe	matal	barawa
baracaatika	joy almashtirish	baracaatika
barack	barak	barack
baraf	qor	ice
baraguay	duo	baraguar
barakaat	bilasiz	albarakat money has been frozen.
barakacii	joy almashtirish	barakacii
baran	o&#39;rganish	learn
barano	keling, bilib olamiz	learn every new technology needed
barashada	o&#39;rganish	learning
barashadiisa	uning o‘rganishi	no association
barashadiisii	uning o‘rganishi	barashadiisii
barasho	o&#39;rganish	education
barasiil	guruch	barasiil
barawe	taqlid	barawe
barax	falaj	mixture of milk and water
baray	o&#39;rgatilgan	he taught
barayaal	tarbiyachilar	teachers
barayoo	o&#39;rganish	barayoo
barbaaray	ko&#39;tarildi	he became mature
barbaarin	tarbiyalash	raise
barbaarinta	tarbiya	the youth training
barbaariyo	boqmoq	teach
barbaraawi	barbaraw	barbaraawi
barde	barre	forced
bare	o&#39;qituvchi	teacher
bareen	o&#39;rganish	we avail
bari	ijozat bering	east
baridiisa	uning barakasi	soundly
bariga	sharqda	east
bariidka	guruch	the rice
bariire	arpa	bariie
bariis	guruch	rice
bariise	guruch	bariise
bariiska	guruch	bariiska
barina	chapga	informed very quickly by tomorrow
barisoomaaliya	targ&#39;ibot	somalia to the east
barista	ta&#39;lim berish	the teaching
baritish	baritga oid	baritish
barkaan	yarmi	barkaan
barkaanle	yordamchi	barkannle
barkada	basseyn	barkada
barlamaankadfkmg	tinchlikni saqlash	parliament (dfkmg)
barlamaankiyo	parlament	barlamaankiyo
barlamanka	sizning parlamentingiz	the parliment
barlaskooni	barrikon	barlaskooni
barliin	barlin	barliin
barnaamijka	dasturi	program
barnaamijkan	ushbu dasturda	this program
barnaamijyada	dasturlari	programs
baro	o&#39;rganish	learn
baroordiiqa	motam	the consoling
baroordiiqda	motam	the consoling
barooyosoomaaliya	profil	barooyosoomaaliya
barre	barre	barre
barrow	baraban	barrow
barsane	panjara	a small village
barta	nuqta	the mark
bartaan	o&#39;rganish	learn
bartamaha	o&#39;rtasida	central
bartamihii	o&#39;rtasida	middle
bartan	mazkur holatda	center
bartay	o&#39;rgangan	he studied
bartey	qandaydir	learned it in america
barto	o&#39;rganish	learn
barwaaqa	farovonlik	wish
barwaaqo	farovonlik	prosperity
baryaya	ochiqchasiga	ambassadors
baryayaa	ibodat qiling	please
baryey	- deb yolvordi	dawn broke
baryi	tilanchilik	call
basaas	josus	spy
base	tayanch	still has naval base center
based	asoslangan	based
baseey	tayanch	baseey
bashiir	bankrotlik	bashir
bashir	bashir	bashir
bataatiga	kartoshka	bataatiga
batalaale	do&#39;stlar	batalaale
batay	oshdi	he increased
bateen	ko&#39;paytirildi	batten
batroolka	neft	the petrol
batuuta	yolg&#39;on gapirish	batuuta
baw	baw	baw
baxa	tashqariga chiqish	the exit
baxaa	barglari	to be gone
baxaan	tashqariga chiqish	leave
baxay	tashqarida	he went out
baxayaa	barglari	must die
baxda	tashqariga chiqish	's tender
baxdaa	chiqib keting	it grows
baxday	tashqariga chiqdi	he went out
baxdo	chiqib keting	withdraw
baxeen	ular tashqariga chiqishdi	they left
baxiira	og&#39;zingni yop	baxiira
baxo	barglari	get out
baxrayn	tarang	bahrain
baxsaday	qochib ketdi	he escaped
baxsadeen	qochib ketdi	escaped
baxsan	tashqarida	outside
baxsanida	qochish	baxsanida
baxshay	to&#39;langan	was named
bay	ko&#39;rfaz	they
baybalka	bibliya	baybalka
baybalku	bibliya	baybalku
baydhaba	ortga burilmoq	baidobow
baydhabo	o&#39;girilib	baydhabo
baydhabotan	bu yerga	baydhabotan
baylah	himoyasiz	susceptible
bayna	yo&#39;l	she
bayoloji	biologiya	biology
bayolojigu	biologiya	bayolojigu
bayoolojiga	biologiya	the biology
baytulaxam	moslik	baytulaxam
bbc	va boshqalar.	bbc
be	bo&#39;lmoq	la
bebad	soqol	bebad
bed	to&#39;shak	area
beddelo	o&#39;zgartirish	changed
bedelaan	o&#39;zgartirish	would move
bedelay	o&#39;zgartirildi	games will be held in
bedeli	uni o&#39;zgartiring	change
bedelin	o&#39;zgarishsiz	not revise
bedka	bo&#39;sh joy	bedka
beebeen	yo&#39;qolgan	beebeen
beedkeediiduqaydii	mening baqlajonim	beedkeediiduqaydii
beegan	tasodif	fall
beegsaday	maqsadli	he tried to measure up to
beel	hamjamiyat	clan
beelaha	jamoalar	clans
beelahaas	o&#39;sha jamoalar	those clans
beelahakan	bu jamoalarda	beelahakan
beelihii	jamoalar	the clans
beelo	yo&#39;qolgan	clans
beelood	jamoalar	clans
beelweynta	hamjamiyat	beelweynta
been	yolg&#39;on	lie
beenawday	yolg&#39;on	beenawday
beeni	inkor qilmoq	contradict
beeniyana	rad eting	and rejects
beeniyeen	rad qilindi	lie
beenta	yotadi	false
beentana	yolg&#39;on gapirma	beentana
beer	dala	farm
beera	ekish	harvest
beeraha	qishloq xo&#39;jaligi	agriculture
beeraleey	dehqon	farmers
beerato	o&#39;simlik	beerato
beeray	ekilgan	he planted
beereed	so&#39;rash	agricultural
beero	ekish	plant
beeroley	dehqon	farmer
beerta	bog&#39;da	farm
beerto	ekish	always reap what you sow
beesha	hamjamiyat	clan
beeshu	soqol	clan
beeyay	m	beeyay
being	bo&#39;lish	being
belarus	belarus	belarus
beledweyne	beledveyn	beledweyne
belfast	nonushta	belfast
belgium	belgi	belgium
beljim	belgiyalik	beljim
belkooda	ularning kamari	belkooda
belo	belo	evil
benin	dastgoh	benin
benito	benito	benito
berbera	anjir	berbera
berberaburao	ertaga	berberaburao
berigii	keyinroq	one day
bermer	bermer	bermer
bern	bern	bern
besha	besha	besha
between	orasida	between
bey	aka	she
beytkiisa	uning uyi	beytkiisa
biblia	bibliya	biblia
bidcada	bid&#39;atlar	fundamentalism
bidco	bidko	heresy
bidix	chapga	left
biir	pivo	beer
biira	pivo	becomes
biiray	qo&#39;shildi	have joined
biirey	qo&#39;shildi	biirey
biiro	miyalar	accumulation
biirtay	qo&#39;shildi	did you join
bik	bi	bik
bikra	bokira	bikra
bil	oy	month
bilaa	holda	without
bilaabaan	boshlash	start
bilaabata	boshlanadi	starts
bilaabatay	boshlandi	started
bilaabato	boshlanadi	slipped away one by one
bilaabay	boshlandi	he started
bilaabayaa	boshlanadi	start
bilaabeen	boshlandi	started
bilaabidda	boshlash	start or stop
bilaabmay	boshlandi	he got started
bilaabo	dan	start
bilaal	medal	bilal
bilaawday	boshlandi	was begun in 1955
biladao	medal	biladao
bilaha	oylar	months
bilawday	boshlandi	started
bilawga	boshlanishi	the start
bilawgii	boshidan	beginning of
bilay	oy	he promoted
bile	safro	bile
bill	hisob-kitob	elections bill
billaabo	boshidan	start
biloobo	dastlabki	biloobo
bilood	oylar	months
bilow	boshlash	beginning
bilowday	boshlandi	started
bilowgii	boshidan	initial
bilsho	bilsho	bilsho
bilwaday	ko&#39;tarildi	bilwaday
bin	quyidagi	bin
bini	inson	think about
biniaadamka	insoniyat	human immunodeficiency virus
biniaadanka	sizning insoniyligingiz	biniaadanka
bintu	bintu	daughter
binu	uzr	human
bir	temir	iron
biritishka	inglizlar	its pronunciation
birmingham	birmingem	birmingham
birta	temir	the iron
bisha	oy	the month
bishii	oy	last month
bishiisa	uning oyi	bishiisa
bishuna	bishuna	bishuna
bisinka	bis	the bismillahi
bisiqa	biceps	the large tree
bisiqley	bisiqley	bisiqley
bislaado	pishgan	bislaado
bislaanaayo	pishgan	bislaanaayo
bixi	tashqariga chiqish	take out
bixin	tashqarida	pay
bixinta	ta&#39;minlash	payment
bixisaa	beradi	pay
bixisay	to&#39;langan	paid
bixiya	taqdim etilgan	pay
bixiyaan	ta&#39;minlash	bixiyan
bixiyay	taqdim etilgan	grow out
bixiyey	taqdim etilgan	he gave
biyaha	suv	water
biyihii	suv	the water
biyo	suv	water
bmp	bmp	bmp
bni	bni	bni
bog	sahifa	page
boga	sahifa	page
bogaadin	iltifot	the family
bogaan	ushbu sahifa	go right ahead
bogan	bogan	would satisfy
bogga	sahifa	page
boggan	ushbu sahifa	this page
bohol	krater	depression
boire	boire	boire
bois	bois	bois
boland	boland	boland
bold	qalin	different shapes
bole	bole	bole
boliifia	biliifia	boliifia
bolis	bolus	bolis
bolkaniskaee	tugmani o&#39;ynating	bolkaniskaee
bollywood	bolgar	bollywood
bombeelmada	bombalash	bombeelmada
boob	talamoq	robbery
bood	sakraydi	jump
boodhari	burish	bodhari
booliiska	politsiya	police
booliska	politsiya	the police
boon	maqtov	boon
boondheere	qidirish	boondheere
booqan	tashrif	visit
booqanaya	tashrif	visited
booqashada	tashrif	the visit
booqashadeydi	mening tashrifim	booqashadeydi
booqdaa	tashrif	booqdaa
booqdaan	tashrif buyurmoq	visit
booqday	tashrif buyurdi	he visited
booqdayaasha	tashrif buyuruvchilar	booqdayaasha
booqdo	tashrif	visit
boorama	qovoq	borama.
boorame	qovoq	borame
boorin	chaqirish	boorin
boorinta	nasihat	boorinta
boosaaso	bosaso	bosaso
boosaha	post	boosaha
booskii	joy	position
booskiisii	uning joyi	was
boqol	yuz	hundred
boqolkii	yuz	out
boqolkiiba	foiz	percent
boqolsoon	yuz	boqolsoon
boqor	shoh	king
boqorad	malika	queen
boqoraddii	malika	queen
boqorka	qirol	the king
boqorkayow	shohim	boqorkayow
boqorkii	qirol	the king
boqornimada	qirollik	yes indeed
boqortooyada	qirollik	kingdom
boqortooyadii	qirollik	kingdom
boqortooyadu	qirollik	kingdom
boqortooyo	qirollik	kingdom
boqray	shoh	he made king
borama	borama	awdal borama
borogaramyo	dasturchilar	borogaramyo
bortaqiiska	portugalcha	greek
borwa	kelmoq	borwa
bosniya	tushkunlik	bosniya
botha	ikkalasi ham	botha
botswana	botsvana	"botswana ""african country name"""
brdm	brdm	brdm
britain	britaniya	britain
britan	ertaga	britan
britanwaxa	ertaga	britanwaxa
british	britaniyalik	british
btr	btr	btr
buaale	buklar	buaale
budh	budda	club
buhoodle	xaridor	odweyne b
buka	kasal	sick
bukhaari	kaput	bukhari
bukhari	buxoriy	he said in another tradition in
bulgaariya	bolgariya	bulgaariya
bulgaria	bulgariya	bulgaria
bullaxaar	kanalizatsiya	bullahar
bulleted	o&#39;q bilan	dheddiga
bulshada	hamjamiyat	social
bulshadabawaayo	hamjamiyat yo&#39;q	bulshadabawaayo
bulshadeennu	bizning hamjamiyatimiz	bulshadeennu
bulshadii	hamjamiyat	people
bulsho	ijtimoiy	society
bun	bulka	coffee
buq	shovqin	spring
bur	un	flour
buraan	shish	now its important
burbur	yo&#39;q qilish	disaster
burburay	qulab tushdi	it was crushed
burburinta	halokatli	he was ravaging
burburintii	halokat	in
burburiyay	yo&#39;q qilindi	it destroyed
burburiyeen	yo&#39;q qilindi	have destroyed
burburiyey	yo&#39;q qilindi	he destroyed
burburka	yo&#39;q qilish	the destruction
burburkii	qulashi	destruction
burburku	yo&#39;q qilish	rehabilitation of
burburtay	qulab tushdi	collapse
burco	burko	burao
burkina	mening burgerlarim	burkina
burma	burma	burma
buro	shish	growth
bursadeen	ovlangan	bursadeen
burtinle	burtinle	burtinle
burton	burton	buton
burundi	burundi	burundi
bush	buta	bush
bushaaranaynaa	duo qilamiz	bushaaranaynaa
businessman	tadbirkor	businessman
buskoon	avtobusda	buskoon
busra	un	busra
but	lekin	but
butaan	maqtov	butaan
buu	u	he
buuciya	oziqlantiruvchi	buuciya
buug	kitob	book
buuga	kitob	book
buugaagta	kitoblar	books
buugga	kitob	the book
buuhoodle	shovqin	buhoodle
buulo	uyasi	village
buuloburde	buldozer	buuloburde
buuloburte	kuchukcha	buuloburte
buundo	ko&#39;prik	bridge
buuq	shovqinli	noise
buur	tog &#39;	mountain
buuraha	tog&#39;lar	the mountains
buurdhuubo	tish go&#39;shti	buurdhuubo
buuriga	tamaki	the cigar
buuro	tog&#39;lar	butter
buurta	tog &#39;	the mountain
buurweyn	semirish	buurweyn
buuxa	to&#39;la	full
buuxaan	to&#39;la	full
buuxda	to&#39;la	the full
buuxin	to&#39;ldiring	fill
buuxinaya	to&#39;ldirish	completing from
buuxsadaye	to&#39;la edi	buuxsadaye
by	tomonidan	by
c	v	c
caabbi	qarshilik	resistance
caabinta	qarshilik	rahanwein resistance army
caabuda	sig&#39;inish	serve
caabudaa	sig&#39;inish	worship him must worship
caabudaan	sig&#39;inish	worship
caabudi	sig&#39;inish	worship
caabudistiisa	uning sajdasi	caabudistiisa
caabudo	sig&#39;inish	worship
caabudwaaq	sig&#39;inish	abudwaq
caad	odat	ad
caadalad	noto&#39;g&#39;ri	cornerstone
caadi	normal	normal
caadiga	normal	the normal
caado	odat	habit
caafimaad	sog&#39;liq	health
caafimaadka	sog&#39;liq	health
caag	plastik	caagg caagg caagg
caaggan	bu idish	shying away from something
caaid	yordam	caaid
caajis	zerikarli	lazy
caalami	xalqaro miqyosda	international
caalamiga	xalqaro miqyosda	international
caalamiya	xalqaro miqyosda	huge effort will be taken
caalamka	koinot	the world
caalamkka	xalqaro miqyosda	caalamkka
caalamku	koinot	international community
caalim	olim	him
caalimkii	olim	caalimkii
caalimudiin	olim	caalimudiin
caalin	maslahat	scientist
caalmaka	odamzod	from different countries
caalmka	dunyoda	caalmka
caamul	kamera	caamul caamul
caan	mashhur	well-known
caana	sut	milk
caanaha	sut	milk
caanbaxday	mashhur	vaanbaxday
caanka	mashhur	the famous
caano	sut	milk
caansan	mashhur	famous
caansana	mashhur	caansana
caansanaa	mashhur	it was famous
caaqil	dono	wise
caas	poytaxt	caas
caasha	sevgi	asha
caashaq	sevgi	love
caashaqa	sevgi	the romance
caasimad	poytaxt	capital
caasimada	poytaxt	capital
caasimadaha	poytaxtlar	capital cities
caasimadda	poytaxt	the capital
caasimadiisa	uning poytaxti	conference that would take place
caato	yupqa	atto
caawa	bugun kechqurun	tonight
caawin	yordam	help
caawinaayaan	yordam beradi	will help
caawisayba	yordam berdi	caawisayba
caawiyey	yordam berdi	he helped
caawiyo	yordam	help
cabaar	bir lahzaga	a wait
cabaas	kabaret	abbas. they show
cabbaas	kabellar	abbas
cabbay	ichdi	he drank
cabbeen	ichdi	drank from it
cabdalla	kabdalla	abdalla
cabdalle	kabdalle	abdalla
cabdi	ichish	abdi
cabdicasiis	qo&#39;rqinchli	abdiasis
cabdilaahi	abdulahiy	cabdilaahi
cabdillaahi	abdulloh	abdullai
cabdillahi	abdulahiy	cabdillahi
cabdille	kabilde	abdulle
cabdimanaaf	palatalar	weather
cabdimudhalib	kabdimudhalib	cabdimudhalib
cabdinaasir	giyohvandlik	abdinasir
cabdiqaasim	cabhyqaasim	abdiqasim
cabdirashid	kabrarashid	dr. abdirashid
cabdirashiid	o&#39;lchov	abdi rasheed
cabdiraxmaan	tushuntirish	abdirahman
cabdiraxman	kabdiraxmon	abdirahman
cabdirisaaq	o&#39;lchov	abdirizak
cabdisalaan	qo&#39;rqishadi	abdisalam
cabdixaaji	bo&#39;lsin	cabdixaaji
cabdmudhalib	ittifoq	cabdmudhalib
cabdulaahi	kafe	abdullahi
cabdulahi	o&#39;g&#39;irlab ketish	abdullahi
cabdule	kabule	abdul
cabdullaahi	abdulloh	abdullahi
cabdullahi	abdulloh	abdullahi
cabdulle	abdulle	abdulle
cabdulmalik	cabalmalik	cabdulmalik
cabdulmuncim	cabdulmuncim	cabdulmuncim
cabdulqaadir	mitti	abdulqadir
cabdulraxmaan	abdurahmonning o&#39;g&#39;li	cabdulraxmaan
cabduqaadir	tiqilib qolish	abdulqadir
cabduraxmaan	ashula	cabduraxmaan
cabid	ichmoq	drink
cabir	o&#39;lchov	size
cabirka	hajmi	optometrist
cabitaanka	ichish	the drink
cable	kabel	cable
cabsada	qo&#39;rquv	fear
cabsi	qo&#39;rquv	fear
cabsida	qo&#39;rquv	the fear
cabudhiyaan	qo&#39;rqitmoq	its not only
cad	ravshan	clear
cadaa	oq	i don't know
cadaada	siqish	cadaadaq
cadaadis	zulm	pressure
cadaado	ravshan	adado
cadaalada	adolat	justice
cadaaladda	adolat	justice
cadaalda	adolat	cadaalda
cadaan	oq	white
cadaanka	oqlar	white
cadaatay	isbotladi	reports had proved
cadaawe	dushman	enemy
cadal	atir	cadal
cadale	adair	adale
cadami	kadmiy	adami), who spoke
cadan	oq	aden
cadawga	dushman	the opponent
cadaymaa	dalil	cadaymaa
cadcad	ravshan	white
cadceed	quyosh	sun
cadceedu	quyosh	--getting its rays
caddaalad	adolat	justice
caddaatay	aniq bo&#39;ldi	it became clear
caddayn	dalil	declaration
caddaynaya	buni isbotlash	establishing
caddaynta	dalil	the declaration
cadde	isbotlang	adde
caddeeyay	isbotladi	declared
caddoow	aniq bo&#39;ling	caddoow
cade	aniq bo&#39;ling	clear
cadeeyay	isbotladi	smiled
cadexamar	aniq bo&#39;ling	cadexamar
cadi	oq	cadi
cadmeed	kursant	aden
cadnaa	aniq	cadnaa
cadnaan	kadans	adnaan
cadoo	cad	cadoo
cadoow	dushman	cadoow
cadow	dushman	enemy
cadowgiin	sizning dushmaningiz	cadowgiin
cadrad	atir	virgin
cafaan	afv etish	othman ibnu afan
cafariga	kechirish	cafariga
cafarigaluqada	kechirish	cafarigaluqada
cafimaad	sog&#39;liq	nutrition programs
caga	yalangoyoq	marines
cagaaran	yashil rangda	green
cagaarka	ko&#39;katlar	the green grass
cago	oyoq	feet
cagta	oyoq	football
cairo	g&#39;azab	cairo
cajalad	lenta	tape
cajiib	ajoyib	wonder
calaa	g&#39;azab	palm
calaamad	belgi	sign
calaamd	belgi	calaamd
calaamdaha	alomatlar	symptoms
calaamka	belgisi	calaamka
calaamooyin	belgilari	signs
calaamooyinkaas	bu belgilar	calaamooyinkaas
calan	bayroq	flag
calanka	bayroq	the flag
calankaba	bayroq	calankaba
calanku	bayroq	flag was green
calanle	bayroq	calanle
calasoow	tekshirib ko&#39;r	calasoow
calasow	bayroq	calasow
calayhi	ertalab	calayhi
cali	kali	ali
caliaxmed	qiynaldi	caliaxmed
called	chaqirdi	called
calool	oshqozon	stomach
caluula	qo&#39;pol	aluula
camaamad	rishta	camaamad
camal	amal	deeds
camallada	amallar	camallada
camalladiisa	uning qilmishlari	camalladiisa
camaloow	qimorboz	camaloow
camar	kamar	insect that eats hide while it is drying
cambaha	odob-axloq qoidalari	cambaha
camiran	camiran	well furnished
campaign	kampaniyasi	barnaamij
camuud	qum	sand
can	mana	cheek
canbaha	uzum	canbaha
canfar	shamollash	afar
canfartu	sovuq	canfartu
cape	kaput	cape
captain	kapitan	captain
caqabadna	qiyinchilik	caqabadna
caqiidada	ta&#39;limot	reflect
caqli	dono	intelligence
caqliga	aql	the intelligence
caqligu	mantiq	would
car	mashina	freshness
caraale	karamel	punishment
caraaye	ko&#39;ngli qolgan	caraaye
carab	arab tilida	arab
caraba	arablar	arabian countries; said report
carabi	arab tilida	arabic
carabiga	arab tilida	carabiga
carabigu	arab tilida	carabigu
carabiya	arabistonda	arabia
carabka	til	the arab
carabkana	arab tilida	will stretch forth toward
carabta	arablar	arab league
carabtii	peshinda	arabs who
carabtu	arabcha	arabian
carabعبد	arabcha عbd	arab
carabعبدالله	karab عbdاllh	arab
carafaat	karafat	arafat
cararay	qochib ketdi	he ran away
carareen	qochib ketdi	fled
carartay	qochib ketdi	her
carbeed	arab tilida	arabian
carbta	til	arab dress and succeeded
card	karta	card
carif	sazan	carif
cariif	engil	carief
caroone	karoton	caroone
carqaladaynkaro	buzildi	carqaladanka
carrabey	ovozsiz	carrabey
carro	tuproq	soil
carruur	bolalar	children
carruureede	bolalar	carruureede
carruurta	bolalar	children
carruurtiisa	uning bolalari	children
carruurtiisu	uning bolalari	children who respect
cars	avtomobillar	cars
carta	karta	arta
cartan	arava	roar
carte	arava	arte
caruur	bolalar	children
caruurta	bolalar	curuuta
caruurtii	bolalar	the children
caruurtiisa	uning bolalari	his children
caruurtooda	ularning bolalari	their children
cas	qizil	red
case	quti	case
casharadan	ushbu darsda	casharadan
casharka	dars	the lesson
casharkii	dars	lesson
casho	kechki ovqat uchun	dinner
cashocado	kechki ovqat uchun	cashocado
casi	qizil	casi
casiis	qizil	respectability
casimada	kechqurun	casimada
casir	yangilash	afternoon prayers
casmara	qizil	casmara
casri	zamonaviy	modern
casriga	zamonaviy	the era
casrigan	hozirgi zamonda	talks about most
casriyadii	zamonaviy	casriyadii
casriyeesan	hozirgi kungacha	casriyeesan
casriyeesanwaxeena	bizning zamonaviy davlatimizda	casriyeesan , our
casumay	taklif qilingan	he invited
casuumay	taklif qilingan	dignitaries
casuura	taklif qilish	casuura
cawaale	belkurak	awale
cawil	kulrang	substitute
cawo	chaynash	tonight
caws	o&#39;t	grass
cay	haqorat qilish	insult
cayaar	o&#39;ynash	play
cayaaraha	sport	sports
caydiid	haqorat qilish	aided
cayiman	belgilangan	fixed
cayimey	belgilangan	cayimey
cayn	mehribon	kind
caynaba	har qanday turdagi	aynabo
caynabo	parda	aynaba
ccc	ccc	ccc
ceeb	uyat	shame
ceel	yaxshi	well
ceelaayo	uyatsiz	ceelaayo
ceelal	yaxshi	wells
ceelasha	quduqlar	wells
ceelbuur	quduq	called el-buhr
ceelcad	yaxshi	feerfeer town
ceeldheer	quduq	aeldeare district
ceelgaal	yaxshi	ceelgaal
ceelhuur	quduq	ceelhuur
ceelka	quduq	"well ""water hole """
ceelkii	quduq	well
ceelku	quduq	the well got full
ceerigaabo	tuman	erigabo
ceerigabo	tumanli	sanag erigabo
ceeryaamo	tuman	fog
celi	takrorlang	repeat
celin	takrorlash	return
celisa	vazmin	who
celiya	ushlab turing	back
celiyay	ushlab turildi	thanked
