$ tỉ	$ અબજ	$ billion
cinderella	સિન્ડ્રેલા	cinderrella
cip	cip	cip
circus	સર્કસ	circus
cities	શહેરો	cities
clara	ક્લેરા	clara
clark	ક્લાર્ક	clark
claude	ક્લોડ	(proper noun) claude
claudius	ક્લાઉડીયસ	(proper noun) claudius
clinton	ક્લિન્ટન	clinton, as in former president bill clinton
clip	ક્લિપ	clip
clips	ક્લિપ્સ	clips
clo	ક્લોરિન	chlorine
clow	હલાવવું	clow
clyde	ક્લાઇડ	(proper noun) clyde, as in bonnie and clyde
cmc	સે.મી.સી.	cmc
cmt	સે.મી.ટી.	cmt
cn	સી.એન.	christian era
cnet	સી.એન.ટી.	cnet
cntb	cntb	capitalism
cntt	સી.એન.ટી.ટી.	it
cnxh	cnxh	social republic
co	સહ	spasm
coburn	કોબર્ન	coburn
cocoa	કોકો	cocoa
coen	coen	coen
coffea	શબપેટી	coffee
cohen	કોહેન	cohen
coi	જુઓ	to regard
coleen	કોલિન	coleen
coleman	કોલમેન	coleman
coli	કોલી	coli
colin	કોલિન	(proper noun) colin, as in colin powell
colleen	કોલિન	colleen
college	ક collegeલેજ	college
collins	ટકરાતા	(proper noun) collins
collège	અથડામણમાં	college (n.)
colombia	કોલમ્બિયા	colombia
colombo	કોલંબો	(proper noun) colombo
colorado	કોલોરાડો	(proper noun) colorado, as in the state
columbus	કોલમ્બસ	columbus
comic	હાસ્ય	comic
common	સામાન્ય	common
concacaf	કોનટેકફ	concacaf
concerto	કોન્સર્ટટો	concerto
concorde	સમજૂતી	concorde
condom	કોન્ડોમ	condom
cong	વક્ર	curved or bent
congo	કોન્ગો	congo
congress	કોંગ્રેસ	congress, as in library of congress
connecticut	કનેક્ટિકટ	connecticut
conrad	કોરાડ	corrad
conservation	સંરક્ષણ	conservation
constantine	સતત	constantine
contemporary	સમકાલીન	contemporary
cooper	કૂપર	(proper noun) cooper
copenhagen	કોપનહેગન	copenhagen
copernic	કોપરનિક	corpernic
copperfield	કોપરફિલ્ડ	(proper noun) copperfield, as in magician david copperfield
coppola	કોપપોલા	coppola
copy	નકલ	copy
cordyceps	કોરીસીપ્સ	cordyceps
core	મૂળ	core
cornell	કોર્નેલ	cornell
cosin	કોસિન	cosine
costa	કોસ્ટા	costa
cotang	કોટાંગ	cotangent
cpt	સી.પી.ટી.	cpt
craig	ક્રેગ	(proper noun) craig
crazy	પાગલ	crazy
crespo	ક્રેસ્પો	(proper noun) crespo
crest	ક્રેસ્ટ	crest
crew	ક્રૂ	crew
crimson	ક્રિમસન	crimson
crisis	સંકટ	crisis
cristiano	ક્રિસ્ટિયાનો	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	ક્રોએશિયા	croatia
cross	ક્રોસ	cross
crs	સીઆર	crs
cruz	ક્રુઝ	cruz
cruzeiro	ક્રુઝેરો	cruzeiro
crystal	સ્ફટિક	crystal
ctc	સીટીસી	ctc
cua	કરચલો	crab (n.)
cullen	પરાકાષ્ઠા	a name
cung	નમવું	circle
cunningham	કનીંગહામ	cunningham; proper name
cup	કપ	cup
cuả	ની	of, from, belonging to
cuốc	hoes	hoe
cuối	છેલ્લા	last or final (adj.)
cuốn	કોઇલ	book
cuống	દાંડી	throat
cuồng	પાગલ	crazy (adj.)
cuộc	આ	the
cyanide	સાયનાઇડ	cyanide
cyber	સાયબર	cyber
cyril	સિરિલ	(proper noun) cyril
cyrus	સાયરસ	cyrus
cyworld	સાયકવર્લ્ડ	cyword
cà	કોફી	ca
cài	સ્થાપિત કરો	install
càn	જરૂર છે	raid
càng	વધુ	cang
cành	શાખા	branch
cào	શરૂઆતથી	scratch
cày	ખેડવું	plow
các	આ	all (adv.)
cách	માર્ગ	the
cái	આ	"(term should be ""con cái"") children (n.)"
cán	વળેલું	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	પાંખ	wing
cáo	શિયાળ	report
cáopx|bình	કોપક્સ | સરેરાશ	not a word
cáp	કેબલ	cable (n.)
cáy	ફિડલર	fiddler
câm	મૂંગું	mute (adj.)
cân	ભીંગડા	weight
câu	વાક્ય	saying
cãi	દલીલ કરો	argue
cò	ટ્રિગર	stork
còn	હજુ પણ	to have left (v.)
có	છે	have
cói	કાદવ	machine
cót	પારણું	cot
cô	મિસ	girl
côi	અનાથ	orphaned
côn	ટેપર	a stick (n.)
công	કામ	worker
côngtenơ	કન્ટેનર	container
cõi	ક્ષેત્ર	entire area
cõng	પિગીબેક	piggyback
cù	ગલીપચી	cu
cùi	રક્તપિત્ત	leprosy
cùng	અને	together
cú	ઘુવડ	old
cúi	નમવું	to bow (v.)
cúm	ફ્લૂ	cum
cúng	હૂંફાળું	worship
cúp	કપ	cup (n.)
cút	બહાર જા	to kick someone out (v.)
căm	પ્લગ ઇન	detest (cam thu)
căn	આમૂલ	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	પટ	tense
cũ	વૃદ્ધ	old
cũi	cોરની ગમાણ	kennel
cũng	તેમજ	also
cơm	ચોખા	rice
cư	વસ્તી	resident
cưa	જોયું	saw
cưng	મારા બાળક	also
cước	નૂર	megaman
cưới	પરણિત	marry
cướp	લૂંટ	to rob (v.)
cười	હસવું	smile
cường	મજબૂત	strengthen
cưỡi	સવારી	ride
cưỡng	ફરજ પડી	force some body to do some thing. cưỡng dâm=rape
cạc	કાર્ડ	card (n.)
cạn	છીછરા	shallow
cạnh	ધાર	"(term should be ""khía cạnh"") an angle"
cạo	હજામત કરવી	shave
cạp	વીંછી	scorpion
cả	બંને	both
cải	સરસવ	reform
cảm	ઠંડા	pleasure
cản	પીડિત	prevent
cảng	બંદર	port
cảnh	દ્રશ્ય	situation
cảo	બનાવ્યા	posthumous
cấm	પ્રતિબંધિત કરો	ban
cấn	જરૂર છે	dramatic
cấp	અનુદાન	level or rank (n.)
cất	નિસ્યંદિત	"(term should be ""cất giữ"") to keep safe or store"
cầm	પકડી રાખવું	to hold (v.)
cần	જરૂર છે	need
cầu	પુલ	request
cầy	સિવિટ	farmed
cẩn	સાવચેત રહો	carefully
cẩu	ક્રેન	"(term should be ""hải cẩu"") a seal (n.)"
cận	અભિગમ	close
cập	કાઉન્ટર	mention
cậu	છોકરો	a young man (n.)
cậy	આધાર રાખે છે	reliable
cắm	માં નાખો	to plant (v.)
cắn	ડંખ	to bite
cắp	ચોરી	steal
cắt	કાપવું	cut
cằm	રામરામ	chin
cằn	ખરાબ	exhausted (adj.)
cặp	થેલી	couple
cọ	ઘસવું	rub
cọc	ખૂંટો	pile
cọp	વાઘ	tiger
cỏ	ઘાસ	plant
cố	પ્રયાસ કરો	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	કપ	cereal
cối	મોર્ટાર	mortar
cốm	ગાંઠો	grilled rice
cống	ડ્રેઇન	dedicate
cồn	દારૂ	i
cồng	ગોંગ	gong
cổng	દરવાજો	gate
cỗ	તૂતક	engine
cỗi	જિદ્દી	barren
cộ	વાહનો	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	વૃદ્ધ	origin
cộng	વત્તા	to add (v.)
cột	ક columnલમ	pole
cớ	બહાનું	excuse
cờ	ધ્વજ	flag
cỡ	કદ	size
cợt	મજાક	"(term should be ""đùa cợt"") to trifle (v.)"
cục	વિભાગ	department
cụm	ક્લસ્ટર	cluster
cụp	વિચ્છેદિત	down
cụt	વિચ્છેદિત	"(should be ""xương cụt"") the tailbone or coccyx"
củ	કંદ	a bulb, a botanical term
của	ના	of
củi	લાકડા	firewood
củng	પણ	reinforce
cứ	પર	any
cức	કૂ	"(term should be ""cức Đê"") a character in chinese history"
cứng	સખત	hard
cứngi	હાર્ડી	cungi
cừ	ધ્રુવો	nacre
cừu	ભોળું	sheep
cửa	દરવાજો	door
cửu	ગુણાકાર	nine
cữ	ક્યુ	abstinence
cữu	કાસ્કેટ	nine
cự	અંતર	against
cựa	spurs	retreat
cực	ધ્રુવ	extreme
cựu	ભૂતપૂર્વ	former
d	ડી	d.
da	ત્વચા	skin
daegu	ડેગુ	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	અઘરું	persistent
daily	દૈનિક	daily
dakota	ડાકોટા	dakota, as in the state of south dakota
dalat	ડા લેટ	da lat
dampier	ડમ્પિયર	(proper noun) dampier, a last name
dan	ડેન	dan
dancing	નૃત્ય	dancing
danger	ભય	danger
danh	નામ	list
daniel	ડેનિયલ	daniel
dante	ડાન્ટે	dante
dao	છરી	poniard
darwin	ડાર્વિન	darwin
das	દાસ	das
dassault	દસોલ્ટ	(proper noun) dassault
date	તારીખ	date
dau	તેલ	dau
dave	દવે	(proper noun) dave, as in dave sexton
david	ડેવિડ	david, as in david thomas
davies	ડેવીઝ	davies
davis	ડેવિસ	davis
dbsk	dbsk	dbsk
dc	ડીસી	d.c.
ddr	ડીડીઆર	ddr
dean	ડીન	a name
degree	ડિગ્રી	degree
delhi	દિલ્હી	delhi
delphi	ડેલ્ફી	(proper noun) delphi, as in the oracle
demeter	ડીમીટર	(proper noun) demeter, the greek goddess of the harvest
den	ડેન	den
dennis	ડેનિસ	dennis
department	વિભાગ	departmen
derek	ડેરેક	derek
des	ડેસ	des
descartes	descartes	descartes
design	થિએટ કે	thiet ke
deuterium	ડ્યુટેરિયમ	deuterium
deutschland	ડોચલેન્ડ	deutschland
dewan	દિવાન	dewan, as in dewan rakyat
dewitt	ડેવિટ	(proper noun) dewitt, as in rose dewitt bukater
di	ડી	move
diana	ડાયના	(proper noun) diana, as in diana ross
die	મૃત્યુ પામે છે	german
diego	ડાયેગો	diego
dien	પાગલ	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	મહેલ	official residence or palace
dionysus	ડાયોનિસસ	dionysus, as in the greek god
discovery	શોધ	discovery
discussion	ચર્ચા	discussion
disneyland	ડિઝનીલેન્ડ	disneyland
division	વિભાગ	division
divoire	divoire	d'lvoire
diêm	મેચ	diem vuong
diên	પાગલ	"(term should be ""kinh diên"") canon (n.)"
diềm	સંતુલન	matches
diều	પતંગ	kite
diểu	પ્રહસન	(proper noun) diểu
diễm	ડાઇમ	beauty; a common vietnamese first name for women
diễu	કુચ	parade
diệc	બગલો	a heron (n.)
diệm	ડાઇમ	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	ચહેરો	face to face
diệt	મારવા	to kill or destroy (v.)
diệu	મેજિક	effective (adj.)
djibouti	જીબુટી	djibouti, a country in africa
djokovic	જોકોવિચ	(proper noun) djokovic, as in novak djokovic
dm	ડી.એમ.	dm
dmitri	દિમિત્રી	dmitri
dna	ડીએનએ	dna
do	દ્વારા	because of
doanh	સંયુક્ત	"(term should be ""kinh doanh"") business (n.)"
doc	ડ docક	doc
docherty	ડોરરિટી	docherty
dolly	ડollyલી	(proper noun) dolly, as in singer dolly parton
dome	ગુંબજ	nha
dominican	વર્ચસ્વ	(proper noun) dominican, as in the dominican republic
don	ડોન	(proper noun) don
donau	donau	donau
dortmund	ડોર્ટમંડ	(proper noun) dortmund
dougherty	ડગર્ટી	dougherty
douglas	ડગ્લાસ	douglas
dover	ડોવર	(proper noun) dover, as in the capital of delaware
doyle	ડોયલ	doyle
doãn	ડોન	doan
doạ	ધમકી	threat
dp	ડી.પી.	dp
dracula	ડ્રેક્યુલા	dracula
draft	ડ્રાફ્ટ	draft
drake	ડ્રેક	(proper noun) drake
driver	ડ્રાઈવર	a name
ds	ડી.એસ.	ds
dtd	તા	dtd
dth	તા	dth
du	ડુ	travel
dubai	દુબાઇ	dubai
duiker	ડ્યુઇકર	duiker
duk	duk	duk
dumas	ડુમસ	dumas
dumbledore	ડમ્બલડોર	dumbledore
dung	છાણ	portrait
durham	દુરહામ	durham
dursley	ડર્સલી	dursley
duy	માત્ર	only
duyên	પૂર્વનિર્ધારિત	coastal
duyện	મહત્વાકાંક્ષી	fellatio
duyệt	બ્રાઉઝર	browser
duơng	duong	ocean
duẩn	ડ્યુઆન	duan
duật	ડ્યુએટ	duat
duệ	વંશજો	descendants (n.)
duỗi	સીધા કરો	stretch
dwight	ડ્વાઇટ	dwight
dà	dah	gradually
dài	લાંબી	to lengthen, as in time
dàn	સ્ટેજીંગ	to arrange
dàng	સરળ	dang
dành	ખર્ચ કર્યો	for
dào	વિપુલ પ્રમાણમાં	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	જાડા	thick
dái	પિસ	"penis (n.), although some may use the term to mean ""testicles"""
dám	હિંમત	dare
dán	પેસ્ટ કરો	stick
dáng	આકાર	appearance
dát	લગાવ્યું	inlay
dâm	લવ	lustful (adj.)
dân	લોકો	people
dâng	ઓફર	dedicate
dây	દોરી	nerve
dã	જંગલી	chronicle
dãi	અનુમતિશીલ	band
dãn	dilated	extend
dãy	રેંજ	a row (n.)
dè	સાવચેત રહો	tight
défense	d .fense	defense
dép	સેન્ડલ	slipper
dê	બકરી	goat
dì	કાકી	aunt
dìu	dìu	to lead by the hand (v.)
dính	સ્ટીકી	stick
dò	શોધ	(with word tham) to survey
dòm	જુઓ	snoop
dòng	વર્તમાન	"(term should be ""dòng họ"") family (n.)"
dó	કે	a type of plant used to make paper in vietnam (n.)
dông	વાવાઝોડું	a storm (n.)
dõi	ટ્રેક	monitor
