$	dollar təşkil edib	a sign of doller
ઇનિંગ્સ	atışlar	innings
ઇન્ક	inc	ink
ઇન્ગલિશ	i̇ngilis	english
ઇન્ટરનેટ	i̇nternet	internet
ઇન્ટરનેશનલ	beynəlxalq	international
ઇન્ટરફેસ	i̇nterfeys	interface
ઇન્ડિયન	hind	indian
ઇન્ડિયા	hindistan	india
ઇન્ડીયન	hind	indian
ઇન્ડોઆર્યન	hind-aryan	indo-iron
ઇન્ડોનેશિયા	i̇ndoneziya	indonesia, name of country
ઇન્ડોયુરોપીયન	hind-avropa	indo european
ઇન્દ્ર	i̇ndra	god name
ઇન્ફર્મેશન	məlumat	information
ઇન્ફોર્મેશન	məlumat	information
ઇન્ફ્રારેડ	i̇nfraqırmızı	infrared,
ઇન્સ્ટિટ્યુટ	institut	institute
ઇન્સ્ટીટ્યુટ	institut	institute
ઇપૂ	e.ə.	before christ
ઇમારત	bina	building
ઇમારતના	binanın	from building, of the building
ઇમારતો	binalar	buildings
ઇમિસન્સ	emissiyalar	emissions
ઇમેઇલ	elektron poçt	e-mail
ઇમેલ	elektron poçt	e-mail
ઇયુ	ab	eu
ઇરાક	i̇raq	iraq
ઇરાન	i̇ran	iran
ઇરાની	i̇ranlı	irani
ઇલેક્ટ્રોનિક	elektron	electronic
ઇશાન	şimal-şərq	north east
ઇશ્વર	allah	god
ઇશ્વરની	allahdan	god's
ઇશ્વરને	allaha	god
ઇસ	edir	year
ઇસકે	iske	its [hindi & urdu  word]
ઇસપૂર્વે	e.ə.	before christ
ઇસી	ec	this
ઇસીડબ્લ્યુ	ecw	ecw
ઇસુ	i̇sa	jesus christ
ઇસે	ise	this
ઇસ્	स्	ad
ઇસ્કોન	iskcon	iskon
ઇસ્લામ	i̇slam	islam
ઇસ્લામના	i̇slamın	of the islam
ઇસ્લામિક	i̇slami	islamic
ઇસ્લામી	i̇slami	islamic
ઇસ્લામીક	i̇slami	islamic
ઈ	e	e
ઈંગ્લિશ	i̇ngilis	english
ઈંગ્લેન્ડ	i̇ngiltərə	england
ઈંગ્લેન્ડમાં	i̇ngiltərədə	england
ઈંદ્ર	i̇ndra	idar
ઈક્વિપમેન્ટ	avadanlıqlar	equipment
ઈચ્છા	arzu	will
ઈજિપ્ત	misir	egypt
ઈજીપ્ત	misir	egypt
ઈજીપ્તના	misir	egypt
ઈટાલિયન	i̇talyan	italian
ઈટાલી	i̇taliya	italy
ઈટાલીએ	i̇taliya	italy
ઈટાલીમાં	i̇taliyada	in italy
ઈતિહાસ	tarix	history
ઈતિહાસકારો	tarixçilər	historian
ઈતિહાસની	tarixin	of the history
ઈતિહાસમાં	tarixdə	in history
ઈત્યાદિ	və s.	etc
ઈન	in	in
ઈનિંગ્સ	atışlar	innings
ઈન્ટરનેટ	i̇nternet	internet
ઈન્ટરનેટના	i̇nternetdən	of interenet
ઈન્ટરનેટની	i̇nternetdən	of internet, internet's
ઈન્ટરનેટનું	i̇nternetdən	of internet
ઈન્ટરનેટને	i̇nternet	to internet
ઈન્ટરનેટનો	i̇nternetdən	internate
ઈન્ટરનેટે	i̇nternet	internet has
ઈન્ટરનેશનલ	beynəlxalq	international
ઈન્ડસ્ટ્રીઝ	sənaye	industries
ઈન્ડિયન	hind	indian
ઈન્ડિયા	hindistan	india
ઈન્ડોનેશિયા	i̇ndoneziya	indonesia
ઈન્દિરા	i̇ndira	indira
ઈન્દિરાએ	i̇ndira	indira had
ઈન્ફોર્મેશન	məlumat	information
ઈન્સ્ટિટ્યૂટ	institut	institute
ઈન્સ્ટીટ્યુટ	institut	institute
ઈપુ	e.ə.	a. d.
ઈપૂ	e.ə.	before christ
ઈમારત	bina	building
ઈમારતો	binalar	buildings
ઈમેલ	elektron poçt	e mail
ઈરાદો	niyyət	intention
ઈરાન	i̇ran	iran
ઈરાનથી	i̇randan	from iran
ઈરાનને	i̇rana	iran
ઈરાનમાં	i̇randa	in iran
ઈરાની	i̇ranlı	irani, native of iran, from iran
ઈલેક્ટ્રોનિક	elektron	electronic
ઈશ્વર	allah	god
ઈશ્વરને	allaha	god
ઈસ	edir	a.d.
ઈસવીસન	ad	a.d.
ઈસા	i̇sa	isa
ઈસાઈ	xristian	christian
ઈસાપૂર્વ	e.ə.	before christ
ઈસ્ટ	şərq	east
ઈસ્લામ	i̇slam	islam
ઈસ્લામિક	i̇slami	islamic
ઈસ્લામી	i̇slami	islamic
ઉ	ə.	for example
ઉંચા	yüksək	high
ઉંચાઇ	hündürlük	hight
ઉંચાઈ	hündürlük	hight
ઉંચી	yüksək	high
ઉંચુ	yüksək	high
ઉંચું	yüksək	high
ઉંચો	yüksək	high
ઉંમર	yaş	age
ઉંમરના	yaşdan	age
ઉંમરમાં	yaşında	age
ઉંમરે	yaş	at the age
ઉકેલ	həll	solution
ઉકેલવા	həll edin	solve
ઉગ્ર	şiddətli	intensive
ઉચિત	ədalətli	appropriate
ઉચ્ચ	yüksək	higher
ઉચ્ચતમ	ən yüksək	the best
ઉચ્ચતર	ali	higher,
ઉચ્ચપ્રદેશ	yaylaq	highlands
ઉચ્ચાર	tələffüz	pronouns
ઉચ્ચારણ	tələffüz	pronunciation
ઉચ્ચારણો	vurğu	pronunciations
ઉછેર	böyüdü	bringing up
ઉજવણી	qeyd etmək	celebration
ઉજવણીઓ	qeyd etmələr	celebrations
ઉજવણીમાં	şadlıqda	in celebration
ઉજવવામાં	qeyd etdi	in celebrating
ઉજવાય	qeyd etdi	celebrated,
ઉજવે	qeyd edin	celebrates
ઉજ્જડ	çöllü	barren
ઉઠાવીને	qaldıran	upside
ઉઠાવે	qaldırır	lift
ઉઠી	oyandı	wake up
ઉઠે	oyandı	gets up
ઉડિયા	oriya	oriya
ઉતર	şimal	north
ઉતરતા	azalan	dcending
ઉતરાણ	eniş	uttarayana
ઉતરી	azalıb	descended from
ઉતરે	torpaqlar	in north
ઉતર્યા	torpaq	get down
ઉતારા	çıxarış	accommodation
ઉતારી	yüklənməyib	to copy down
ઉતારો	yükləyin	place of resting, tent
ઉત્કટ	ehtiras	eager
ઉત્કૃષ્ટ	əla	classical
ઉત્ક્રાંતિ	təkamül	evolution
ઉત્તમ	əla	best
ઉત્તર	şimal	north
ઉત્તરથી	şimaldan	from north
ઉત્તરમાં	şimalda	in the north
ઉત્તરા	şimal	northen
ઉત્તરાખંડ	uttaraxand	uttarakhand
ઉત્તરાધિકારી	uğurlu	heir ? successor
ઉત્તરાર્ધમાં	i̇kincisində	late
ઉત્તરી	şimal	north
ઉત્તરીય	şimal	northern
ઉત્તરે	şimala	at north
ઉત્તરોત્તર	addım addım	gradually
ઉત્તેજન	həvəsləndirmə	excitement
ઉત્પતિ	yaradılış	evolution
ઉત્પત્તિ	yaradılış	oregenesis
ઉત્પન	i̇stehsal	produce
ઉત્પન્ન	yaradılır	produce
ઉત્પાદક	i̇stehsalçı	producer
ઉત્પાદકો	i̇stehsalçılar	producers
ઉત્પાદન	məhsul	production
ઉત્પાદનના	i̇stehsalın	production's
ઉત્પાદનની	məhsulun	of production
ઉત્પાદનમાં	i̇stehsalda	in production
ઉત્પાદનો	məhsullar	productions
ઉત્સવ	festival	festival
ઉત્સવો	şənliklər	festivals
ઉત્સાહ	həvəs	excitement
ઉદભવ	qalx	origin
ઉદભવી	çıxdı	occured
ઉદય	qalx	rissing
ઉદા	məsələn	esectrs
ઉદાર	səxavətli	generous
ઉદાહરણ	nümunə	for example
ઉદાહરણો	nümunələr	illustrations
ઉદ્ઘાટન	açılış	inaugration
ઉદ્દેશ	məqsəd	purpose
ઉદ્દેશો	məqsədlər	intention
ઉદ્દેશ્ય	məqsəd	purpose, aim
ઉદ્દેશ્યથી	qəsdən	motive
ઉદ્ભવ	mənşəyi	originate
ઉદ્યાન	park	park
ઉદ્યોગ	sənaye	industry
ઉદ્યોગના	sənayenin	of industry
ઉદ્યોગનું	sənayenin	of industry
ઉદ્યોગને	sənaye	industry
ઉદ્યોગપતિ	i̇ş adamı	industrialist
ઉદ્યોગમાં	sənayedə	in business
ઉદ્યોગો	sənaye	industries
ઉધોગ	sənaye	industry
ઉનકી	onun	their
ઉનકે	sökün	them
ઉના	una	una
ઉનાળા	yay	summer
ઉનાળાના	yay	summer
ઉનાળામાં	yayda	in summer
ઉનાળુ	yay	summer related
ઉનાળો	yay	summer
ઉન્હે	onları	them
ઉન્હોને	onları	he [hindi - urdu word]
ઉપખંડ	subkontinent	subdivision / sub continental
ઉપખંડના	subkontinentdən	of subcontinent
ઉપખંડમાં	subkontinentalda	in the subcontinent
ઉપગ્રહ	peyk	satellite
ઉપગ્રહો	peyklər	satellites
ઉપચાર	şəfa	medication
ઉપદેશ	təbliğ	upadesh
ઉપનગરીય	şəhərətrafı	suburban
ઉપનગરોમાં	şəhərətrafı ərazilərdə	suburbs
ઉપનામ	ləqəb	alias
ઉપનિષદ	upanishads	upanishad (ancient texts)
ઉપયોગ	i̇stifadə edin	use
ઉપયોગથી	istifadə olunur	by using
ઉપયોગની	i̇stifadədir	of use
ઉપયોગને	i̇stifadə edin	to use
ઉપયોગમાં	i̇stifadə olunur	in use
ઉપયોગી	faydalı	necessary
ઉપર	yuxarıda	on
ઉપરથી	yuxarıdan	beyond
ઉપરના	yuxarıda	upper
ઉપરની	yuxarıda	upper
ઉપરનું	yuxarıda	upper
ઉપરનો	yuxarıda	upper
ઉપરાંત	əlavə olaraq	in addition to
ઉપરી	yuxarı	upper
ઉપરોક્ત	yuxarıda	as mentioned above
ઉપલબ્ધ	mövcuddur	available
ઉપલા	yuxarı	upper
ઉપવાસ	oruc	fast
ઉપવાસીબાપુ	upavasibapu	upvasibapu
ઉપસી	upasi	come up
ઉપસ્થિત	i̇ndiki	present
ઉપાય	həll	solution
ઉપાયો	müalicə vasitələri	solutions
ઉપાસના	i̇badət	worship
ઉભરી	çıxdı	emerging
ઉભા	dayanır	to stand besides
ઉભી	şaquli	standing
ઉભુ	ayağa qalx	standing
ઉભો	yaratır	standing
ઉમટી	umti	coming, gathering,
ઉમદા	soylu	noble
ઉમર	yaş	age
ઉમરમાં	yaşında	in age
ઉમાશંકર	umaşankar	umashanker
ઉમેદવાર	namizəd	candidate
ઉમેરવામાં	əlavə edilmişdir	addition
ઉમેરી	əlavə edilmişdir	adding
ઉમેરો	əlavə edin	addition
ઉર્જા	enerji	energy
ઉર્દુ	urdu dili	urdu
ઉર્દૂ	urdu dili	urdu
ઉલ્લેખ	zikr et	mention
ઉલ્લેખનીય	görkəmli	notable
ઉષ્મા	i̇stilik	enthalpy or heat
ઉસ	bizim	that [hindi word in gujarati script]
ઉસે	i̇stifadə edin	to that [hindi language]
ઊઁચા	richa	high
ઊઁચી	yüksək	high
ઊંચા	yüksək	high
ઊંચાઇ	hündürlük	hight
ઊંચાઈ	hündürlük	hight
ઊંચાઈએ	hündürlükdə	at height
ઊંચી	yüksək	high
ઊંચુ	yüksək	high
ઊંચો	yüksək	high
ઊંડા	dərin	eggs
ઊંડી	dərin	deep
ઊંડો	dərin	deep
ઊડી	audi	fly
ઊપર	yuxarı	over
ઊભા	ayağa qalx	standing
ઊભી	şaquli	standing
ઊભું	şaquli	stood
ઊભો	şaquli	comes up
ઊર્જા	enerji	energy
ઊર્જાના	enerji	of energy, energys'
ઊર્ટ	i̇ncəsənət	oort
ઋણ	borc	debt
ઋતુ	mövsüm	season
ઋતુઓ	fəsillər	seasons
ઋતુમાં	mövsümdə	in season
ઋષિ	müqəddəs	rishi
ઋષિએ	adaçayı	saga
ઋષી	adaçayı	sage
ઍ	a	that, it
ઍફીલ	offil	eiffel
એ	a	that
એંડ	və	and
એઇ	ae	ai
એઇડ્ઝ	qi̇çs	aids
એઇડ્ઝના	qi̇çs-dən	aids
એએલયુ	alu	a.l.u.
એક	a	one
એકંદર	ümumilikdə	on an average
એકંદરે	ümumilikdə	on average
એકજ	yalnız bir	only one
એકઠા	birlikdə	collect
એકઠી	toplama	collect
એકતા	birlik	oneness
એકતાનું	birliyin	of oneness
એકત્ર	toplama	collect
એકત્રિત	toplayın	collected
એકથી	birindən	than one
એકદમ	tamamilə	very
એકની	birindən	each
એકબીજા	bir-birinə	for each other
એકબીજાથી	bir birindən	from each other
એકબીજાના	bir-birindən	to each other
એકબીજાની	bir-birinə	to each other
એકબીજાને	bir-birinə	to each other
એકમ	vahid	theory
એકમાત્ર	sole	only
એકમો	bölmələr	units
એકરૂપ	formalı	homogenous
એકલવ્ય	eklavya	eklavya
એકલા	tək	alone
એકલે	tək	alone
એકલો	tək	alone
એકવાર	bir dəfə	onetime
એકસમાન	formalı	homogeneous
એકસરખી	vahid	equally
એકસાથે	birlikdə	all togather
એકસેસ	giriş	access
એકસ્વરી	xvery	es-query
એકાંત	təklik	solitude
એકાઉન્ટ	hesab	account
એકાદ	ekad	one
એકીકરણ	i̇nteqrasiya	unification, fusion
એકીકૃત	i̇nteqrasiya olunmuşdur	united
