$	dollarni tashkil etadi	dollarsign
bestanddelen	tarkibiy qismlari	constituents
bestanden	fayllar	files
beste	eng yaxshisi	best
besteden	sarflamoq	to spend
besteed	sarflangan	spent
besteedde	sarflangan	payed (attention) / spent (time)
bestemd	mo&#39;ljallangan	destined
bestemming	maqsad	destination
bestemmingen	yo&#39;nalishlar	destinations
bestempeld	yorliqlangan	labeled
bestond	mavjud edi	excisted
bestonden	mavjud edi	existed
bestraft	jazoladi	punished
bestreden	bahslashdi	combated
bestrijden	jang	fight against
bestrijding	jang	controversey
bestudeerd	o&#39;rganilgan	studied
bestudeert	tadqiqotlar	study
bestuderen	o&#39;rganish	study
besturen	boshqaruv	govern
besturingssysteem	operatsion tizim	operating system
bestuur	taxta	management
bestuurd	boshqariladi	controlled
bestuurders	haydovchilar	directors
bestuurlijk	ma&#39;muriy	administrative
bestuurlijke	ma&#39;muriy	administrative
bestverkochte	eng ko&#39;p sotiladigan	best-selling
betaald	to&#39;langan	paid
betaalde	to&#39;langan	paid
betaalt	to&#39;laydi	pays
betalen	to&#39;lash	pay
betaling	to&#39;lov	payment
betekende	degani	ment
betekenen	anglatadi	mean
betekenis	ma&#39;nosi	importance
betekenissen	ma&#39;nolari	meaning
betekent	degan ma&#39;noni anglatadi	means
beter	yaxshiroq	better
betere	yaxshiroq	better
beton	beton	concrete
betonnen	beton	concrete
betreden	kirmoq	set foot on
betreffen	tashvish	relate
betreffende	haqida	concerning
betreft	haqida	concerns
betrekkelijk	nisbiy	particulary
betrekking	ish	connection
betrekkingen	munosabatlar	relations
betrof	tegishli	concerned
betrokken	jalb qilingan	involved
betrokkenheid	ishtirok etish	involvement
betrouwbaar	ishonchli	reliable
betrouwbaarheid	ishonchlilik	reliability
betrouwbare	ishonchli	trustworthy
betwist	bahsli	disputed
beurs	fond bozori	bourse
beurt	burish	turn
beurzen	stipendiyalar	fairs
bevallen	tug&#39;moq	satisfactory (1st sentence), gave birth (3rd sentence), give birth (5th sentence)
bevalling	bola tug&#39;ilishi	confinement
bevat	o&#39;z ichiga oladi	contains
bevatte	o&#39;z ichiga oladi	contained
bevatten	o&#39;z ichiga oladi	contains
beveiliging	xavfsizlik	security
bevel	buyurtma	command
bevelhebber	qo&#39;mondon	commander
beveren	qunduz	beveren
bevestigd	tasdiqladi	confirmed
bevestigde	tasdiqladi	confirmed
bevestiging	tasdiqlash	confirmation
bevinden	joylashgan	who hear
bevindingen	topilmalar	findings
bevindt	joylashgan	located
beving	titroq	quiver
bevoegd	vakolatli	competent
bevoegdheden	avtorizatsiya	authorities
bevoegdheid	vakolat	responsability
bevolking	aholisi	population
bevolkingsdichtheid	aholi zichligi	population density
bevolkingsgroei	aholining o&#39;sishi	population growth
bevolkingsgroepen	aholi guruhlari	communities
bevolkingssamenstelling	aholi tarkibi	demographics
bevolkt	aholi istiqomat qiladi	inhabited
bevond	topildi	located
bevonden	topildi	found
bevorderd	targ&#39;ib qilingan	promoted
bevorderen	targ&#39;ib qilish	to improve
bevordert	targ&#39;ib qiladi	improves
bevriend	do&#39;stlar	are friends
bevrijd	ozod qilindi	liberated
bevrijden	ozod qilish	liberate
bevrijding	ozodlik	liberation
bevrucht	urug&#39;lantirilgan	fertilize
bevruchting	urug&#39;lantirish	fertilization
bewaard	saqlandi	conserved
bewaren	uni saqlang	in this context it means: to keep a distance
beweegt	harakat qiladi	moves
beweerd	da’vo qilingan	claimed
beweerde	da’vo qilingan	asserted
beweert	da’volar	claims
bewegen	harakatlanmoq	to move
bewegende	harakatlanuvchi	moving
beweging	harakat	movement
bewegingen	harakatlar	movements
beweren	talab	state
bewerken	tahrirla	editing
bewerking	operatsiya	remade
bewerkstelligen	amalga oshirmoq	bring about
bewerkt	tahrirlangan	edit
bewezen	isbotlangan	proved
bewijs	dalil	proof
bewijzen	isbotlang	proof
bewind	hukmronlik	reign
bewogen	ko&#39;chib	moved
bewonderen	qoyil qolish	admire
bewondering	qoyil qolish	admiration
bewoners	aholi	inhabitants
bewoning	turar joy	inhabitance
bewoond	yashagan	inhabited
bewoonde	yashagan	inhabited
bewust	ongli	conscious
bewuste	ongli	conscious
bewustzijn	xabardorlik	awareness
bezat	egalik qilgan	possessed
bezaten	egalik qilgan	took hold of
bezet	ishg&#39;ol qilingan	occupates
bezette	ishg&#39;ol qilingan	occupied
bezetten	egallamoq	occupy
bezetting	kasb	occupation
bezichtigen	ko&#39;rinish	see
bezienswaardigheden	diqqatga sazovor joylar	sights
bezig	band	busy
bezigheden	faoliyati	activities
bezighouden	egallamoq	occupy
bezighoudt	band	occupy
bezit	egalik	possession
bezitten	egalik qilish	own
bezittingen	mol-mulk	posessions
bezocht	tashrif buyurdi	visited
bezoek	tashrif	visit
bezoeken	qatnashmoq	visit
bezoekers	tashrif buyuruvchilar	visitors
bezoekt	tashriflar	visit
bezwaar	e&#39;tiroz	objection
bezwaren	e&#39;tirozlar	objections
beëindigd	tugatildi	ended
beëindigen	tugatmoq	terminate
beïnvloed	ta&#39;sir ko&#39;rsatdi	influenced
beïnvloeden	ta&#39;sir ko&#39;rsatmoq	to influence
beïnvloedt	ta&#39;sir qiladi	influences
bibliografie	bibliografiya	bibliography
bibliotheek	kutubxonasi	library
bibliotheken	kutubxonalar	libraries
bieber	bieber	bieber
bieden	taklif	offered
biedt	takliflar	offers
bier	pivo	beer
biercultuur	pivo madaniyati	beer culture
bieren	pivo	beers
bieslook	chives	chive
big	katta	big
bij	asalari	with
bijbehorende	mos keladi	associated
bijbel	injil	bible
bijbelse	injilga oid	biblical
bijdrage	hissa	contribution
bijdragen	hissa qo&#39;shmoq	contributions/ contribute
bijeen	birga	together
bijeenkomst	uchrashuv	meeting
bijeenkomsten	uchrashuvlar	meetings
bijen	asalarilar	bees
bijgedragen	hissa qo&#39;shdi	contributed
bijgehouden	ushlab turildi	kept / maintained
bijgestaan	yordam beradi	assisted
bijgevolg	shunday qilib	so
bijgewerkt	yangilandi	updated
bijgezet	interfered	adjoined
bijkomende	qo&#39;shimcha	additional
bijna	deyarli	almost
bijnaam	taxallus	nickname
bijnamen	taxalluslar	nicknames
bijten	tishlamoq	to bite
bijv	m	for example
bijvangst	tutib olish	surplus catch
bijvoorbeeld	misol uchun	for instance
bijwerkingen	yon effektlar	side
bijwoord	ravishdosh	adverb
bijzonder	maxsus	special
bijzondere	maxsus	special
bill	hisob	bill
billboard	billboard	billboard
billy	billy	billy
bin	axlat qutisi	bin (part of name)
binden	galstuk	bind
binnen	ichida	inside
binnenkant	ichida	inside
binnenland	ichki	interior
binnenlands	mahalliy	domestic
binnenlandse	mahalliy	inland
binnenstad	ichki shahar	town
binnenste	ichki	inner
bio-ethiek	bioetika	bio ethics
biografie	tarjimai hol	biography
biologie	biologiya	biology
biologisch	biologik	biological
biologische	biologik	biological
bioscoop	kinoteatr	movie theater
bioscopen	kinoteatrlar	movie theaters
bipolaire	bipolyar	bipolar
bisdom	yeparxiya	bisdom
bisdommen	yeparxiyalar	dioceses
bisschop	episkop	biship
bisschoppen	episkoplar	bischops
bitch	kaltak	teef
björn	björn	bjorn
blaasontsteking	sistit	urinary infection
black	qora	black
blad	varaq	journal
bladeren	barglari	leaves
blair	loyqa	blair
blake	silkitmoq	blake
blanc	bo&#39;sh joy	white
blanke	oq odam	white
blanken	oqlar	whites
blauw	ko&#39;k	blue
blauwe	ko&#39;k	blue
blazen	puflamoq	blow
bleef	qolgan	stayed absence
bleek	chiqdi	appeared to be
bleken	oqartirish	appeared
bleven	qoldi	remain
blij	xursand	happy
blijft	qoladi	remains
blijken	qayrilib olish	to appear
blijkt	aylanadi	seems
blijven	turmoq	happy just
blijvend	doimiy	remain
blijvende	doimiy	staying
blind	ko&#39;r	blind
blinde	ko&#39;r	blind
bloed	qon	blood
bloedarmoede	anemiya	anaemia
bloedcellen	qon hujayralari	blood cells
bloeddruk	qon bosimi	blood pressure
bloedige	qonli	bloody
bloedsomloop	qon aylanish tizimi	circulatory
bloeduitstorting	ko&#39;karish	haematoma
bloedvaten	qon tomirlari	veins
bloedverlies	qon yo&#39;qotish	bloodloss
bloei	gullash	blossom
bloeiende	gullash	flowering
bloeiperiode	gullash davri	blossom period
bloem	gul	flower
bloemen	gullar	floral
blog	blog	blog
blok	blok	block
blokkade	to&#39;siq	blockade
blokken	bloklar	blocks
blokkeren	to&#39;sib qo&#39;ymoq	obstruct
bloot	yalang&#39;och	revealed
blootgesteld	fosh qilingan	exposed
blootstelling	chalinish xavfi	exposure
blote	yalang&#39;och	naked
blue	ko&#39;k	blue
blues	ko&#39;klar	blues
bluetooth	bluetooth	bluetooth - proper noun - brand name
bluray	blu ray	blu-ray
bnp	yamm	gdp
bob	bob	bob
bobby	bobbi	bobby
bocht	egilish	curve
bod	taklif	offer
bodem	pastki	soil
boden	taklif	offered
boeda	budda	buda
boedapest	budapesht	budapest
boeddha	budda	buddha
boeddhisme	buddizm	buddhism
boeddhisten	buddistlar	buddhists
boeddhistische	buddaviy	buddhist
boeg	ta&#39;zim	bow
boeing	qayiq	boeing - proper noun
boek	kitob	book
boekarest	buxarest	bucharest
boeken	kitoblar	books
boekenreeks	kitoblar seriyasi	book series
boer	dehqon	boer (name)
boerderij	ferma	farm
boeren	dehqonlar	farmers
boete	yaxshi	fine
boezems	ko&#39;kraklar	atrium
bohemen	bogemiya	bohemians
bol	shar	sphere
bolivia	boliviya	bolivia
bombardement	bombardimon	bombardment
bombardementen	bombalash	bombardments
bomen	daraxtlar	trees
bon	kvitansiya	bon
bonaire	bonaire	bonaire
bonaparte	bonapart	bonaparte
bond	rishta	bond
bondgenoot	ittifoqdosh	ally
bondgenootschap	ittifoq	alliance
bondgenoten	ittifoqchilari	allies
bondsrepubliek	federal respublika	federal republic
bonen	dukkaklilar	beans
bonn	bonn	bonn
bono	bono	good
bood	taklif	offered
boodschap	xabari	message
boodschappen	oziq-ovqat do&#39;konlari	messages
boog	ta&#39;zim	arc
book	kitob	book
boom	daraxt	tree
boord	taxta	bord
boos	badjahl	angry
boot	qayiq	boat
bootleg	bootleg	bootleg
borderline	chegara chizig&#39;i	borderline
border|pxvlag	border | px bayrog&#39;i	border
borg	omonat	bail
boris	boris	boris
borsato	borsato	borsato
borst	ko&#39;krak qafasi	chest
borsten	ko&#39;krak	breasts
borstkanker	ko&#39;krak saratoni	breast cancer
borstvoeding	emizish	breastfeeding
bos	o&#39;rmon	forest
bosbouw	o&#39;rmon xo&#39;jaligi	forestry
bosch	bosch	bosch
bosnië	bosniya	bosnie
bosporus	bo&#39;g&#39;oz	bosporus
bossen	o&#39;rmonlar	forests
bot	suyak	bone
boten	qayiqlar	boats
boter	sariyog &#39;	butter
botsing	halokat	collision
botten	suyaklar	bones
bottom	pastki	bottom
boudewijn	boudewijn	boudewijn - proper noun - first name
boulevard	xiyobon	boulevard
bourgondische	burgundiya	burgundian
bourgondië	bordo	bourgondie
bouw	qurilish	building
bouwde	qurilgan	built
bouwden	qurilgan	builded
bouwen	qurmoq	build
bouwkunst	arxitektura	architecture
bouwmaterialen	qurilish materiallari	building materials
bouwstijl	me&#39;moriy uslub	building style
bouwwerk	bino	structure
bouwwerken	tuzilmalar	buildings
boven	yuqori qavatda	processing
bovenaan	yuqorida	above
bovendien	bundan tashqari	also
bovengenoemde	yuqorida	afore mentioned
bovenop	ustiga	on top
bovenstaande	yuqorida	above mentioned
bovenste	yuqori	upper
bovenzijde	yuqori tomoni	top
bowie	bowie	bowie
box	qutisi	box
boy	bola	boy
boys	o&#39;g&#39;il bolalar	jongens
boze	badjahl	angry
brabant	brabant	brabant
brabants	brabantlar	brabants
brabantse	brabantse	brabant
bracht	olib keldi	brought
brachten	olib keldi	brought
brad	brad	brad
brak	sindirdi	started
braken	qusmoq	throwing up
bram	bram	bram
brand	olov	fire
branden	yoqmoq	fires
brandende	yonayotgan	burning
brandstof	yoqilg&#39;i	fuel
brandstoffen	yoqilg&#39;i	fuels
brandweer	o&#39;t o&#39;chiruvchilar	fire brigade
braque	brak	braque
braziliaanse	braziliyalik	brazilian
brazilië	braziliya	brazil
break	tanaffus	break
breda	breda	breda
brede	keng	broad
breder	kengroq	wider
bredere	kengroq	broader
breed	keng	broad
breedte	kengligi	width
breedtegraad	kenglik	latitude
breekt	tanaffuslar	breaks
breidde	kengaytirildi	spread
breiden	kengaytirish	expand
brein	miya	brain
breken	tanaffus	break
brengen	olib keling	bring
brengt	olib keladi	brings
bretagne	britaniya	brittany
breuk	sinish	console
brian	brian	brian
bridge	ko&#39;prik	bridge
brief	xat	letter
brieven	harflar	letters
bril	ko&#39;zoynaklar	"""bril""/ glasses"
brink	yashil rangda	brink
brit	brit	briton
british	britaniyalik	britisch
britney	britney	britney
brits	britaniya	brittish
britse	britaniyalik	britisch
britten	britaniyalik	british
broeders	aka-uka	brothers
broeikaseffect	issiqxona effekti	greenhouse effect
broek	shimlar	broek
broer	aka	brother
broers	aka-uka	brothers
bron	manba	source
bronnen	manbalar	sources
bronzen	bronza	bronze
brood	non	bread
brooke	bruk	brooke
brooklyn	bruklin	brooklyn
bros	mo&#39;rt	bros
brothers	aka-uka	brothers (broers)
brouwen	demlemek	brew
brown	jigarrang	brown (name)
bruce	bruce	bruce
brug	ko&#39;prik	bridge
brugge	bruges	brugge
bruggen	ko&#39;priklar	bridges
brugse	bruges	bruges
bruikbaar	foydalanish mumkin	usable (2nd sentence), practicable (5th and 6th sentence)
bruiloft	to&#39;y	wedding
bruin	jigarrang	brown
bruine	jigarrang	brown
brussel	bryussel	brussels
brussels	bryussel	brussels
brusselse	bryussel	brussels
bruto	yalpi	gross
brutus	shafqatsiz	brutus - proper noun - surname or first name
btw	qqs	btw
budget	byudjet	budget
buenos	buenos	buenos
buigen	ta&#39;zim	bend
buik	qorin	belly
building	bino	building
buis	naycha	tube
buiten	tashqarida	outside
buitenaf	tashqarida	outside
buitengewoon	odatdagidan tashqari	extraordinary
buitenkant	tashqarida	outside
buitenland	chet elda	foreign country
buitenlanders	chet elliklar	foreigners
buitenlands	xorijiy	foreign
buitenlandse	xorijiy	octavian
buitenste	tashqi	outer most
buitenwereld	tashqi dunyo	outside world
buitenwijken	shahar atrofi	suburbs
bul	bulon	bul
bulgaarse	bulgariyalik	bulgarian
bulgarije	bulgariya	bulgaria
bull	buqa	bull
bunker	bunker	bunker
burcht	qal&#39;a	stronghold
bureau	stol	bureau
buren	qo&#39;shnilar	neighbours
burgemeester	shahar hokimi	mayor
burgemeesters	hokimlar	mayors
burger	fuqarolik	citizen
burgerij	burjua	city state
burgerlijk	fuqarolik	civil
burgerlijke	fuqarolik	civil
burgeroorlog	fuqarolar urushi	civil war
burgers	fuqarolar	citizens
burton	burton	burton
bus	avtobus	bus
bush	buta	bush
business	biznes	business
bussen	avtobuslar	buses
but	lekin	<english word> but
buurland	qo&#39;shni mamlakat	neighbouring country
buurlanden	qo&#39;shni davlatlar	neighbouring countries
buurt	turar joy dahasi	neighbourhood
buurten	mahallalar	neighbours
bv	masalan	eg
by	tomonidan	door (2nd sentence)
byzantijnen	vizantiyaliklar	byzantins
byzantijnse	vizantiya	byzantin
byzantium	vizantiya	byzantium
c	v	c
ca	taxminan	ca
cacao	kakao	cocoa
caesar	qaysar	caesar
caesars	sezaryen	caesars
cafeïne	kofein	caffeine
café	kafe	public house
cafés	kafelar	bars
calcium	kaltsiy	calcium
california	kaliforniya	californie
californian	kalorifiyalik	californian
californische	kalorifiyalik	californian
californië	kaliforniya	california
call	qo&#39;ng&#39;iroq	call
calvijn	kalvin	calvijn
cambodja	kambodja	camboida
cambridge	kembrij	cambridge
camera	kamera	camera
cameron	kamon	cameron
camp	lager	camp
campagne	kampaniyasi	campaign
campus	kampus	campus
can	mumkin	can
canada	kanada	canada
canadese	kanada	canadean
canarische	kanareyka	canary
canis	kanis	canis
cannabis	nasha	cannabis
canon	kanon	canon
cant	cant	cant
capaciteit	imkoniyatlar	capacity
car	mashina	car
caraïbische	karib dengizi	carribean
carcheologisch	arxeologik	archeologic
card	karta	card
care	parvarish qilish	care
carel	karel	carel
caribische	karib dengizi	caribic
carl	karl	carl
carlisle	karlisle	carlisle
carlo	karlo	carlo
carlos	karlos	carlos
carnaval	karnaval	carnaval
carolina	karolina	carolina
caroline	benzin	caroline
carpathia	karpatiya	carpathia
carrière	mansab	career
carter	shilinmoq	crankcase
carthago	karfagen	carthago
casa	casa	casa
cash	naqd pul	cash
casino	kazino	casino
cast	tashlamoq	cast
castilië	kastil	castile
castle	qasr	kasteel
castro	kastro	castro
catalaans	katalan	catalan
catalaanse	katalan	catalan
catalonië	kataloniya	catalonia
categorie	kategoriya	category
categorieamerikaans	kategoriya amerikalik	category american
categorieamerikaanse	kategoriya amerikalik	category american
categoriebrits	britaniyaliklar toifasi	category british
categorieduits	kategoriya nemis	category: german
categoriefilm	kategoriya filmi	category: movie
categoriegemenebest	kategoriya hamdo&#39;stligi	category commonwealth
categoriegeschiedenis	kategoriya tarixi	category history
categoriehoofdstad	kategoriya kapitali	category of capital
categorieinfectieziekte	toifadagi yuqumli kasallik	category infectious disease
categorieitaliaans	toifadagi italiyalik	category italian
categorieland	kategoriya mamlakati	country category
categorienederlands	kategoriya golland	category:dutch
categorieplaats	kategoriya joyi	category
categorieprogramma	kategoriya dasturi	category: programme
categoriestad	toifadagi shahar	category city
categorietelevisieprogramma	toifadagi televizion dastur	category: television show
categoriewerelderfgoed	kategoriya dunyo merosi	category world inheritance
categorieën	toifalar	categories
catharina	katarina	catharina
cavalerie	otliqlar	cavalry
caïro	qohira	cairo
cbs	cbs	cbs
cd	cd	compact disc
cda	cda	cda
cdot	cdot	cdot
cds	cd	compact discs
cdv	cdv	cdv
cel	hujayra	cell
cellen	hujayralar	cells
cement	tsement	cement
centimeter	santimetr	centimeter
centra	markazlari	centers
centraal	markaziy	central
centraalazië	markaziy osiyo	central-asia
centraaleuropa	markaziy evropa	eastern europe
