$ tỉ	$ miliardo	$ billion
prince	principe	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometeo	(proper noun) prometheus
protein	proteina	protein
prôtêin	proteina	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	tolomeo	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	polpa	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pirenei	pyrenees
pytago	pitagora	(proper noun) pytago
pzl	pzl	pzl
péc	pec	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	spasimo	fansipan
pơ	po	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	qatar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	arvn	army of the republic of vietnam
qua	da	transmit
quad	quadrilatero	quad
quan	uffici	"(term should be ""quan hệ"") relationship (n.)"
quang	ottico	bladder
quanh	in giro	around
quay	rotante	turn
que	aste	stick
queen	regina	queen
queens	regine	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	familiare	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	corano	quran
quy	purché	"(term should be ""quy ước"") agreement"
quyên	donazione	"(term should be ""quyên góp"") to donate (v.)"
quyến	fascino	"(term should be ""gia quyến"") family"
quyền	autorità	right
quyện	quyen	mix
quyệt	perfido	"(should be ""xảo quyệt"") devious"
quá	troppo	over
quái	inferno	strange or odd
quán	negozio	hometown
quáng	acritico	blind
quát	esteso	generalize
quân	militare	army (n.)
quãng	distanze	optical
quét	spazzata	to sweep (v.)
quê	campagna	countryside
quên	dimenticare	forget
quý	quarto	love
quýt	mandarini	tangerine
quăng	scossa	to throw (v.)
quĩ	fondi	orbit
quạ	corvo	crow (con qua)
quạt	ventilatore	fan
quản	gestione	"(entire term is ""cai quản"") to manage"
quảng	pubblicità	guangzhou
quấn	avvolgere	wrap around
quất	mirtilli	whip
quấy	molestia	harass
quần	pantaloni	pants (n.)
quầng	alone	halo
quầy	contatori	stall
quẩy	banchina	quay
quẫn	sconvolto	necessitous
quận	contea	county (n.)
quật	scavo	excavation
quẳng	gettò	throw
quặc	esorbitante	strange (adj.)
quặng	minerale	an ore (n.)
quẻ	esagramma	hexagram
quế	cannella	cinnamon (n.)
quết	impastare	knead
quệ	fallito	exhausted
quỉ	il diavolo	demon
quỳ	in ginocchio	demon (n.)
quỳnh	quynh	quynh
quỵ	corsa	stroke
quỷ	il diavolo	provided
quỹ	fondi	fund
qúy	quarto	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	gara	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	montone	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	iran	ran
ranch	ranch	ranch
randy	lascivo	randy
rang	arrostito	roast
rangers	rangers	rangers
ranh	confine	border (ranh gioi)
rao	annuncio	to announce
rap	rap	rap
raptor	raptor	raptor
rate	tasso	rate
rau	verdure	vegetable
ray	raggio	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	vero	real
reanimation	rianimazione	reanimation
reap	raccogliere	reap
reef	scogliera	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	pizzo	lace (n.)
renaissance	rinascita	renaissance
renault	renault	renault
rené	rené	rene
reo	rang	yell
reserve	riserva	reserve
resort	stazioni	resort
reverse	retromarcia	reverse
revolution	rivoluzione	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodes	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	crescente	rising
risk	rischio	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	separatamente	own
riêu	rieu	crab
riết	urgente	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	pettirosso	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	asta	a stick or switch used for punishment (n.)
roland	roland	roland
romania	romania	romania
rome	roma	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	alghe	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rovers	rovers
rowling	rowling	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	ruta	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rumeno	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummel	rummel
run	faretra	tremble
rung	vibrare	to shake or vibrate (v.)
russian	russo	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	pietà	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	ruốc	pemmican
ruồi	volare	fly
ruổi	erbaccia	rong ruổi=wandering
ruộng	i campi	"(term should be ""ruộng đất"") farmland (n.)"
ruột	sventrare	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	dai un&#39;occhiata	finding
ràng	chiaro	clear
rành	ranh	exhaustive
rào	ostacolo	barrier
rác	spazzatura	gabbage-trash
rách	strappo	tear
rái	lontra	colander
rán	frittura	fried (adj.)
ráp	pieghevole	to assemble (v.)
râm	ombreggiato	shade
râu	barba	beard or mustache (n.)
rã	a parte	out
rãi	ampiamente	"(term should be ""rộng rãi"") generous"
rãnh	trincea	groove
räikkönen	raikkonen	raikkonen
rèm	persiane	curtain
rèn	forgiatura	train
ré	strillo	re
république	république	republique
rét	freddo	cold
rê	andrew	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	piagnucolare	moan
rêu	muschio	moss
rì	ri	lush (adj.)
rìa	bordo	edge
rình	appostarsi	to watch for
rìu	ascia	ax
rít	fischio	to wail (v.)
rò	dispersione	leak
ròng	rete	net
rót	scrosciante	to pour (v.)
rô	scacchi	diamond
rôbôt	robot	robot
rôma	roma	roman
rông	rong	rising (adj.)
rõ	chiaro	clear
rùa	tartaruga	turtle
rùng	raccapricciante	horror
rút	ritirarsi	withdraw
răn	comandamenti	commandment
răng	dente	roasted
rōmaji	romaji	romaji
rũ	shake	charm
rơ	pneumatico	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	cadere	fall
rơm	paglia	straw
rươi	mezzo	sand-worm
rước	raccogliere	welcome
rưới	imbastire	to sprinkle (v.)
rưỡi	mezzo	half
rượt	in fretta e furia	pursue
rượu	vino	wine
rạ	varicella	straw
rạc	distinto	discrete
rạch	canale	canal
rạng	rang	break
rạp	teatro	theater
rải	diffusione	spread
rảnh	gratis	to be free (adj.)
rất	molto	very
rầm	travetto	aggressive
rầu	morosely	sorrow
rẫy	altopiano	full
rậm	cespuglioso	jungle
rập	arabo	"(term should be ""Ả rập"") arab"
rắc	spruzzatina	trouble
rắn	serpente	snake
rằm	luna piena	a full moon (n.)
rằng	che	roasted
rặng	la roccia	a row
rẻ	a buon mercato	cheap
rẽ	girare	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	ronzio	pealed
rể	sposo	in-law
rễ	radici	root (n.)
rệp	cimice	bug
rệt	notevole	clearly
rệu	muschio	decay
rỉ	arrugginito	leak
rịavũng	riavung	ria - bay
rỏ	chiaramente	clearly
rối	burattino	disorder
rốm	rom	rom
rồ	follia	"(term should be ""điên rồ"") foolish (adj.)"
rồi	già	and
rồng	drago	dragon
rổ	pallacanestro	basket
rỗi	disponibile	savation
rỗng	cavo	hollow
rộ	ro	profuse (adj.)
rộn	occupato	busy
rộng	largo	wide
rớt	cadere	drop
rời	congedo	leave
rỡ	brillantemente	brilliant
rợ	barbaro	a savage (n.)
rợn	chillingly	scary
rụng	cadere	to drop
rủ	invitare	ask
rủi	rischi	unlucky or unfortunate (n.)
rứa	rua	rua
rừng	foresta	forest
rửa	lavaggio	to wash (v.)
rữa	lavaggio	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	falso	wrong
saigon	saigon	saigon
saintdenis	saint-denis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salisburgo	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	a	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	nascita	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	come	how
sap	linfa	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarcoma	sarcoma
sardinia	sardegna	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	chaturanga	saturanga
saturday	sabato	saturday
sau	più tardi	after (adv.)
saudi	arabia	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	scandinavia	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	scozia	scotland
scots	scozzese	(proper noun) scots
scott	scott	scott
scream	urlo	scream
scud	corsa rapida	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	cerca	search
seattle	seattle	(proper noun) seattle, washington
secret	segreto	bi mat
sedna	sedna	(proper noun) sedna
see	vedere	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semitico	(proper noun) semit
sen	loto	lotus
sense	senso	sense
september	settembre	(proper noun) the month of september
serbia	serbia	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	seri	series
service	servizio	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sesto	sextus
sexy	sexy	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	scià	shah
shaman	sciamano	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	shankly	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	sciiti	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	bassofondo	(proper noun) shoal
shonen	shonen	shonen
shop	negozio	shop
short	breve	short
showcase	vetrina	a name
shōnen	shonen	shonen
siberi	siberiano	siberi
sicilia	sicilia	sicilia
sicily	sicilia	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	slesia	silesia
silic	silicio	silicon
silicat	silicato	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	cantare	sing
sinh	nato	genital
sip	sorseggiare	sip
sirô	sciroppi	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	eccellente	super
siết	stretto	to cut off (v.)
sky	cielo	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slavo	(proper noun) slav
slavơ	slavo	slavic
slytherin	serpeverde	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	fabbro	smith
smithsonian	smithsonian	smithsonian
so	confrontare	compare
société	société	societe
socrates	socrate	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonata	sonata
song	ancora	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	anima	soul
soát	controllo	control
soạn	compositore	compose
spears	lance	spears
spellman	spellman	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sportivo	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrado	stalingrad
stamford	stamford	this is a name
stand	stare in piedi	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	starr	a name
startin	startin	bat dau
status	stato	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterlina	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stoccolma	a name
stones	pietre	stones
storting	storting	storting
strasberg	strasberg	strasberg
strauss	strauss	strauss
street	strada	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stoccarda	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	solfuro	sulfide
sulu	sulu	sulu
sum	somma	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	estate	summer
summerslam	summerslam	(proper noun) summerslam
sun	sole	sun
sunday	domenica	(proper noun) sunday
sung	fichi	supplement
sunni	sunnita	sunni
sunsilk	sunsilk	sunsilk, a hair products company
super	eccellente	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	fallimento	decrease
suê	joshua	lush
suôn	liscio	smooth
suất	produttività	number
suối	ruscello	stream
suốt	per tutto	through/all over
suồng	rugiada	overfamiliar
svd	svd	svd
swan	cigno	swan
swaziland	swaziland	swaziland
sweet	dolce	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	sync	sync
syria	siria	syria
sài	sài	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	pavimenti	san
sàng	pronto	ready
sành	terracotta	"(term should be ""sành sứ"") pottery"
sào	rondine	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sá	road
sách	libro	list
sái	dislocate	sai
sám	pentimento	penitent
sáng	luminoso	light
sánh	confrontare	compare
sáo	flauto	flute
sáp	cera	merger
sát	vicino	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	sei	six
sâm	ginseng	sam
sân	cortile	"(should be ""sân khấu"") a stage"
sâu	profondo	deep
sã	sã	flippant
sãi	khmer krom	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	illuminazione	clay
sê	serial	sepon
sêri	il serial	series
sêu	seu	seu tet
sính	affezionato	betrothal gifts
síp	cipro	cyprus
sít	stento	close
sò	mollusco	oyster
sòng	casinò	casino
sóc	scoiattolo	"(should be ""sóc trăng"") a vietnamese town"
sói	lupo	wolf
sóng	onda	wave
sót	carenze	to miss (v.)
sô	cioccolato	than
sôi	ebollizione	vibrant
sông	fiume	river
sùng	verme	cult
sú	tigre nera	a type of mangrove (n.)
súc	bestiame	animal
sún	sole	sun
súng	pistola	gun
súp	zuppa	source
sút	colpo	reduce
săn	caccia	to hunt
sơn	vernice	a mountain
sư	professore	lion
sưa	magro	filled with
sưng	gonfiore	swell
sưu	galleria	collection
sương	rugiada	dew (n.)
sướng	lodi	high
sườn	lato	slope
sưởi	riscaldamento	heat
sạch	pulito	clean
sạn	alberghi	hotel
sảm	tuono	sam
sản	è	reproductive
sảng	delirio	sonorous
sảnh	atrio	a hall, as in the rock and roll hall of fame
sấm	tuono	ginseng
sấu	coccodrillo	crocodile
sấy	asciugatrice	dry
sầm	sbattuta	crowded
sầu	dolore	sad
sẩn	papule	coarseness
sẫm	scuro	dark
sập	crollo	destroy
sắm	acquisto	shopping
sắn	manioca	cassava (n.)
sắp	circa	soon
sắt	ferro	"(term should be ""sắt son"") constant (adj.)"
sẵn	disponibile	available
sẹo	cicatrice	scar
sẻ	quota	share
sẽ	volontà	will
sọ	cranio	brain
sọc	a strisce	stripe
sỏ	oligarchia	oligarchy
sỏi	ghiaia	gravel
số	numero	"(term should be ""số lượng"") quantity (n.)"
sốc	shock	shock
sống	in diretta	live
sốt	temperatura	fever
sồi	quercia	oak
sổ	registro	window
sớ	textures	document
sớm	presto	som
sờ	tocco	touch
sỡ	technicolor	colorful
sợ	avere paura	afraid
sợi	fibra	fibers
sục	jacuzzi	"(term should be ""sôi sục"") to boil"
sụn	cartilagine	cartilage
sụp	crollo	collapse
sụt	perdita	drop
sủa	corteccia	bright
sủi	ontano	sparkling
sủng	regali	favored
sứ	porcellana	embassy
sứa	medusa	jellyfish (n.)
sức	salute	strength
sứt	fessura	cleft
sừng	corno	sừng sững= huge
sử	storia	"(term should be ""sử dụng"") to use (v.)"
sửa	riparazione	repair
sửng	sbalordito	startling
sửu	illusione	cow
sữa	latte	milk
sự	il	situation
ta	esso	us or our
tae	tae	(proper noun) tae
tag	etichetta	tag
tai	orecchio	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tagikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tallio	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	triangolo	three (n.)
tamoxifen	tamoxifene	tamoxifen
tanaka	tanaka	tanaka
tang	lutto	funeral
tanh	di pesce	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tanzania	tanzania
tao	io	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	compito	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmania	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	mano	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	tecnico	technical
ted	ted	(proper noun) ted
teddy	orsacchiotto	teddy, as in teddy lupin, a character in the harry potter series
telecom	telecom	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	francobollo	stamp
temple	tempio	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	tensore	tensor
teo	atrofia	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	territori	territories
terry	terry	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	scusa	to forgive (v.)
thai	thai	pregnant
thailand	thailandia	thailand
tham	assunzione	involved
thames	thames	thames
than	carbone	coal
thang	scala	ladder
thanh	bar	youth
thani	thani	thani
thao	sportivo	sport
thau	ottone	a basin (n.)
thay	piuttosto	change
thcn	thcn	vocational school
thcs	thc	secondary
thdq	roc	thdq
thebes	tebe	thebes
their	chung	their
them	aggiunto	plus
then	atene	key
theo	seguire	according to
theory	teoria	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	teseo	theseus, the greek hero
thi	esame	competition (n.)
thich	thich	explanation
thien	thien	sky
third	terzo	thỉd
thiu	stantio	buồn thiu= sad/boring
thiêm	thiem	thiem
thiêng	sacro	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	latta	tin
thiến	neutro	castrate
thiếp	biglietto da visita	concubine
thiết	servizi	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	breve	lack
thiềm	thiem	crescent
thiền	meditazione	buddhist (adj.)
thiển	miope	superficial
thiểu	meno	minimum
thiện	amichevole	good
thiệp	ecard	intervene
thiệt	vero	damage
thiệu	raccomandare	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	schiuma	combination
thoai	rotolamento	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	laccio	(proper noun) thong, as in ang thong
those	nhung	those
thoái	smettere	deterioration
thoán	thoan	usurpation
thoáng	arioso	"(term should be ""thoáng qua"") to pass quickly"
thoát	uscita	drainage
thoại	telefono	telephone
thoạt	a prima vista	just (adv.)
thoả	concordato	compromise
thoải	comodo	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	occasionalmente	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	thoat	suddenly
thpt	thpt	high school
thriller	thriller	thriller
thskts	thskts	phd- architect
thua	perso	defeat
thumb|các	pollice | il	thumb|many
thunderbolt	fulmine	thunderbolt
thung	thung	valley
thuyên	spostamento	a name
thuyết	teoria	theory
thuyền	barca	boat
thuê	affittare	employ
thuần	puro	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	contraddizioni	support
thuận	opportunamente	favourable
thuật	arti	term
thuế	imposta	tax
thuốc	droga	medicine (n.)
thuộc	di	belong
thuớc	droga	"(term should be ""kích thước"") dimensions of an object"
thuờng	spesso	usually
thuở	gioventù	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	hydro	water
thvn	thvn	vietnam television
thy	tuo	thy
thà	preferirei	honest
thành	successo	"(term should be ""hình thành"") to take shape"
thày	insegnante	teacher
thác	cascata	harvest
thách	sfida	challenge
thái	stato	attitude
thám	investigatore	to spy (v.)
tháng	mese	month (n.)
thánh	santo	a holy person; a saint (n.)
tháo	remove	"(term should be ""tháo chạy"") to run with abandon"
tháp	torre	tower
thâm	profondo	penetrate
thâu	raccogliere	to collect (v.)
thây	vedere	body
thãi	deflusso urbano	superabundant
thèm	voglie	desire
thép	acciaio	steel
thét	thet	shout
thê	martha	category
thêm	più	more
thêu	ricamare	to embroider (v.)
thìa	cucchiaio	spoon
thìn	sottile	(proper noun) thìn, the year of the dragon
thình	improvvisamente	"(term should be ""thình lình"") suddenly"
thí	concorrenti	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	adesivo	tho
thòi	svantaggiati	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	risaia	grain (n.)
thói	abitudini	a habit (n.)
thô	ruvido	rough, old-fashioned
thôi	andiamo	only
thông	informazioni	"(term should be ""thông thường"") usual (adj.)"
thù	faida	"entire term should be ""ke thu""; means ""enemy"""
thùng	gabbia	barrel
thùy	lobo	thuy
thú	interessante	"(should be ""thích thú"") pleasurable"
thúc	estremità	push
thúy	thuy	thuy
thăm	visita	visit
thăng	ascend	helicopter
thơm	fragrante	aromatic
thư	lettera	"(term should be ""ung thư"") cancer (n.)"
thưa	sir	sparse
thương	amore	love
thước	dimensione	ruler
thường	spesso	usually (adv.)
thưởng	indennità	to reward (v.)
thược	thuoc	(proper noun) thược
thượng	tetto	upper
thạc	masters	master
thạch	gelatina	rock or stone (n.)
thạnh	thanh	thanh
thạo	esperto	fluent
thả	cadere	"(term should be ""thả lỏng"") to let loose (v.)"
thải	sprecare	waste
thảm	tappeto	carpet or rug (n.)
thản	alleviare	calmly
thảo	laboratorio	"(term should be ""hội thảo"") a workshop (n.)"
thấp	basso	low (adj.)
thấu	lente	penetrate
thầm	silenziosamente	"(term should be ""thì thầm"") to whisper (v.)"
thần	dio	"entire term should be ""tinh than""; means ""of the mind"""
thầy	insegnante	teacher (n.)
thẩm	competente	osmotic/leak
thẫm	scuro	dark
thận	rene	careful
thập	raduno	tens
thật	vero	true (adj.)
thắm	petalo	tham
thắn	candidamente	frank
thắng	prevalere	win
thắngthua	thangthua	win-lose
thắp	lit	light
thắt	legare	tense
thằn	lucertola	"entire term should be ""than lan""; means ""lizard"""
thằng	tipo	a derogatory term for a man (n.)
thẳm	abisso	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	dritto	horizontal
thặng	surplus	surplus
thẹn	ventoso	shameful
thẻ	carta	card
thế	come	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	covoni	steel
thề	lo giuro	swear
thềm	mensola	shelf
thể	lattina	maybe
thỉnh	invitare	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	prosperità	prosperous
thịt	carne	meat (n.)
thọ	vita	phu tho
thọc	spinta	jab
thỏ	coniglio	rabbit
thỏa	affare	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	lingotti	a bar (n.)
thối	marciume	smelly
thốt	sbottato	scream
thồ	imballare	to transport via horse (v.)
thổ	bordello	"(term should be ""lãnh thổ"") territory (n.)"
thổi	soffiare	blow
thớt	tagliere	sparse
thời	tempo	period
thở	respirare	breathe
thợ	artigiano	craftman
thụ	recettore	"(term should be ""thụ thai"") to become pregnant"
thục	indipendente	(proper noun) a vietnamese first name
thụt	clistere	clyster
thủ	primo	masturbate
thủa	trame	during childhood
thủng	perforazione	having holes
thứ	tipo	no.
thức	scia	way
thừa	eccesso	redundant
thừng	corda	"(term should be ""thẳng thừng"") mercilessly"
thử	provare	try
thửa	trame	square
thự	villa	mansion
thực	vero	perform
ti	ti	titov
tia	raggio	ray
tiananmen	tiananmen	tiananmen
tiara	tiara	tiara
tibet	tibet	(proper noun) tibet
tigris	tigris	tigris
tiliaceus	tiliaceus	hoa dam but
tim	cuore	heart
