$ tỉ	$ พันล้าน	$ billion
co	ร่วม	spasm
coburn	เบิร์น	coburn
cocoa	โกโก้	cocoa
coen	โคเอน	coen
coffea	กาแฟ	coffee
cohen	โคเฮน	cohen
coi	การพิจารณา	to regard
coleen	coleen	coleen
coleman	โคลแมน	coleman
coli	coli	coli
colin	โคลิน	(proper noun) colin, as in colin powell
colleen	คอลลีน	colleen
college	วิทยาลัย	college
collins	คอลลิน	(proper noun) collins
collège	วิทยาลัย	college (n.)
colombia	โคลอมเบีย	colombia
colombo	โคลัมโบ	(proper noun) colombo
colorado	โคโลราโด	(proper noun) colorado, as in the state
columbus	โคลัมบัส	columbus
comic	ตลก	comic
common	ร่วมกัน	common
concacaf	คอนคาเคฟ	concacaf
concerto	concertos	concerto
concorde	concorde	concorde
condom	ถุงยาง	condom
cong	โค้ง	curved or bent
congo	ประเทศคองโก	congo
congress	รัฐสภา	congress, as in library of congress
connecticut	คอนเนตทิคั	connecticut
conrad	คอนราด	corrad
conservation	การอนุรักษ์	conservation
constantine	คอนสแตนติ	constantine
contemporary	ร่วมสมัย	contemporary
cooper	เหล้า	(proper noun) cooper
copenhagen	โคเปนเฮเกน	copenhagen
copernic	copernic	corpernic
copperfield	คอปเปอร์ฟิลด์	(proper noun) copperfield, as in magician david copperfield
coppola	คอปโปลา	coppola
copy	สำเนา	copy
cordyceps	cordyceps	cordyceps
core	แกน	core
cornell	คอร์เนล	cornell
cosin	โคไซน์	cosine
costa	คอสตา	costa
cotang	โคแทนเจนต์	cotangent
cpt	cpt	cpt
craig	เครก	(proper noun) craig
crazy	บ้า	crazy
crespo	เครสโป	(proper noun) crespo
crest	ยอด	crest
crew	พวกลูกเรือ	crew
crimson	แดงเข้ม	crimson
crisis	วิกฤติ	crisis
cristiano	cristiano	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	โครเอเชีย	croatia
cross	ข้าม	cross
crs	crs	crs
cruz	ครูซ	cruz
cruzeiro	cruzeiro	cruzeiro
crystal	รัตนากร	crystal
ctc	ctc	ctc
cua	ปู	crab (n.)
cullen	คัลเลน	a name
cung	อุปทาน	circle
cunningham	คันนิงแฮม	cunningham; proper name
cup	ถ้วย	cup
cuả	ของ	of, from, belonging to
cuốc	เลือก	hoe
cuối	สุดท้าย	last or final (adj.)
cuốn	ม้วน	book
cuống	ก้านช่อดอก	throat
cuồng	ลืมตัว	crazy (adj.)
cuộc		the
cyanide	ไซยาไนด์	cyanide
cyber	ในโลกไซเบอร์	cyber
cyril	ไซริล	(proper noun) cyril
cyrus	ไซรัส	cyrus
cyworld	cyworld	cyword
cà	กาแฟ	ca
cài	ติดตั้ง	install
càn	โจมตี	raid
càng	มากขึ้น	cang
cành	ขัดขวาง	branch
cào	กรงเล็บ	scratch
cày	ไถ	plow
các		all (adv.)
cách	ทาง	the
cái		"(term should be ""con cái"") children (n.)"
cán	การกลิ้ง	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	ปีก	wing
cáo	จิ้งจอก	report
cáopx|bình	cáopx | เฉลี่ย	not a word
cáp	สายเคเบิล	cable (n.)
cáy	พู้ทำเล่น	fiddler
câm	ใบ้	mute (adj.)
cân	ตาชั่ง	weight
câu	โวลต์	saying
cãi	เถียง	argue
cò	นกกระสา	stork
còn	ยังคง	to have left (v.)
có	มี	have
cói	หญ้าทะเล	machine
cót	bamboomat	cot
cô	ป้า	girl
côi	กำพร้าพ่อ	orphaned
côn	แมลง	a stick (n.)
công		worker
côngtenơ	ภาชนะ	container
cõi	อาณาจักร	entire area
cõng	ขี่หลัง	piggyback
cù	ความขยันหมั่นเพียร	cu
cùi	ผู้เป็นโรคเรื้อน	leprosy
cùng	และ	together
cú	การถ่ายภาพ	old
cúi	คันธนู	to bow (v.)
cúm	ไข้หวัดใหญ่	cum
cúng	การนำเสนอ	worship
cúp	ถ้วย	cup (n.)
cút	ออกไป	to kick someone out (v.)
căm	เสียบปลั๊ก	detest (cam thu)
căn	พาร์ทเมนท์	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	เครียด	tense
cũ	เก่า	old
cũi	เปล	kennel
cũng	เช่นกัน	also
cơm	ข้าว	rice
cư	ที่อยู่อาศัย	resident
cưa	เลื่อย	saw
cưng	ที่รัก	also
cước	ค่าใช้จ่าย	megaman
cưới	งานแต่งงาน	marry
cướp	ปล้น	to rob (v.)
cười	หัวเราะ	smile
cường	ความรุนแรง	strengthen
cưỡi	การขี่	ride
cưỡng	ถูกบังคับ	force some body to do some thing. cưỡng dâm=rape
cạc	บัตร	card (n.)
cạn	แห้ง	shallow
cạnh	ขอบ	"(term should be ""khía cạnh"") an angle"
cạo	ระบำ	shave
cạp	ที่หุ้มขา	scorpion
cả	ทั้งสอง	both
cải	การปรับปรุง	reform
cảm	เย็น	pleasure
cản	การกวาดล้าง	prevent
cảng	พอร์ต	port
cảnh	ฉาก	situation
cảo	ดึง	posthumous
cấm	ต้องห้าม	ban
cấn	หัวใจ	dramatic
cấp	เกรด	level or rank (n.)
cất	สร้าง	"(term should be ""cất giữ"") to keep safe or store"
cầm	ถือ	to hold (v.)
cần	จำเป็น	need
cầu	สะพาน	request
cầy	ชะมดเชียง	farmed
cẩn	ระวังตัวด้วย	carefully
cẩu	ปั้นจั่น	"(term should be ""hải cẩu"") a seal (n.)"
cận	ทางเข้า	close
cập	ปรับปรุง	mention
cậu	ของเขา	a young man (n.)
cậy	เชื่อถือได้	reliable
cắm	เสียบปลั๊ก	to plant (v.)
cắn	กัด	to bite
cắp	โจรกรรม	steal
cắt	ตัด	cut
cằm	คาง	chin
cằn	ทำได้	exhausted (adj.)
cặp	คู่	couple
cọ	ปาล์ม	rub
cọc	เงินฝาก	pile
cọp	เสือ	tiger
cỏ	หญ้า	plant
cố	ความพยายาม	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	แก้ว	cereal
cối	ครก	mortar
cốm	ดอทคอม	grilled rice
cống	ท่อระบายน้ำ	dedicate
cồn	แอลกอฮอล์	i
cồng	ฆ้อง	gong
cổng	ประตู	gate
cỗ	สำรับ	engine
cỗi	เป็นหมัน	barren
cộ	เกี่ยวกับพาหนะ	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	ราก	origin
cộng	ชุมชน	to add (v.)
cột	เสา	pole
cớ	แก้ตัว	excuse
cờ	หมากรุก	flag
cỡ	ขนาด	size
cợt	สนุก	"(term should be ""đùa cợt"") to trifle (v.)"
cục	แผนก	department
cụm	กลุ่ม	cluster
cụp	กวาด	down
cụt	นกเพนกวิน	"(should be ""xương cụt"") the tailbone or coccyx"
củ	หัว	a bulb, a botanical term
của	ของ	of
củi	ฟืน	firewood
củng	เพิ่มขึ้น	reinforce
cứ	ตัวเอง	any
cức	ป้องกันไม่ได้รับอนุญาต	"(term should be ""cức Đê"") a character in chinese history"
cứng	ยาก	hard
cứngi	cungi	cungi
cừ	โรคริดสีดวงทวาร	nacre
cừu	เนื้อแกะ	sheep
cửa	ประตู	door
cửu	การคูณ	nine
cữ	การคุมขัง	abstinence
cữu	นิรันดร	nine
cự	โฟกัส	against
cựa	โรคของต้นไรน์	retreat
cực	เสา	extreme
cựu	อดีต	former
d	d	d.
da	หนังสัตว์	skin
daegu	daegu	daegu
dahl	ดาห์ล	(proper noun) dahl, as in author roald dahl
dai	ยาก	persistent
daily	ประจำวัน	daily
dakota	ดาโคตา	dakota, as in the state of south dakota
dalat	ดาลัด	da lat
dampier	เพียร์	(proper noun) dampier, a last name
dan	แดน	dan
dancing	การเต้นรำ	dancing
danger	อันตราย	danger
danh	ชื่อ	list
daniel	แดเนียล	daniel
dante	dante	dante
dao	มีด	poniard
darwin	ดาร์วิน	darwin
das	das	das
dassault	ซอลท์	(proper noun) dassault
date	วันที่	date
dau	dau	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	เดวีส์	davies
davis	เดวิส	davis
dbsk	ดงบังชินกิ	dbsk
dc	ไฟฟ้ากระแสตรง	d.c.
ddr	ddr	ddr
dean	คณบดี	a name
degree	ปริญญา	degree
delhi	นิวเดลี	delhi
delphi	เดลฟาย	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	ห้องเล็ก	den
dennis	เดนนิส	dennis
department	แผนก	departmen
derek	ดีเร็ก	derek
des	des	des
descartes	descartes	descartes
design	ออกแบบ	thiet ke
deuterium	ธาตุไฮโดรเจนชนิดหนัก	deuterium
deutschland	สหพันธ์สาธารณรัฐเยอรมนี	deutschland
dewan	เทวัน	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	เซลล์	move
diana	diana	(proper noun) diana, as in diana ross
die	ตาย	german
diego	ดิเอโก	diego
dien	เดียน	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	ดิมักจิโอ	gimaggio
dinh	สำนักงานใหญ่	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	การค้นพบ	discovery
discussion	การสนทนา	discussion
disneyland	ดิสนีย์แลนด์	disneyland
division	หมวด	division
divoire	divoire	d'lvoire
diêm	ไม้ขีด	diem vuong
diên	เดียน	"(term should be ""kinh diên"") canon (n.)"
diềm	lambrequin	matches
diều	ว่าว	kite
diểu	เรื่องตลก	(proper noun) diểu
diễm	diễm	beauty; a common vietnamese first name for women
diễu	มีนาคม	parade
diệc	นกกระสา	a heron (n.)
diệm	วัน	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	ครอบคลุม	face to face
diệt	การถอด	to kill or destroy (v.)
diệu	มายากล	effective (adj.)
djibouti	จิบูตี	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	ดีเอ็นเอ	dna
do	โดย	because of
doanh	ธุรกิจ	"(term should be ""kinh doanh"") business (n.)"
doc	คุณหมอ	doc
docherty	เคอร์ตี้	docherty
dolly	ตุ๊กตา	(proper noun) dolly, as in singer dolly parton
dome	โดม	nha
dominican	โดมินิกัน	(proper noun) dominican, as in the dominican republic
don	สวม	(proper noun) don
donau	แม่น้ำแดนยูบ	donau
dortmund	ดอร์ท	(proper noun) dortmund
dougherty	โดเฮอร์ที	dougherty
douglas	ดักลาส	douglas
dover	โดเวอร์	(proper noun) dover, as in the capital of delaware
doyle	ดอยล์	doyle
doãn	ทิด	doan
doạ	ขู่	threat
dp	dp	dp
dracula	แดรกคิวลา	dracula
draft	ร่าง	draft
drake	เป็ด	(proper noun) drake
driver	คนขับรถ	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	นักท่องเที่ยว	travel
dubai	ดูไบ	dubai
duiker	duiker	duiker
duk	ดุก	duk
dumas	มัส	dumas
dumbledore	ดัมเบิลด	dumbledore
dung	ความจุ	portrait
durham	เดอร์แฮม	durham
dursley	dursley	dursley
duy	เท่านั้น	only
duyên	ชายฝั่ง	coastal
duyện	yanzhou	fellatio
duyệt	การอนุมัติ	browser
duơng	เห็นคุณค่า	ocean
duẩn	ด้วน	duan
duật	duat	duat
duệ	ลูกหลาน	descendants (n.)
duỗi	กล้ามเนื้อยืด	stretch
dwight	ดไวต์	dwight
dà	ดา	gradually
dài	ยาว	to lengthen, as in time
dàn	วงออเคสตรา	to arrange
dàng	ง่าย	dang
dành	สงวน	for
dào	dao	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	หนา	thick
dái	dai	"penis (n.), although some may use the term to mean ""testicles"""
dám	กล้าที่จะ	dare
dán	วาง	stick
dáng	รูปร่าง	appearance
dát	ฝัง	inlay
dâm	เพศ	lustful (adj.)
dân	คน	people
dâng	อุทิศ	dedicate
dây	สาย	nerve
dã	ธรรมชาติ	chronicle
dãi	การอนุญาต	band
dãn	การขยาย	extend
dãy	แถว	a row (n.)
dè	ระวังตัวด้วย	tight
défense	défense	defense
dép	สายหนัง	slipper
dê	แพะ	goat
dì	ป้า	aunt
dìu	อู	to lead by the hand (v.)
dính	เหนียว	stick
dò	การสอบสวน	(with word tham) to survey
dòm	แสดง	snoop
dòng	ปัจจุบัน	"(term should be ""dòng họ"") family (n.)"
