$ tỉ	milliarden dollar	$ billion
polo	polo	(proper noun) polo, as in marco polo
polynésie	polynésie	polynesian
pont	pont	(proper noun) pont, as in pont de normandie
pop	pop	pop
portland	portland	portland
porto	porto	porto
pot	topf	pot
potsdam	potsdam	(proper noun) potsdam
potter	töpfer	(proper noun) potter, as in harry potter
pour	gießen	not vietnamese
powell	powell	(proper noun) powell, as in general colin powell
pradesh	pradesh	pradesh
praha	praha	praha
pratzen	pratzen	pratzen
preah	predigen	(proper noun) preah
premier	premier	premier
preminger	preminger	(proper noun) preminger
preston	preston	(proper noun) preston, as in john preston
prince	prinz	prince
princeton	princeton	princeton
printemps	printemps	printemps
printf	printf	printf
prinz	prinz	(proper noun) prinz, as in birgit prinz, the female german soccer player
prix	prix	(proper noun) prix, as in the grand prix
procellarum	procellarum	procellarum, as in oceanus procellarum, the name of a mare on the moon
projekt	projekt	projekt
prometheus	prometheus	(proper noun) prometheus
protein	protein	protein
prôtêin	protein	protein (n.)
ps	ps	ps
psv	psv	psv
ptolemy	ptolemaios	ptolemy
ptq	ptq	ptq
puerto	puerto	puerto
pulau	pulau	(proper noun) pulau, as in pulau tekong, an island
pulitzer	pulitzer	(proper noun) pulitzer, as in the pulitzer prize
pulp	fruchtfleisch	pulp
punjab	punjab	punjab
pusan	pusan	(proper noun) pusan
putin	putin	putin
pyrenees	pyrenäen	pyrenees
pytago	pytago	(proper noun) pytago
pzl	pzl	pzl
péc	péc	"(term should be ""vịnh péc xích"") the persian gulf"
pérez	pérez	(proper noun) perez, as in javier perez de cuellar
păng	pang	fansipan
pơ	pơ	"(term should be ""pơ kô"") a river in vietnam (n.)"
q	q	q ( a letter)
qatar	katar	qatar
qd	qd	quantum dots
qing	qing	qing, as in the qing dynasty of  china
qlvnch	qlvnch	army of the republic of vietnam
qua	vorbei	transmit
quad	quad	quad
quan	quan	"(term should be ""quan hệ"") relationship (n.)"
quang	optisch	bladder
quanh	herum	around
quay	drehte sich um	turn
que	stangen	stick
queen	königin	queen
queens	königinnen	(proper noun) queens, as in the new york borough
queensland	queensland	queensland
quen	gewöhnt	accustomed to
qui	qui	formal
quincy	quincy	(proper noun) quincy, as in quincy jones
quran	koran	quran
quy	regeln	"(term should be ""quy ước"") agreement"
quyên	grundlagen	"(term should be ""quyên góp"") to donate (v.)"
quyến	charme	"(term should be ""gia quyến"") family"
quyền	richtig	right
quyện	mischen	mix
quyệt	heimtückisch	"(should be ""xảo quyệt"") devious"
quá	auch	over
quái	zum teufel	strange or odd
quán	bar	hometown
quáng	blind	blind
quát	schrie	generalize
quân	quan	army (n.)
quãng	ca.	optical
quét	scannen	to sweep (v.)
quê	landschaft	countryside
quên	vergessen	forget
quý	quartal	love
quýt	mandarine	tangerine
quăng	werfen	to throw (v.)
quĩ	fonds	orbit
quạ	krähen	crow (con qua)
quạt	lüfter	fan
quản	regieren	"(entire term is ""cai quản"") to manage"
quảng	promo	guangzhou
quấn	wickeln	wrap around
quất	kumquat	whip
quấy	rühren	harass
quần	hosen	pants (n.)
quầng	heiligenschein	halo
quầy	zähler	stall
quẩy	schaukeln	quay
quẫn	elend	necessitous
quận	grafschaft	county (n.)
quật	ausgrabung	excavation
quẳng	werfen	throw
quặc	komisch	strange (adj.)
quặng	erz	an ore (n.)
quẻ	hexagramm	hexagram
quế	zimt	cinnamon (n.)
quết	abschaum	knead
quệ	arm	exhausted
quỉ	der teufel	demon
quỳ	knie nieder	demon (n.)
quỳnh	quỳnh	quynh
quỵ	schlaganfall	stroke
quỷ	der teufel	provided
quỹ	fonds	fund
qúy	quartal	quy
r	r	r
rabindranath	rabindranath	rabindranath
race	rennen	race
rafael	rafael	rafael
rafale	rafale	(proper noun) rafale, as in dassault rafale
rai	rai	slowly intake
raleigh	raleigh	raleigh
ralph	ralph	(proper noun) ralph, as in ralph waldo emerson
ram	widder	a name
rama	rama	rama, first name of several rulers of thailand (n.)
ramadan	ramadan	(proper noun) the fasting month of ramadan
ramayana	ramayana	ramayana
rambus	rambus	rambus
ran	lief	ran
ranch	ranch	ranch
randy	geil	randy
rang	klingelte	roast
rangers	ranger	rangers
ranh	grenze	border (ranh gioi)
rao	ad	to announce
rap	rap	rap
raptor	raubvogel	raptor
rate	rate	rate
rau	gemüse	vegetable
ray	strahl	rail (n.)
raya	raya	raya
raymond	raymond	raymond
rađa	radar	radar
reagan	reagan	reagan
real	echt	real
reanimation	wiederbelebung	reanimation
reap	ernten	reap
reef	riff	reef
regia	regia	regia
reichelt	reichelt	reichelt
ren	spitze	lace (n.)
renaissance	renaissance	renaissance
renault	renault	renault
rené	rené	rene
reo	klingelte	yell
reserve	reservieren	reserve
resort	resort	resort
reverse	umgekehrt	reverse
revolution	revolution	revolution
rey	rey	rey, as in copa del rey
rfid	rfid	rfid
rhodes	rhodos	rhodes
rica	rica	rica
ricardo	ricardo	ricardo
ricci	ricci	ricci
richard	richard	richard
richardson	richardson	(proper noun) richardson, as in james o. richardson
richie	richie	(proper noun) richie, as in singer lionel richie
rico	rico	rico, as in puerto rico
riemann	riemann	riemann, as in bernhard riemann, a german mathematician
rimjob	rimjob	rimjob
rin	rin	rin
rising	aufsteigend	rising
risk	risiko	risk
ritchie	ritchie	a name
rivaldo	rivaldo	rivaldo
rivière	rivière	a name
rizal	rizal	rizal
riêng	eigene	own
riêu	riêu	crab
riết	riet	urgently
riềng	galangal	arrowroot
ro	ro	"entire term is ""rui ro""; means ""risk"""
robert	robert	(proper noun) robert
roberto	roberto	(proper noun) roberto
roberts	roberts	roberts
robespierre	robespierre	robespierre
robin	robin	a name
robinson	robinson	robinson, as in michelle robinson
rockefeller	rockefeller	rockefeller, as in john d. rockefeller
roddick	roddick	(proper noun) roddick
rodríguez	rodríguez	rodriguez (n.)
roi	peitsche	a stick or switch used for punishment (n.)
roland	roland	roland
romania	rumänien	romania
rome	rom	rome, as in rome, italy
romeo	romeo	(proper noun) romeo, as in romeo and juliet
rommel	rommel	rommel
ron	ron	ron
ronald	ronald	ronald, an english first name
ronaldinho	ronaldinho	ronaldinho
rong	seetang	seaweed (n.)
rosen	rosen	rosen, as in nathan rosen
roth	roth	roth
rotterdam	rotterdam	(proper noun) rotterdam
rousseau	rousseau	rousseau
router	router	cong noi
rovers	rover	rovers
rowling	rudern	rowling
roy	roy	(proper noun) roy, a name
rpd	rpd	rpd
rtp	rtp	rpt
rudolph	rudolph	rudolph
rue	rue	rue, as in rue des vases, a street name
rulin	rulin	(proper noun) rulin
rumani	rumänisch	romanian
rumiko	rumiko	rumiko, a japanese first name
rummel	rummeln	rummel
run	laufen	tremble
rung	vibration	to shake or vibrate (v.)
russian	russisch	(proper adjective) russian
russkaya	russkaya	(proper noun) russkaya avionika
ruth	ruth	(proper noun) ruth
rutherford	rutherford	rutherford
rutte	rutte	rutte
ruud	ruud	ruud
ruốc	garnelen	pemmican
ruồi	fliegt	fly
ruổi	ruoi	rong ruổi=wandering
ruộng	feld	"(term should be ""ruộng đất"") farmland (n.)"
ruột	darm	internals
rzeczpospolita	rzeczpospolita	rzeczpospolia
rà	auschecken	finding
ràng	klar	clear
rành	fließend	exhaustive
rào	zaun	barrier
rác	müll	gabbage-trash
rách	zerrissen	tear
rái	otter	colander
rán	braten	fried (adj.)
ráp	montage	to assemble (v.)
râm	schattig	shade
râu	bart	beard or mustache (n.)
rã	verfall	out
rãi	weit verbreitet	"(term should be ""rộng rãi"") generous"
rãnh	nut	groove
räikkönen	räikkönen	raikkonen
rèm	vorhang	curtain
rèn	schmieden	train
ré	quietschen	re
république	république	republique
rét	kalt	cold
rê	ziehen	"(term should be ""rê bóng"") to dribble the ball in soccer (v.)"
rên	stöhnen	moan
rêu	moos	moss
rì	flüstern	lush (adj.)
rìa	kante	edge
rình	spion	to watch for
rìu	axt	ax
rít	zischen	to wail (v.)
rò	leckage	leak
ròng	netto	net
rót	gießen	to pour (v.)
rô	kariert	diamond
rôbôt	roboter	robot
rôma	rom	roman
rông	hohl	rising (adj.)
rõ	klar	clear
rùa	schildkröte	turtle
rùng	gruselig	horror
rút	zurückziehen	withdraw
răn	gebot	commandment
răng	zähne	roasted
rōmaji	rōmaji	romaji
rũ	verführerisch	charm
rơ	auto	"(term should be ""rơ măm"") a minority people living in vietnam"
rơi	fallen	fall
rơm	stroh	straw
rươi	dich	sand-worm
rước	prozession	welcome
rưới	bestreuen	to sprinkle (v.)
rưỡi	halb	half
rượt	jagd	pursue
rượu	alkohol	wine
rạ	stroh	straw
rạc	diskret	discrete
rạch	einschnitt	canal
rạng	morgendämmerung	break
rạp	theater	theater
rải	verstreut	spread
rảnh	kostenlos	to be free (adj.)
rất	sehr	very
rầm	pfosten	aggressive
rầu	traurig	sorrow
rẫy	hochland	full
rậm	buschig	jungle
rập	araber	"(term should be ""Ả rập"") arab"
rắc	bestreuen	trouble
rắn	schlangen	snake
rằm	vollmond	a full moon (n.)
rằng	das	roasted
rặng	der felsen	a row
rẻ	billig	cheap
rẽ	drehen	"(term should be ""chia rẽ"") to separate or divide (v.)"
rền	stöhnen	pealed
rể	schwiegersohn	in-law
rễ	wurzeln	root (n.)
rệp	blattläuse	bug
rệt	ausgesprochen	clearly
rệu	ja	decay
rỉ	rost	leak
rịavũng	rìvà	ria - bay
rỏ	klar	clearly
rối	verheddert	disorder
rốm	entdeckt	rom
rồ	verrückt	"(term should be ""điên rồ"") foolish (adj.)"
rồi	schon	and
rồng	drache	dragon
rổ	korb	basket
rỗi	kostenlos	savation
rỗng	leer	hollow
rộ	trubel	profuse (adj.)
rộn	beschäftigt	busy
rộng	breit	wide
rớt	scheitern	drop
rời	links	leave
rỡ	brillant	brilliant
rợ	barbaren	a savage (n.)
rợn	gruselig	scary
rụng	herausfallen	to drop
rủ	hängend	ask
rủi	missgeschick	unlucky or unfortunate (n.)
rứa	rứa	rua
rừng	wald	forest
rửa	waschen	to wash (v.)
rữa	waschen	to decompose or rot (v.)
sa	sa	to fall or drop (v.)
sabah	sabah	sabah
sachsen	sachsen	sachsen
saddam	saddam	(proper noun) saddam, as in saddam hussein
safari	safari	safari
safin	safin	safin
sahara	sahara	sahara
sai	falsch	wrong
saigon	saigon	saigon
saintdenis	saintdenis	saint-denis
sakura	sakura	sakura
salem	salem	(proper noun) salem, as in the city
salvador	salvador	salvador
salzburg	salzburg	salzburg
samhain	samhain	samhain
samo	samo	samo, the name of the first slavic ruler
samoa	samoa	(proper noun) samoa
samphan	samphan	samphan
samsung	samsung	samsung
samuel	samuel	samuel
samuelson	samuelson	(proper noun) samuelson
samurai	samurai	samurai
samut	samut	(proper noun) samut, as in samut prakan in thailand
san	san	level
sanchez	sanchez	sanchez
sang	zu	to
sango	sango	sango, a language spoken in africa
sangraal	sangraal	sangraal
sanh	geburt	bear
sanktpeterburg	sanktpeterburg	sankt-peterburg
santos	santos	santos, as in footballer cristiano ronaldo dos santos aveiro of portugal
sao	sterne	how
sap	saft	sap
sapa	sapa	sapa
sapiens	sapiens	sapiens
sar	sar	sar
sarah	sarah	sarah, as in sarah pierce
sarawak	sarawak	(proper noun) sarawak, a malaysian state on the island of borneo
sarcoma	sarkom	sarcoma
sardinia	sardinien	sardinia
sary	sary	(proper noun) sary, as in ieng sary
saturanga	saturanga	saturanga
saturday	samstag	saturday
sau	später	after (adv.)
saudi	saudi	(proper noun) saudi, as in saudi arabia
saunière	saunière	saunière
scandinavia	skandinavien	scandinavia
schafer	schafer	schafer, as in john c. schafer
schengen	schengen	schengen
schiller	schiller	schiller
schlesinger	schlesinger	schlesinger
schneider	schneider	schneider, a last name
schumacher	schumacher	schumacher, as in michael schumacher
schuschnigg	schuschnigg	(proper noun) schuschnigg, as in kurt schuschnigg of austria
schuster	schuster	schuster
schwarzschild	schwarzschild	schwarzschild
scotland	schottland	scotland
scots	schotten	(proper noun) scots
scott	scott	scott
scream	schreien	scream
scud	scud	scud
scuderia	scuderia	scuderia
sdram	sdram	sdram
search	suche	search
seattle	seattle	(proper noun) seattle, washington
secret	geheimnis	bi mat
sedna	sedna	(proper noun) sedna
see	siehe	see
sejm	sejm	(proper noun) sejm
selena	selena	selena
semit	semit	(proper noun) semit
sen	lotus	lotus
sense	sinn	sense
september	september	(proper noun) the month of september
serbia	serbien	serbia
sergeyevich	sergeyevich	(proper noun) sergeyevich
seri	serie	series
service	service	service
sesshomaru	sesshomaru	a name
seth	seth	seth
seto	seto	seto
sextus	sextus	sextus
sexy	sexy	sexy
seymour	seymour	seymour
seyssinquart	seyssinquart	(proper noun) seyss-inquart
shah	shah	shah
shaman	schamane	the shaman religion
shan	shan	shan
shane	shane	(proper noun) shane, an english first name
shankly	schlaksig	(proper noun) shankly, as in bill shankly
shaolin	shaolin	shaolin, as in the shaolin temples
sharpay	sharpay	sharpay, as in sharpay evans
shawn	shawn	shawn
sherlock	sherlock	a name
shi	shi	shi
shia	shia	shia
shiite	schiitisch	shiite
shikoku	shikoku	shikoku, a japanese island (n.)
shinichi	shinichi	shinichi
shinoda	shinoda	shinoda, as in mike shinoda
shirakami	shirakami	(proper noun) shirakami
shirakawago	shirakawago	(proper noun) shirakawa-go
shiva	shiva	shiva
shoal	schwarm	(proper noun) shoal
shonen	shonen	shonen
shop	einkaufen	shop
short	kurz	short
showcase	schaufenster	a name
shōnen	shōnen	shonen
siberi	siberi	siberi
sicilia	sicilia	sicilia
sicily	sizilien	sicily, a city in italy
sidney	sidney	(proper noun) sidney, as in sidney nolan
siem	siem	siem
siemens	siemens	siemens
sierra	sierra	(proper noun) sierra
sikh	sikh	sikh
sikorsky	sikorsky	a name
silas	silas	silas
silesia	schlesien	silesia
silic	silizium	silicon
silicat	silikat	silicate
silva	silva	(proper noun) silva, as in carlos silva
silvestris	silvestris	silvestris
simone	simone	simone
sinai	sinai	sinai, as in mount sinai
sinensis	sinensis	sinensis
sing	singen	sing
sinh	geboren	genital
sip	schluck	sip
sirô	sirup	name of a member
sistema	sistema	(proper noun) sistema
siu	siu	siu
siêu	super	super
siết	festziehen	to cut off (v.)
sky	himmel	sky
skype	skype	skype
skyteam	skyteam	skyteam
sl	sl	sl
slav	slaw	(proper noun) slav
slavơ	slaw	slavic
slytherin	slytherin	(proper noun) slytherin, as in salazar slytherin of the harry potter series
sm	sm	sm
smg	smg	smg
smith	schmied	smith
smithsonian	smithsonian	smithsonian
so	so	compare
société	société	societe
socrates	sokrates	socrates
sohee	sohee	a korean name
soho	soho	soho
soi	soi	look/stare soi sáng=enlight
solaris	solaris	(proper noun) solaris
som	som	(proper noun) som, as in kampong som
somme	somme	somme
sonata	sonate	sonata
song	lied	however (adv.)
sony	sony	sony
soo	soo	soon
sophie	sophie	(proper noun) sophie, a first name
sopwith	sopwith	a name
sorbonne	sorbonne	sorbonne, the university in paris (n.)
sos	sos	sos
soul	seele	soul
soát	kontrolle	control
soạn	komponieren	compose
spears	speere	spears
spellman	zauberer	spellman
spence	spence	(proper noun) spence
spencer	spencer	(proper noun) spencer
spielberg	spielberg	(proper noun) spielberg, as in steven spielberg
sports	sport	sports
sri	sri	(proper noun) sri, as in sri lanka
ss	ss	ss
st	st	st.
stalingrad	stalingrad	stalingrad
stamford	stamford	this is a name
stand	stehen	stand
stanford	stanford	stanford, as in stanford university
stanley	stanley	stanley
starr	stern	a name
startin	anfangen	bat dau
status	status	status
stdc	stdc	stdc
stefan	stefan	stefan
steiermark	steiermark	steiermark
steiner	steiner	steiner
stelzer	stelzer	stelzer
stennis	stennis	stennis
stephen	stephen	stephen
stephenie	stephenie	"stephenie, as in stephenie meyer, author of ""twilight"""
sterling	sterling	a name
steve	steve	steve
stevens	stevens	(proper noun) stevens, as in amanda stevens
stevenson	stevenson	stevenson
stevie	stevie	stevie
stewarthannah	stewarthannah	stewart/hannah
stf	stf	stf
stimson	stimson	stimson, as in henry lewis stimson, former secretary of war
stockholm	stockholm	a name
stones	steine	stones
storting	storting	storting
strasberg	straßberg	strasberg
strauss	strauss	strauss
street	straße	street
struct	struct	struct
stt	stt	order number
stuart	stuart	stuart
stuttgart	stuttgart	(proper noun) stuttgart, a city in germany
styx	styx	(proper noun) styx, as in the river styx
stéfano	stéfano	stefano
su	su	condom
subakhi	subakhi	subakhi
suez	suez	(proper noun) suez
suharto	suharto	suharto
sukarno	sukarno	(proper noun) sukarno,  president of indonesia
sulfua	sulfid	sulfide
sulu	sulu	sulu
sum	summe	reunite
sumatera	sumatera	sumatera
sumatra	sumatra	(proper noun) the island of sumatra
sumitomo	sumitomo	sumitomo
summer	sommer	summer
summerslam	summerslam	(proper noun) summerslam
sun	sonne	sun
sunday	sonntag	(proper noun) sunday
sung	feigen	supplement
sunni	sunnitisch	sunni
sunsilk	sonnenseide	sunsilk, a hair products company
super	super	super
suriname	suriname	suriname
susan	susan	(proper noun) susan
susilo	susilo	(proper noun) susilo
sutra	sutra	sutra
suub	suub	a name
suvp	suvp	suv-p
suy	beeinträchtigt	decrease
suê	so	lush
suôn	reibungslos	smooth
suất	produktivität	number
suối	stream	stream
suốt	überall	through/all over
suồng	glatt	overfamiliar
svd	svd	svd
swan	schwan	swan
swaziland	swasiland	swaziland
sweet	süß	sweet
sy	sy	sy
sydney	sydney	(proper noun) sydney, a city in australia
symantec	symantec	symantec
sync	synchronisieren	sync
syria	syrien	syria
sài	sai	"(term should be ""sơ sài"") something done without care (adv.)"
sàn	boden	san
sàng	sieb	ready
sành	geschirr	"(term should be ""sành sứ"") pottery"
sào	stange	"(term should be ""sào huyệt"") den or hideout (n.)"
sá	sá	road
sách	bücher	list
sái	falsch	sai
sám	reuig	penitent
sáng	bin	light
sánh	vergleichend	compare
sáo	flöte	flute
sáp	wachs	merger
sát	schließen	"(term should be ""quan sát"") to watch or observe (v.)"
sáu	sechs	six
sâm	ginseng	sam
sân	hof	"(should be ""sân khấu"") a stage"
sâu	tief	deep
sã	sã	flippant
sãi	falsch	pagoda warden
são	são	sao, as in sao paolo, brazil
sét	blitz	clay
sê	se	sepon
sêri	serie	series
sêu	moos	seu tet
sính	student	betrothal gifts
síp	zypern	cyprus
sít	eng	close
sò	austern	oyster
sòng	casino	casino
sóc	eichhörnchen	"(should be ""sóc trăng"") a vietnamese town"
sói	wolf	wolf
sóng	welle	wave
sót	auslassung	to miss (v.)
sô	nummer	than
sôi	kochen	vibrant
sông	fluss	river
sùng	hingabe	cult
sú	schwarzer tiger	a type of mangrove (n.)
súc	rinder	animal
sún	sinken	sun
súng	waffe	gun
súp	suppe	source
sút	schuss	reduce
săn	jagen	to hunt
sơn	gemalt	a mountain
sư	professor	lion
sưa	milch	filled with
sưng	schwellung	swell
sưu	sammlerstücke	collection
sương	tau	dew (n.)
sướng	glücklich	high
sườn	koteletts	slope
sưởi	heizung	heat
sạch	sauber	clean
sạn	hotel	hotel
sảm	hell	sam
sản	produktion	reproductive
sảng	frisch	sonorous
sảnh	halle	a hall, as in the rock and roll hall of fame
sấm	donner	ginseng
sấu	krokodil	crocodile
sấy	trocknen	dry
sầm	knallt	crowded
sầu	melancholie	sad
sẩn	papeln	coarseness
sẫm	dunkel	dark
sập	zusammenbruch	destroy
sắm	einkaufen	shopping
sắn	maniok	cassava (n.)
sắp	kurz davor	soon
sắt	eisen	"(term should be ""sắt son"") constant (adj.)"
sẵn	verfügbar	available
sẹo	narbe	scar
sẻ	wird	share
sẽ	wird	will
sọ	schädel	brain
sọc	streifen	stripe
sỏ	frech	oligarchy
sỏi	kies	gravel
số	nummer	"(term should be ""số lượng"") quantity (n.)"
sốc	schockiert	shock
sống	leben	live
sốt	fieber	fever
sồi	eiche	oak
sổ	buch	window
sớ	wird	document
sớm	früh	som
sờ	berühren	touch
sỡ	verpasst	colorful
sợ	hab angst	afraid
sợi	garn	fibers
sục	whirlpool	"(term should be ""sôi sục"") to boil"
sụn	knorpel	cartilage
sụp	zusammenbruch	collapse
sụt	einbruch	drop
sủa	bellen	bright
sủi	brausetabletten	sparkling
sủng	charismatisch	favored
sứ	porzellan	embassy
sứa	quallen	jellyfish (n.)
sức	stärke	strength
sứt	abgebrochen	cleft
sừng	horn	sừng sững= huge
sử	geschichte	"(term should be ""sử dụng"") to use (v.)"
sửa	beheben	repair
sửng	schockiert	startling
sửu	ox	cow
sữa	milch	milk
sự	die	situation
ta	ta	us or our
tae	tae	(proper noun) tae
tag	tag	tag
tai	ohr	ear
taiji	taiji	(proper noun) taiji
taipei	taipei	taipei
taiwan	taiwan	taiwan
taj	taj	taj, as in taj mahal
tajikistan	tadschikistan	tajikistan
tajima	tajima	tajima
tajiri	tajiri	tajiri
takahashi	takahashi	(proper noun) takahashi
taklamakan	taklamakan	taklamakan
tali	tali	thallium
taliban	taliban	taliban
talmud	talmud	talmud
tam	tam	three (n.)
tamoxifen	tamoxifen	tamoxifen
tanaka	tanaka	tanaka
tang	trauer	funeral
tanh	fischig	deserted
tankōbon	tankōbon	tankobon, as in a type of japanese literature
tanzania	tansania	tanzania
tao	ich	(proper noun) tao, a chinese name
tarim	tarim	tarim
task	aufgabe	task
tasman	tasman	tasman, as in abel tasman
tasmania	tasmanien	tasmania, a place
tau	tau	tau
taxi	taxi	taxi
tay	hände	hand
taylor	taylor	taylor
tbt	tbt	tbt
tchad	tchad	tchad
tcm	tcm	tcm
tcp	tcp	tcp
technical	technisch	technical
ted	ted	(proper noun) ted
teddy	teddy	teddy, as in teddy lupin, a character in the harry potter series
telecom	telekommunikation	telecom
telekom	telekom	telekom
telex	telex	telex
telnet	telnet	telnet
tem	stempel	stamp
temple	tempel	temple
temujin	temujin	temujin
temur	temur	(proper noun) temur, as in temur oljeitu
tenxơ	kartell	tensor
teo	atrophie	atrophy
terengganu	terengganu	(proper noun) terengganu
territories	gebiete	territories
terry	frottee	terry
terumbu	terumbu	(proper noun) terumbu
tet	tet	tet
texas	texas	(proper noun) the state of texas
tgv	tgv	tgv
tha	tha	to forgive (v.)
thai	schwanger	pregnant
thailand	thailand	thailand
tham	gier	involved
thames	themse	thames
than	kohle	coal
thang	leiter	ladder
thanh	bar	youth
thani	thani	thani
thao	sport	sport
thau	messing	a basin (n.)
thay	stattdessen	change
thcn	thcn	vocational school
thcs	thcs	secondary
thdq	thdq	thdq
thebes	thebes	thebes
their	ihre	their
them	sie	plus
then	dann	key
theo	folgen	according to
theory	theorie	thẻoy
theravada	theravada	theravada
theres	theres	there
theseus	theseus	theseus, the greek hero
thi	prüfung	competition (n.)
thich	wie	explanation
thien	thien	sky
third	drittens	thỉd
thiu	abgestanden	buồn thiu= sad/boring
thiêm	thiêm	thiem
thiêng	heilig	"(term should be ""thiêng liêng"") sacred or holy"
thiếc	zinn	tin
thiến	kastration	castrate
thiếp	visitenkarte	concubine
thiết	einstellen	"(term should be ""cần thiết"") necessary (adj.)"
thiếu	fehlt	lack
thiềm	sichel	crescent
thiền	meditation	buddhist (adj.)
thiển	zeigen	superficial
thiểu	moll	minimum
thiện	gut	good
thiệp	karten	intervene
thiệt	wirklich	damage
thiệu	einführung	"(term should be ""giới thiệu"") to introduce (v.)"
tho	tho	tho
thoa	tupfen	combination
thoai	thoai	gentle
thomas	thomas	thomas
thompson	thompson	thompson
thong	tanga	(proper noun) thong, as in ang thong
those	diese	those
thoái	regressiv	deterioration
thoán	rate mal	usurpation
thoáng	luftig	"(term should be ""thoáng qua"") to pass quickly"
thoát	ausfahrt	drainage
thoại	stimme	telephone
thoạt	auf den ersten blick	just (adv.)
thoả	deal	compromise
thoải	bequem	"(term should be ""thoải mái"") comfortable or relaxing (adj.)"
thoảng	gelegentlich	"(term should be ""thỉnh thoảng"") occasionally (adv.)"
thoắt	eingabeaufforderung	suddenly
thpt	thpt	high school
thriller	thriller	thriller
thskts	thskts	phd- architect
thua	verlieren	defeat
thumb|các	daumen | der	thumb|many
thunderbolt	blitz	thunderbolt
thung	tal	valley
thuyên	verschiebung	a name
thuyết	theorie	theory
thuyền	boot	boat
thuê	mieten	employ
thuần	rein	"(term should be ""đơn thuần"") pure (adj.)"
thuẫn	konflikt	support
thuận	profis	favourable
thuật	art	term
thuế	steuer	tax
thuốc	medizin	medicine (n.)
thuộc	gehören dazu	belong
thuớc	wasser	"(term should be ""kích thước"") dimensions of an object"
thuờng	normalerweise	usually
thuở	kindheit	period
thuỵ	thuy	"(term should be ""thụy Điển"") the nation of sweden (proper noun)"
thuỷ	thuy	water
thvn	thvn	vietnam television
thy	dein	thy
thà	würde lieber	honest
thành	zu	"(term should be ""hình thành"") to take shape"
thày	lehrer	teacher
thác	kaskade	harvest
thách	herausforderung	challenge
thái	thailändisch	attitude
thám	detektiv	to spy (v.)
tháng	monat	month (n.)
thánh	heilig	a holy person; a saint (n.)
tháo	lösen	"(term should be ""tháo chạy"") to run with abandon"
tháp	turm	tower
thâm	intensiv	penetrate
thâu	geklebt	to collect (v.)
thây	siehe	body
thãi	scheiße	superabundant
thèm	sehnen sich	desire
thép	stahl	steel
thét	schrie	shout
thê	die	category
thêm	hinzufügen	more
thêu	stickerei	to embroider (v.)
thìa	löffel	spoon
thìn	dann	(proper noun) thìn, the year of the dragon
thình	plötzlich	"(term should be ""thình lình"") suddenly"
thí	experimente	(with word du) for example
thít	thit	(proper noun) mân thít, a district in vietnam
thò	stocherte	tho
thòi	nachteil	"(term should be ""thiệt thòi"") to cost (adv.)"
thóc	reisfeld	grain (n.)
thói	gewohnheit	a habit (n.)
thô	rau	rough, old-fashioned
thôi	komm schon	only
thông	informiert	"(term should be ""thông thường"") usual (adj.)"
thù	fehde	"entire term should be ""ke thu""; means ""enemy"""
thùng	fass	barrel
thùy	lappen	thuy
thú	interessant	"(should be ""thích thú"") pleasurable"
thúc	ende	push
thúy	thuy	thuy
thăm	besuchen	visit
thăng	gefördert	helicopter
thơm	duftend	aromatic
thư	brief	"(term should be ""ung thư"") cancer (n.)"
thưa	liebes	sparse
thương	liebe	love
thước	lineal	ruler
thường	oft	usually (adv.)
thưởng	belohnung	to reward (v.)
thược	thud	(proper noun) thược
thượng	oben	upper
thạc	meister	master
thạch	gelee	rock or stone (n.)
thạnh	thanh	thanh
thạo	experte	fluent
thả	fallen lassen	"(term should be ""thả lỏng"") to let loose (v.)"
thải	abfall	waste
thảm	teppich	carpet or rug (n.)
thản	ruhig	calmly
thảo	thao	"(term should be ""hội thảo"") a workshop (n.)"
thấp	niedrig	low (adj.)
thấu	eindringmittel	penetrate
thầm	lautlos	"(term should be ""thì thầm"") to whisper (v.)"
thần	gott	"entire term should be ""tinh than""; means ""of the mind"""
thầy	lehrer	teacher (n.)
thẩm	juroren	osmotic/leak
thẫm	dunkel	dark
thận	nieren	careful
thập	kreuz	tens
thật	wahr	true (adj.)
thắm	blütenblatt	tham
thắn	ehrlich gesagt	frank
thắng	gewonnen	win
thắngthua	wonthua	win-lose
thắp	licht	light
thắt	fesseln	tense
thằn	eidechse	"entire term should be ""than lan""; means ""lizard"""
thằng	guy	a derogatory term for a man (n.)
thẳm	tief	"(term should be ""thăm thẳm"") extremely deep (adj.)"
thẳng	gerade	horizontal
thặng	überschuss	surplus
thẹn	beschämt	shameful
thẻ	karte	card
thế	also	"with word ""tu,"" means ""posture"" or ""a position"""
thếp	stahl	steel
thề	schwöre es	swear
thềm	regal	shelf
thể	sein	maybe
thỉnh	manchmal	"(term should be ""thỉnh thoảng"") occasionally"
thịnh	mode	prosperous
thịt	fleisch	meat (n.)
thọ	langlebigkeit	phu tho
thọc	jab	jab
thỏ	kaninchen	rabbit
thỏa	vereinbarung	"(term should be ""thoả thuận"") to come to an agreement (v.)"
thỏi	barren	a bar (n.)
thối	faul	smelly
thốt	geäußert	scream
thồ	packen	to transport via horse (v.)
thổ	erde	"(term should be ""lãnh thổ"") territory (n.)"
thổi	blasen	blow
thớt	schneidebrett	sparse
thời	zeit	period
thở	atme	breathe
thợ	arbeiter	craftman
