$ tỉ	billion பில்லியன்	$ billion
cincinnati	cincinnati	cincinnati
cinderella	சிண்ட்ரெல்லா	cinderrella
cip	சிப்	cip
circus	சர்க்கஸ்	circus
cities	நகரங்கள்	cities
clara	கிளாரா	clara
clark	கிளார்க்	clark
claude	கிளாட்	(proper noun) claude
claudius	கிளாடியஸ்	(proper noun) claudius
clinton	கிளின்டன்	clinton, as in former president bill clinton
clip	கிளிப்	clip
clips	கிளிப்புகள்	clips
clo	குளோரின்	chlorine
clow	க்ளோ	clow
clyde	க்ளைட்	(proper noun) clyde, as in bonnie and clyde
cmc	cmc	cmc
cmt	செ.மீ.	cmt
cn	சி.என்	christian era
cnet	cnet	cnet
cntb	cntb	capitalism
cntt	cntt	it
cnxh	cnxh	social republic
co	இணை	spasm
coburn	கோபர்ன்	coburn
cocoa	கோகோ	cocoa
coen	coen	coen
coffea	காஃபி	coffee
cohen	கோஹன்	cohen
coi	வாட்ச்	to regard
coleen	கோலீன்	coleen
coleman	கோல்மேன்	coleman
coli	கோலி	coli
colin	கொலின்	(proper noun) colin, as in colin powell
colleen	சக	colleen
college	கல்லூரி	college
collins	கோலின்ஸ்	(proper noun) collins
collège	collège	college (n.)
colombia	கொலம்பியா	colombia
colombo	கொழும்பு	(proper noun) colombo
colorado	கொலராடோ	(proper noun) colorado, as in the state
columbus	கொலம்பஸ்	columbus
comic	காமிக்	comic
common	பொதுவானது	common
concacaf	concacaf	concacaf
concerto	இசை நிகழ்ச்சி	concerto
concorde	concorde	concorde
condom	ஆணுறை	condom
cong	வளைந்த	curved or bent
congo	காங்கோ	congo
congress	காங்கிரஸ்	congress, as in library of congress
connecticut	கனெக்டிகட்	connecticut
conrad	கான்ராட்	corrad
conservation	பாதுகாப்பு	conservation
constantine	மாறிலி	constantine
contemporary	சமகால	contemporary
cooper	கூப்பர்	(proper noun) cooper
copenhagen	copenhagen	copenhagen
copernic	copernic	corpernic
copperfield	காப்பர்ஃபீல்ட்	(proper noun) copperfield, as in magician david copperfield
coppola	கொப்போலா	coppola
copy	நகல்	copy
cordyceps	கார்டிசெப்ஸ்	cordyceps
core	கோர்	core
cornell	கார்னெல்	cornell
cosin	cosin	cosine
costa	கோஸ்டா	costa
cotang	cotang	cotangent
cpt	cpt	cpt
craig	கிரேக்	(proper noun) craig
crazy	பைத்தியம்	crazy
crespo	crespo	(proper noun) crespo
crest	முகடு	crest
crew	குழுவினர்	crew
crimson	கிரிம்சன்	crimson
crisis	நெருக்கடி	crisis
cristiano	கிறிஸ்டியானோ	cristiano, as in portuguese soccer player cristiano ronaldo
croatia	குரோஷியா	croatia
cross	குறுக்கு	cross
crs	crs	crs
cruz	குரூஸ்	cruz
cruzeiro	குரூசிரோ	cruzeiro
crystal	படிக	crystal
ctc	ctc	ctc
cua	நண்டு	crab (n.)
cullen	கல்லன்	a name
cung	வில்	circle
cunningham	கன்னிங்ஹாம்	cunningham; proper name
cup	கோப்பை	cup
cuả	of	of, from, belonging to
cuốc	hoes	hoe
cuối	கடந்த	last or final (adj.)
cuốn	சுருள்	book
cuống	தண்டு	throat
cuồng	பைத்தியம்	crazy (adj.)
cuộc	தி	the
cyanide	சயனைடு	cyanide
cyber	சைபர்	cyber
cyril	சிரில்	(proper noun) cyril
cyrus	சைரஸ்	cyrus
cyworld	cyworld	cyword
cà	கொட்டைவடி நீர்	ca
cài	நிறுவு	install
càn	தேவை	raid
càng	மேலும்	cang
cành	கிளை	branch
cào	கீறல்	scratch
cày	உழுதல்	plow
các	தி	all (adv.)
cách	வழி	the
cái	தி	"(term should be ""con cái"") children (n.)"
cán	உருட்டப்பட்டது	"(should be ""cán bộ"") an officer, especially in a communist regime"
cánh	சாரி	wing
cáo	நரி	report
cáopx|bình	கருத்து	not a word
cáp	கேபிள்	cable (n.)
cáy	ஃபிட்லர்	fiddler
câm	ஊமை	mute (adj.)
cân	செதில்கள்	weight
câu	வாக்கியம்	saying
cãi	வாதிடுங்கள்	argue
cò	தூண்டுதல்	stork
còn	இன்னும்	to have left (v.)
có	வேண்டும்	have
cói	sedge	machine
cót	கட்டில்	cot
cô	செல்வி	girl
côi	அனாதை	orphaned
côn	taper	a stick (n.)
công	வேலை	worker
côngtenơ	கொள்கலன்	container
cõi	பகுதிகள்	entire area
cõng	பிக்கிபேக்	piggyback
cù	கூச்சம்	cu
cùi	தொழுநோயாளிகள்	leprosy
cùng	மற்றும்	together
cú	ஆந்தை	old
cúi	வில்	to bow (v.)
cúm	காய்ச்சல்	cum
cúng	வசதியான	worship
cúp	கோப்பை	cup (n.)
cút	வெளியே போ	to kick someone out (v.)
căm	சொருகப்பட்டுள்ளது	detest (cam thu)
căn	தீவிரமான	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	நீட்சி	tense
cũ	பழையது	old
cũi	எடுக்காதே	kennel
cũng	அத்துடன்	also
cơm	அரிசி	rice
cư	மக்கள் தொகை	resident
cưa	பார்த்தேன்	saw
cưng	என் அன்பே	also
cước	சரக்கு	megaman
cưới	திருமணமானவர்	marry
cướp	கொள்ளை	to rob (v.)
cười	சிரிக்கவும்	smile
cường	வலுவான	strengthen
cưỡi	சவாரி	ride
cưỡng	கட்டாயப்படுத்தப்பட்டது	force some body to do some thing. cưỡng dâm=rape
cạc	அட்டை	card (n.)
cạn	மேலோட்டமான	shallow
cạnh	விளிம்பு	"(term should be ""khía cạnh"") an angle"
cạo	ஷேவ் செய்யுங்கள்	shave
cạp	தேள்	scorpion
cả	இரண்டும்	both
cải	கடுகு	reform
cảm	குளிர்	pleasure
cản	பாதிக்கப்பட்டுள்ளது	prevent
cảng	போர்ட்	port
cảnh	காட்சி	situation
cảo	இழுக்கிறது	posthumous
cấm	தடை	ban
cấn	தேவை	dramatic
cấp	மானியம்	level or rank (n.)
cất	காய்ச்சி வடிகட்டிய	"(term should be ""cất giữ"") to keep safe or store"
cầm	பிடி	to hold (v.)
cần	தேவை	need
cầu	பாலம்	request
cầy	civet	farmed
cẩn	கவனமாக இரு	carefully
cẩu	கிரேன்	"(term should be ""hải cẩu"") a seal (n.)"
cận	அணுகுமுறை	close
cập	எதிர்	mention
cậu	சிறுவன்	a young man (n.)
cậy	சார்ந்தது	reliable
cắm	சொருகு	to plant (v.)
cắn	கடி	to bite
cắp	திருட	steal
cắt	வெட்டு	cut
cằm	கன்னம்	chin
cằn	எரிச்சலான	exhausted (adj.)
cặp	பை	couple
cọ	தேய்க்கவும்	rub
cọc	குவியல்	pile
cọp	புலி	tiger
cỏ	புல்	plant
cố	முயற்சி	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	கோப்பை	cereal
cối	மோட்டார்	mortar
cốm	நகட்	grilled rice
cống	வடிகால்	dedicate
cồn	ஆல்கஹால்	i
cồng	காங்	gong
cổng	வாயில்	gate
cỗ	டெக்	engine
cỗi	பிடிவாதமான	barren
cộ	வாகனம்	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	பழையது	origin
cộng	பிளஸ்	to add (v.)
cột	நெடுவரிசை	pole
cớ	சாக்குப்போக்கு	excuse
cờ	கொடி	flag
cỡ	அளவு	size
cợt	நகைச்சுவை	"(term should be ""đùa cợt"") to trifle (v.)"
cục	துறை	department
cụm	கொத்து	cluster
cụp	வெட்டப்பட்டது	down
cụt	வெட்டப்பட்டது	"(should be ""xương cụt"") the tailbone or coccyx"
củ	கிழங்குகளும்	a bulb, a botanical term
của	இன்	of
củi	விறகு	firewood
củng	மேலும்	reinforce
cứ	ஆன்	any
cức	கூ	"(term should be ""cức Đê"") a character in chinese history"
cứng	கடினமானது	hard
cứngi	ஹார்டி	cungi
cừ	துருவங்கள்	nacre
cừu	ஆட்டுக்குட்டி	sheep
cửa	கதவு	door
cửu	பெருக்க	nine
cữ	கு	abstinence
cữu	அலங்கார பெட்டி	nine
cự	தூரம்	against
cựa	ஸ்பர்ஸ்	retreat
cực	துருவ	extreme
cựu	முன்னாள்	former
d	d	d.
da	தோல்	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	கடுமையான	persistent
daily	தினசரி	daily
dakota	டகோட்டா	dakota, as in the state of south dakota
dalat	டா லாட்	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	டான்	dan
dancing	நடனம்	dancing
danger	ஆபத்து	danger
danh	பெயர்	list
daniel	டேனியல்	daniel
dante	dante	dante
dao	கத்தி	poniard
darwin	டார்வின்	darwin
das	தாஸ்	das
dassault	dassault	(proper noun) dassault
date	தேதி	date
dau	எண்ணெய்	dau
dave	டேவ்	(proper noun) dave, as in dave sexton
david	டேவிட்	david, as in david thomas
davies	டேவிஸ்	davies
davis	டேவிஸ்	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	டீன்	a name
degree	பட்டம்	degree
delhi	டெல்ஹி	delhi
delphi	டெல்பி	(proper noun) delphi, as in the oracle
demeter	டிமீட்டர்	(proper noun) demeter, the greek goddess of the harvest
den	டென்	den
dennis	டென்னிஸ்	dennis
department	துறை	departmen
derek	டெரெக்	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	டியூட்டீரியம்	deuterium
deutschland	deutschland	deutschland
dewan	திவான்	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	டயானா	(proper noun) diana, as in diana ross
die	இறக்க	german
diego	டியாகோ	diego
dien	பைத்தியம்	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	அரண்மனை	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	கண்டுபிடிப்பு	discovery
discussion	கலந்துரையாடல்	discussion
disneyland	டிஸ்னிலேண்ட்	disneyland
division	பிரிவு	division
divoire	divoire	d'lvoire
diêm	போட்டிகளில்	diem vuong
diên	பைத்தியம்	"(term should be ""kinh diên"") canon (n.)"
diềm	மாறுபாடுகள்	matches
diều	காத்தாடி	kite
diểu	கேலிக்கூத்து	(proper noun) diểu
diễm	டைம்	beauty; a common vietnamese first name for women
diễu	அணிவகுப்பு	parade
diệc	ஹெரான்	a heron (n.)
diệm	டைம்	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	முகம்	face to face
diệt	கொல்ல	to kill or destroy (v.)
diệu	மந்திரம்	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	ஜோகோவிச்	(proper noun) djokovic, as in novak djokovic
