$	dollarni tashkil etadi	a sign of doller
ઇતિહાસમાં	tarixda	in the history
ઇતીહાસ	tarix	history
ઇત્યાદિ	va boshqalar.	etc.
ઇન	ichida	in
ઇનકાર	rad etish	deny
ઇનકી	inki	those
ઇનકે	inc.	their
ઇનામ	sovrin	reward
ઇનિંગ્સ	inninglar	innings
ઇન્ક	inc.	ink
ઇન્ગલિશ	inglizcha	english
ઇન્ટરનેટ	internet	internet
ઇન્ટરનેશનલ	xalqaro	international
ઇન્ટરફેસ	interfeysi	interface
ઇન્ડિયન	hind	indian
ઇન્ડિયા	hindiston	india
ઇન્ડીયન	hind	indian
ઇન્ડોઆર્યન	hind-aryan	indo-iron
ઇન્ડોનેશિયા	indoneziya	indonesia, name of country
ઇન્ડોયુરોપીયન	hind-evropa	indo european
ઇન્દ્ર	indra	god name
ઇન્ફર્મેશન	ma `lumot	information
ઇન્ફોર્મેશન	ma `lumot	information
ઇન્ફ્રારેડ	infraqizil	infrared,
ઇન્સ્ટિટ્યુટ	institut	institute
ઇન્સ્ટીટ્યુટ	institut	institute
ઇપૂ	miloddan avvalgi	before christ
ઇમારત	bino	building
ઇમારતના	binoning	from building, of the building
ઇમારતો	binolar	buildings
ઇમિસન્સ	emissiyalar	emissions
ઇમેઇલ	elektron pochta	e-mail
ઇમેલ	elektron pochta	e-mail
ઇયુ	yi	eu
ઇરાક	iroq	iraq
ઇરાન	eron	iran
ઇરાની	eronlik	irani
ઇલેક્ટ્રોનિક	elektron	electronic
ઇશાન	shimoli-sharqda	north east
ઇશ્વર	xudo	god
ઇશ્વરની	xudodan	god's
ઇશ્વરને	xudoga	god
ઇસ	bu	year
ઇસકે	iske	its [hindi & urdu  word]
ઇસપૂર્વે	miloddan avvalgi	before christ
ઇસી	ec	this
ઇસીડબ્લ્યુ	ecw	ecw
ઇસુ	iso	jesus christ
ઇસે	ise	this
ઇસ્	yust	ad
ઇસ્કોન	iskcon	iskon
ઇસ્લામ	islom	islam
ઇસ્લામના	islom dini	of the islam
ઇસ્લામિક	islomiy	islamic
ઇસ્લામી	islomiy	islamic
ઇસ્લામીક	islomiy	islamic
ઈ	e	e
ઈંગ્લિશ	inglizcha	english
ઈંગ્લેન્ડ	angliya	england
ઈંગ્લેન્ડમાં	angliyada	england
ઈંદ્ર	indra	idar
ઈક્વિપમેન્ટ	uskunalar	equipment
ઈચ્છા	istak	will
ઈજિપ્ત	misr	egypt
ઈજીપ્ત	misr	egypt
ઈજીપ્તના	misr	egypt
ઈટાલિયન	italyancha	italian
ઈટાલી	italiya	italy
ઈટાલીએ	italiya	italy
ઈટાલીમાં	italiyada	in italy
ઈતિહાસ	tarix	history
ઈતિહાસકારો	tarixchilar	historian
ઈતિહાસની	tarix tarixi	of the history
ઈતિહાસમાં	tarixda	in history
ઈત્યાદિ	va boshqalar.	etc
ઈન	ichida	in
ઈનિંગ્સ	inninglar	innings
ઈન્ટરનેટ	internet	internet
ઈન્ટરનેટના	internetdan	of interenet
ઈન્ટરનેટની	internetdan	of internet, internet's
ઈન્ટરનેટનું	internetdan	of internet
ઈન્ટરનેટને	internet	to internet
ઈન્ટરનેટનો	internetdan	internate
ઈન્ટરનેટે	internet	internet has
ઈન્ટરનેશનલ	xalqaro	international
ઈન્ડસ્ટ્રીઝ	sohalar	industries
ઈન્ડિયન	hind	indian
ઈન્ડિયા	hindiston	india
ઈન્ડોનેશિયા	indoneziya	indonesia
ઈન્દિરા	indira	indira
ઈન્દિરાએ	indira	indira had
ઈન્ફોર્મેશન	ma `lumot	information
ઈન્સ્ટિટ્યૂટ	institut	institute
ઈન્સ્ટીટ્યુટ	institut	institute
ઈપુ	miloddan avvalgi	a. d.
ઈપૂ	miloddan avvalgi	before christ
ઈમારત	bino	building
ઈમારતો	binolar	buildings
ઈમેલ	elektron pochta	e mail
ઈરાદો	niyat	intention
ઈરાન	eron	iran
ઈરાનથી	erondan	from iran
ઈરાનને	eronga	iran
ઈરાનમાં	eronda	in iran
ઈરાની	eronlik	irani, native of iran, from iran
ઈલેક્ટ્રોનિક	elektron	electronic
ઈશ્વર	xudo	god
ઈશ્વરને	xudoga	god
ઈસ	bu	a.d.
ઈસવીસન	ad	a.d.
ઈસા	isa	isa
ઈસાઈ	xristian	christian
ઈસાપૂર્વ	miloddan avvalgi	before christ
ઈસ્ટ	sharq	east
ઈસ્લામ	islom	islam
ઈસ્લામિક	islomiy	islamic
ઈસ્લામી	islomiy	islamic
ઉ	a	for example
ઉંચા	yuqori	high
ઉંચાઇ	balandligi	hight
ઉંચાઈ	balandligi	hight
ઉંચી	yuqori	high
ઉંચુ	yuqori	high
ઉંચું	yuqori	high
ઉંચો	yuqori	high
ઉંમર	yoshi	age
ઉંમરના	yoshi	age
ઉંમરમાં	yoshda	age
ઉંમરે	yoshi	at the age
ઉકેલ	yechim	solution
ઉકેલવા	hal qiling	solve
ઉગ્ર	shafqatsiz	intensive
ઉચિત	adolatli	appropriate
ઉચ્ચ	yuqori	higher
ઉચ્ચતમ	eng baland	the best
ઉચ્ચતર	oliy	higher,
ઉચ્ચપ્રદેશ	yaylov	highlands
ઉચ્ચાર	talaffuz	pronouns
ઉચ્ચારણ	talaffuz	pronunciation
ઉચ્ચારણો	urg‘u	pronunciations
ઉછેર	ko&#39;tarildi	bringing up
ઉજવણી	bayram	celebration
ઉજવણીઓ	tantanalar	celebrations
ઉજવણીમાં	tantanada	in celebration
ઉજવવામાં	tantanali	in celebrating
ઉજવાય	tantanali	celebrated,
ઉજવે	nishonlang	celebrates
ઉજ્જડ	sahroda	barren
ઉઠાવીને	olib tashlash	upside
ઉઠાવે	ko&#39;taradi	lift
ઉઠી	uyg&#39;ondim	wake up
ઉઠે	uyg&#39;ondim	gets up
ઉડિયા	oriya	oriya
ઉતર	shimoliy	north
ઉતરતા	kamayishi	dcending
ઉતરાણ	qo‘yish	uttarayana
ઉતરી	kamaydi	descended from
ઉતરે	erlar	in north
ઉતર્યા	yerga tushdi	get down
ઉતારા	xulosa	accommodation
ઉતારી	yuklanmagan	to copy down
ઉતારો	yuklab oling	place of resting, tent
ઉત્કટ	ehtiros	eager
ઉત્કૃષ્ટ	zo&#39;r	classical
ઉત્ક્રાંતિ	evolyutsiya	evolution
ઉત્તમ	zo&#39;r	best
ઉત્તર	shimoliy	north
ઉત્તરથી	shimoldan	from north
ઉત્તરમાં	shimolda	in the north
ઉત્તરા	shimoliy	northen
ઉત્તરાખંડ	uttaraxand	uttarakhand
ઉત્તરાધિકારી	vorisi	heir ? successor
ઉત્તરાર્ધમાં	ikkinchisida	late
ઉત્તરી	shimoliy	north
ઉત્તરીય	shimoliy	northern
ઉત્તરે	shimolga	at north
ઉત્તરોત્તર	qadam ba qadam	gradually
ઉત્તેજન	rag&#39;batlantirish	excitement
ઉત્પતિ	ibtido	evolution
ઉત્પત્તિ	ibtido	oregenesis
ઉત્પન	ishlab chiqarish	produce
ઉત્પન્ન	yaratilgan	produce
ઉત્પાદક	ishlab chiqaruvchi	producer
ઉત્પાદકો	ishlab chiqaruvchilar	producers
ઉત્પાદન	mahsulot	production
ઉત્પાદનના	ishlab chiqarish	production's
ઉત્પાદનની	mahsulotning	of production
ઉત્પાદનમાં	ishlab chiqarishda	in production
ઉત્પાદનો	mahsulotlar	productions
ઉત્સવ	festival	festival
ઉત્સવો	bayramlar	festivals
ઉત્સાહ	xursandchilik	excitement
ઉદભવ	o&#39;rningdan tur	origin
ઉદભવી	paydo bo&#39;lgan	occured
ઉદય	o&#39;rningdan tur	rissing
ઉદા	masalan	esectrs
ઉદાર	saxiy	generous
ઉદાહરણ	misol	for example
ઉદાહરણો	misollar	illustrations
ઉદ્ઘાટન	ochilish marosimi	inaugration
ઉદ્દેશ	maqsad	purpose
ઉદ્દેશો	maqsadlar	intention
ઉદ્દેશ્ય	maqsad	purpose, aim
ઉદ્દેશ્યથી	maqsadida	motive
ઉદ્ભવ	kelib chiqishi	originate
ઉદ્યાન	istirohat bog‘i	park
ઉદ્યોગ	sanoat	industry
ઉદ્યોગના	sohadan	of industry
ઉદ્યોગનું	sanoat sohasi	of industry
ઉદ્યોગને	sanoat	industry
ઉદ્યોગપતિ	tadbirkor	industrialist
ઉદ્યોગમાં	sohada	in business
ઉદ્યોગો	sohalar	industries
ઉધોગ	sanoat	industry
ઉનકી	uning	their
ઉનકે	o&#39;chiring	them
ઉના	una	una
ઉનાળા	yoz	summer
ઉનાળાના	yoz	summer
ઉનાળામાં	yozda	in summer
ઉનાળુ	yoz	summer related
ઉનાળો	yoz	summer
ઉન્હે	ularni	them
ઉન્હોને	ularni	he [hindi - urdu word]
ઉપખંડ	subkontinental	subdivision / sub continental
ઉપખંડના	subkontinentdan	of subcontinent
ઉપખંડમાં	subkontinentalda	in the subcontinent
ઉપગ્રહ	sun&#39;iy yo&#39;ldosh	satellite
ઉપગ્રહો	yo&#39;ldoshlar	satellites
ઉપચાર	shifolash	medication
ઉપદેશ	va&#39;z qilish	upadesh
ઉપનગરીય	shahar atrofi	suburban
ઉપનગરોમાં	shahar atroflarida	suburbs
ઉપનામ	taxallus	alias
ઉપનિષદ	upanishad	upanishad (ancient texts)
ઉપયોગ	foydalanish	use
ઉપયોગથી	foydalanish	by using
ઉપયોગની	foydalanishda	of use
ઉપયોગને	foydalanish	to use
ઉપયોગમાં	ishlatilgan	in use
ઉપયોગી	foydali	necessary
ઉપર	yuqorida	on
ઉપરથી	yuqoridan	beyond
ઉપરના	yuqorida	upper
ઉપરની	yuqorida	upper
ઉપરનું	yuqorida	upper
ઉપરનો	yuqorida	upper
ઉપરાંત	qo&#39;shimcha	in addition to
ઉપરી	yuqori	upper
ઉપરોક્ત	yuqorida	as mentioned above
ઉપલબ્ધ	mavjud	available
ઉપલા	yuqori	upper
ઉપવાસ	ro&#39;za	fast
ઉપવાસીબાપુ	upavasibapu	upvasibapu
ઉપસી	upasi	come up
ઉપસ્થિત	hozirda	present
ઉપાય	eritma	solution
ઉપાયો	dori vositalari	solutions
ઉપાસના	ibodat	worship
ઉભરી	paydo bo&#39;lgan	emerging
ઉભા	tik turib	to stand besides
ઉભી	vertikal	standing
ઉભુ	pozitsiyalar	standing
ઉભો	pozitsiyalar	standing
ઉમટી	umti	coming, gathering,
ઉમદા	nobel	noble
ઉમર	yoshi	age
ઉમરમાં	yoshda	in age
ઉમાશંકર	umashankar	umashanker
ઉમેદવાર	nomzod	candidate
ઉમેરવામાં	qo&#39;shilgan	addition
ઉમેરી	qo&#39;shilgan	adding
ઉમેરો	qo&#39;shing	addition
ઉર્જા	energiya	energy
ઉર્દુ	urdu	urdu
ઉર્દૂ	urdu	urdu
ઉલ્લેખ	zikr	mention
ઉલ્લેખનીય	e&#39;tiborga loyiq	notable
ઉષ્મા	issiqlik	enthalpy or heat
ઉસ	biz	that [hindi word in gujarati script]
ઉસે	foydalanish	to that [hindi language]
ઊઁચા	richa	high
ઊઁચી	yuqori	high
ઊંચા	yuqori	high
ઊંચાઇ	balandligi	hight
ઊંચાઈ	balandligi	hight
ઊંચાઈએ	balandlikda	at height
ઊંચી	yuqori	high
ઊંચુ	yuqori	high
ઊંચો	yuqori	high
ઊંડા	chuqur	eggs
ઊંડી	chuqur	deep
ઊંડો	chuqur	deep
ઊડી	audi	fly
ઊપર	yuqoriga	over
ઊભા	turmoq	standing
ઊભી	vertikal	standing
ઊભું	vertikal	stood
ઊભો	vertikal	comes up
ઊર્જા	energiya	energy
ઊર્જાના	energiya	of energy, energys'
ઊર્ટ	san&#39;at	oort
ઋણ	qarz	debt
ઋતુ	fasl	season
ઋતુઓ	fasllar	seasons
ઋતુમાં	mavsumda	in season
ઋષિ	avliyo	rishi
ઋષિએ	sage	saga
ઋષી	sage	sage
ઍ	a	that, it
ઍફીલ	ko&#39;zoynak	eiffel
એ	a	that
એંડ	va	and
એઇ	ae	ai
એઇડ્ઝ	oits	aids
એઇડ્ઝના	oits haqida	aids
એએલયુ	alu	a.l.u.
એક	a	one
એકંદર	umuman olganda	on an average
એકંદરે	umuman olganda	on average
એકજ	faqat bitta	only one
એકઠા	birgalikda	collect
એકઠી	to&#39;plash	collect
એકતા	birlik	oneness
એકતાનું	birlik haqida	of oneness
એકત્ર	to&#39;plash	collect
એકત્રિત	yig&#39;ib oling	collected
એકથી	biridan	than one
એકદમ	mutlaqo	very
એકની	biridan	each
એકબીજા	bir-biri	for each other
એકબીજાથી	bir-biridan	from each other
એકબીજાના	bir-biridan	to each other
એકબીજાની	bir-biri	to each other
એકબીજાને	bir-biri	to each other
એકમ	birlik	theory
એકમાત્ર	soley	only
એકમો	birliklar	units
એકરૂપ	formali	homogenous
એકલવ્ય	eklavya	eklavya
એકલા	yolg&#39;iz	alone
એકલે	yolg&#39;iz	alone
એકલો	yolg&#39;iz	alone
એકવાર	bir marta	onetime
એકસમાન	formali	homogeneous
એકસરખી	bir tekisda	equally
એકસાથે	birgalikda	all togather
એકસેસ	kirish	access
એકસ્વરી	xvery	es-query
એકાંત	yolg&#39;izlik	solitude
એકાઉન્ટ	hisob	account
એકાદ	ekad	one
એકીકરણ	integratsiya	unification, fusion
એકીકૃત	birlashtirilgan	united
એકેડમી	akademiya	academy
એકેડેમિયા	akademiya	academia
એકેડેમી	akademiya	academy
એક્ઝિક્યુટિવ	ijrochi	executive
